2#apa#apa13#app1307/v  -0.957 1.306  -0.868 1.216  -0.852 1.096  -0.764 1.007  -0.747 0.887  -0.734 0.766  -0.644 0.677  -0.642 0.551  -0.624 0.429  -0.568 0.316  -0.537 0.197  -0.537 0.071  -0.537 -0.056  -0.483 -0.170  -0.431 -0.284  -0.431 -0.410  -0.431 -0.537  -0.378 -0.641  -0.326 -0.746  -0.326 -0.872  -0.231 -0.903  -0.216 -1.019  -0.159 -1.132  -0.116 -1.248  -0.065 -1.324  0.061 -1.324  0.095 -1.231  0.175 -1.138  0.200 -1.022  0.280 -0.929  0.305 -0.813  0.307 -0.686  0.347 -0.566  0.387 -0.447  0.434 -0.330  0.491 -0.216  0.515 -0.096  0.515 0.031  0.515 0.157  0.529 0.280  0.585 0.393  0.621 0.511  0.651 0.631  0.708 0.744  0.726 0.866  0.727 0.992  0.817 1.081  0.831 1.202  0.847 1.322  0.936 1.411
2#apa#apa13#app1307/e  -0.493 -0.214  -0.428 -0.320  -0.257 -0.320  -0.086 -0.320  0.086 -0.320  0.225 -0.242  0.278 -0.107  0.449 -0.107  0.500 0.033  0.621 0.154  0.720 0.292  0.787 0.447  0.825 0.609  0.894 0.765  0.894 0.936  0.787 1.001  0.682 1.067  0.554 1.173  0.383 1.173  0.212 1.173  0.052 1.126  -0.102 1.049  -0.255 0.972  -0.408 0.896  -0.562 0.819  -0.711 0.738  -0.787 0.585  -0.864 0.432  -0.941 0.278  -1.017 0.125  -1.027 -0.044  -1.027 -0.216  -1.027 -0.387  -1.027 -0.558  -1.027 -0.730  -0.918 -0.856  -0.789 -0.960  -0.618 -0.960  -0.447 -0.960  -0.275 -0.960  -0.104 -0.960  0.068 -0.960  0.229 -0.919  0.383 -0.843  0.536 -0.766  0.689 -0.689  0.846 -0.621  1.008 -0.567  1.167 -0.504  1.321 -0.427
2#apa#apa13#app1307/x  1.528 1.436  1.469 1.333  1.321 1.318  1.269 1.177  1.154 1.062  1.067 0.928  0.985 0.789  0.884 0.665  0.811 0.519  0.700 0.401  0.585 0.287  0.470 0.172  0.361 0.052  0.263 -0.078  0.166 -0.208  0.071 -0.339  -0.001 -0.485  -0.124 -0.579  -0.261 -0.663  -0.388 -0.763  -0.533 -0.835  -0.576 -0.978  -0.691 -1.093  -0.806 -1.208  -0.846 -1.154  -0.837 -0.992  -0.828 -0.830  -0.820 -0.667  -0.811 -0.505  -0.803 -0.343  -0.794 -0.181  -0.786 -0.019  -0.777 0.144  -0.769 0.306  -0.760 0.468  -0.752 0.630  -0.667 0.712  -0.545 0.614  -0.400 0.572  -0.273 0.475  -0.127 0.402  -0.086 0.257  0.029 0.142  0.080 0.001  0.113 -0.148  0.211 -0.275  0.284 -0.420  0.324 -0.566  0.421 -0.694  0.494 -0.839
2#apa#apa13#app1307/i  -0.314 0.229  -0.314 0.119  -0.314 0.009  -0.314 -0.101  -0.314 -0.211  -0.276 -0.312  -0.226 -0.410  -0.198 -0.514  -0.198 -0.624  -0.198 -0.734  -0.185 -0.841  -0.136 -0.940  -0.087 -1.038  -0.082 -1.147  -0.082 -1.257  0.006 -1.279  0.034 -1.361  0.110 -1.395  0.147 -1.325  0.143 -1.215  0.139 -1.105  0.135 -0.995  0.131 -0.885  0.127 -0.775  0.123 -0.665  0.119 -0.555  0.115 -0.445  0.111 -0.335  0.107 -0.225  0.103 -0.115  0.098 -0.005  0.094 0.105  0.090 0.215  0.086 0.325  0.082 0.435  0.078 0.545  0.074 0.655  0.070 0.765  0.066 0.875  0.062 0.986  0.058 1.096  0.054 1.206  0.050 1.316  0.046 1.426  0.041 1.536  0.037 1.646  0.052 1.738  0.150 1.750  0.150 1.860  0.150 1.970
2#apa#apa13#app1307/n  -0.817 0.953  -0.817 0.794  -0.817 0.636  -0.817 0.477  -0.817 0.318  -0.817 0.159  -0.817 0.000  -0.817 -0.158  -0.817 -0.317  -0.817 -0.476  -0.817 -0.635  -0.817 -0.794  -0.817 -0.952  -0.753 -1.085  -0.676 -1.212  -0.608 -1.302  -0.449 -1.302  -0.394 -1.198  -0.308 -1.075  -0.217 -0.948  -0.146 -0.806  -0.112 -0.655  -0.112 -0.496  -0.028 -0.372  0.029 -0.237  0.029 -0.078  0.029 0.081  0.122 0.201  0.170 0.340  0.170 0.499  0.170 0.658  0.272 0.774  0.311 0.917  0.311 1.076  0.311 1.234  0.469 1.235  0.617 1.210  0.730 1.098  0.734 0.941  0.734 0.782  0.734 0.623  0.734 0.465  0.734 0.306  0.779 0.158  0.850 0.016  0.874 -0.137  0.961 -0.261  1.073 -0.373  1.185 -0.485  1.297 -0.597
2#apa#apa13#app1307/g  0.374 1.285  0.330 1.360  0.210 1.360  0.107 1.321  0.002 1.285  -0.038 1.192  -0.145 1.139  -0.232 1.057  -0.317 0.973  -0.402 0.888  -0.486 0.803  -0.571 0.719  -0.611 0.616  -0.611 0.496  -0.536 0.451  -0.417 0.451  -0.300 0.459  -0.210 0.534  -0.096 0.572  0.019 0.603  0.119 0.650  0.227 0.678  0.298 0.630  0.298 0.510  0.298 0.390  0.298 0.271  0.298 0.151  0.298 0.031  0.298 -0.089  0.298 -0.208  0.313 -0.322  0.374 -0.417  0.374 -0.536  0.406 -0.643  0.450 -0.744  0.522 -0.834  0.525 -0.953  0.520 -1.070  0.429 -1.140  0.328 -1.186  0.221 -1.216  0.102 -1.216  -0.009 -1.256  -0.120 -1.292  -0.240 -1.292  -0.360 -1.292  -0.479 -1.292  -0.599 -1.292  -0.719 -1.292  -0.839 -1.292
2#apa#apa13#app1307/d  0.042 1.971  0.134 1.844  0.134 1.679  0.134 1.514  0.134 1.349  0.180 1.191  0.227 1.033  0.227 0.868  0.258 0.710  0.319 0.559  0.323 0.395  0.397 0.247  0.411 0.085  0.428 -0.073  0.503 -0.208  0.595 -0.335  0.648 -0.478  0.687 -0.408  0.597 -0.333  0.595 -0.170  0.497 -0.044  0.423 0.104  0.311 0.220  0.169 0.277  0.031 0.364  -0.103 0.457  -0.252 0.497  -0.418 0.497  -0.562 0.446  -0.679 0.329  -0.796 0.212  -0.900 0.086  -0.972 -0.062  -0.972 -0.227  -0.972 -0.392  -0.972 -0.558  -0.972 -0.723  -0.905 -0.861  -0.788 -0.978  -0.631 -1.011  -0.480 -1.071  -0.315 -1.071  -0.149 -1.071  0.016 -1.071  0.166 -1.008  0.325 -0.978  0.490 -0.978  0.655 -0.978  0.816 -0.960  0.964 -0.886
2#apa#apa13#app1307/a  -0.524 1.288  -0.629 1.183  -0.734 1.078  -0.839 0.973  -0.944 0.868  -1.049 0.762  -1.089 0.630  -1.159 0.511  -1.230 0.392  -1.230 0.243  -1.230 0.095  -1.230 -0.054  -1.230 -0.203  -1.171 -0.327  -1.060 -0.423  -0.927 -0.490  -0.793 -0.550  -0.644 -0.550  -0.495 -0.550  -0.347 -0.550  -0.203 -0.531  -0.070 -0.464  0.066 -0.409  0.205 -0.387  0.310 -0.282  0.439 -0.210  0.572 -0.143  0.717 -0.126  0.831 -0.043  0.936 0.062  1.031 0.171  1.031 0.320  1.031 0.468  0.996 0.581  0.847 0.581  0.699 0.581  0.607 0.524  0.562 0.394  0.466 0.285  0.466 0.136  0.466 -0.012  0.466 -0.161  0.496 -0.297  0.601 -0.402  0.607 -0.548  0.711 -0.654  0.816 -0.759  0.890 -0.877  0.926 -1.010  1.031 -1.115
2#apa#apa13#app1307/f  -0.273 -0.060  -0.071 -0.060  0.120 -0.032  0.234 0.133  0.354 0.293  0.456 0.453  0.512 0.633  0.639 0.783  0.639 0.986  0.639 1.189  0.639 1.392  0.552 1.574  0.392 1.673  0.189 1.673  0.017 1.598  -0.126 1.455  -0.270 1.312  -0.362 1.131  -0.365 0.929  -0.453 0.763  -0.456 0.562  -0.456 0.359  -0.456 0.156  -0.365 -0.009  -0.338 -0.205  -0.232 -0.376  -0.123 -0.544  0.000 -0.701  0.081 -0.871  0.224 -1.014  0.365 -1.158  0.446 -1.328  0.452 -1.517  0.288 -1.397  0.125 -1.277  -0.039 -1.157  -0.202 -1.037  -0.366 -0.917  -0.529 -0.797  -0.693 -0.677  -0.856 -0.558  -0.791 -0.487  -0.614 -0.425  -0.449 -0.334  -0.246 -0.334  -0.043 -0.334  0.160 -0.334  0.362 -0.334  0.560 -0.347  0.730 -0.425
2#apa#apa13#app1307/t  -0.112 1.877  -0.112 1.707  -0.112 1.537  -0.112 1.368  -0.112 1.198  -0.112 1.028  -0.112 0.859  -0.112 0.689  -0.109 0.520  -0.033 0.369  -0.015 0.203  -0.015 0.034  -0.015 -0.136  -0.015 -0.306  -0.015 -0.475  -0.009 -0.643  0.067 -0.795  0.081 -0.961  0.081 -1.131  0.081 -1.301  0.081 -1.470  0.056 -1.556  -0.036 -1.414  -0.128 -1.271  -0.220 -1.129  -0.312 -0.986  -0.405 -0.844  -0.497 -0.701  -0.589 -0.559  -0.681 -0.417  -0.773 -0.274  -0.865 -0.132  -0.957 0.011  -0.860 0.068  -0.721 0.141  -0.564 0.171  -0.422 0.238  -0.268 0.275  -0.122 0.334  0.029 0.378  0.177 0.430  0.346 0.430  0.516 0.430  0.686 0.430  0.826 0.360  0.985 0.334  1.155 0.334  1.299 0.273  1.454 0.238  1.624 0.238
2#apa#apa13#app1307/j  0.357 0.841  0.357 0.711  0.357 0.582  0.357 0.453  0.357 0.324  0.357 0.195  0.357 0.066  0.371 -0.060  0.429 -0.175  0.429 -0.304  0.429 -0.433  0.429 -0.562  0.429 -0.692  0.429 -0.821  0.395 -0.936  0.355 -1.048  0.264 -1.140  0.157 -1.192  0.100 -1.265  -0.029 -1.265  -0.158 -1.265  -0.287 -1.265  -0.386 -1.192  -0.494 -1.141  -0.585 -1.049  -0.660 -0.951  -0.658 -0.822  -0.616 -0.700  -0.574 -0.578  -0.532 -0.456  -0.490 -0.334  -0.448 -0.212  -0.406 -0.090  -0.364 0.032  -0.323 0.155  -0.281 0.277  -0.239 0.399  -0.197 0.521  -0.155 0.643  -0.113 0.765  -0.071 0.887  -0.029 1.009  0.012 1.132  0.054 1.254  0.096 1.376  0.138 1.498  0.180 1.620  0.244 1.712  0.300 1.784  0.357 1.712
