1b#tos#t2#t2051065/A  -0.708 -0.595  -0.833 -0.721  -0.955 -0.730  -0.955 -0.504  -0.873 -0.303  -0.873 -0.078  -0.780 0.126  -0.684 0.330  -0.564 0.507  -0.468 0.705  -0.415 0.916  -0.255 1.064  -0.203 1.269  -0.034 1.412  0.142 1.506  0.286 1.423  0.404 1.261  0.515 1.073  0.622 0.905  0.652 0.686  0.796 0.532  0.835 0.319  0.931 0.118  0.940 -0.105  0.969 -0.324  1.068 -0.527  1.117 -0.743  1.146 -0.962  1.146 -1.048  1.045 -0.865  0.839 -0.779  0.626 -0.705  0.412 -0.631  0.199 -0.557  -0.014 -0.483  -0.228 -0.409  -0.441 -0.335  -0.654 -0.261  -0.867 -0.187  -1.003 -0.226  -1.225 -0.265  -1.077 -0.224  -0.851 -0.224  -0.635 -0.183  -0.409 -0.183  -0.184 -0.183  0.042 -0.183  0.268 -0.183  0.494 -0.183  0.693 -0.265
1b#tos#t2#t2051065/D  -0.032 1.103  -0.128 0.991  -0.184 0.805  -0.225 0.613  -0.225 0.404  -0.267 0.202  -0.274 -0.006  -0.274 -0.215  -0.274 -0.424  -0.274 -0.633  -0.274 -0.842  -0.274 -1.051  -0.274 -1.083  -0.296 -0.875  -0.326 -0.668  -0.356 -0.462  -0.386 -0.255  -0.417 -0.048  -0.447 0.159  -0.477 0.366  -0.508 0.572  -0.538 0.779  -0.592 0.958  -0.781 1.006  -0.815 1.103  -0.606 1.103  -0.397 1.103  -0.188 1.103  0.009 1.055  0.218 1.052  0.415 0.995  0.589 0.910  0.773 0.831  0.895 0.661  0.936 0.469  0.985 0.280  0.985 0.071  0.985 -0.138  0.985 -0.347  0.936 -0.544  0.872 -0.695  0.735 -0.826  0.598 -0.966  0.452 -1.098  0.271 -1.135  0.078 -1.214  -0.110 -1.268  -0.319 -1.268  -0.520 -1.317  -0.661 -1.317
1b#tos#t2#t2051065/F  -0.514 0.964  -0.707 0.964  -0.653 0.867  -0.471 0.821  -0.278 0.819  -0.085 0.819  0.108 0.819  0.301 0.819  0.494 0.819  0.687 0.819  0.880 0.819  1.074 0.819  1.267 0.819  1.103 0.819  0.909 0.819  0.716 0.819  0.523 0.819  0.330 0.819  0.137 0.819  -0.056 0.819  -0.249 0.819  -0.369 0.708  -0.369 0.515  -0.369 0.321  -0.403 0.134  -0.417 -0.057  -0.417 -0.250  -0.417 -0.443  -0.417 -0.636  -0.417 -0.830  -0.417 -1.023  -0.417 -1.216  -0.417 -1.409  -0.417 -1.602  -0.417 -1.711  -0.407 -1.518  -0.386 -1.326  -0.364 -1.134  -0.343 -0.942  -0.322 -0.750  -0.301 -0.558  -0.279 -0.366  -0.320 -0.373  -0.156 -0.413  0.024 -0.443  0.218 -0.443  0.411 -0.443  0.604 -0.443  0.797 -0.443  0.990 -0.443
1b#tos#t2#t2051065/H  -0.763 1.138  -0.800 0.995  -0.763 0.818  -0.763 0.626  -0.763 0.434  -0.763 0.242  -0.766 0.051  -0.808 -0.123  -0.808 -0.315  -0.808 -0.507  -0.808 -0.699  -0.808 -0.891  -0.808 -1.082  -0.808 -1.238  -0.782 -1.048  -0.752 -0.859  -0.722 -0.669  -0.691 -0.480  -0.661 -0.290  -0.631 -0.101  -0.800 -0.082  -0.625 -0.082  -0.433 -0.082  -0.241 -0.082  -0.049 -0.082  0.143 -0.082  0.335 -0.082  0.527 -0.082  0.616 0.043  0.653 0.231  0.689 0.420  0.726 0.608  0.762 0.797  0.799 0.985  0.835 1.173  0.819 1.319  0.773 1.173  0.773 0.981  0.773 0.790  0.728 0.605  0.728 0.413  0.728 0.221  0.728 0.029  0.728 -0.163  0.728 -0.355  0.728 -0.547  0.750 -0.735  0.773 -0.923  0.773 -1.115  0.818 -1.301
1b#tos#t2#t2051065/K  -0.304 1.416  -0.530 1.416  -0.583 1.243  -0.583 1.017  -0.583 0.791  -0.583 0.565  -0.648 0.354  -0.676 0.135  -0.676 -0.091  -0.676 -0.317  -0.688 -0.542  -0.722 -0.764  -0.722 -0.990  -0.722 -1.216  -0.676 -1.264  -0.593 -1.063  -0.470 -0.873  -0.347 -0.684  -0.225 -0.494  -0.102 -0.304  0.021 -0.115  0.144 0.075  0.267 0.265  0.390 0.455  0.513 0.644  0.636 0.834  0.759 1.024  0.882 1.213  0.953 1.227  0.857 1.062  0.720 0.907  0.527 0.798  0.412 0.604  0.208 0.530  0.126 0.345  -0.087 0.304  -0.193 0.131  -0.390 0.023  -0.504 -0.027  -0.394 -0.172  -0.282 -0.364  -0.080 -0.437  0.059 -0.612  0.248 -0.719  0.449 -0.821  0.629 -0.938  0.804 -1.069  1.010 -1.119  1.192 -1.190  1.232 -1.190
1b#tos#t2#t2051065/M  -0.662 0.629  -0.741 0.590  -0.780 0.403  -0.780 0.206  -0.816 0.014  -0.819 -0.181  -0.833 -0.373  -0.898 -0.550  -0.898 -0.746  -0.898 -0.943  -0.891 -0.980  -0.860 -0.786  -0.828 -0.592  -0.796 -0.398  -0.765 -0.205  -0.733 -0.011  -0.702 0.183  -0.670 0.376  -0.639 0.570  -0.710 0.625  -0.780 0.550  -0.741 0.370  -0.662 0.229  -0.584 0.089  -0.464 -0.042  -0.427 -0.230  -0.270 -0.292  -0.111 -0.352  0.069 -0.392  0.162 -0.258  0.252 -0.126  0.398 -0.036  0.443 0.147  0.552 0.310  0.633 0.457  0.761 0.575  0.833 0.722  0.989 0.831  1.062 0.982  1.104 0.805  1.104 0.608  1.143 0.428  1.180 0.241  1.222 0.054  1.261 -0.103  1.261 -0.299  1.300 -0.486  1.300 -0.682  1.344 -0.871  1.379 -1.059
1b#tos#t2#t2051065/N  -0.624 0.787  -0.740 0.705  -0.740 0.536  -0.740 0.367  -0.740 0.199  -0.740 0.030  -0.740 -0.139  -0.812 -0.286  -0.817 -0.453  -0.848 -0.617  -0.856 -0.784  -0.856 -0.793  -0.835 -0.625  -0.809 -0.459  -0.783 -0.292  -0.757 -0.125  -0.731 0.041  -0.705 0.208  -0.679 0.375  -0.688 0.517  -0.740 0.477  -0.674 0.336  -0.581 0.198  -0.547 0.037  -0.432 -0.061  -0.313 -0.181  -0.211 -0.315  -0.095 -0.426  0.053 -0.478  0.187 -0.565  0.294 -0.680  0.463 -0.680  0.614 -0.721  0.768 -0.757  0.920 -0.774  0.997 -0.803  0.997 -0.634  1.036 -0.474  1.036 -0.306  1.036 -0.137  1.036 0.032  1.036 0.201  1.065 0.366  1.074 0.533  1.074 0.702  1.074 0.871  1.074 1.039  1.074 1.208  1.003 1.353  0.920 1.443
1b#tos#t2#t2051065/O  0.499 1.051  0.402 0.989  0.278 0.955  0.210 1.046  0.059 1.045  0.014 0.907  -0.138 0.877  -0.267 0.789  -0.378 0.684  -0.450 0.552  -0.541 0.437  -0.594 0.295  -0.689 0.170  -0.773 0.035  -0.802 -0.115  -0.802 -0.273  -0.879 -0.385  -0.898 -0.531  -0.923 -0.684  -0.947 -0.838  -0.947 -0.996  -0.885 -1.130  -0.759 -1.208  -0.602 -1.213  -0.444 -1.213  -0.285 -1.213  -0.170 -1.132  -0.045 -1.069  0.099 -1.004  0.190 -0.888  0.305 -0.828  0.446 -0.785  0.499 -0.636  0.630 -0.547  0.692 -0.407  0.822 -0.329  0.884 -0.208  0.902 -0.052  0.981 0.053  0.972 0.211  0.908 0.353  0.788 0.442  0.760 0.583  0.618 0.654  0.521 0.777  0.395 0.866  0.301 0.955  0.142 0.955  -0.017 0.955  -0.079 1.051
1b#tos#t2#t2051065/R  -0.374 1.177  -0.476 1.046  -0.593 0.896  -0.636 0.681  -0.636 0.448  -0.636 0.215  -0.636 -0.019  -0.636 -0.252  -0.636 -0.485  -0.636 -0.718  -0.623 -0.948  -0.539 -0.974  -0.509 -0.742  -0.480 -0.511  -0.450 -0.280  -0.421 -0.049  -0.391 0.183  -0.362 0.414  -0.332 0.645  -0.303 0.876  -0.393 1.002  -0.559 1.002  -0.336 1.043  -0.103 1.046  0.130 1.046  0.363 1.046  0.596 1.046  0.806 0.956  0.937 0.854  0.980 0.638  0.893 0.456  0.769 0.347  0.649 0.172  0.427 0.143  0.282 -0.032  0.078 -0.143  -0.113 -0.266  -0.318 -0.352  -0.503 -0.417  -0.377 -0.482  -0.186 -0.584  0.016 -0.658  0.155 -0.789  0.369 -0.834  0.523 -0.998  0.717 -1.123  0.925 -1.222  1.021 -1.401  1.230 -1.480  1.330 -1.620
1b#tos#t2#t2051065/V  -0.513 0.227  -0.680 0.271  -0.638 0.156  -0.638 -0.055  -0.596 -0.256  -0.527 -0.454  -0.513 -0.661  -0.439 -0.849  -0.378 -1.035  -0.306 -1.228  -0.184 -1.396  -0.054 -1.529  0.035 -1.651  0.115 -1.602  0.155 -1.396  0.240 -1.217  0.355 -1.041  0.449 -0.852  0.527 -0.657  0.607 -0.462  0.662 -0.259  0.745 -0.065  0.807 0.128  0.864 0.315  0.864 0.511  0.688 0.492  0.478 0.509  0.267 0.527  0.057 0.544  -0.153 0.562  -0.363 0.579  -0.573 0.597  -0.784 0.614  -0.994 0.632  -1.197 0.615  -1.248 0.477  -1.037 0.477  -0.836 0.519  -0.625 0.521  -0.418 0.563  -0.211 0.604  -0.005 0.645  0.202 0.687  0.409 0.728  0.616 0.770  0.822 0.811  0.739 0.651  0.859 0.644  1.070 0.644  1.281 0.644
1b#tos#t2#t2051065/Y  -0.379 0.939  -0.552 0.939  -0.668 1.014  -0.636 0.879  -0.617 0.709  -0.594 0.540  -0.568 0.374  -0.508 0.215  -0.508 0.043  -0.444 -0.111  -0.379 -0.264  -0.293 -0.351  -0.160 -0.391  -0.040 -0.307  0.093 -0.208  0.145 -0.073  0.251 0.040  0.352 0.155  0.440 0.303  0.539 0.442  0.671 0.552  0.739 0.689  0.804 0.848  0.879 0.996  0.983 1.131  1.037 1.221  0.965 1.077  0.846 0.951  0.728 0.826  0.610 0.700  0.492 0.574  0.373 0.449  0.255 0.323  0.137 0.197  0.018 0.072  -0.100 -0.054  -0.218 -0.180  -0.336 -0.306  -0.414 -0.460  -0.480 -0.605  -0.508 -0.664  -0.451 -0.820  -0.411 -0.982  -0.379 -1.149  -0.336 -1.312  -0.293 -1.467  -0.293 -1.639  -0.293 -1.812  -0.251 -1.978  -0.250 -2.064
