3#apb#apb18#app1802/M  -0.549 0.927  -0.517 0.678  -0.572 0.424  -0.607 0.166  -0.699 -0.077  -0.784 -0.323  -0.866 -0.571  -0.951 -0.817  -1.051 -1.056  -1.134 -1.007  -1.089 -0.750  -1.016 -0.502  -0.912 -0.264  -0.821 -0.020  -0.702 0.212  -0.579 0.441  -0.463 0.674  -0.338 0.903  -0.195 1.120  -0.022 1.315  0.185 1.383  0.315 1.160  0.291 0.900  0.257 0.642  0.217 0.385  0.137 0.137  0.057 -0.111  0.007 -0.366  -0.042 -0.622  -0.106 -0.875  -0.188 -1.122  -0.105 -0.993  0.006 -0.757  0.114 -0.520  0.213 -0.279  0.304 -0.035  0.390 0.211  0.488 0.452  0.613 0.679  0.786 0.872  1.003 0.869  1.109 0.640  1.127 0.382  1.101 0.123  1.062 -0.134  1.015 -0.390  0.963 -0.645  0.899 -0.898  0.845 -1.153  0.802 -1.410
3#apb#apb18#app1802/a  0.851 0.393  0.780 0.560  0.727 0.733  0.653 0.896  0.539 1.036  0.445 1.189  0.369 1.354  0.275 1.508  0.171 1.657  0.079 1.577  0.014 1.408  -0.046 1.237  -0.101 1.064  -0.157 0.892  -0.216 0.721  -0.290 0.555  -0.365 0.390  -0.439 0.224  -0.512 0.058  -0.580 -0.109  -0.648 -0.277  -0.717 -0.445  -0.777 -0.616  -0.832 -0.789  -0.887 -0.961  -0.955 -1.130  -0.900 -1.251  -0.745 -1.161  -0.593 -1.063  -0.463 -0.937  -0.339 -0.805  -0.215 -0.673  -0.093 -0.539  0.027 -0.404  0.148 -0.269  0.251 -0.120  0.344 0.035  0.437 0.191  0.528 0.348  0.593 0.278  0.565 0.099  0.523 -0.077  0.471 -0.250  0.419 -0.424  0.350 -0.592  0.281 -0.759  0.240 -0.935  0.215 -1.114  0.229 -1.294  0.349 -1.410
3#apb#apb18#app1802/y  -0.154 1.522  -0.135 1.419  -0.128 1.303  -0.153 1.189  -0.178 1.075  -0.204 0.961  -0.234 0.849  -0.264 0.736  -0.294 0.624  -0.323 0.511  -0.351 0.398  -0.360 0.282  -0.360 0.166  -0.263 0.178  -0.185 0.265  -0.106 0.351  -0.027 0.436  0.030 0.537  0.082 0.641  0.135 0.745  0.196 0.844  0.257 0.944  0.309 0.967  0.342 0.855  0.352 0.743  0.326 0.629  0.301 0.515  0.275 0.402  0.250 0.288  0.224 0.174  0.199 0.061  0.174 -0.053  0.149 -0.167  0.124 -0.281  0.099 -0.395  0.075 -0.509  0.051 -0.623  0.027 -0.737  0.003 -0.851  -0.021 -0.965  -0.038 -1.079  -0.038 -1.196  -0.038 -1.312  -0.038 -1.429  -0.038 -1.545  -0.037 -1.662  -0.025 -1.778  -0.012 -1.893  0.001 -2.009  0.014 -2.125
3#apb#apb18#app1802/3  0.070 1.161  -0.036 1.124  -0.136 1.068  -0.240 1.021  -0.337 0.970  -0.421 0.891  -0.504 0.848  -0.391 0.862  -0.291 0.905  -0.190 0.958  -0.084 1.002  0.026 1.034  0.139 1.051  0.253 1.057  0.367 1.059  0.472 1.018  0.534 0.926  0.552 0.813  0.551 0.699  0.535 0.586  0.499 0.479  0.444 0.378  0.385 0.280  0.319 0.186  0.247 0.097  0.160 0.022  0.074 -0.053  -0.022 -0.116  -0.123 -0.170  -0.232 -0.193  -0.346 -0.193  -0.273 -0.165  -0.172 -0.220  -0.095 -0.301  -0.033 -0.397  0.029 -0.493  0.047 -0.605  0.056 -0.719  0.066 -0.834  0.054 -0.946  0.025 -1.057  -0.005 -1.168  -0.034 -1.279  -0.072 -1.386  -0.132 -1.484  -0.192 -1.582  -0.251 -1.680  -0.333 -1.756  -0.431 -1.817  -0.528 -1.878
3#apb#apb18#app1802/J  0.389 1.627  0.456 1.586  0.514 1.533  0.525 1.454  0.529 1.376  0.529 1.297  0.529 1.218  0.523 1.139  0.510 1.061  0.497 0.983  0.484 0.906  0.471 0.828  0.456 0.750  0.438 0.673  0.421 0.596  0.403 0.519  0.386 0.442  0.369 0.365  0.347 0.289  0.319 0.215  0.291 0.142  0.263 0.068  0.235 -0.006  0.207 -0.080  0.179 -0.153  0.148 -0.226  0.117 -0.299  0.087 -0.372  0.056 -0.444  0.025 -0.517  -0.013 -0.586  -0.054 -0.653  -0.096 -0.721  -0.137 -0.788  -0.179 -0.855  -0.236 -0.908  -0.299 -0.956  -0.362 -1.004  -0.431 -1.037  -0.508 -1.056  -0.584 -1.072  -0.655 -1.036  -0.725 -1.001  -0.785 -0.953  -0.830 -0.888  -0.875 -0.823  -0.920 -0.758  -0.962 -0.692  -1.005 -0.625  -1.048 -0.559
3#apb#apb18#app1802/u  -0.581 1.160  -0.465 1.137  -0.391 1.057  -0.338 0.951  -0.360 0.835  -0.384 0.719  -0.409 0.603  -0.436 0.487  -0.466 0.372  -0.496 0.258  -0.526 0.143  -0.556 0.028  -0.588 -0.087  -0.623 -0.200  -0.658 -0.313  -0.694 -0.426  -0.729 -0.540  -0.752 -0.656  -0.774 -0.773  -0.795 -0.890  -0.779 -1.007  -0.749 -1.115  -0.642 -1.168  -0.532 -1.126  -0.421 -1.083  -0.310 -1.040  -0.213 -0.978  -0.137 -0.887  -0.061 -0.796  0.015 -0.704  0.091 -0.613  0.167 -0.522  0.242 -0.430  0.315 -0.337  0.388 -0.243  0.461 -0.150  0.534 -0.056  0.608 0.037  0.681 0.131  0.754 0.224  0.814 0.327  0.871 0.431  0.928 0.535  0.986 0.639  1.043 0.743  1.100 0.847  1.147 0.955  1.194 1.065  1.241 1.174  1.288 1.283
3#apb#apb18#app1802/n  -0.471 0.946  -0.487 0.783  -0.503 0.621  -0.520 0.458  -0.537 0.296  -0.571 0.136  -0.605 -0.024  -0.638 -0.183  -0.685 -0.339  -0.758 -0.485  -0.831 -0.631  -0.905 -0.776  -0.985 -0.919  -1.056 -1.065  -1.051 -1.017  -0.965 -0.878  -0.880 -0.739  -0.792 -0.601  -0.700 -0.466  -0.609 -0.331  -0.517 -0.196  -0.425 -0.061  -0.333 0.074  -0.236 0.206  -0.133 0.332  -0.029 0.459  0.074 0.585  0.177 0.711  0.281 0.838  0.404 0.945  0.529 1.049  0.655 1.154  0.813 1.168  0.942 1.121  0.994 0.966  1.045 0.811  1.040 0.649  1.023 0.487  1.007 0.324  0.991 0.162  0.924 0.014  0.854 -0.134  0.783 -0.281  0.713 -0.429  0.646 -0.578  0.584 -0.729  0.522 -0.880  0.460 -1.031  0.406 -1.185  0.355 -1.340
3#apb#apb18#app1802/e  -0.729 -0.096  -0.579 -0.036  -0.427 0.019  -0.282 0.086  -0.151 0.181  -0.048 0.301  0.037 0.439  0.121 0.577  0.204 0.715  0.293 0.849  0.397 0.973  0.491 1.103  0.563 1.248  0.598 1.362  0.467 1.268  0.356 1.150  0.246 1.033  0.135 0.915  0.021 0.801  -0.093 0.687  -0.208 0.573  -0.319 0.456  -0.424 0.333  -0.529 0.210  -0.634 0.088  -0.736 -0.038  -0.836 -0.164  -0.936 -0.291  -1.023 -0.427  -1.100 -0.569  -1.117 -0.723  -1.046 -0.851  -0.911 -0.937  -0.750 -0.953  -0.589 -0.968  -0.430 -0.967  -0.273 -0.928  -0.116 -0.889  0.041 -0.850  0.198 -0.814  0.356 -0.779  0.513 -0.743  0.671 -0.707  0.810 -0.625  0.947 -0.541  1.085 -0.456  1.222 -0.372  1.364 -0.293  1.505 -0.216  1.647 -0.138
3#apb#apb18#app1802/1  0.158 1.685  0.160 1.615  0.163 1.545  0.165 1.476  0.167 1.406  0.170 1.337  0.172 1.267  0.174 1.198  0.177 1.128  0.179 1.058  0.181 0.989  0.184 0.919  0.186 0.850  0.188 0.780  0.190 0.711  0.176 0.642  0.163 0.574  0.149 0.506  0.135 0.438  0.122 0.369  0.108 0.301  0.094 0.233  0.081 0.165  0.067 0.096  0.053 0.028  0.040 -0.040  0.026 -0.108  0.012 -0.177  -0.001 -0.245  -0.016 -0.313  -0.031 -0.381  -0.046 -0.449  -0.061 -0.517  -0.076 -0.585  -0.092 -0.653  -0.107 -0.721  -0.122 -0.789  -0.137 -0.857  -0.152 -0.925  -0.167 -0.993  -0.182 -1.060  -0.197 -1.128  -0.221 -1.194  -0.246 -1.259  -0.270 -1.324  -0.295 -1.389  -0.319 -1.454  -0.343 -1.520  -0.368 -1.585  -0.392 -1.650
3#apb#apb18#app1802/5  -0.573 1.191  -0.635 1.186  -0.603 1.134  -0.591 1.071  -0.665 0.923  -0.733 0.773  -0.785 0.616  -0.812 0.454  -0.803 0.291  -0.766 0.130  -0.650 0.024  -0.512 -0.068  -0.365 -0.140  -0.209 -0.194  -0.053 -0.249  0.088 -0.335  0.226 -0.424  0.354 -0.527  0.460 -0.653  0.548 -0.788  0.572 -0.951  0.553 -1.109  0.483 -1.258  0.383 -1.379  0.235 -1.453  0.087 -1.463  -0.061 -1.389  -0.181 -1.285  -0.271 -1.146  -0.361 -1.008  -0.367 -0.867  -0.285 -0.724  -0.202 -0.580  -0.120 -0.437  -0.037 -0.294  0.045 -0.151  0.127 -0.008  0.210 0.136  0.292 0.279  0.375 0.422  0.457 0.565  0.540 0.708  0.622 0.852  0.704 0.995  0.787 1.138  0.822 1.245  0.662 1.202  0.501 1.173  0.336 1.182  0.171 1.191
3#apb#apb18#app1802/A  -0.796 -0.423  -0.844 -0.574  -0.892 -0.725  -0.942 -0.875  -1.021 -0.965  -1.024 -0.809  -0.996 -0.653  -0.950 -0.502  -0.895 -0.353  -0.828 -0.210  -0.748 -0.073  -0.668 0.063  -0.581 0.196  -0.495 0.329  -0.404 0.458  -0.307 0.584  -0.210 0.709  -0.113 0.834  -0.010 0.954  0.094 1.074  0.198 1.193  0.315 1.298  0.443 1.391  0.590 1.426  0.726 1.370  0.822 1.251  0.833 1.093  0.844 0.935  0.827 0.779  0.794 0.624  0.761 0.469  0.713 0.319  0.659 0.170  0.605 0.021  0.551 -0.128  0.498 -0.277  0.445 -0.426  0.391 -0.575  0.336 -0.724  0.280 -0.872  0.225 -1.020  0.273 -1.120  0.348 -0.981  0.390 -0.832  0.321 -0.730  0.165 -0.759  0.011 -0.794  -0.146 -0.818  -0.270 -0.739  -0.316 -0.587
