2#apa#apa01#app0158/O  -0.341 0.680  -0.388 0.784  -0.539 0.784  -0.586 0.680  -0.653 0.596  -0.757 0.549  -0.757 0.398  -0.843 0.283  -0.861 0.139  -0.861 -0.012  -0.861 -0.163  -0.861 -0.314  -0.861 -0.465  -0.813 -0.568  -0.757 -0.662  -0.719 -0.776  -0.653 -0.860  -0.521 -0.880  -0.392 -0.932  -0.262 -0.984  -0.215 -1.088  -0.065 -1.088  0.086 -1.088  0.237 -1.088  0.284 -0.984  0.435 -0.984  0.558 -0.916  0.694 -0.880  0.729 -0.745  0.835 -0.639  0.906 -0.517  0.906 -0.366  0.906 -0.215  0.906 -0.064  0.906 0.087  0.906 0.238  0.906 0.389  0.906 0.539  0.795 0.583  0.699 0.694  0.655 0.827  0.548 0.934  0.421 0.992  0.304 1.074  0.163 1.096  0.012 1.096  -0.107 1.018  -0.247 0.992  -0.341 0.935  -0.445 0.888
2#apa#apa01#app0158/v  -1.125 0.867  -0.988 0.867  -0.907 0.811  -0.907 0.673  -0.907 0.536  -0.875 0.431  -0.738 0.431  -0.689 0.343  -0.689 0.205  -0.689 0.068  -0.644 -0.050  -0.547 -0.147  -0.471 -0.253  -0.471 -0.390  -0.385 -0.441  -0.253 -0.447  -0.253 -0.584  -0.253 -0.721  -0.253 -0.858  -0.170 -0.961  -0.073 -1.058  -0.035 -1.179  -0.032 -1.314  0.105 -1.314  0.183 -1.255  0.183 -1.117  0.299 -1.096  0.401 -1.061  0.401 -0.924  0.401 -0.787  0.401 -0.649  0.401 -0.512  0.401 -0.375  0.401 -0.238  0.401 -0.101  0.401 0.036  0.401 0.174  0.401 0.311  0.419 0.431  0.556 0.431  0.619 0.504  0.619 0.642  0.619 0.779  0.619 0.916  0.619 1.053  0.619 1.190  0.619 1.327  0.619 1.465  0.619 1.602  0.619 1.739
2#apa#apa01#app0158/e  -0.542 0.101  -0.392 0.101  -0.264 0.154  -0.158 0.260  -0.053 0.365  0.053 0.471  0.159 0.577  0.265 0.683  0.357 0.794  0.357 0.944  0.357 1.094  0.337 1.224  0.187 1.224  0.037 1.224  -0.092 1.204  -0.092 1.054  -0.187 0.999  -0.337 0.999  -0.486 0.999  -0.542 0.905  -0.542 0.755  -0.542 0.605  -0.608 0.483  -0.714 0.377  -0.766 0.249  -0.766 0.100  -0.766 -0.050  -0.690 -0.124  -0.542 -0.125  -0.542 -0.274  -0.542 -0.424  -0.541 -0.573  -0.391 -0.573  -0.317 -0.648  -0.316 -0.797  -0.167 -0.797  -0.092 -0.873  -0.092 -1.022  0.058 -1.022  0.207 -1.022  0.357 -1.022  0.507 -1.022  0.656 -1.022  0.806 -1.022  0.956 -1.022  1.105 -1.022  1.255 -1.022  1.255 -0.872  1.330 -0.797  1.479 -0.797
2#apa#apa01#app0158/r  -0.626 0.165  -0.626 0.036  -0.626 -0.093  -0.626 -0.222  -0.619 -0.344  -0.490 -0.344  -0.371 -0.354  -0.371 -0.483  -0.371 -0.611  -0.371 -0.740  -0.354 -0.852  -0.226 -0.852  -0.117 -0.873  -0.117 -1.001  -0.100 -1.123  -0.009 -1.214  0.082 -1.305  0.137 -1.310  0.137 -1.181  0.083 -1.106  -0.046 -1.106  -0.117 -1.049  -0.117 -0.920  -0.117 -0.791  -0.117 -0.662  -0.117 -0.533  -0.117 -0.405  -0.117 -0.276  -0.117 -0.147  -0.117 -0.018  -0.117 0.111  -0.117 0.240  -0.117 0.368  -0.117 0.497  -0.117 0.626  -0.060 0.731  0.031 0.822  0.123 0.913  0.137 1.036  0.137 1.165  0.249 1.182  0.378 1.182  0.506 1.182  0.635 1.182  0.646 1.301  0.646 1.429  0.768 1.436  0.896 1.436  1.025 1.436  1.154 1.436
2#apa#apa01#app0158/T  0.216 0.627  0.216 0.467  0.216 0.307  0.216 0.146  0.216 -0.014  0.216 -0.174  0.307 -0.297  0.335 -0.446  0.335 -0.606  0.335 -0.767  0.335 -0.927  0.335 -1.087  0.335 -1.248  0.335 -1.408  0.335 -1.568  0.288 -1.552  0.208 -1.413  0.129 -1.273  0.049 -1.134  -0.030 -0.995  -0.110 -0.856  -0.189 -0.717  -0.269 -0.577  -0.349 -0.438  -0.428 -0.299  -0.508 -0.160  -0.587 -0.021  -0.667 0.119  -0.746 0.258  -0.826 0.397  -0.905 0.536  -0.985 0.675  -1.064 0.815  -0.991 0.865  -0.950 0.746  -0.790 0.746  -0.629 0.746  -0.469 0.746  -0.309 0.746  -0.148 0.746  0.012 0.746  0.172 0.746  0.333 0.746  0.447 0.858  0.604 0.865  0.765 0.865  0.925 0.865  1.085 0.865  1.246 0.865  1.406 0.865
2#apa#apa01#app0158/h  -0.740 1.817  -0.596 1.804  -0.596 1.647  -0.596 1.489  -0.596 1.332  -0.596 1.175  -0.596 1.017  -0.596 0.860  -0.596 0.703  -0.596 0.546  -0.596 0.388  -0.596 0.231  -0.596 0.074  -0.596 -0.084  -0.574 -0.232  -0.463 -0.343  -0.451 -0.496  -0.451 -0.653  -0.451 -0.810  -0.451 -0.968  -0.451 -1.033  -0.451 -0.876  -0.451 -0.718  -0.367 -0.645  -0.306 -0.548  -0.306 -0.391  -0.220 -0.269  -0.161 -0.137  -0.161 0.021  -0.063 0.079  -0.017 0.191  0.107 0.224  0.128 0.360  0.277 0.369  0.418 0.352  0.447 0.224  0.562 0.182  0.617 0.079  0.707 0.012  0.787 -0.065  0.852 -0.157  0.852 -0.315  0.852 -0.472  0.982 -0.500  0.997 -0.642  0.997 -0.799  1.013 -0.950  1.124 -1.061  1.274 -1.079  1.286 -0.934
2#apa#apa01#app0158/e  -0.286 -0.132  -0.176 -0.022  -0.060 0.074  0.095 0.074  0.125 0.199  0.200 0.279  0.330 0.305  0.330 0.460  0.330 0.615  0.411 0.689  0.535 0.720  0.535 0.876  0.535 1.031  0.449 1.100  0.293 1.100  0.138 1.100  -0.017 1.100  -0.146 1.035  -0.255 0.925  -0.398 0.895  -0.491 0.833  -0.503 0.689  -0.659 0.689  -0.696 0.572  -0.764 0.484  -0.902 0.467  -0.902 0.311  -0.902 0.156  -0.902 0.001  -0.902 -0.155  -0.902 -0.310  -0.811 -0.428  -0.701 -0.537  -0.696 -0.691  -0.598 -0.747  -0.457 -0.782  -0.347 -0.892  -0.217 -0.953  -0.062 -0.953  0.094 -0.953  0.249 -0.953  0.404 -0.953  0.559 -0.953  0.715 -0.953  0.870 -0.953  1.025 -0.953  1.181 -0.953  1.336 -0.953  1.452 -0.857  1.561 -0.747
2#apa#apa01#app0158/L  -0.347 1.820  -0.347 1.722  -0.347 1.624  -0.347 1.526  -0.334 1.434  -0.264 1.364  -0.223 1.284  -0.223 1.186  -0.223 1.088  -0.261 0.999  -0.305 0.911  -0.347 0.823  -0.347 0.725  -0.347 0.627  -0.347 0.529  -0.347 0.431  -0.347 0.333  -0.347 0.235  -0.347 0.137  -0.347 0.039  -0.347 -0.059  -0.347 -0.157  -0.347 -0.255  -0.347 -0.353  -0.347 -0.451  -0.347 -0.549  -0.347 -0.647  -0.347 -0.745  -0.347 -0.843  -0.347 -0.885  -0.346 -0.789  -0.248 -0.789  -0.150 -0.789  -0.052 -0.789  0.025 -0.768  0.025 -0.670  0.118 -0.664  0.216 -0.664  0.314 -0.664  0.412 -0.664  0.510 -0.664  0.608 -0.664  0.706 -0.664  0.804 -0.664  0.902 -0.664  1.000 -0.664  1.098 -0.664  1.196 -0.664  1.294 -0.664  1.392 -0.664
2#apa#apa01#app0158/a  0.321 -0.174  0.321 0.027  0.321 0.227  0.321 0.428  0.321 0.628  0.185 0.772  0.012 0.839  -0.084 0.943  -0.186 1.042  -0.387 1.042  -0.490 0.945  -0.557 0.772  -0.701 0.637  -0.895 0.630  -0.900 0.434  -1.097 0.431  -1.098 0.231  -1.240 0.089  -1.300 -0.086  -1.300 -0.287  -1.300 -0.487  -1.191 -0.579  -1.097 -0.686  -0.993 -0.782  -0.792 -0.782  -0.592 -0.782  -0.420 -0.712  -0.275 -0.579  -0.077 -0.572  0.064 -0.430  0.206 -0.288  0.321 -0.135  0.321 0.065  0.321 0.266  0.353 0.434  0.524 0.464  0.551 0.637  0.726 0.611  0.726 0.411  0.747 0.231  0.929 0.212  0.929 0.012  0.929 -0.189  0.929 -0.389  0.929 -0.590  0.937 -0.782  1.131 -0.788  1.131 -0.989  1.134 -1.187  1.334 -1.187
2#apa#apa01#app0158/z  -1.396 0.812  -1.262 0.812  -1.129 0.812  -0.995 0.812  -0.862 0.812  -0.728 0.812  -0.624 0.882  -0.529 0.976  -0.401 0.988  -0.267 0.988  -0.134 0.988  -0.000 0.988  0.133 0.988  0.266 0.988  0.360 0.948  0.360 0.815  0.229 0.812  0.185 0.724  0.185 0.590  0.181 0.458  0.087 0.364  0.009 0.262  0.009 0.129  -0.106 0.110  -0.167 0.038  -0.167 -0.096  -0.167 -0.229  -0.288 -0.241  -0.342 -0.320  -0.342 -0.454  -0.342 -0.587  -0.471 -0.592  -0.431 -0.592  -0.342 -0.637  -0.340 -0.768  -0.206 -0.768  -0.073 -0.768  0.045 -0.804  0.140 -0.898  0.255 -0.943  0.388 -0.943  0.522 -0.943  0.655 -0.943  0.788 -0.943  0.922 -0.943  1.055 -0.943  1.189 -0.943  1.322 -0.943  1.414 -0.901  1.414 -0.768
2#apa#apa01#app0158/y  -0.963 0.799  -0.948 0.656  -0.790 0.656  -0.677 0.611  -0.617 0.512  -0.534 0.438  -0.444 0.369  -0.390 0.265  -0.271 0.226  -0.113 0.226  -0.098 0.083  0.039 0.062  0.075 -0.060  0.197 -0.012  0.242 0.139  0.288 0.291  0.333 0.442  0.378 0.594  0.424 0.745  0.469 0.896  0.515 1.048  0.560 1.199  0.606 1.351  0.612 1.235  0.606 1.079  0.494 0.968  0.469 0.820  0.469 0.662  0.460 0.512  0.325 0.489  0.325 0.331  0.325 0.173  0.258 0.083  0.182 0.000  0.182 -0.158  0.070 -0.204  0.039 -0.331  -0.062 -0.447  -0.104 -0.588  -0.104 -0.746  -0.104 -0.904  -0.205 -1.020  -0.247 -1.161  -0.247 -1.319  -0.247 -1.477  -0.247 -1.635  -0.359 -1.747  -0.390 -1.892  -0.390 -2.050  -0.390 -2.208
