2#app#app37#app3751/0  -0.213 0.767  -0.315 0.868  -0.445 0.900  -0.557 0.824  -0.614 0.704  -0.614 0.560  -0.673 0.441  -0.748 0.328  -0.748 0.184  -0.748 0.041  -0.748 -0.103  -0.748 -0.247  -0.748 -0.390  -0.748 -0.534  -0.672 -0.646  -0.614 -0.766  -0.563 -0.888  -0.453 -0.970  -0.347 -1.008  -0.305 -1.125  -0.176 -1.190  -0.044 -1.238  0.100 -1.238  0.244 -1.238  0.368 -1.191  0.469 -1.089  0.571 -0.988  0.673 -0.886  0.722 -0.763  0.722 -0.619  0.788 -0.503  0.856 -0.387  0.856 -0.244  0.856 -0.100  0.820 0.035  0.756 0.164  0.722 0.299  0.667 0.420  0.588 0.531  0.570 0.670  0.505 0.799  0.433 0.922  0.332 1.023  0.230 1.125  0.104 1.167  -0.040 1.167  -0.183 1.167  -0.327 1.167  -0.347 1.044  -0.213 1.034
2#app#app37#app3751/1  0.169 1.262  0.169 1.354  0.169 1.446  0.169 1.538  0.113 1.574  0.021 1.574  0.013 1.490  0.013 1.398  0.013 1.306  0.013 1.214  0.013 1.122  -0.041 1.052  -0.106 0.987  -0.144 0.910  -0.144 0.818  -0.144 0.726  -0.144 0.633  -0.144 0.541  -0.144 0.449  -0.144 0.357  -0.144 0.265  -0.144 0.172  -0.144 0.080  -0.133 -0.010  -0.092 -0.092  -0.051 -0.174  -0.010 -0.257  0.013 -0.344  0.013 -0.436  0.013 -0.528  0.013 -0.620  0.013 -0.713  0.013 -0.805  0.013 -0.897  0.040 -0.983  0.081 -1.065  0.123 -1.148  0.164 -1.230  0.169 -1.321  0.153 -1.397  0.061 -1.397  0.013 -1.352  0.013 -1.260  0.013 -1.168  0.013 -1.076  0.013 -0.984  0.013 -0.891  0.013 -0.799  0.013 -0.707  0.013 -0.615
2#app#app37#app3751/  0.501 1.126  0.525 1.199  0.550 1.271  0.574 1.344  0.563 1.359  0.508 1.305  0.501 1.232  0.501 1.155  0.454 1.126  0.388 1.099  0.334 1.045  0.330 0.971  0.330 0.894  0.307 0.823  0.272 0.755  0.244 0.685  0.244 0.608  0.244 0.532  0.194 0.476  0.150 0.416  0.126 0.343  0.102 0.271  0.077 0.198  0.030 0.140  -0.020 0.083  -0.055 0.015  -0.089 -0.054  -0.123 -0.122  -0.157 -0.191  -0.190 -0.260  -0.214 -0.332  -0.238 -0.405  -0.262 -0.478  -0.271 -0.553  -0.271 -0.629  -0.292 -0.697  -0.346 -0.751  -0.357 -0.823  -0.357 -0.899  -0.357 -0.976  -0.357 -1.052  -0.374 -1.122  -0.428 -1.176  -0.443 -1.246  -0.443 -1.323  -0.443 -1.399  -0.443 -1.476  -0.461 -1.534  -0.528 -1.524  -0.528 -1.448
2#app#app37#app3751/2  -0.703 0.463  -0.703 0.326  -0.703 0.444  -0.703 0.580  -0.626 0.685  -0.518 0.754  -0.391 0.775  -0.294 0.871  -0.198 0.968  -0.094 1.045  0.038 1.057  0.134 1.154  0.246 1.229  0.368 1.290  0.493 1.337  0.609 1.316  0.609 1.179  0.609 1.043  0.609 0.907  0.609 0.770  0.555 0.647  0.494 0.525  0.416 0.415  0.319 0.319  0.223 0.222  0.172 0.107  0.133 -0.013  0.036 -0.110  -0.060 -0.206  -0.156 -0.303  -0.253 -0.399  -0.266 -0.530  -0.266 -0.667  -0.365 -0.703  -0.411 -0.794  -0.411 -0.930  -0.462 -1.045  -0.557 -1.142  -0.557 -1.279  -0.428 -1.286  -0.292 -1.286  -0.156 -1.286  -0.019 -1.286  0.090 -1.222  0.187 -1.125  0.283 -1.029  0.406 -0.995  0.542 -0.995  0.658 -0.946  0.754 -0.849
2#app#app37#app3751/3  -0.809 0.381  -0.809 0.565  -0.774 0.734  -0.644 0.864  -0.514 0.995  -0.384 1.125  -0.221 1.177  -0.037 1.177  -0.012 1.336  0.172 1.336  0.306 1.286  0.253 1.124  0.147 0.984  0.105 0.817  -0.025 0.687  -0.155 0.557  -0.172 0.380  -0.198 0.221  -0.331 0.171  -0.385 0.009  -0.491 -0.131  -0.549 -0.257  -0.650 -0.340  -0.650 -0.308  -0.517 -0.257  -0.491 -0.099  -0.361 0.032  -0.231 0.162  -0.072 0.221  0.113 0.221  0.297 0.221  0.481 0.221  0.665 0.221  0.784 0.156  0.847 -0.002  0.943 -0.146  0.943 -0.330  0.943 -0.514  0.856 -0.662  0.784 -0.816  0.708 -0.969  0.578 -1.099  0.448 -1.230  0.318 -1.360  0.188 -1.490  0.020 -1.531  -0.164 -1.531  -0.296 -1.407  -0.466 -1.372  -0.491 -1.531
2#app#app37#app3751/  0.380 1.488  0.380 1.561  0.380 1.530  0.358 1.466  0.306 1.415  0.286 1.350  0.286 1.277  0.285 1.205  0.252 1.139  0.220 1.074  0.192 1.008  0.192 0.935  0.192 0.862  0.192 0.789  0.183 0.718  0.150 0.653  0.118 0.588  0.098 0.520  0.094 0.447  0.062 0.382  0.029 0.317  0.004 0.250  0.004 0.177  0.004 0.104  0.004 0.031  -0.008 -0.039  -0.040 -0.104  -0.073 -0.169  -0.090 -0.238  -0.090 -0.311  -0.090 -0.384  -0.119 -0.450  -0.152 -0.515  -0.184 -0.581  -0.184 -0.654  -0.184 -0.727  -0.184 -0.800  -0.184 -0.872  -0.184 -0.945  -0.184 -1.018  -0.184 -1.091  -0.184 -1.164  -0.184 -1.237  -0.235 -1.289  -0.279 -1.344  -0.279 -1.417  -0.279 -1.490  -0.321 -1.521  -0.373 -1.500  -0.373 -1.427
2#app#app37#app3751/4  0.168 1.236  0.108 1.081  0.013 0.961  -0.114 0.799  -0.298 0.751  -0.377 0.615  -0.515 0.490  -0.614 0.299  -0.766 0.147  -0.918 -0.005  -1.070 -0.157  -1.112 -0.355  -1.229 -0.521  -1.229 -0.518  -1.060 -0.472  -0.845 -0.472  -0.630 -0.472  -0.415 -0.472  -0.200 -0.472  0.015 -0.472  0.212 -0.428  0.381 -0.317  0.597 -0.317  0.605 -0.141  0.569 0.071  0.534 0.283  0.499 0.495  0.463 0.708  0.428 0.920  0.393 1.132  0.357 1.344  0.323 1.537  0.323 1.322  0.323 1.107  0.323 0.892  0.323 0.677  0.323 0.462  0.323 0.246  0.323 0.031  0.323 -0.184  0.323 -0.399  0.323 -0.614  0.323 -0.829  0.323 -1.045  0.323 -1.260  0.323 -1.475  0.323 -1.690  0.288 -1.559  0.264 -1.559  0.323 -1.404
2#app#app37#app3751/5  -0.214 0.839  -0.214 0.924  -0.292 0.762  -0.354 0.594  -0.369 0.406  -0.493 0.264  -0.493 0.070  -0.493 -0.124  -0.323 -0.105  -0.186 0.032  -0.038 0.143  0.129 0.208  0.293 0.282  0.487 0.282  0.621 0.223  0.702 0.063  0.761 -0.107  0.761 -0.301  0.761 -0.495  0.761 -0.689  0.626 -0.827  0.489 -0.964  0.437 -1.111  0.273 -1.181  0.204 -1.346  0.056 -1.381  -0.084 -1.250  -0.278 -1.250  -0.472 -1.250  -0.666 -1.250  -0.771 -1.162  -0.771 -0.968  -0.724 -0.780  -0.676 -0.591  -0.629 -0.403  -0.582 -0.215  -0.535 -0.027  -0.488 0.161  -0.441 0.349  -0.394 0.537  -0.327 0.700  -0.157 0.757  -0.020 0.895  0.117 1.032  0.275 1.118  0.432 1.207  0.593 1.313  0.765 1.401  0.902 1.538  1.039 1.675
2#app#app37#app3751/`  -0.820 1.563  -0.762 1.505  -0.704 1.447  -0.646 1.389  -0.588 1.332  -0.530 1.274  -0.472 1.216  -0.463 1.138  -0.463 1.056  -0.463 0.974  -0.463 0.892  -0.435 0.822  -0.377 0.764  -0.320 0.706  -0.262 0.648  -0.204 0.590  -0.146 0.532  -0.106 0.467  -0.106 0.385  -0.106 0.303  -0.106 0.221  -0.106 0.140  -0.106 0.058  -0.106 -0.024  -0.106 -0.106  -0.106 -0.188  -0.057 -0.221  0.025 -0.221  0.106 -0.221  0.188 -0.221  0.251 -0.240  0.251 -0.322  0.251 -0.404  0.251 -0.486  0.251 -0.568  0.251 -0.650  0.251 -0.732  0.251 -0.813  0.251 -0.895  0.281 -0.965  0.339 -1.023  0.397 -1.080  0.455 -1.138  0.512 -1.196  0.570 -1.254  0.637 -1.291  0.719 -1.291  0.800 -1.291  0.882 -1.291  0.964 -1.291
2#app#app37#app3751/i  0.000 0.776  0.000 0.652  0.000 0.528  0.000 0.404  0.000 0.280  0.000 0.156  0.000 0.033  0.000 -0.091  0.000 -0.215  0.000 -0.339  0.000 -0.463  0.000 -0.586  0.000 -0.710  0.000 -0.834  0.000 -0.958  0.000 -1.082  0.000 -1.205  0.000 -1.329  0.000 -1.453  0.000 -1.577  0.000 -1.528  0.000 -1.404  0.000 -1.281  0.000 -1.157  0.000 -1.033  0.000 -0.909  0.000 -0.785  0.000 -0.661  0.000 -0.538  0.000 -0.414  0.000 -0.290  0.000 -0.166  0.000 -0.042  0.000 0.081  0.000 0.205  0.000 0.329  0.000 0.453  0.000 0.577  0.000 0.700  0.000 0.824  0.000 0.948  0.000 1.072  0.000 1.196  0.000 1.320  0.000 1.443  0.000 1.567  0.000 1.691  0.000 1.815  0.000 1.939  0.000 2.062
2#app#app37#app3751/s  -0.237 1.421  -0.359 1.421  -0.481 1.421  -0.603 1.421  -0.629 1.325  -0.644 1.210  -0.730 1.123  -0.817 1.037  -0.825 0.919  -0.825 0.797  -0.825 0.675  -0.825 0.553  -0.818 0.434  -0.731 0.347  -0.645 0.261  -0.530 0.245  -0.408 0.245  -0.286 0.245  -0.164 0.245  -0.042 0.245  0.080 0.245  0.188 0.212  0.274 0.126  0.365 0.049  0.487 0.049  0.608 0.049  0.730 0.049  0.852 0.049  0.940 0.014  0.940 -0.108  0.940 -0.230  0.940 -0.352  0.940 -0.474  0.883 -0.539  0.761 -0.539  0.744 -0.644  0.713 -0.735  0.591 -0.735  0.492 -0.791  0.406 -0.877  0.320 -0.963  0.233 -1.050  0.144 -1.128  0.022 -1.128  -0.100 -1.128  -0.222 -1.128  -0.313 -1.052  -0.399 -0.965  -0.507 -0.932  -0.629 -0.932
