2#tos#f1#f1069065/!  0.354 1.438  0.280 1.438  0.206 1.438  0.145 1.472  0.071 1.472  0.052 1.417  0.032 1.346  0.011 1.275  -0.007 1.202  -0.016 1.129  -0.016 1.055  -0.033 0.983  -0.049 0.912  -0.049 0.837  -0.049 0.763  -0.049 0.689  -0.049 0.615  -0.049 0.540  -0.049 0.466  -0.049 0.392  -0.049 0.317  -0.049 0.243  -0.049 0.169  -0.049 0.094  -0.009 0.032  0.018 -0.034  0.018 -0.108  0.018 -0.182  0.018 -0.257  0.018 -0.331  0.030 -0.403  0.063 -0.469  0.096 -0.536  0.119 -0.605  0.119 -0.679  0.116 -0.752  0.075 -0.814  0.034 -0.876  -0.007 -0.938  -0.016 -1.010  -0.016 -1.084  -0.020 -1.156  -0.072 -1.209  -0.117 -1.265  -0.117 -1.339  -0.117 -1.414  -0.135 -1.482  -0.176 -1.544  -0.211 -1.590  -0.218 -1.657
2#tos#f1#f1069065/\"  0.331 1.706  0.218 1.592  0.124 1.464  0.035 1.335  -0.098 1.246  -0.189 1.134  -0.212 0.981  -0.309 0.853  -0.405 0.724  -0.477 0.583  -0.527 0.430  -0.535 0.271  -0.590 0.123  -0.685 -0.004  -0.799 -0.117  -0.921 -0.220  -1.055 -0.297  -1.055 -0.458  -1.055 -0.619  -1.055 -0.779  -0.947 -0.729  -0.816 -0.636  -0.685 -0.543  -0.555 -0.449  -0.424 -0.356  -0.293 -0.262  -0.162 -0.169  -0.032 -0.076  0.099 0.018  0.230 0.111  0.361 0.204  0.491 0.298  0.622 0.391  0.753 0.485  0.911 0.493  1.024 0.446  1.024 0.285  0.976 0.136  0.896 -0.003  0.807 -0.137  0.744 -0.282  0.705 -0.438  0.666 -0.594  0.627 -0.750  0.584 -0.903  0.487 -1.032  0.391 -1.160  0.288 -1.283  0.245 -1.426  0.245 -1.587
2#tos#f1#f1069065/$  0.745 0.894  0.459 1.061  0.101 1.130  -0.243 0.991  -0.562 0.825  -0.675 0.542  -0.561 0.212  -0.269 0.054  0.035 -0.171  0.392 -0.291  0.659 -0.522  0.785 -0.787  0.660 -1.131  0.371 -1.354  0.000 -1.394  -0.188 -1.172  -0.217 -0.827  -0.184 -0.440  -0.152 -0.054  -0.120 0.332  -0.088 0.718  -0.056 1.104  -0.023 1.490  -0.083 1.647  -0.108 1.264  -0.168 0.887  -0.201 0.502  -0.241 0.118  -0.241 -0.269  -0.270 -0.652  -0.320 -1.031  -0.320 -1.419  -0.223 -1.456  -0.173 -1.072  -0.123 -0.688  -0.073 -0.303  -0.023 0.081  0.027 0.465  0.077 0.849  0.153 1.227  0.193 1.601  0.193 1.214  0.193 0.826  0.177 0.440  0.154 0.055  0.154 -0.332  0.111 -0.714  0.075 -1.096  0.075 -1.484  0.114 -1.867
2#tos#f1#f1069065/&  0.550 -0.514  0.583 -0.736  0.505 -0.798  0.323 -0.677  0.112 -0.591  -0.110 -0.536  -0.260 -0.368  -0.445 -0.241  -0.618 -0.102  -0.796 0.036  -0.855 0.232  -0.953 0.409  -1.050 0.580  -1.050 0.810  -0.839 0.892  -0.652 1.016  -0.462 1.143  -0.241 1.195  -0.025 1.270  0.203 1.282  0.432 1.282  0.662 1.282  0.891 1.282  0.902 1.062  0.863 0.842  0.681 0.744  0.534 0.567  0.390 0.389  0.251 0.206  0.091 0.042  -0.112 -0.064  -0.282 -0.215  -0.458 -0.362  -0.596 -0.542  -0.721 -0.731  -0.855 -0.859  -0.855 -1.089  -0.722 -1.206  -0.495 -1.217  -0.274 -1.180  -0.089 -1.045  0.102 -0.917  0.272 -0.770  0.403 -0.583  0.545 -0.404  0.654 -0.203  0.706 0.018  0.870 -0.092  1.074 -0.179  1.214 -0.358
2#tos#f1#f1069065/)  -0.479 1.473  -0.479 1.397  -0.537 1.380  -0.476 1.348  -0.400 1.348  -0.357 1.294  -0.323 1.225  -0.257 1.189  -0.217 1.127  -0.188 1.057  -0.134 1.003  -0.080 0.949  -0.029 0.893  0.013 0.829  0.056 0.766  0.097 0.702  0.136 0.636  0.176 0.571  0.228 0.516  0.253 0.446  0.268 0.371  0.289 0.298  0.304 0.224  0.304 0.148  0.304 0.072  0.304 -0.004  0.304 -0.081  0.304 -0.157  0.304 -0.233  0.304 -0.310  0.293 -0.385  0.275 -0.459  0.248 -0.530  0.219 -0.601  0.182 -0.667  0.147 -0.733  0.147 -0.809  0.121 -0.876  0.073 -0.936  0.026 -0.995  0.018 -1.069  -0.021 -1.134  -0.060 -1.200  -0.102 -1.264  -0.147 -1.325  -0.200 -1.380  -0.242 -1.443  -0.274 -1.512  -0.312 -1.570  -0.385 -1.594
2#tos#f1#f1069065/,  0.761 1.395  0.684 1.395  0.661 1.340  0.629 1.295  0.561 1.285  0.561 1.208  0.561 1.130  0.561 1.053  0.561 0.975  0.561 0.898  0.495 0.861  0.426 0.826  0.361 0.789  0.361 0.711  0.361 0.634  0.361 0.556  0.361 0.479  0.361 0.401  0.291 0.394  0.214 0.394  0.147 0.373  0.104 0.309  0.061 0.244  0.018 0.180  -0.025 0.115  -0.040 0.042  -0.040 -0.035  -0.040 -0.113  -0.040 -0.190  -0.073 -0.258  -0.116 -0.322  -0.159 -0.386  -0.202 -0.451  -0.244 -0.516  -0.279 -0.585  -0.313 -0.655  -0.349 -0.723  -0.389 -0.790  -0.429 -0.856  -0.469 -0.923  -0.509 -0.989  -0.549 -1.056  -0.589 -1.122  -0.628 -1.189  -0.695 -1.208  -0.740 -1.240  -0.740 -1.318  -0.740 -1.395  -0.786 -1.454  -0.841 -1.509
2#tos#f1#f1069065/  -0.749 0.461  -0.749 0.375  -0.760 0.300  -0.846 0.300  -0.932 0.300  -1.017 0.298  -1.071 0.231  -1.125 0.164  -1.178 0.097  -1.234 0.033  -1.320 0.033  -1.321 -0.020  -1.235 -0.020  -1.149 -0.020  -1.063 -0.020  -0.977 -0.020  -0.891 -0.020  -0.805 -0.020  -0.719 -0.020  -0.633 -0.020  -0.547 -0.020  -0.461 -0.020  -0.375 -0.020  -0.289 -0.020  -0.203 -0.020  -0.117 -0.020  -0.031 -0.020  0.039 -0.060  0.099 -0.120  0.182 -0.127  0.268 -0.127  0.354 -0.127  0.440 -0.127  0.526 -0.127  0.612 -0.127  0.698 -0.127  0.784 -0.127  0.870 -0.127  0.956 -0.127  1.042 -0.127  1.128 -0.127  1.214 -0.127  1.300 -0.127  1.386 -0.127  1.467 -0.111  1.538 -0.063  1.612 -0.020  1.697 -0.020  1.763 0.001  1.816 0.033
2#tos#f1#f1069065/=  -0.543 0.858  -0.700 0.782  -0.870 0.739  -1.041 0.708  -0.921 0.708  -0.746 0.708  -0.571 0.708  -0.396 0.708  -0.221 0.708  -0.059 0.654  0.111 0.633  0.286 0.633  0.461 0.633  0.636 0.633  0.811 0.633  0.986 0.633  1.161 0.633  1.185 0.610  1.018 0.557  0.851 0.504  0.684 0.451  0.518 0.398  0.351 0.345  0.184 0.292  0.018 0.238  -0.149 0.185  -0.316 0.132  -0.459 0.041  -0.568 -0.093  -0.671 -0.228  -0.817 -0.325  -0.944 -0.444  -1.068 -0.567  -1.192 -0.691  -1.112 -0.793  -0.937 -0.793  -0.762 -0.795  -0.596 -0.850  -0.424 -0.868  -0.249 -0.868  -0.074 -0.868  0.101 -0.868  0.276 -0.868  0.451 -0.868  0.622 -0.839  0.792 -0.797  0.966 -0.793  1.140 -0.786  1.312 -0.752  1.484 -0.718
2#tos#f1#f1069065/?  -0.085 0.363  -0.200 0.318  -0.290 0.274  -0.424 0.274  -0.558 0.274  -0.614 0.386  -0.703 0.465  -0.703 0.599  -0.703 0.733  -0.609 0.778  -0.561 0.902  -0.442 0.937  -0.321 0.995  -0.198 1.046  -0.068 1.069  0.066 1.069  0.200 1.069  0.334 1.069  0.436 0.990  0.547 0.937  0.664 0.894  0.759 0.800  0.842 0.700  0.842 0.566  0.778 0.480  0.707 0.375  0.604 0.292  0.527 0.183  0.412 0.117  0.304 0.036  0.225 -0.046  0.095 -0.078  0.051 -0.203  -0.041 -0.300  -0.170 -0.320  -0.217 -0.425  -0.305 -0.497  -0.305 -0.631  -0.291 -0.760  -0.211 -0.867  -0.131 -0.974  -0.050 -1.082  0.030 -1.189  0.092 -1.302  0.025 -1.416  -0.010 -1.542  -0.029 -1.675  -0.041 -1.808  -0.089 -1.897  -0.173 -1.977
2#tos#f1#f1069065/@  -0.090 -1.059  -0.209 -1.152  -0.365 -1.193  -0.511 -1.142  -0.638 -1.048  -0.740 -0.936  -0.845 -0.809  -0.864 -0.650  -0.873 -0.485  -0.897 -0.321  -0.897 -0.154  -0.897 0.012  -0.897 0.179  -0.897 0.345  -0.897 0.512  -0.751 0.553  -0.671 0.687  -0.605 0.839  -0.512 0.975  -0.395 1.093  -0.251 1.169  -0.110 1.229  0.057 1.229  0.223 1.229  0.378 1.199  0.525 1.134  0.663 1.044  0.706 0.894  0.811 0.766  0.905 0.634  0.920 0.470  0.920 0.303  0.920 0.137  0.920 -0.030  0.920 -0.196  0.901 -0.361  0.869 -0.523  0.769 -0.643  0.634 -0.739  0.488 -0.790  0.330 -0.823  0.163 -0.823  0.033 -0.781  -0.056 -0.662  -0.056 -0.496  -0.056 -0.329  0.051 -0.206  0.146 -0.113  0.282 -0.083  0.449 -0.083
2#tos#f1#f1069065/]  -0.396 1.303  -0.437 1.226  -0.467 1.175  -0.402 1.228  -0.310 1.232  -0.227 1.258  -0.137 1.267  -0.044 1.267  0.045 1.255  0.122 1.205  0.167 1.133  0.242 1.089  0.247 1.000  0.248 0.907  0.277 0.818  0.282 0.726  0.311 0.639  0.337 0.549  0.354 0.458  0.358 0.365  0.389 0.279  0.389 0.186  0.389 0.092  0.389 -0.001  0.389 -0.095  0.389 -0.188  0.389 -0.282  0.390 -0.375  0.442 -0.453  0.461 -0.541  0.461 -0.634  0.461 -0.728  0.425 -0.786  0.349 -0.803  0.274 -0.847  0.191 -0.874  0.102 -0.893  0.013 -0.910  -0.081 -0.910  -0.168 -0.938  -0.259 -0.945  -0.346 -0.974  -0.430 -1.016  -0.523 -1.017  -0.614 -1.036  -0.704 -1.060  -0.793 -1.088  -0.887 -1.088  -0.980 -1.088  -1.074 -1.088
