2#tos#f3#f3036063/!  0.412 1.528  0.337 1.528  0.262 1.528  0.188 1.528  0.176 1.465  0.176 1.390  0.176 1.315  0.176 1.241  0.176 1.166  0.176 1.091  0.176 1.016  0.176 0.941  0.176 0.866  0.176 0.791  0.176 0.716  0.176 0.642  0.176 0.567  0.176 0.492  0.176 0.417  0.176 0.342  0.176 0.267  0.176 0.192  0.140 0.133  0.087 0.080  0.058 0.017  0.058 -0.058  0.058 -0.133  0.058 -0.208  0.058 -0.283  0.037 -0.353  0.008 -0.422  -0.021 -0.492  -0.049 -0.561  -0.078 -0.630  -0.107 -0.699  -0.136 -0.768  -0.165 -0.837  -0.193 -0.906  -0.222 -0.975  -0.272 -1.013  -0.341 -1.035  -0.408 -1.069  -0.415 -1.139  -0.415 -1.214  -0.376 -1.250  -0.356 -1.305  -0.356 -1.380  -0.356 -1.455  -0.356 -1.529  -0.297 -1.545
2#tos#f3#f3036063/$  0.778 0.304  0.673 0.475  0.516 0.636  0.326 0.698  0.205 0.830  0.033 0.961  -0.206 0.948  -0.272 0.761  -0.272 0.508  -0.206 0.321  0.007 0.222  0.122 0.017  0.234 -0.201  0.319 -0.418  0.398 -0.641  0.450 -0.881  0.516 -1.106  0.334 -1.261  0.122 -1.309  -0.093 -1.379  -0.340 -1.402  -0.593 -1.402  -0.542 -1.164  -0.482 -0.919  -0.422 -0.674  -0.362 -0.428  -0.302 -0.183  -0.241 0.063  -0.181 0.308  -0.121 0.553  -0.061 0.799  -0.001 1.044  0.059 1.289  0.119 1.535  0.179 1.780  0.056 1.690  0.056 1.437  0.056 1.185  0.056 0.932  0.056 0.679  0.051 0.428  -0.075 0.214  -0.075 -0.039  -0.097 -0.288  -0.141 -0.533  -0.141 -0.786  -0.141 -1.039  -0.141 -1.291  -0.141 -1.544  -0.075 -1.731
2#tos#f3#f3036063/&  1.148 0.766  0.987 0.689  0.907 0.531  0.836 0.364  0.746 0.216  0.717 -0.015  0.556 -0.174  0.424 -0.361  0.304 -0.559  0.263 -0.791  0.102 -0.868  0.021 -1.025  -0.076 -1.166  -0.296 -1.244  -0.500 -1.327  -0.623 -1.211  -0.784 -1.134  -0.784 -0.896  -0.784 -0.657  -0.784 -0.419  -0.784 -0.181  -0.703 -0.023  -0.611 0.122  -0.399 0.185  -0.212 0.300  -0.062 0.444  0.102 0.518  0.237 0.673  0.182 0.862  0.060 1.049  -0.051 1.241  -0.286 1.249  -0.424 1.410  -0.582 1.491  -0.703 1.374  -0.703 1.135  -0.666 0.901  -0.614 0.669  -0.473 0.490  -0.381 0.309  -0.293 0.106  -0.148 -0.063  0.040 -0.176  0.140 -0.380  0.334 -0.513  0.550 -0.602  0.769 -0.683  0.994 -0.701  1.071 -0.924  1.229 -1.005
2#tos#f3#f3036063/(  0.361 1.501  0.281 1.501  0.212 1.484  0.176 1.413  0.128 1.361  0.080 1.330  0.080 1.250  0.080 1.170  0.026 1.124  -0.045 1.088  -0.061 1.018  -0.062 0.939  -0.133 0.903  -0.201 0.865  -0.201 0.786  -0.218 0.712  -0.272 0.655  -0.272 0.575  -0.272 0.495  -0.272 0.416  -0.272 0.336  -0.272 0.256  -0.272 0.176  -0.272 0.097  -0.272 0.017  -0.272 -0.063  -0.272 -0.143  -0.272 -0.223  -0.250 -0.297  -0.215 -0.369  -0.166 -0.431  -0.109 -0.487  -0.061 -0.547  -0.061 -0.626  -0.061 -0.706  -0.061 -0.786  -0.017 -0.839  0.054 -0.874  0.080 -0.939  0.123 -1.000  0.163 -1.067  0.188 -1.143  0.214 -1.218  0.262 -1.280  0.330 -1.308  0.409 -1.308  0.431 -1.367  0.431 -1.446  0.500 -1.484  0.571 -1.519
2#tos#f3#f3036063/)  -0.224 1.421  -0.301 1.421  -0.356 1.400  -0.325 1.354  -0.252 1.335  -0.184 1.301  -0.115 1.267  -0.046 1.232  -0.024 1.169  -0.024 1.092  0.028 1.037  0.082 0.982  0.136 0.928  0.175 0.867  0.175 0.790  0.175 0.713  0.213 0.652  0.241 0.587  0.241 0.510  0.241 0.433  0.241 0.356  0.241 0.279  0.241 0.202  0.241 0.125  0.241 0.049  0.241 -0.028  0.241 -0.105  0.241 -0.182  0.241 -0.259  0.241 -0.336  0.223 -0.409  0.189 -0.477  0.160 -0.549  0.136 -0.622  0.112 -0.694  0.108 -0.771  0.066 -0.835  0.023 -0.899  -0.020 -0.963  -0.081 -1.008  -0.145 -1.050  -0.209 -1.093  -0.242 -1.159  -0.267 -1.232  -0.292 -1.305  -0.326 -1.374  -0.361 -1.442  -0.404 -1.506  -0.447 -1.570  -0.489 -1.634
2#tos#f3#f3036063/  0.611 1.505  0.545 1.472  0.479 1.439  0.441 1.389  0.441 1.315  0.441 1.242  0.441 1.168  0.441 1.095  0.388 1.054  0.323 1.021  0.271 0.979  0.271 0.906  0.271 0.832  0.271 0.758  0.216 0.740  0.172 0.699  0.149 0.629  0.126 0.559  0.102 0.489  0.101 0.416  0.101 0.342  0.086 0.271  0.063 0.201  0.040 0.132  0.016 0.062  -0.007 -0.008  -0.030 -0.078  -0.053 -0.148  -0.080 -0.216  -0.113 -0.282  -0.146 -0.348  -0.171 -0.416  -0.195 -0.486  -0.218 -0.556  -0.239 -0.626  -0.239 -0.700  -0.239 -0.773  -0.239 -0.847  -0.239 -0.920  -0.254 -0.990  -0.287 -1.056  -0.320 -1.122  -0.370 -1.175  -0.422 -1.227  -0.474 -1.279  -0.494 -1.345  -0.494 -1.418  -0.494 -1.492  -0.494 -1.565  -0.494 -1.639
2#tos#f3#f3036063/;  0.106 1.536  0.020 1.536  -0.049 1.520  -0.049 1.434  -0.049 1.348  -0.049 1.262  -0.049 1.276  -0.049 1.362  -0.049 1.314  -0.049 1.228  -0.038 1.143  -0.027 1.058  -0.016 0.973  -0.005 0.888  0.006 0.802  0.017 0.717  0.028 0.632  0.040 0.547  0.051 0.461  0.062 0.376  0.073 0.291  0.084 0.206  0.095 0.121  0.106 0.035  0.117 -0.050  0.129 -0.135  0.140 -0.220  0.151 -0.306  0.162 -0.391  0.173 -0.476  0.182 -0.561  0.122 -0.621  0.061 -0.682  -0.012 -0.715  -0.049 -0.763  -0.106 -0.792  -0.127 -0.727  -0.053 -0.715  -0.049 -0.796  -0.049 -0.882  -0.049 -0.968  -0.049 -1.054  -0.049 -1.140  -0.049 -1.226  -0.049 -1.312  -0.049 -1.398  -0.112 -1.445  -0.189 -1.483  -0.204 -1.560  -0.204 -1.646
2#tos#f3#f3036063/<  0.604 1.488  0.514 1.428  0.425 1.369  0.335 1.309  0.249 1.245  0.173 1.169  0.097 1.093  0.043 1.008  0.024 0.908  -0.052 0.832  -0.128 0.756  -0.214 0.703  -0.319 0.690  -0.415 0.642  -0.511 0.594  -0.518 0.490  -0.604 0.436  -0.700 0.388  -0.785 0.324  -0.854 0.245  -0.854 0.137  -0.855 0.030  -0.962 0.030  -0.893 -0.043  -0.804 -0.099  -0.702 -0.133  -0.600 -0.167  -0.518 -0.215  -0.503 -0.314  -0.407 -0.362  -0.310 -0.410  -0.205 -0.419  -0.097 -0.419  0.002 -0.454  0.098 -0.502  0.186 -0.562  0.263 -0.638  0.339 -0.714  0.429 -0.755  0.537 -0.755  0.604 -0.796  0.604 -0.903  0.636 -0.979  0.743 -0.979  0.851 -0.979  0.940 -0.998  0.940 -1.105  0.950 -1.204  1.057 -1.204  1.165 -1.204
2#tos#f3#f3036063/>  -0.648 0.800  -0.789 0.800  -0.929 0.800  -1.032 0.709  -1.132 0.609  -1.234 0.641  -1.313 0.702  -1.209 0.702  -1.069 0.702  -0.928 0.702  -0.804 0.663  -0.687 0.605  -0.549 0.601  -0.486 0.475  -0.386 0.409  -0.245 0.409  -0.104 0.409  0.036 0.409  0.164 0.379  0.264 0.279  0.377 0.214  0.518 0.214  0.652 0.171  0.785 0.127  0.924 0.116  1.065 0.116  1.206 0.116  1.346 0.116  1.320 0.116  1.181 0.107  1.047 0.063  0.915 0.017  0.915 -0.123  0.915 -0.264  0.785 -0.275  0.652 -0.308  0.526 -0.371  0.426 -0.470  0.326 -0.568  0.231 -0.613  0.231 -0.754  0.106 -0.805  -0.027 -0.849  -0.155 -0.907  -0.281 -0.970  -0.407 -1.033  -0.493 -1.136  -0.562 -1.251  -0.703 -1.251  -0.746 -1.349
2#tos#f3#f3036063/?  -0.748 0.488  -0.853 0.488  -0.952 0.493  -0.952 0.597  -0.945 0.698  -0.871 0.772  -0.797 0.846  -0.713 0.894  -0.609 0.894  -0.505 0.894  -0.402 0.898  -0.308 0.945  -0.208 0.962  -0.104 0.962  0.000 0.962  0.104 0.962  0.209 0.962  0.313 0.962  0.336 0.882  0.380 0.805  0.472 0.757  0.472 0.653  0.472 0.549  0.472 0.444  0.416 0.363  0.384 0.284  0.319 0.231  0.286 0.132  0.269 0.030  0.207 -0.049  0.201 -0.150  0.137 -0.190  0.133 -0.291  0.133 -0.395  0.133 -0.499  0.137 -0.602  0.204 -0.679  0.224 -0.782  0.245 -0.884  0.265 -0.986  0.285 -1.088  0.306 -1.190  0.326 -1.293  0.284 -1.343  0.179 -1.343  0.133 -1.401  0.133 -1.505  0.133 -1.609  0.133 -1.714  0.133 -1.818
2#tos#f3#f3036063/[  0.831 1.200  0.731 1.200  0.632 1.200  0.533 1.200  0.527 1.107  0.486 1.048  0.387 1.048  0.288 1.048  0.189 1.048  0.089 1.048  -0.010 1.048  -0.109 1.048  -0.208 1.048  -0.308 1.048  -0.331 0.972  -0.384 0.926  -0.384 0.827  -0.384 0.728  -0.384 0.628  -0.384 0.529  -0.306 0.478  -0.232 0.424  -0.232 0.325  -0.232 0.226  -0.232 0.127  -0.232 0.027  -0.232 -0.072  -0.232 -0.171  -0.232 -0.270  -0.232 -0.369  -0.232 -0.469  -0.232 -0.568  -0.232 -0.667  -0.232 -0.766  -0.232 -0.866  -0.232 -0.965  -0.232 -1.064  -0.232 -1.163  -0.232 -1.263  -0.175 -1.305  -0.077 -1.301  -0.007 -1.231  0.063 -1.161  0.159 -1.153  0.259 -1.153  0.358 -1.153  0.457 -1.153  0.527 -1.124  0.580 -1.077  0.527 -1.077
