3#app#app32#app3220/a  0.653 0.028  0.653 0.225  0.558 0.327  0.553 0.520  0.462 0.626  0.454 0.815  0.454 1.012  0.369 1.125  0.296 1.283  0.227 1.451  0.059 1.524  -0.138 1.524  -0.279 1.389  -0.419 1.250  -0.488 1.081  -0.557 0.912  -0.643 0.751  -0.676 0.561  -0.743 0.380  -0.743 0.183  -0.807 0.001  -0.843 -0.188  -0.843 -0.385  -0.843 -0.583  -0.843 -0.780  -0.835 -0.970  -0.743 -1.075  -0.640 -1.169  -0.443 -1.169  -0.246 -1.169  -0.145 -1.072  -0.008 -0.932  0.055 -0.761  0.154 -0.663  0.158 -0.467  0.254 -0.310  0.254 -0.112  0.254 0.085  0.254 0.282  0.254 0.374  0.354 0.218  0.354 0.021  0.428 -0.146  0.454 -0.332  0.454 -0.530  0.553 -0.686  0.633 -0.850  0.684 -1.031  0.784 -1.200  0.852 -1.368
3#app#app32#app3220/b  -0.545 0.720  -0.624 0.888  -0.704 1.056  -0.765 1.196  -0.783 1.172  -0.736 0.990  -0.704 0.802  -0.676 0.613  -0.624 0.433  -0.560 0.259  -0.500 0.075  -0.466 -0.118  -0.386 -0.286  -0.386 -0.487  -0.386 -0.688  -0.314 -0.859  -0.307 -0.993  -0.307 -0.792  -0.386 -0.624  -0.386 -0.423  -0.386 -0.222  -0.386 -0.021  -0.386 0.180  -0.307 0.349  -0.259 0.530  -0.151 0.641  -0.042 0.773  0.055 0.924  0.169 1.031  0.331 1.117  0.532 1.117  0.684 0.998  0.724 0.814  0.803 0.646  0.883 0.478  0.883 0.277  0.883 0.076  0.883 -0.125  0.883 -0.326  0.883 -0.527  0.803 -0.695  0.773 -0.866  0.692 -1.011  0.577 -1.172  0.486 -1.289  0.407 -1.411  0.217 -1.422  0.090 -1.348  -0.027 -1.263  -0.148 -1.184
3#app#app32#app3220/c  0.497 0.696  0.473 0.793  0.400 0.840  0.400 0.960  0.333 1.053  0.303 1.161  0.232 1.251  0.207 1.361  0.098 1.373  -0.022 1.373  -0.083 1.314  -0.142 1.218  -0.180 1.113  -0.180 0.993  -0.260 0.906  -0.277 0.793  -0.362 0.708  -0.378 0.594  -0.463 0.509  -0.470 0.392  -0.470 0.271  -0.470 0.151  -0.530 0.056  -0.566 -0.049  -0.566 -0.170  -0.566 -0.290  -0.566 -0.410  -0.566 -0.530  -0.566 -0.650  -0.566 -0.771  -0.566 -0.891  -0.521 -0.992  -0.470 -1.091  -0.399 -1.140  -0.278 -1.140  -0.158 -1.140  -0.038 -1.140  0.079 -1.119  0.193 -1.081  0.306 -1.041  0.391 -0.956  0.410 -0.846  0.517 -0.792  0.618 -0.729  0.709 -0.657  0.787 -0.615  0.833 -0.514  0.933 -0.464  0.980 -0.391  0.980 -0.270
3#app#app32#app3220/d  0.095 1.799  0.177 1.879  0.179 1.712  0.254 1.563  0.259 1.397  0.312 1.252  0.342 1.097  0.342 0.930  0.342 0.763  0.383 0.603  0.424 0.442  0.424 0.275  0.506 0.142  0.506 -0.025  0.521 -0.177  0.588 -0.242  0.588 -0.075  0.515 0.061  0.506 0.225  0.431 0.317  0.346 0.399  0.213 0.482  0.046 0.482  -0.121 0.482  -0.235 0.429  -0.372 0.399  -0.482 0.341  -0.591 0.263  -0.646 0.109  -0.692 -0.012  -0.729 -0.143  -0.729 -0.310  -0.811 -0.394  -0.811 -0.561  -0.811 -0.728  -0.811 -0.896  -0.749 -1.000  -0.664 -1.083  -0.599 -1.212  -0.482 -1.283  -0.362 -1.330  -0.199 -1.312  -0.047 -1.247  0.089 -1.171  0.171 -1.083  0.291 -0.969  0.409 -0.851  0.506 -0.724  0.587 -0.590  0.588 -0.424
3#app#app32#app3220/e  -0.849 -0.104  -0.807 0.050  -0.663 0.119  -0.603 0.231  -0.431 0.231  -0.268 0.254  -0.133 0.342  0.039 0.342  0.211 0.342  0.383 0.342  0.536 0.296  0.601 0.311  0.573 0.454  0.490 0.543  0.452 0.677  0.378 0.775  0.266 0.901  0.266 1.073  0.155 1.134  0.084 1.235  0.024 1.347  -0.125 1.290  -0.247 1.168  -0.292 1.015  -0.403 0.954  -0.486 0.817  -0.515 0.657  -0.540 0.489  -0.595 0.326  -0.626 0.159  -0.626 -0.013  -0.626 -0.185  -0.626 -0.357  -0.626 -0.529  -0.598 -0.690  -0.515 -0.827  -0.434 -0.966  -0.292 -1.014  -0.222 -1.143  -0.069 -1.220  0.103 -1.220  0.275 -1.220  0.448 -1.220  0.620 -1.220  0.768 -1.164  0.917 -1.108  1.048 -1.067  1.150 -0.997  1.159 -0.834  1.271 -0.774
3#app#app32#app3220/f  0.366 1.233  0.366 1.406  0.282 1.507  0.154 1.614  0.008 1.678  -0.165 1.678  -0.318 1.630  -0.397 1.490  -0.397 1.317  -0.397 1.144  -0.397 0.972  -0.397 0.799  -0.382 0.630  -0.334 0.468  -0.300 0.309  -0.223 0.169  -0.190 0.009  -0.113 -0.132  0.009 -0.254  0.100 -0.398  0.216 -0.525  0.294 -0.666  0.366 -0.771  0.422 -0.921  0.429 -1.091  0.429 -1.263  0.429 -1.436  0.474 -1.564  0.556 -1.473  0.465 -1.336  0.349 -1.207  0.233 -1.079  0.117 -0.951  0.001 -0.823  -0.115 -0.695  -0.231 -0.567  -0.347 -0.439  -0.463 -0.311  -0.579 -0.182  -0.652 -0.166  -0.605 -0.293  -0.459 -0.229  -0.298 -0.179  -0.160 -0.079  -0.021 0.020  0.138 0.052  0.279 0.130  0.428 0.215  0.537 0.280  0.493 0.280
3#app#app32#app3220/g  -0.025 0.834  -0.025 0.978  -0.089 1.059  -0.126 1.188  -0.215 1.258  -0.340 1.278  -0.458 1.214  -0.518 1.102  -0.532 0.963  -0.596 0.882  -0.596 0.738  -0.631 0.609  -0.659 0.476  -0.659 0.332  -0.605 0.210  -0.529 0.134  -0.410 0.074  -0.288 0.128  -0.186 0.230  -0.089 0.333  -0.027 0.452  -0.010 0.581  0.038 0.677  0.038 0.821  0.038 0.830  0.098 0.711  0.110 0.572  0.165 0.450  0.225 0.331  0.237 0.191  0.313 0.073  0.363 -0.061  0.418 -0.182  0.477 -0.302  0.489 -0.441  0.545 -0.562  0.604 -0.682  0.608 -0.824  0.608 -0.969  0.562 -1.067  0.545 -1.194  0.527 -1.320  0.446 -1.384  0.366 -1.447  0.261 -1.541  0.140 -1.599  0.012 -1.637  -0.120 -1.606  -0.222 -1.504  -0.279 -1.384
3#app#app32#app3220/h  -0.339 1.928  -0.252 1.830  -0.252 1.645  -0.252 1.460  -0.252 1.275  -0.252 1.090  -0.252 0.905  -0.252 0.720  -0.339 0.571  -0.339 0.385  -0.339 0.200  -0.339 0.015  -0.339 -0.170  -0.339 -0.355  -0.339 -0.540  -0.339 -0.725  -0.339 -0.910  -0.339 -1.095  -0.420 -1.200  -0.429 -1.377  -0.513 -1.393  -0.513 -1.208  -0.513 -1.023  -0.467 -0.848  -0.426 -0.673  -0.422 -0.488  -0.377 -0.309  -0.339 -0.128  -0.321 0.052  -0.252 0.221  -0.165 0.370  -0.148 0.538  -0.050 0.625  0.049 0.712  0.198 0.799  0.383 0.799  0.557 0.772  0.688 0.641  0.757 0.485  0.813 0.319  0.878 0.149  0.878 -0.036  0.878 -0.221  0.824 -0.384  0.791 -0.555  0.763 -0.734  0.704 -0.905  0.617 -1.003  0.541 -1.113  0.530 -1.113
3#app#app32#app3220/i  -0.005 0.398  0.036 0.489  0.004 0.489  -0.005 0.366  -0.005 0.234  -0.005 0.103  -0.005 -0.028  -0.005 -0.160  -0.005 -0.291  -0.005 -0.422  -0.005 -0.554  -0.005 -0.685  -0.005 -0.816  -0.005 -0.948  -0.005 -1.079  -0.005 -1.210  0.085 -1.251  0.085 -1.383  0.085 -1.514  0.141 -1.590  0.165 -1.494  0.151 -1.363  0.137 -1.233  0.123 -1.102  0.109 -0.972  0.095 -0.841  0.081 -0.711  0.067 -0.580  0.053 -0.449  0.038 -0.319  0.024 -0.188  0.010 -0.058  -0.004 0.073  -0.018 0.204  -0.032 0.334  -0.046 0.465  -0.060 0.595  -0.075 0.726  -0.089 0.857  -0.103 0.987  -0.117 1.118  -0.131 1.248  -0.145 1.379  -0.159 1.509  -0.173 1.640  -0.169 1.754  -0.095 1.696  -0.087 1.573  -0.005 1.524  0.085 1.483
3#app#app32#app3220/j  -0.131 1.104  -0.131 1.079  -0.073 0.961  -0.073 0.820  -0.067 0.680  -0.022 0.546  0.038 0.419  0.042 0.278  0.042 0.137  0.120 0.025  0.158 -0.108  0.158 -0.249  0.193 -0.375  0.215 -0.507  0.290 -0.626  0.338 -0.752  0.389 -0.872  0.389 -1.013  0.385 -1.153  0.331 -1.272  0.298 -1.380  0.215 -1.438  0.131 -1.495  0.048 -1.438  -0.071 -1.382  -0.153 -1.322  -0.187 -1.217  -0.182 -1.076  -0.177 -0.935  -0.172 -0.793  -0.166 -0.652  -0.161 -0.511  -0.156 -0.370  -0.151 -0.229  -0.145 -0.088  -0.140 0.053  -0.135 0.194  -0.130 0.335  -0.124 0.476  -0.119 0.618  -0.114 0.759  -0.109 0.900  -0.104 1.041  -0.098 1.182  -0.093 1.323  -0.088 1.464  -0.083 1.605  -0.077 1.746  -0.073 1.823  -0.073 1.682
3#app#app32#app3220/k  -0.934 1.394  -0.934 1.162  -0.934 0.931  -0.841 0.739  -0.841 0.507  -0.812 0.281  -0.747 0.060  -0.747 -0.171  -0.654 -0.380  -0.654 -0.612  -0.572 -0.824  -0.561 -1.052  -0.561 -1.283  -0.418 -1.455  -0.374 -1.330  -0.276 -1.192  -0.234 -0.965  -0.192 -0.737  -0.150 -0.510  -0.107 -0.283  -0.065 -0.055  -0.023 0.172  0.019 0.400  0.061 0.627  0.103 0.854  0.145 1.082  0.192 1.307  0.372 1.379  0.279 1.186  0.233 0.974  0.112 0.780  0.050 0.563  -0.083 0.378  -0.107 0.154  -0.188 -0.058  -0.256 -0.261  -0.188 -0.370  -0.056 -0.248  0.092 -0.133  0.259 -0.026  0.389 0.087  0.582 0.181  0.813 0.181  1.011 0.101  1.175 -0.062  1.212 -0.278  1.305 -0.471  1.305 -0.702  1.399 -0.895  1.399 -1.126
