3#apb#apb22#app2236/A  -1.105 -1.263  -1.234 -1.312  -1.241 -1.171  -1.181 -1.028  -1.113 -0.889  -1.024 -0.762  -0.935 -0.635  -0.847 -0.507  -0.761 -0.378  -0.675 -0.249  -0.589 -0.120  -0.499 0.007  -0.409 0.133  -0.319 0.259  -0.229 0.385  -0.131 0.505  -0.032 0.625  0.067 0.744  0.170 0.860  0.280 0.969  0.390 1.079  0.499 1.189  0.609 1.298  0.706 1.419  0.812 1.416  0.816 1.265  0.801 1.111  0.775 0.958  0.750 0.805  0.714 0.654  0.667 0.507  0.620 0.359  0.577 0.210  0.541 0.059  0.504 -0.092  0.465 -0.242  0.422 -0.391  0.378 -0.540  0.349 -0.691  0.332 -0.845  0.309 -0.998  0.250 -1.026  0.170 -0.893  0.091 -0.760  0.011 -0.627  -0.069 -0.494  -0.149 -0.361  -0.229 -0.228  -0.229 -0.170  -0.076 -0.145
3#apb#apb22#app2236/B  -0.245 0.702  -0.288 0.885  -0.290 0.818  -0.323 0.632  -0.369 0.450  -0.448 0.279  -0.499 0.098  -0.531 -0.087  -0.621 -0.253  -0.703 -0.423  -0.781 -0.594  -0.902 -0.738  -1.023 -0.877  -0.995 -0.691  -0.911 -0.522  -0.821 -0.356  -0.728 -0.192  -0.630 -0.031  -0.529 0.130  -0.422 0.284  -0.307 0.434  -0.191 0.584  -0.068 0.727  0.056 0.869  0.192 1.000  0.331 1.127  0.490 1.230  0.662 1.296  0.848 1.293  0.935 1.140  0.906 0.958  0.840 0.783  0.746 0.619  0.640 0.463  0.525 0.313  0.424 0.154  0.325 -0.007  0.210 -0.153  0.321 -0.283  0.481 -0.382  0.609 -0.518  0.684 -0.687  0.695 -0.873  0.636 -1.050  0.557 -1.221  0.456 -1.376  0.292 -1.469  0.111 -1.504  -0.078 -1.498  -0.266 -1.483
3#apb#apb22#app2236/C  1.286 0.947  1.219 0.987  1.152 1.027  1.076 1.033  0.998 1.033  0.920 1.033  0.850 0.999  0.781 0.962  0.713 0.925  0.644 0.888  0.575 0.851  0.511 0.808  0.450 0.759  0.390 0.710  0.329 0.661  0.268 0.612  0.208 0.562  0.147 0.513  0.087 0.464  0.027 0.415  -0.034 0.365  -0.094 0.315  -0.154 0.266  -0.214 0.216  -0.274 0.167  -0.335 0.117  -0.395 0.067  -0.436 0.002  -0.473 -0.067  -0.509 -0.135  -0.546 -0.204  -0.583 -0.273  -0.620 -0.342  -0.636 -0.416  -0.636 -0.494  -0.636 -0.572  -0.636 -0.650  -0.636 -0.728  -0.623 -0.803  -0.592 -0.875  -0.562 -0.947  -0.531 -1.018  -0.500 -1.090  -0.469 -1.162  -0.411 -1.211  -0.347 -1.256  -0.283 -1.300  -0.219 -1.344  -0.155 -1.389  -0.091 -1.433
3#apb#apb22#app2236/D  0.073 1.358  0.073 1.500  0.073 1.374  0.073 1.233  0.073 1.091  0.030 0.957  -0.014 0.823  -0.060 0.689  -0.113 0.558  -0.165 0.426  -0.218 0.295  -0.272 0.165  -0.330 0.036  -0.388 -0.093  -0.447 -0.222  -0.496 -0.354  -0.539 -0.489  -0.582 -0.624  -0.624 -0.759  -0.671 -0.892  -0.718 -1.025  -0.765 -1.159  -0.806 -1.294  -0.844 -1.424  -0.741 -1.343  -0.635 -1.249  -0.530 -1.155  -0.427 -1.057  -0.327 -0.957  -0.227 -0.857  -0.114 -0.772  -0.001 -0.688  0.109 -0.599  0.213 -0.503  0.317 -0.408  0.415 -0.306  0.507 -0.199  0.598 -0.091  0.684 0.021  0.765 0.138  0.845 0.254  0.879 0.387  0.893 0.528  0.881 0.669  0.856 0.806  0.778 0.923  0.685 1.022  0.551 1.066  0.413 1.094  0.272 1.109
3#apb#apb22#app2236/E  -0.298 0.582  -0.222 0.722  -0.174 0.481  -0.201 0.233  -0.265 -0.009  -0.341 -0.246  -0.433 -0.479  -0.520 -0.713  -0.599 -0.951  -0.696 -1.181  -0.795 -1.410  -0.725 -1.240  -0.690 -0.992  -0.654 -0.745  -0.619 -0.497  -0.584 -0.249  -0.548 -0.002  -0.513 0.246  -0.478 0.493  -0.442 0.741  -0.312 0.932  -0.089 1.044  0.153 1.106  0.398 1.152  0.647 1.174  0.897 1.189  1.147 1.189  1.394 1.149  1.235 1.007  1.036 0.855  0.838 0.703  0.639 0.551  0.440 0.399  0.241 0.248  0.043 0.096  0.060 0.044  0.296 0.125  0.532 0.203  0.779 0.244  0.732 0.128  0.561 -0.055  0.390 -0.238  0.219 -0.420  0.048 -0.603  -0.123 -0.785  -0.294 -0.968  -0.465 -1.151  -0.636 -1.333  -0.624 -1.422  -0.384 -1.349
3#apb#apb22#app2236/F  -0.830 -1.847  -0.867 -1.712  -0.837 -1.563  -0.795 -1.416  -0.750 -1.270  -0.716 -1.121  -0.683 -0.972  -0.646 -0.824  -0.603 -0.678  -0.560 -0.532  -0.507 -0.389  -0.453 -0.246  -0.403 -0.102  -0.355 0.043  -0.306 0.188  -0.258 0.333  -0.210 0.477  -0.155 0.620  -0.085 0.753  0.014 0.869  0.112 0.987  0.225 1.087  0.366 1.138  0.517 1.131  0.663 1.087  0.814 1.064  0.965 1.044  1.115 1.017  1.240 0.936  1.143 0.839  1.025 0.741  0.907 0.644  0.790 0.547  0.672 0.450  0.554 0.353  0.437 0.256  0.319 0.159  0.201 0.061  0.084 -0.036  -0.034 -0.133  -0.152 -0.230  -0.269 -0.327  -0.387 -0.424  -0.505 -0.522  -0.492 -0.510  -0.360 -0.441  -0.213 -0.401  -0.064 -0.376  0.089 -0.376  0.242 -0.376
3#apb#apb22#app2236/G  0.584 1.269  0.534 1.386  0.488 1.505  0.366 1.492  0.237 1.474  0.134 1.394  0.034 1.311  -0.054 1.214  -0.141 1.118  -0.208 1.007  -0.272 0.893  -0.336 0.780  -0.388 0.660  -0.440 0.541  -0.492 0.422  -0.543 0.302  -0.578 0.176  -0.613 0.051  -0.648 -0.074  -0.683 -0.200  -0.706 -0.328  -0.728 -0.456  -0.751 -0.585  -0.762 -0.713  -0.747 -0.843  -0.731 -0.972  -0.663 -1.071  -0.560 -1.151  -0.435 -1.166  -0.305 -1.166  -0.179 -1.139  -0.056 -1.096  0.066 -1.053  0.179 -0.989  0.290 -0.920  0.400 -0.851  0.490 -0.758  0.575 -0.659  0.659 -0.560  0.688 -0.434  0.712 -0.306  0.728 -0.178  0.728 -0.047  0.671 0.066  0.596 0.171  0.492 0.246  0.427 0.159  0.527 0.075  0.646 0.024  0.769 -0.020
3#apb#apb22#app2236/H  -0.373 1.224  -0.365 1.283  -0.362 1.092  -0.374 0.901  -0.401 0.711  -0.428 0.521  -0.455 0.331  -0.481 0.141  -0.509 -0.049  -0.548 -0.237  -0.586 -0.425  -0.627 -0.612  -0.671 -0.799  -0.716 -0.985  -0.768 -1.170  -0.822 -1.354  -0.857 -1.531  -0.796 -1.349  -0.735 -1.167  -0.675 -0.985  -0.614 -0.803  -0.553 -0.621  -0.493 -0.439  -0.432 -0.257  -0.373 -0.088  -0.235 -0.105  -0.050 -0.053  0.133 0.001  0.313 0.068  0.451 0.183  0.541 0.352  0.631 0.522  0.721 0.691  0.811 0.861  0.901 1.030  0.991 1.200  1.046 1.302  0.954 1.133  0.870 0.961  0.788 0.787  0.728 0.605  0.670 0.423  0.613 0.239  0.558 0.055  0.504 -0.129  0.454 -0.314  0.408 -0.500  0.391 -0.690  0.394 -0.881  0.429 -1.070
3#apb#apb22#app2236/I  0.212 1.429  0.212 1.500  0.218 1.558  0.243 1.499  0.236 1.429  0.229 1.359  0.222 1.289  0.215 1.219  0.208 1.149  0.201 1.079  0.195 1.009  0.188 0.939  0.181 0.869  0.175 0.798  0.168 0.728  0.161 0.658  0.155 0.588  0.148 0.518  0.134 0.449  0.116 0.381  0.098 0.313  0.081 0.245  0.063 0.177  0.045 0.109  0.027 0.041  0.010 -0.027  -0.008 -0.096  -0.026 -0.164  -0.044 -0.232  -0.059 -0.300  -0.071 -0.370  -0.083 -0.439  -0.096 -0.509  -0.108 -0.578  -0.120 -0.647  -0.132 -0.717  -0.144 -0.786  -0.156 -0.855  -0.168 -0.925  -0.180 -0.994  -0.194 -1.063  -0.212 -1.131  -0.230 -1.199  -0.248 -1.267  -0.266 -1.335  -0.283 -1.403  -0.301 -1.472  -0.319 -1.540  -0.337 -1.608  -0.355 -1.676
3#apb#apb22#app2236/J  0.477 0.706  0.494 0.844  0.536 0.768  0.528 0.630  0.501 0.493  0.467 0.359  0.431 0.224  0.407 0.088  0.391 -0.051  0.372 -0.188  0.340 -0.323  0.308 -0.459  0.281 -0.595  0.255 -0.732  0.224 -0.867  0.186 -1.001  0.145 -1.134  0.101 -1.266  0.036 -1.387  -0.065 -1.471  -0.194 -1.434  -0.316 -1.368  -0.430 -1.288  -0.513 -1.181  -0.581 -1.060  -0.644 -0.937  -0.633 -0.799  -0.622 -0.660  -0.611 -0.521  -0.600 -0.383  -0.589 -0.244  -0.578 -0.105  -0.567 0.033  -0.556 0.172  -0.545 0.310  -0.534 0.449  -0.523 0.588  -0.512 0.726  -0.446 0.838  -0.340 0.926  -0.210 0.976  -0.080 1.027  0.051 1.072  0.185 1.108  0.319 1.145  0.454 1.181  0.591 1.198  0.730 1.198  0.869 1.198  1.008 1.198
3#apb#apb22#app2236/K  -0.142 1.042  -0.145 1.065  -0.238 0.891  -0.326 0.713  -0.407 0.532  -0.489 0.352  -0.552 0.164  -0.612 -0.025  -0.674 -0.213  -0.739 -0.401  -0.804 -0.588  -0.878 -0.772  -0.953 -0.955  -1.016 -1.143  -1.090 -1.327  -0.984 -1.193  -0.865 -1.035  -0.745 -0.876  -0.626 -0.718  -0.507 -0.560  -0.387 -0.401  -0.268 -0.243  -0.149 -0.085  -0.034 0.077  0.081 0.239  0.206 0.392  0.335 0.542  0.489 0.667  0.643 0.792  0.807 0.904  0.969 1.018  1.122 1.143  1.295 1.209  1.265 1.063  1.122 0.926  0.979 0.788  0.836 0.651  0.693 0.514  0.550 0.377  0.407 0.239  0.263 0.102  0.120 -0.035  -0.023 -0.172  -0.115 -0.328  -0.051 -0.511  0.053 -0.680  0.187 -0.826  0.322 -0.970  0.467 -1.106  0.612 -1.241
