2#app#app19#app1939/2  -1.031 0.188  -1.031 0.328  -1.031 0.468  -0.931 0.507  -0.872 0.588  -0.811 0.666  -0.712 0.708  -0.690 0.826  -0.551 0.828  -0.452 0.926  -0.337 0.985  -0.208 1.011  -0.109 1.110  0.017 1.145  0.157 1.145  0.296 1.145  0.436 1.145  0.564 1.133  0.564 0.993  0.564 0.853  0.564 0.713  0.564 0.573  0.531 0.441  0.468 0.316  0.406 0.191  0.268 0.188  0.245 0.071  0.245 -0.069  0.190 -0.186  0.091 -0.285  -0.008 -0.384  -0.107 -0.483  -0.206 -0.582  -0.234 -0.710  -0.291 -0.826  -0.390 -0.925  -0.393 -1.063  -0.393 -1.203  -0.298 -1.248  -0.158 -1.248  -0.018 -1.248  0.111 -1.222  0.210 -1.123  0.335 -1.088  0.454 -1.038  0.553 -0.939  0.689 -0.929  0.798 -0.854  0.902 -0.769  1.042 -0.769
2#app#app19#app1939/^  -1.047 -1.553  -0.914 -1.553  -0.819 -1.515  -0.819 -1.382  -0.819 -1.249  -0.819 -1.116  -0.819 -0.983  -0.807 -0.855  -0.713 -0.761  -0.619 -0.667  -0.590 -0.546  -0.590 -0.413  -0.499 -0.318  -0.405 -0.224  -0.361 -0.109  -0.361 0.024  -0.361 0.157  -0.349 0.278  -0.216 0.278  -0.132 0.327  -0.132 0.460  -0.071 0.568  0.023 0.662  0.097 0.765  0.097 0.898  0.097 1.031  0.097 1.164  0.097 1.297  0.097 1.414  0.097 1.281  0.097 1.148  0.097 1.015  0.155 0.906  0.249 0.812  0.343 0.718  0.437 0.624  0.531 0.530  0.554 0.406  0.554 0.273  0.554 0.140  0.554 0.007  0.554 -0.126  0.633 -0.180  0.766 -0.180  0.783 -0.296  0.797 -0.423  0.891 -0.517  0.985 -0.611  1.012 -0.733  1.012 -0.866
2#app#app19#app1939/0  -0.155 0.747  -0.155 0.889  -0.236 0.835  -0.342 0.747  -0.485 0.747  -0.588 0.652  -0.699 0.578  -0.832 0.568  -0.832 0.426  -0.920 0.320  -1.001 0.211  -1.001 0.069  -1.001 -0.073  -1.001 -0.216  -1.001 -0.358  -1.001 -0.500  -1.001 -0.642  -0.992 -0.776  -0.850 -0.776  -0.744 -0.864  -0.635 -0.945  -0.493 -0.945  -0.351 -0.945  -0.209 -0.945  -0.066 -0.945  0.070 -0.918  0.197 -0.854  0.324 -0.790  0.431 -0.698  0.531 -0.598  0.632 -0.497  0.750 -0.438  0.883 -0.415  0.983 -0.315  1.084 -0.214  1.185 -0.114  1.199 0.023  1.199 0.165  1.199 0.307  1.170 0.438  1.069 0.538  0.953 0.616  0.825 0.680  0.698 0.744  0.557 0.747  0.414 0.747  0.272 0.747  0.130 0.747  -0.012 0.747  -0.155 0.747
2#app#app19#app1939/=  -1.345 0.176  -1.345 0.298  -1.345 0.420  -1.345 0.542  -1.229 0.548  -1.107 0.548  -0.985 0.548  -0.863 0.548  -0.741 0.548  -0.619 0.548  -0.497 0.548  -0.375 0.548  -0.253 0.548  -0.131 0.548  -0.009 0.548  0.113 0.548  0.235 0.548  0.357 0.548  0.479 0.548  0.601 0.548  0.723 0.548  0.845 0.548  0.967 0.548  1.089 0.548  1.211 0.548  1.206 0.496  1.120 0.410  1.034 0.323  0.947 0.237  0.861 0.151  0.775 0.064  0.689 -0.022  0.602 -0.108  0.516 -0.194  0.430 -0.281  0.344 -0.367  0.257 -0.453  0.171 -0.539  0.085 -0.626  -0.001 -0.712  -0.088 -0.798  -0.174 -0.884  -0.260 -0.971  -0.346 -1.057  -0.433 -1.143  -0.519 -1.230  -0.595 -1.312  -0.473 -1.312  -0.351 -1.312  -0.229 -1.312
2#app#app19#app1939/1  0.018 1.707  0.018 1.637  0.018 1.567  0.018 1.497  0.018 1.427  0.018 1.357  0.018 1.287  0.018 1.217  0.018 1.147  0.018 1.077  0.018 1.007  0.018 0.937  0.018 0.867  0.018 0.797  0.018 0.727  0.018 0.657  0.018 0.587  0.018 0.517  0.018 0.447  0.018 0.377  0.018 0.307  0.018 0.237  0.018 0.167  0.018 0.097  0.018 0.027  0.018 -0.043  0.018 -0.113  0.018 -0.183  0.018 -0.253  0.018 -0.323  0.018 -0.393  0.018 -0.463  0.018 -0.533  0.018 -0.603  0.018 -0.673  0.018 -0.743  0.018 -0.813  0.018 -0.883  0.018 -0.953  0.018 -1.023  0.018 -1.093  0.018 -1.163  0.018 -1.233  0.018 -1.303  -0.011 -1.361  -0.060 -1.410  -0.109 -1.460  -0.159 -1.509  -0.208 -1.559  -0.258 -1.608
2#app#app19#app1939/0  -0.214 0.762  -0.305 0.671  -0.396 0.580  -0.517 0.559  -0.638 0.541  -0.729 0.450  -0.820 0.359  -0.823 0.231  -0.874 0.153  -1.003 0.153  -1.025 0.047  -1.025 -0.082  -1.025 -0.211  -1.025 -0.340  -1.025 -0.469  -1.025 -0.598  -0.977 -0.707  -0.886 -0.798  -0.783 -0.861  -0.654 -0.861  -0.525 -0.861  -0.396 -0.861  -0.267 -0.861  -0.138 -0.861  -0.009 -0.861  0.119 -0.861  0.232 -0.821  0.323 -0.730  0.414 -0.639  0.505 -0.548  0.597 -0.457  0.725 -0.455  0.824 -0.408  0.882 -0.292  0.940 -0.177  0.997 -0.062  1.004 0.066  1.004 0.195  1.004 0.324  1.004 0.453  1.004 0.581  1.004 0.710  0.949 0.817  0.858 0.908  0.753 0.965  0.624 0.965  0.495 0.965  0.374 0.986  0.283 1.077  0.192 1.168
2#app#app19#app1939/^  -1.332 -1.309  -1.332 -1.183  -1.304 -1.069  -1.215 -0.981  -1.127 -0.892  -1.038 -0.803  -0.949 -0.714  -0.910 -0.605  -0.910 -0.479  -0.800 -0.464  -0.682 -0.447  -0.593 -0.358  -0.504 -0.269  -0.488 -0.150  -0.480 -0.027  -0.424 0.085  -0.368 0.198  -0.312 0.310  -0.244 0.413  -0.155 0.502  -0.066 0.591  -0.066 0.716  -0.038 0.830  0.051 0.919  0.140 1.008  0.263 1.013  0.356 1.045  0.356 1.171  0.356 1.152  0.356 1.027  0.356 0.901  0.356 0.776  0.356 0.650  0.356 0.525  0.356 0.399  0.462 0.380  0.567 0.359  0.567 0.234  0.567 0.108  0.567 -0.017  0.638 -0.113  0.727 -0.202  0.778 -0.306  0.778 -0.432  0.844 -0.530  0.933 -0.619  0.989 -0.721  0.989 -0.846  1.075 -0.886  1.200 -0.886
2#app#app19#app1939/0  -0.113 0.546  0.043 0.546  0.094 0.650  0.041 0.753  -0.115 0.753  -0.271 0.753  -0.427 0.753  -0.583 0.753  -0.734 0.748  -0.734 0.592  -0.812 0.468  -0.922 0.358  -1.032 0.247  -1.143 0.137  -1.148 -0.017  -1.148 -0.173  -1.116 -0.315  -1.006 -0.425  -0.941 -0.555  -0.928 -0.697  -0.772 -0.697  -0.734 -0.815  -0.667 -0.904  -0.511 -0.904  -0.355 -0.904  -0.199 -0.904  -0.043 -0.904  0.113 -0.904  0.269 -0.904  0.425 -0.904  0.508 -0.832  0.529 -0.697  0.685 -0.697  0.804 -0.608  0.915 -0.498  1.025 -0.387  1.130 -0.275  1.130 -0.119  1.130 0.037  1.130 0.193  1.119 0.338  0.963 0.338  0.923 0.454  0.877 0.591  0.767 0.701  0.632 0.753  0.486 0.775  0.375 0.886  0.250 0.960  0.094 0.960
2#app#app19#app1939/=  -1.309 0.801  -1.165 0.801  -1.022 0.801  -0.878 0.801  -0.734 0.801  -0.591 0.801  -0.447 0.801  -0.303 0.801  -0.160 0.801  -0.016 0.801  0.128 0.801  0.271 0.801  0.415 0.801  0.559 0.801  0.703 0.801  0.846 0.801  0.990 0.801  1.134 0.801  1.103 0.737  0.993 0.646  0.882 0.554  0.772 0.462  0.662 0.370  0.551 0.278  0.441 0.186  0.330 0.094  0.220 0.002  0.110 -0.090  -0.001 -0.182  -0.111 -0.274  -0.222 -0.366  -0.332 -0.458  -0.442 -0.550  -0.553 -0.642  -0.663 -0.734  -0.773 -0.826  -0.884 -0.918  -0.901 -0.976  -0.757 -0.976  -0.613 -0.976  -0.470 -0.976  -0.326 -0.976  -0.182 -0.976  -0.039 -0.976  0.105 -0.976  0.249 -0.976  0.392 -0.976  0.536 -0.976  0.680 -0.976  0.823 -0.976
2#app#app19#app1939/x  -1.498 0.684  -1.498 0.852  -1.380 0.903  -1.211 0.903  -1.042 0.903  -0.874 0.903  -0.840 0.768  -0.780 0.624  -0.661 0.504  -0.621 0.352  -0.559 0.245  -0.402 0.234  -0.402 0.065  -0.310 -0.065  -0.191 -0.185  -0.072 -0.304  0.052 -0.413  0.221 -0.413  0.350 -0.507  0.470 -0.626  0.475 -0.792  0.585 -0.851  0.695 -0.911  0.686 -1.068  0.526 -1.014  0.366 -0.961  0.206 -0.908  0.046 -0.854  -0.114 -0.801  -0.274 -0.748  -0.434 -0.694  -0.594 -0.641  -0.480 -0.632  -0.338 -0.568  -0.219 -0.449  -0.182 -0.295  -0.123 -0.164  0.028 -0.088  0.179 -0.013  0.315 0.084  0.434 0.203  0.553 0.323  0.672 0.442  0.792 0.561  0.911 0.681  1.030 0.800  1.156 0.903  1.325 0.903  1.452 1.003  1.572 1.122
2#app#app19#app1939/^  -1.009 -1.732  -1.009 -1.609  -0.981 -1.498  -0.894 -1.411  -0.807 -1.324  -0.720 -1.237  -0.634 -1.151  -0.595 -1.043  -0.595 -0.921  -0.595 -0.798  -0.578 -0.682  -0.491 -0.595  -0.405 -0.508  -0.389 -0.392  -0.377 -0.274  -0.290 -0.187  -0.203 -0.100  -0.182 0.014  -0.182 0.137  -0.182 0.260  -0.160 0.377  -0.106 0.487  -0.051 0.597  0.004 0.707  0.024 0.825  0.024 0.948  0.142 0.954  0.231 0.987  0.231 1.110  0.231 1.233  0.231 1.356  0.231 1.255  0.231 1.133  0.231 1.010  0.231 0.887  0.231 0.764  0.306 0.672  0.393 0.585  0.438 0.481  0.438 0.358  0.507 0.264  0.594 0.177  0.644 0.075  0.644 -0.048  0.709 -0.144  0.796 -0.231  0.851 -0.331  0.851 -0.453  0.935 -0.493  1.058 -0.493
