2#tos#f3#f3047059/$  0.895 0.698  0.767 0.723  0.582 0.826  0.318 0.826  0.093 0.921  -0.170 0.923  -0.433 0.919  -0.671 0.826  -0.725 0.606  -0.744 0.347  -0.640 0.116  -0.449 -0.052  -0.262 -0.194  -0.071 -0.266  0.156 -0.395  0.329 -0.561  0.574 -0.620  0.644 -0.816  0.698 -1.042  0.569 -1.231  0.369 -1.352  0.129 -1.391  -0.135 -1.391  -0.376 -1.309  -0.561 -1.189  -0.539 -0.942  -0.453 -0.692  -0.367 -0.443  -0.281 -0.194  -0.195 0.056  -0.109 0.305  -0.023 0.554  0.063 0.804  0.149 1.053  0.235 1.303  0.321 1.552  0.317 1.711  0.305 1.451  0.253 1.203  0.218 0.942  0.160 0.686  0.092 0.435  0.072 0.176  -0.031 -0.066  -0.103 -0.320  -0.132 -0.582  -0.165 -0.843  -0.182 -1.103  -0.230 -1.355  -0.262 -1.616
2#tos#f3#f3047059/%  -0.552 1.076  -0.767 1.001  -0.818 0.776  -0.866 0.550  -0.763 0.346  -0.518 0.344  -0.328 0.449  -0.178 0.605  -0.134 0.841  -0.227 1.042  -0.473 1.042  -0.525 1.044  -0.279 1.049  -0.033 1.054  0.213 1.060  0.459 1.065  0.705 1.070  0.952 1.076  0.845 0.937  0.665 0.795  0.514 0.601  0.346 0.430  0.199 0.233  0.068 0.025  -0.113 -0.138  -0.264 -0.325  -0.436 -0.499  -0.601 -0.681  -0.727 -0.892  -0.880 -1.078  -0.991 -1.287  -0.930 -1.293  -0.724 -1.158  -0.518 -1.024  -0.312 -0.889  -0.105 -0.755  0.101 -0.620  0.307 -0.486  0.513 -0.351  0.459 -0.448  0.439 -0.691  0.441 -0.928  0.674 -0.981  0.893 -0.915  1.022 -0.726  1.052 -0.487  0.878 -0.388  0.632 -0.388  0.399 -0.448  0.285 -0.632
2#tos#f3#f3047059/&  0.689 -0.959  0.506 -1.067  0.278 -1.067  0.143 -0.929  -0.047 -0.813  -0.242 -0.721  -0.420 -0.592  -0.585 -0.441  -0.618 -0.218  -0.763 -0.062  -0.763 0.166  -0.763 0.394  -0.754 0.621  -0.727 0.847  -0.535 0.950  -0.388 1.102  -0.208 1.190  -0.018 1.316  0.206 1.328  0.434 1.328  0.642 1.289  0.761 1.148  0.716 0.965  0.576 0.842  0.472 0.675  0.279 0.555  0.109 0.407  -0.100 0.317  -0.288 0.189  -0.467 0.069  -0.641 -0.075  -0.813 -0.221  -0.943 -0.389  -1.017 -0.582  -0.995 -0.806  -0.882 -0.949  -0.658 -0.959  -0.446 -0.891  -0.228 -0.850  -0.042 -0.720  0.148 -0.594  0.352 -0.492  0.509 -0.339  0.685 -0.198  0.798 -0.081  0.872 0.094  1.043 -0.009  1.233 -0.124  1.341 -0.301  1.560 -0.342
2#tos#f3#f3047059/)  -0.396 1.451  -0.451 1.431  -0.451 1.356  -0.408 1.298  -0.338 1.286  -0.263 1.286  -0.231 1.243  -0.223 1.176  -0.153 1.160  -0.090 1.119  -0.028 1.077  -0.011 1.011  0.013 0.940  0.037 0.869  0.061 0.797  0.084 0.726  0.112 0.656  0.145 0.589  0.172 0.519  0.195 0.448  0.210 0.375  0.210 0.300  0.210 0.225  0.210 0.150  0.210 0.075  0.210 -0.000  0.210 -0.076  0.210 -0.151  0.210 -0.226  0.210 -0.301  0.210 -0.376  0.196 -0.448  0.162 -0.515  0.129 -0.582  0.097 -0.650  0.079 -0.723  0.061 -0.796  0.044 -0.869  0.044 -0.944  0.044 -1.019  0.044 -1.094  0.034 -1.168  0.010 -1.239  -0.018 -1.308  -0.071 -1.361  -0.124 -1.414  -0.176 -1.467  -0.194 -1.540  -0.213 -1.613  -0.231 -1.686
2#tos#f3#f3047059/*  -0.945 0.741  -1.041 0.597  -0.804 0.456  -0.595 0.247  -0.427 0.027  -0.220 -0.165  -0.088 -0.406  0.154 -0.575  0.363 -0.784  0.597 -0.963  0.723 -1.201  0.940 -1.279  0.975 -1.150  1.024 -0.858  1.072 -0.566  1.121 -0.274  1.170 0.017  1.218 0.309  1.267 0.601  1.224 0.811  0.959 0.679  0.706 0.552  0.480 0.366  0.246 0.192  0.031 -0.010  -0.184 -0.202  -0.403 -0.384  -0.639 -0.555  -0.880 -0.723  -0.893 -0.712  -0.791 -0.435  -0.689 -0.157  -0.588 0.121  -0.486 0.398  -0.384 0.676  -0.282 0.954  -0.180 1.232  -0.147 1.121  -0.239 1.216  -0.361 1.452  -0.279 1.167  -0.220 0.880  -0.222 0.584  -0.271 0.292  -0.333 0.008  -0.365 -0.280  -0.365 -0.576  -0.365 -0.872  -0.292 -1.137  -0.292 -1.433
2#tos#f3#f3047059/+  -1.661 0.091  -1.778 -0.026  -1.761 -0.130  -1.596 -0.130  -1.431 -0.130  -1.267 -0.130  -1.102 -0.130  -0.937 -0.130  -0.772 -0.130  -0.607 -0.130  -0.442 -0.130  -0.277 -0.130  -0.112 -0.130  0.050 -0.108  0.210 -0.068  0.373 -0.057  0.538 -0.057  0.703 -0.057  0.866 -0.047  1.015 0.017  1.180 0.017  1.345 0.017  1.510 0.017  1.508 0.063  1.367 0.148  1.225 0.233  1.084 0.318  0.943 0.403  0.801 0.487  0.660 0.572  0.518 0.657  0.377 0.742  0.236 0.827  0.092 0.902  -0.073 0.902  -0.186 0.850  -0.186 0.685  -0.186 0.520  -0.186 0.355  -0.186 0.191  -0.186 0.026  -0.186 -0.139  -0.186 -0.304  -0.186 -0.469  -0.186 -0.634  -0.186 -0.799  -0.186 -0.964  -0.186 -1.128  -0.186 -1.293  -0.186 -1.458
2#tos#f3#f3047059/  -1.258 0.088  -1.330 0.088  -1.383 0.041  -1.435 -0.010  -1.486 -0.061  -1.433 -0.069  -1.360 -0.069  -1.288 -0.069  -1.215 -0.069  -1.143 -0.069  -1.070 -0.069  -0.998 -0.069  -0.925 -0.069  -0.853 -0.069  -0.780 -0.069  -0.708 -0.069  -0.636 -0.069  -0.563 -0.069  -0.491 -0.069  -0.418 -0.069  -0.347 -0.058  -0.277 -0.040  -0.206 -0.023  -0.136 -0.005  -0.065 0.010  0.007 0.010  0.080 0.010  0.152 0.010  0.225 0.010  0.297 0.010  0.370 0.010  0.442 0.010  0.515 0.010  0.587 0.010  0.660 0.010  0.732 0.010  0.805 0.010  0.877 0.010  0.950 0.010  1.018 0.033  1.087 0.056  1.156 0.079  1.227 0.088  1.299 0.088  1.372 0.088  1.444 0.088  1.517 0.088  1.589 0.088  1.662 0.088  1.734 0.088
2#tos#f3#f3047059/;  -0.339 1.614  -0.339 1.542  -0.339 1.470  -0.339 1.398  -0.339 1.326  -0.339 1.255  -0.279 1.243  -0.216 1.235  -0.216 1.163  -0.216 1.091  -0.206 1.021  -0.187 0.951  -0.169 0.882  -0.150 0.813  -0.131 0.743  -0.113 0.674  -0.094 0.605  -0.075 0.535  -0.057 0.466  -0.038 0.397  -0.019 0.327  -0.001 0.258  0.018 0.189  0.037 0.119  0.055 0.050  0.074 -0.019  0.093 -0.089  0.111 -0.158  0.130 -0.227  0.149 -0.297  0.167 -0.366  0.186 -0.435  0.205 -0.505  0.216 -0.575  0.216 -0.647  0.216 -0.719  0.216 -0.790  0.216 -0.862  0.216 -0.934  0.216 -1.006  0.216 -1.078  0.216 -1.149  0.216 -1.221  0.169 -1.273  0.154 -1.339  0.154 -1.411  0.147 -1.480  0.097 -1.531  0.063 -1.594  0.031 -1.658
2#tos#f3#f3047059/>  -0.969 1.165  -1.035 1.099  -1.024 1.065  -1.019 0.975  -0.937 0.964  -0.843 0.964  -0.752 0.954  -0.674 0.902  -0.592 0.864  -0.499 0.858  -0.410 0.828  -0.345 0.771  -0.289 0.704  -0.200 0.674  -0.108 0.663  -0.029 0.627  0.059 0.613  0.153 0.613  0.229 0.570  0.319 0.562  0.391 0.508  0.462 0.449  0.546 0.407  0.630 0.365  0.688 0.297  0.688 0.203  0.688 0.110  0.688 0.016  0.688 -0.078  0.666 -0.162  0.638 -0.245  0.638 -0.338  0.562 -0.392  0.486 -0.445  0.456 -0.534  0.410 -0.610  0.332 -0.662  0.269 -0.727  0.227 -0.811  0.185 -0.895  0.128 -0.970  0.072 -1.045  0.021 -1.123  -0.026 -1.203  -0.101 -1.259  -0.176 -1.315  -0.236 -1.385  -0.284 -1.464  -0.350 -1.530  -0.417 -1.596
2#tos#f3#f3047059/[  0.442 1.480  0.359 1.480  0.298 1.426  0.232 1.376  0.166 1.327  0.117 1.263  0.095 1.185  0.022 1.176  -0.043 1.129  -0.119 1.099  -0.196 1.068  -0.275 1.045  -0.296 0.984  -0.296 0.902  -0.290 0.822  -0.253 0.754  -0.241 0.674  -0.206 0.600  -0.180 0.521  -0.166 0.441  -0.166 0.358  -0.166 0.275  -0.166 0.193  -0.166 0.110  -0.166 0.027  -0.166 -0.056  -0.166 -0.138  -0.166 -0.221  -0.166 -0.304  -0.166 -0.387  -0.166 -0.469  -0.166 -0.552  -0.146 -0.626  -0.123 -0.699  -0.123 -0.782  -0.123 -0.865  -0.123 -0.948  -0.123 -1.030  -0.050 -1.040  0.033 -1.040  0.066 -1.098  0.137 -1.127  0.203 -1.159  0.249 -1.228  0.315 -1.257  0.398 -1.257  0.467 -1.303  0.529 -1.352  0.577 -1.388  0.659 -1.388
2#tos#f3#f3047059/]  -0.415 1.291  -0.500 1.262  -0.585 1.234  -0.668 1.205  -0.619 1.164  -0.533 1.147  -0.448 1.117  -0.368 1.080  -0.278 1.080  -0.188 1.080  -0.099 1.080  -0.009 1.080  0.080 1.080  0.134 1.043  0.134 0.954  0.135 0.864  0.163 0.780  0.176 0.692  0.182 0.604  0.218 0.523  0.218 0.433  0.218 0.344  0.218 0.254  0.218 0.164  0.218 0.075  0.218 -0.015  0.218 -0.104  0.218 -0.194  0.218 -0.283  0.218 -0.373  0.276 -0.427  0.303 -0.500  0.303 -0.589  0.303 -0.679  0.303 -0.769  0.340 -0.820  0.345 -0.906  0.302 -0.969  0.230 -1.020  0.153 -1.064  0.134 -1.142  0.103 -1.200  0.013 -1.200  -0.035 -1.242  -0.121 -1.247  -0.162 -1.327  -0.241 -1.367  -0.330 -1.369  -0.411 -1.409  -0.500 -1.412
