1b#tos#f2#f2017063/A  -0.788 -1.075  -0.952 -1.147  -1.067 -1.229  -0.981 -1.090  -0.936 -0.906  -0.881 -0.734  -0.745 -0.612  -0.695 -0.425  -0.609 -0.251  -0.522 -0.078  -0.469 0.109  -0.357 0.266  -0.252 0.427  -0.180 0.607  -0.106 0.785  -0.043 0.961  -0.043 1.155  0.028 1.336  0.079 1.513  0.236 1.561  0.414 1.577  0.515 1.484  0.562 1.336  0.567 1.142  0.608 0.955  0.608 0.760  0.668 0.578  0.701 0.387  0.701 0.193  0.701 -0.001  0.701 -0.196  0.701 -0.390  0.701 -0.584  0.701 -0.779  0.675 -0.962  0.608 -1.129  0.526 -1.164  0.416 -1.004  0.305 -0.844  0.195 -0.684  0.084 -0.525  -0.027 -0.365  -0.137 -0.205  -0.248 -0.045  -0.420 -0.008  -0.575 -0.125  -0.533 -0.144  -0.339 -0.144  -0.145 -0.144  0.050 -0.144
1b#tos#f2#f2017063/B  0.381 1.282  0.185 1.179  0.085 0.932  -0.001 0.675  -0.109 0.429  -0.145 0.176  -0.317 -0.014  -0.385 -0.269  -0.508 -0.503  -0.594 -0.760  -0.698 -1.000  -0.852 -1.191  -0.882 -1.378  -0.799 -1.121  -0.717 -0.863  -0.634 -0.605  -0.551 -0.347  -0.468 -0.089  -0.386 0.169  -0.303 0.427  -0.220 0.685  -0.138 0.942  -0.077 1.184  0.017 1.247  0.279 1.282  0.550 1.282  0.821 1.282  0.921 1.111  0.872 0.849  0.727 0.694  0.586 0.470  0.357 0.350  0.153 0.204  -0.065 0.105  -0.275 0.105  -0.012 0.154  0.259 0.154  0.530 0.154  0.789 0.105  0.970 -0.042  0.970 -0.313  0.864 -0.540  0.659 -0.713  0.477 -0.902  0.218 -0.974  0.002 -1.108  -0.254 -1.186  -0.520 -1.220  -0.770 -1.269  -0.992 -1.220
1b#tos#f2#f2017063/C  0.802 1.063  0.743 1.014  0.655 1.034  0.625 1.112  0.557 1.152  0.468 1.205  0.361 1.210  0.264 1.162  0.157 1.159  0.054 1.125  -0.045 1.082  -0.103 1.000  -0.145 0.902  -0.221 0.825  -0.283 0.737  -0.336 0.644  -0.370 0.541  -0.450 0.474  -0.532 0.407  -0.579 0.309  -0.620 0.209  -0.660 0.109  -0.671 0.003  -0.733 -0.080  -0.769 -0.173  -0.769 -0.281  -0.769 -0.389  -0.769 -0.497  -0.769 -0.606  -0.743 -0.708  -0.694 -0.804  -0.615 -0.852  -0.507 -0.852  -0.399 -0.852  -0.291 -0.852  -0.183 -0.852  -0.075 -0.852  0.033 -0.852  0.141 -0.852  0.250 -0.852  0.337 -0.802  0.446 -0.802  0.554 -0.802  0.651 -0.755  0.755 -0.728  0.860 -0.704  0.969 -0.704  1.077 -0.704  1.146 -0.665  1.195 -0.606
1b#tos#f2#f2017063/E  -0.313 1.306  -0.082 1.306  0.126 1.384  0.313 1.456  0.521 1.510  0.733 1.581  0.755 1.557  0.566 1.423  0.377 1.290  0.188 1.156  -0.001 1.022  -0.198 0.912  -0.313 0.796  -0.313 0.564  -0.353 0.339  -0.353 0.108  -0.394 -0.114  -0.431 -0.337  -0.431 -0.569  -0.494 -0.789  -0.545 -1.008  -0.537 -1.112  -0.493 -0.884  -0.449 -0.657  -0.405 -0.429  -0.361 -0.202  -0.317 0.025  -0.148 0.109  0.071 0.164  0.272 0.238  0.497 0.278  0.712 0.321  0.680 0.212  0.516 0.048  0.352 -0.116  0.188 -0.279  0.024 -0.443  -0.139 -0.607  -0.303 -0.771  -0.467 -0.935  -0.577 -1.129  -0.680 -1.214  -0.449 -1.214  -0.228 -1.165  -0.065 -1.015  0.159 -0.958  0.381 -0.899  0.585 -0.816  0.800 -0.742  1.025 -0.702
1b#tos#f2#f2017063/F  -0.612 0.753  -0.620 0.712  -0.457 0.712  -0.304 0.753  -0.148 0.771  -0.028 0.878  0.132 0.910  0.280 0.976  0.439 0.996  0.585 1.068  0.745 1.082  0.904 1.117  1.067 1.117  1.075 1.063  0.945 0.969  0.794 0.905  0.644 0.842  0.494 0.778  0.344 0.715  0.193 0.651  0.043 0.588  -0.112 0.550  -0.152 0.404  -0.195 0.249  -0.207 0.089  -0.241 -0.070  -0.247 -0.232  -0.323 -0.373  -0.366 -0.529  -0.369 -0.692  -0.369 -0.855  -0.437 -1.002  -0.504 -1.151  -0.531 -1.309  -0.571 -1.466  -0.571 -1.629  -0.553 -1.564  -0.512 -1.406  -0.471 -1.248  -0.430 -1.090  -0.389 -0.932  -0.348 -0.774  -0.307 -0.616  -0.217 -0.503  -0.054 -0.503  0.097 -0.452  0.253 -0.422  0.393 -0.345  0.535 -0.265  0.684 -0.219
1b#tos#f2#f2017063/H  -0.425 1.437  -0.559 1.378  -0.559 1.186  -0.559 0.993  -0.559 0.801  -0.559 0.608  -0.559 0.416  -0.589 0.232  -0.648 0.058  -0.685 -0.128  -0.754 -0.308  -0.782 -0.496  -0.838 -0.674  -0.954 -0.828  -0.960 -1.018  -0.952 -1.177  -0.866 -1.005  -0.780 -0.832  -0.694 -0.660  -0.607 -0.488  -0.521 -0.316  -0.470 -0.135  -0.450 -0.014  -0.268 0.011  -0.075 0.011  0.118 0.011  0.241 0.140  0.431 0.144  0.624 0.144  0.745 0.226  0.770 0.417  0.795 0.608  0.819 0.799  0.844 0.990  0.879 1.170  0.868 1.055  0.868 0.863  0.851 0.673  0.823 0.485  0.782 0.305  0.713 0.129  0.675 -0.060  0.633 -0.247  0.567 -0.428  0.511 -0.610  0.494 -0.800  0.441 -0.985  0.422 -1.175  0.377 -1.357  0.377 -1.550
1b#tos#f2#f2017063/I  0.020 1.280  -0.088 1.280  -0.164 1.229  -0.100 1.201  0.004 1.189  0.105 1.162  0.213 1.162  0.309 1.183  0.369 1.272  0.472 1.280  0.497 1.246  0.421 1.170  0.345 1.094  0.269 1.018  0.177 0.995  0.138 0.927  0.138 0.820  0.138 0.712  0.111 0.609  0.098 0.504  0.084 0.398  0.059 0.294  0.059 0.186  0.054 0.080  0.028 -0.025  -0.004 -0.127  -0.020 -0.232  -0.058 -0.331  -0.098 -0.428  -0.098 -0.536  -0.098 -0.643  -0.118 -0.748  -0.170 -0.838  -0.177 -0.943  -0.186 -1.042  -0.293 -1.042  -0.401 -1.042  -0.508 -1.042  -0.615 -1.042  -0.610 -1.076  -0.508 -1.081  -0.405 -1.110  -0.300 -1.121  -0.192 -1.121  -0.085 -1.121  0.023 -1.121  0.130 -1.121  0.238 -1.121  0.345 -1.121  0.453 -1.121
1b#tos#f2#f2017063/J  0.631 1.664  0.624 1.576  0.547 1.531  0.547 1.439  0.547 1.347  0.547 1.255  0.547 1.163  0.507 1.080  0.505 0.989  0.505 0.896  0.505 0.804  0.505 0.712  0.505 0.620  0.505 0.528  0.505 0.436  0.505 0.344  0.505 0.252  0.505 0.160  0.458 0.082  0.421 0.001  0.421 -0.091  0.421 -0.183  0.421 -0.276  0.408 -0.360  0.331 -0.406  0.295 -0.490  0.295 -0.582  0.295 -0.674  0.226 -0.724  0.177 -0.773  0.085 -0.773  -0.007 -0.773  -0.099 -0.773  -0.191 -0.773  -0.283 -0.773  -0.375 -0.773  -0.467 -0.773  -0.560 -0.773  -0.652 -0.773  -0.744 -0.773  -0.832 -0.756  -0.907 -0.705  -0.973 -0.640  -1.008 -0.563  -1.016 -0.476  -1.103 -0.447  -1.134 -0.377  -1.134 -0.285  -1.134 -0.193  -1.176 -0.143
1b#tos#f2#f2017063/K  -0.332 1.775  -0.530 1.732  -0.461 1.625  -0.461 1.417  -0.474 1.211  -0.517 1.007  -0.546 0.802  -0.546 0.594  -0.573 0.387  -0.608 0.182  -0.646 -0.022  -0.674 -0.228  -0.674 -0.436  -0.674 -0.644  -0.700 -0.849  -0.760 -1.048  -0.760 -1.257  -0.663 -1.168  -0.540 -1.000  -0.417 -0.832  -0.294 -0.664  -0.171 -0.496  -0.049 -0.328  0.074 -0.159  0.197 0.009  0.320 0.177  0.443 0.345  0.565 0.513  0.688 0.681  0.811 0.849  0.798 0.835  0.607 0.793  0.532 0.599  0.406 0.443  0.237 0.351  0.077 0.224  -0.084 0.094  -0.228 -0.043  -0.368 -0.147  -0.236 -0.238  -0.036 -0.275  0.101 -0.419  0.291 -0.502  0.455 -0.626  0.645 -0.702  0.853 -0.702  1.040 -0.791  1.205 -0.891  1.260 -1.048  1.419 -1.129
1b#tos#f2#f2017063/L  -0.236 1.725  -0.310 1.678  -0.330 1.604  -0.330 1.511  -0.330 1.417  -0.330 1.323  -0.330 1.230  -0.330 1.136  -0.330 1.042  -0.330 0.948  -0.330 0.855  -0.339 0.763  -0.377 0.678  -0.377 0.585  -0.377 0.491  -0.377 0.397  -0.378 0.304  -0.391 0.211  -0.405 0.118  -0.418 0.025  -0.425 -0.068  -0.425 -0.162  -0.425 -0.255  -0.438 -0.347  -0.468 -0.436  -0.472 -0.529  -0.472 -0.622  -0.472 -0.716  -0.487 -0.730  -0.393 -0.730  -0.299 -0.730  -0.206 -0.730  -0.112 -0.730  -0.018 -0.730  0.075 -0.730  0.167 -0.712  0.258 -0.690  0.351 -0.683  0.444 -0.683  0.538 -0.683  0.632 -0.683  0.726 -0.683  0.819 -0.683  0.913 -0.683  0.999 -0.670  1.042 -0.589  1.136 -0.589  1.229 -0.589  1.323 -0.589  1.417 -0.589
1b#tos#f2#f2017063/M  -0.590 0.919  -0.673 0.810  -0.673 0.618  -0.673 0.425  -0.673 0.233  -0.673 0.040  -0.673 -0.152  -0.714 -0.327  -0.714 -0.520  -0.714 -0.712  -0.714 -0.904  -0.714 -1.097  -0.714 -1.278  -0.692 -1.087  -0.671 -0.896  -0.650 -0.705  -0.629 -0.513  -0.607 -0.322  -0.586 -0.131  -0.565 0.060  -0.544 0.251  -0.522 0.443  -0.554 0.587  -0.746 0.587  -0.661 0.492  -0.511 0.406  -0.362 0.307  -0.198 0.213  -0.005 0.213  0.187 0.213  0.311 0.351  0.450 0.450  0.533 0.608  0.596 0.774  0.745 0.895  0.811 1.060  0.907 1.064  0.941 0.885  0.949 0.696  0.949 0.504  0.990 0.318  0.990 0.126  0.990 -0.067  0.990 -0.259  0.990 -0.452  0.990 -0.644  1.003 -0.835  1.032 -1.024  1.032 -1.216  1.032 -1.408
