2#app#app41#app4105/0  0.310 0.905  0.160 0.905  0.009 0.905  -0.141 0.905  -0.292 0.905  -0.334 0.798  -0.378 0.690  -0.528 0.690  -0.640 0.599  -0.747 0.493  -0.764 0.349  -0.808 0.217  -0.914 0.111  -0.979 -0.013  -0.979 -0.163  -0.979 -0.314  -0.979 -0.464  -0.968 -0.610  -0.861 -0.716  -0.764 -0.826  -0.764 -0.977  -0.665 -1.028  -0.515 -1.028  -0.364 -1.028  -0.214 -1.028  -0.064 -1.028  0.087 -1.028  0.237 -1.028  0.388 -1.028  0.534 -1.019  0.641 -0.912  0.740 -0.803  0.740 -0.653  0.808 -0.531  0.914 -0.424  0.954 -0.291  0.942 -0.143  0.874 -0.009  0.807 0.126  0.740 0.260  0.740 0.411  0.740 0.561  0.718 0.690  0.568 0.690  0.525 0.798  0.482 0.905  0.332 0.905  0.310 1.034  0.246 1.120  0.095 1.120
2#app#app41#app4105/1  -0.266 1.658  -0.266 1.586  -0.266 1.514  -0.266 1.442  -0.266 1.369  -0.266 1.297  -0.266 1.225  -0.266 1.153  -0.266 1.081  -0.266 1.009  -0.266 0.936  -0.236 0.877  -0.185 0.826  -0.134 0.775  -0.083 0.724  -0.032 0.673  0.019 0.621  0.070 0.570  0.110 0.515  0.110 0.442  0.110 0.370  0.110 0.298  0.110 0.226  0.110 0.154  0.110 0.081  0.110 0.009  0.110 -0.063  0.110 -0.135  0.110 -0.207  0.110 -0.279  0.110 -0.352  0.110 -0.424  0.110 -0.496  0.110 -0.568  0.110 -0.640  0.110 -0.712  0.110 -0.785  0.110 -0.857  0.110 -0.929  0.110 -1.001  0.110 -1.073  0.110 -1.146  0.110 -1.218  0.110 -1.290  0.110 -1.362  0.110 -1.434  0.110 -1.506  0.110 -1.579  0.110 -1.651  0.110 -1.723
2#app#app41#app4105/  0.601 1.506  0.601 1.431  0.601 1.357  0.545 1.339  0.470 1.339  0.434 1.300  0.434 1.225  0.419 1.157  0.367 1.104  0.314 1.051  0.267 0.996  0.267 0.922  0.267 0.847  0.267 0.772  0.267 0.698  0.234 0.637  0.181 0.584  0.128 0.532  0.085 0.472  0.051 0.405  0.018 0.339  -0.016 0.272  -0.049 0.205  -0.066 0.135  -0.066 0.060  -0.066 -0.014  -0.066 -0.089  -0.066 -0.164  -0.066 -0.238  -0.066 -0.313  -0.107 -0.371  -0.159 -0.424  -0.212 -0.476  -0.233 -0.542  -0.233 -0.617  -0.233 -0.691  -0.233 -0.766  -0.240 -0.838  -0.292 -0.891  -0.345 -0.943  -0.398 -0.996  -0.400 -1.070  -0.400 -1.144  -0.400 -1.219  -0.400 -1.294  -0.400 -1.368  -0.400 -1.443  -0.400 -1.517  -0.400 -1.592  -0.400 -1.667
2#app#app41#app4105/2  -0.645 0.906  -0.517 0.906  -0.389 0.906  -0.261 0.906  -0.145 0.917  -0.145 1.045  -0.127 1.156  0.001 1.156  0.129 1.156  0.257 1.156  0.385 1.156  0.513 1.156  0.630 1.131  0.721 1.041  0.811 0.950  0.856 0.841  0.856 0.713  0.856 0.585  0.856 0.457  0.802 0.351  0.711 0.260  0.620 0.170  0.606 0.048  0.606 -0.080  0.526 -0.175  0.435 -0.265  0.345 -0.356  0.254 -0.447  0.164 -0.537  0.105 -0.641  0.105 -0.769  0.054 -0.846  -0.074 -0.846  -0.185 -0.886  -0.276 -0.977  -0.366 -1.067  -0.482 -1.096  -0.610 -1.096  -0.738 -1.096  -0.866 -1.096  -0.896 -0.997  -0.896 -0.869  -0.896 -0.741  -0.896 -0.613  -0.785 -0.596  -0.657 -0.596  -0.529 -0.596  -0.401 -0.596  -0.273 -0.596  -0.145 -0.596
2#app#app41#app4105/3  -1.108 0.806  -1.011 0.806  -0.914 0.806  -0.829 0.833  -0.760 0.901  -0.692 0.970  -0.624 1.038  -0.535 1.057  -0.438 1.057  -0.341 1.057  -0.245 1.057  -0.148 1.057  -0.051 1.057  0.045 1.057  0.142 1.057  0.151 0.970  0.151 0.873  0.151 0.776  0.151 0.679  0.151 0.583  0.151 0.486  0.151 0.389  0.151 0.293  0.151 0.196  0.151 0.099  0.199 0.051  0.296 0.051  0.392 0.051  0.402 -0.036  0.402 -0.133  0.402 -0.229  0.402 -0.326  0.402 -0.423  0.402 -0.519  0.402 -0.616  0.402 -0.713  0.402 -0.809  0.402 -0.906  0.402 -1.003  0.402 -1.099  0.402 -1.196  0.317 -1.207  0.220 -1.207  0.131 -1.227  0.063 -1.295  -0.005 -1.363  -0.074 -1.432  -0.159 -1.459  -0.256 -1.459  -0.353 -1.459
2#app#app41#app4105/  0.340 1.402  0.416 1.402  0.492 1.402  0.513 1.348  0.513 1.272  0.480 1.229  0.404 1.229  0.340 1.217  0.340 1.141  0.340 1.066  0.340 0.990  0.340 0.914  0.308 0.851  0.255 0.798  0.201 0.744  0.167 0.682  0.167 0.606  0.167 0.531  0.167 0.455  0.167 0.379  0.124 0.321  0.070 0.267  0.017 0.214  -0.006 0.147  -0.006 0.071  -0.006 -0.004  -0.006 -0.080  -0.007 -0.156  -0.060 -0.209  -0.114 -0.263  -0.168 -0.317  -0.206 -0.381  -0.240 -0.449  -0.274 -0.517  -0.307 -0.585  -0.341 -0.653  -0.352 -0.726  -0.352 -0.802  -0.352 -0.878  -0.352 -0.953  -0.352 -1.029  -0.352 -1.105  -0.352 -1.181  -0.352 -1.257  -0.352 -1.333  -0.352 -1.408  -0.352 -1.484  -0.352 -1.560  -0.352 -1.636  -0.352 -1.712
2#app#app41#app4105/4  -1.243 0.758  -1.072 0.758  -0.968 0.692  -0.968 0.521  -0.968 0.351  -0.997 0.209  -1.167 0.209  -1.243 0.114  -1.243 -0.056  -1.243 -0.226  -1.186 -0.340  -1.016 -0.340  -0.845 -0.340  -0.675 -0.340  -0.505 -0.340  -0.334 -0.340  -0.164 -0.340  0.006 -0.340  0.177 -0.340  0.347 -0.340  0.404 -0.226  0.404 -0.056  0.404 0.114  0.404 0.285  0.404 0.455  0.404 0.625  0.404 0.796  0.404 0.966  0.404 1.136  0.404 1.307  0.524 1.186  0.645 1.066  0.678 0.909  0.678 0.739  0.678 0.569  0.678 0.398  0.678 0.228  0.678 0.058  0.678 -0.113  0.678 -0.283  0.678 -0.453  0.669 -0.614  0.498 -0.614  0.404 -0.690  0.404 -0.860  0.404 -1.031  0.404 -1.201  0.404 -1.371  0.404 -1.542  0.404 -1.712
2#app#app41#app4105/5  -0.280 1.106  -0.280 0.933  -0.391 0.871  -0.514 0.822  -0.514 0.649  -0.514 0.476  -0.444 0.333  -0.322 0.211  -0.200 0.089  -0.078 -0.034  -0.046 -0.193  0.020 -0.300  0.188 -0.304  0.188 -0.477  0.304 -0.534  0.422 -0.588  0.422 -0.761  0.422 -0.933  0.422 -1.106  0.380 -1.237  0.208 -1.237  0.035 -1.237  -0.111 -1.301  -0.233 -1.423  -0.280 -1.365  -0.324 -1.237  -0.497 -1.237  -0.497 -1.082  -0.478 -0.910  -0.459 -0.739  -0.440 -0.567  -0.421 -0.396  -0.402 -0.224  -0.383 -0.052  -0.364 0.119  -0.345 0.291  -0.326 0.463  -0.307 0.634  -0.287 0.806  -0.173 0.871  -0.001 0.871  0.172 0.871  0.345 0.871  0.489 0.938  0.612 1.060  0.766 1.106  0.924 1.139  1.046 1.261  1.187 1.340  1.359 1.340
2#app#app41#app4105/`  -1.071 1.428  -1.011 1.368  -0.951 1.308  -0.891 1.248  -0.831 1.188  -0.771 1.128  -0.711 1.068  -0.651 1.008  -0.591 0.947  -0.530 0.887  -0.470 0.827  -0.410 0.767  -0.357 0.705  -0.357 0.620  -0.357 0.535  -0.357 0.450  -0.357 0.365  -0.357 0.280  -0.357 0.195  -0.357 0.110  -0.357 0.025  -0.297 0.000  -0.212 0.000  -0.127 0.000  -0.042 0.000  0.042 0.000  0.127 0.000  0.212 0.000  0.297 0.000  0.357 -0.025  0.357 -0.110  0.357 -0.195  0.357 -0.280  0.357 -0.365  0.357 -0.450  0.357 -0.535  0.357 -0.620  0.357 -0.705  0.410 -0.767  0.470 -0.827  0.530 -0.887  0.591 -0.947  0.651 -1.008  0.711 -1.068  0.771 -1.128  0.831 -1.188  0.891 -1.248  0.951 -1.308  1.011 -1.368  1.071 -1.428
2#app#app41#app4105/i  0.000 0.909  0.000 0.782  0.000 0.655  0.000 0.528  0.000 0.401  0.000 0.274  0.000 0.147  0.000 0.019  0.000 -0.108  0.000 -0.235  0.000 -0.362  0.000 -0.489  0.000 -0.616  0.000 -0.743  0.000 -0.871  0.000 -0.998  0.000 -1.125  0.000 -1.252  0.000 -1.379  0.000 -1.506  0.000 -1.633  0.000 -1.518  0.000 -1.391  0.000 -1.263  0.000 -1.136  0.000 -1.009  0.000 -0.882  0.000 -0.755  0.000 -0.628  0.000 -0.501  0.000 -0.374  0.000 -0.246  0.000 -0.119  0.000 0.008  0.000 0.135  0.000 0.262  0.000 0.389  0.000 0.516  0.000 0.644  0.000 0.771  0.000 0.898  0.000 1.025  0.000 1.152  0.000 1.279  0.000 1.406  0.000 1.533  0.000 1.661  0.000 1.788  0.000 1.915  0.000 2.042
2#app#app41#app4105/s  0.060 1.381  -0.045 1.381  -0.150 1.381  -0.255 1.381  -0.360 1.381  -0.464 1.381  -0.569 1.381  -0.573 1.279  -0.573 1.174  -0.573 1.070  -0.573 0.965  -0.573 0.860  -0.573 0.755  -0.504 0.679  -0.429 0.605  -0.355 0.530  -0.281 0.456  -0.256 0.362  -0.256 0.257  -0.256 0.152  -0.188 0.115  -0.083 0.115  0.021 0.115  0.107 0.068  0.181 -0.006  0.255 -0.080  0.329 -0.154  0.415 -0.201  0.520 -0.201  0.624 -0.201  0.693 -0.238  0.693 -0.343  0.693 -0.448  0.693 -0.552  0.693 -0.657  0.693 -0.762  0.669 -0.857  0.595 -0.932  0.521 -1.006  0.447 -1.080  0.371 -1.150  0.266 -1.150  0.161 -1.150  0.056 -1.150  -0.048 -1.150  -0.153 -1.150  -0.258 -1.150  -0.363 -1.150  -0.468 -1.150  -0.573 -1.150
