2#apb#apb10#app1028/Q  0.705 0.621  0.857 0.764  0.992 0.889  1.000 1.096  0.879 1.260  0.685 1.337  0.483 1.324  0.284 1.260  0.087 1.190  -0.094 1.085  -0.274 0.978  -0.438 0.848  -0.602 0.718  -0.739 0.561  -0.870 0.398  -0.974 0.219  -1.050 0.024  -1.116 -0.174  -1.155 -0.379  -1.185 -0.585  -1.158 -0.793  -1.066 -0.969  -0.903 -1.094  -0.709 -1.166  -0.501 -1.140  -0.299 -1.094  -0.104 -1.017  0.080 -0.920  0.255 -0.807  0.399 -0.654  0.511 -0.478  0.572 -0.279  0.616 -0.075  0.658 0.130  0.684 0.337  0.580 0.480  0.513 0.477  0.380 0.315  0.247 0.154  0.114 -0.008  -0.019 -0.170  -0.147 -0.318  -0.046 -0.189  0.163 -0.178  0.372 -0.178  0.375 -0.368  0.290 -0.558  0.229 -0.758  0.199 -0.961  0.242 -1.157
2#apb#apb10#app1028/u  -0.718 0.784  -0.718 0.699  -0.813 0.584  -0.922 0.474  -1.032 0.365  -1.141 0.255  -1.215 0.122  -1.268 -0.023  -1.316 -0.170  -1.301 -0.323  -1.259 -0.472  -1.186 -0.607  -1.059 -0.693  -0.928 -0.776  -0.786 -0.835  -0.633 -0.860  -0.506 -0.801  -0.395 -0.694  -0.283 -0.586  -0.172 -0.479  -0.060 -0.371  0.051 -0.264  0.163 -0.156  0.274 -0.049  0.386 0.059  0.497 0.166  0.609 0.274  0.720 0.381  0.832 0.489  0.944 0.596  1.055 0.704  1.167 0.811  1.278 0.919  1.314 0.990  1.192 0.896  1.092 0.779  0.988 0.664  0.867 0.567  0.764 0.453  0.669 0.331  0.576 0.207  0.502 0.071  0.427 -0.065  0.353 -0.201  0.278 -0.336  0.203 -0.472  0.169 -0.622  0.138 -0.774  0.113 -0.927  0.091 -1.080
2#apb#apb10#app1028/i  -0.326 0.178  -0.373 0.084  -0.419 -0.009  -0.450 -0.109  -0.478 -0.210  -0.489 -0.313  -0.489 -0.418  -0.498 -0.522  -0.519 -0.624  -0.539 -0.727  -0.563 -0.828  -0.597 -0.928  -0.610 -1.027  -0.581 -1.128  -0.548 -1.226  -0.455 -1.272  -0.361 -1.319  -0.321 -1.226  -0.283 -1.129  -0.244 -1.031  -0.206 -0.934  -0.167 -0.837  -0.129 -0.739  -0.090 -0.642  -0.052 -0.545  -0.013 -0.448  0.025 -0.350  0.064 -0.253  0.102 -0.156  0.141 -0.058  0.179 0.039  0.218 0.136  0.256 0.234  0.295 0.331  0.333 0.428  0.372 0.526  0.410 0.623  0.449 0.720  0.487 0.818  0.525 0.915  0.564 1.012  0.602 1.110  0.641 1.207  0.679 1.304  0.718 1.402  0.732 1.491  0.641 1.542  0.551 1.594  0.455 1.637  0.358 1.676
2#apb#apb10#app1028/c  0.890 -0.004  0.974 0.056  1.058 0.115  1.121 0.190  1.139 0.290  1.139 0.393  1.127 0.493  1.089 0.589  1.049 0.683  1.009 0.778  0.945 0.843  0.844 0.860  0.742 0.868  0.639 0.868  0.536 0.868  0.436 0.858  0.345 0.810  0.255 0.761  0.164 0.713  0.073 0.664  -0.017 0.616  -0.103 0.559  -0.188 0.502  -0.274 0.445  -0.359 0.388  -0.445 0.331  -0.517 0.259  -0.579 0.178  -0.642 0.096  -0.705 0.015  -0.767 -0.067  -0.826 -0.151  -0.883 -0.236  -0.940 -0.322  -0.978 -0.413  -0.978 -0.516  -0.978 -0.619  -0.925 -0.706  -0.868 -0.791  -0.811 -0.877  -0.727 -0.926  -0.629 -0.957  -0.531 -0.987  -0.433 -1.017  -0.333 -1.040  -0.231 -1.057  -0.130 -1.074  -0.028 -1.091  0.073 -1.108  0.174 -1.125
2#apb#apb10#app1028/k  0.313 1.827  0.260 1.763  0.171 1.561  0.089 1.355  0.024 1.144  -0.041 0.932  -0.108 0.721  -0.176 0.510  -0.246 0.301  -0.347 0.104  -0.449 -0.093  -0.551 -0.289  -0.656 -0.484  -0.762 -0.678  -0.871 -0.871  -0.983 -1.062  -1.091 -1.255  -1.135 -1.341  -0.976 -1.188  -0.816 -1.034  -0.657 -0.880  -0.497 -0.727  -0.338 -0.573  -0.179 -0.420  -0.019 -0.266  0.140 -0.112  0.300 0.041  0.459 0.195  0.618 0.348  0.778 0.502  0.937 0.656  1.070 0.820  0.952 0.811  0.746 0.734  0.548 0.635  0.348 0.540  0.145 0.455  -0.065 0.385  -0.275 0.315  -0.398 0.160  -0.380 -0.058  -0.198 -0.152  0.012 -0.219  0.226 -0.271  0.434 -0.345  0.578 -0.505  0.716 -0.678  0.778 -0.886  0.784 -1.107  0.784 -1.323
2#apb#apb10#app1028/j  -0.533 0.042  -0.356 0.040  -0.204 0.137  -0.054 0.243  0.108 0.333  0.122 0.353  0.142 0.405  0.255 0.548  0.348 0.703  0.442 0.858  0.479 0.892  0.421 0.717  0.388 0.535  0.388 0.350  0.345 0.170  0.306 -0.011  0.266 -0.192  0.205 -0.367  0.136 -0.539  0.053 -0.705  -0.038 -0.866  -0.144 -1.017  -0.259 -1.162  -0.387 -1.295  -0.531 -1.413  -0.695 -1.475  -0.876 -1.461  -1.019 -1.346  -1.086 -1.181  -1.046 -1.000  -0.983 -0.830  -0.863 -0.688  -0.737 -0.553  -0.597 -0.432  -0.452 -0.316  -0.296 -0.217  -0.138 -0.119  0.019 -0.021  0.176 0.078  0.333 0.176  0.490 0.274  0.569 0.421  0.591 0.605  0.612 0.789  0.634 0.973  0.656 1.157  0.677 1.341  0.699 1.525  0.720 1.710  0.712 1.831
2#apb#apb10#app1028/u  -1.055 0.591  -0.996 0.739  -0.925 0.721  -0.884 0.605  -0.929 0.452  -0.994 0.307  -1.060 0.162  -1.144 0.026  -1.224 -0.111  -1.250 -0.266  -1.243 -0.425  -1.214 -0.581  -1.102 -0.693  -0.950 -0.727  -0.791 -0.740  -0.632 -0.740  -0.473 -0.740  -0.313 -0.740  -0.156 -0.723  0.002 -0.708  0.096 -0.586  0.183 -0.453  0.270 -0.320  0.358 -0.187  0.445 -0.053  0.532 0.080  0.619 0.213  0.707 0.347  0.794 0.480  0.881 0.613  0.968 0.747  1.056 0.880  1.143 1.013  1.171 1.136  1.059 1.028  0.963 0.901  0.873 0.769  0.787 0.635  0.701 0.501  0.621 0.364  0.561 0.216  0.502 0.068  0.443 -0.080  0.386 -0.228  0.329 -0.377  0.271 -0.526  0.206 -0.671  0.143 -0.817  0.120 -0.973  0.146 -1.130
2#apb#apb10#app1028/m  -1.080 0.207  -1.004 0.080  -1.004 -0.108  -1.116 -0.258  -1.239 -0.400  -1.343 -0.554  -1.442 -0.714  -1.449 -0.757  -1.329 -0.612  -1.210 -0.467  -1.091 -0.322  -0.971 -0.177  -0.933 -0.043  -0.769 0.039  -0.594 0.107  -0.424 0.186  -0.257 0.272  -0.091 0.360  0.085 0.425  0.238 0.509  0.175 0.339  0.100 0.167  0.022 -0.003  -0.080 -0.161  -0.176 -0.323  -0.266 -0.487  -0.343 -0.655  -0.275 -0.703  -0.183 -0.539  -0.091 -0.375  0.000 -0.211  0.092 -0.046  0.130 0.108  0.268 0.219  0.439 0.296  0.607 0.379  0.765 0.480  0.936 0.556  1.112 0.622  1.282 0.702  1.458 0.762  1.617 0.752  1.546 0.580  1.444 0.422  1.329 0.275  1.207 0.131  1.106 -0.027  1.002 -0.183  0.900 -0.340  0.905 -0.512
2#apb#apb10#app1028/p  0.114 0.763  0.070 0.605  0.027 0.433  -0.046 0.273  -0.136 0.121  -0.220 -0.035  -0.302 -0.193  -0.385 -0.349  -0.472 -0.504  -0.558 -0.658  -0.651 -0.809  -0.752 -0.955  -0.852 -1.102  -0.953 -1.247  -1.038 -1.403  -1.016 -1.477  -0.930 -1.323  -0.851 -1.164  -0.772 -1.005  -0.694 -0.846  -0.615 -0.687  -0.536 -0.529  -0.458 -0.370  -0.379 -0.211  -0.300 -0.052  -0.221 0.107  -0.143 0.266  -0.064 0.425  -0.039 0.596  0.006 0.767  0.095 0.920  0.209 1.055  0.340 1.167  0.511 1.215  0.687 1.214  0.848 1.163  0.983 1.048  1.077 0.901  1.147 0.739  1.206 0.572  1.235 0.397  1.183 0.231  1.057 0.111  0.893 0.054  0.720 0.016  0.548 -0.025  0.372 -0.045  0.195 -0.055  0.018 -0.056  -0.159 -0.056
2#apb#apb10#app1028/i  0.039 0.751  -0.068 0.716  -0.131 0.605  -0.207 0.504  -0.297 0.414  -0.379 0.318  -0.429 0.201  -0.479 0.084  -0.529 -0.033  -0.550 -0.158  -0.560 -0.285  -0.569 -0.412  -0.551 -0.537  -0.525 -0.662  -0.498 -0.786  -0.459 -0.907  -0.407 -1.024  -0.349 -1.136  -0.271 -1.237  -0.181 -1.327  -0.074 -1.358  0.049 -1.327  0.172 -1.292  0.294 -1.256  0.386 -1.199  0.377 -1.071  0.367 -0.944  0.358 -0.817  0.349 -0.690  0.339 -0.563  0.330 -0.436  0.320 -0.309  0.311 -0.182  0.302 -0.055  0.292 0.073  0.283 0.200  0.273 0.327  0.264 0.454  0.254 0.581  0.245 0.708  0.236 0.835  0.226 0.962  0.217 1.090  0.207 1.217  0.198 1.344  0.189 1.471  0.179 1.598  0.170 1.725  0.160 1.852  0.127 1.973
2#apb#apb10#app1028/n  -1.066 0.301  -0.961 0.354  -0.806 0.416  -0.650 0.473  -0.501 0.546  -0.341 0.576  -0.415 0.429  -0.481 0.277  -0.567 0.134  -0.647 -0.011  -0.722 -0.160  -0.796 -0.309  -0.871 -0.458  -0.944 -0.607  -1.003 -0.763  -1.057 -0.921  -1.086 -1.084  -1.034 -1.012  -0.958 -0.864  -0.882 -0.716  -0.806 -0.568  -0.730 -0.419  -0.654 -0.271  -0.591 -0.120  -0.518 0.012  -0.385 0.112  -0.229 0.165  -0.069 0.211  0.091 0.258  0.250 0.306  0.410 0.354  0.568 0.407  0.724 0.463  0.880 0.520  1.037 0.577  1.194 0.633  1.350 0.689  1.508 0.743  1.476 0.664  1.356 0.548  1.239 0.431  1.126 0.308  1.013 0.185  0.916 0.052  0.832 -0.092  0.764 -0.243  0.719 -0.403  0.697 -0.562  0.762 -0.714  0.859 -0.849
