3#app#app33#app3327/p  -0.468 0.516  -0.398 0.678  -0.398 0.868  -0.398 0.812  -0.351 0.632  -0.284 0.454  -0.258 0.267  -0.236 0.079  -0.190 -0.106  -0.188 -0.296  -0.136 -0.478  -0.118 -0.666  -0.067 -0.845  -0.046 -1.031  0.000 -1.216  0.092 -1.375  0.130 -1.550  0.162 -1.728  0.106 -1.862  0.065 -1.688  0.035 -1.499  0.006 -1.311  -0.023 -1.122  -0.052 -0.934  -0.082 -0.745  -0.111 -0.557  -0.140 -0.368  -0.170 -0.180  -0.199 0.009  -0.228 0.197  -0.258 0.385  -0.287 0.574  -0.316 0.762  -0.346 0.951  -0.375 1.139  -0.367 1.316  -0.207 1.415  -0.018 1.425  0.169 1.418  0.323 1.309  0.468 1.189  0.570 1.029  0.621 0.846  0.698 0.679  0.721 0.498  0.721 0.307  0.642 0.147  0.543 -0.013  0.408 -0.148  0.232 -0.184
3#app#app33#app3327/i  -0.090 0.215  -0.090 0.105  -0.090 -0.005  -0.057 -0.101  0.021 -0.179  0.052 -0.276  0.052 -0.386  0.052 -0.496  0.052 -0.606  0.052 -0.715  0.052 -0.825  0.064 -0.930  0.142 -1.008  0.194 -1.096  0.194 -1.206  0.194 -1.316  0.194 -1.426  0.187 -1.434  0.174 -1.325  0.160 -1.216  0.147 -1.107  0.133 -0.998  0.119 -0.889  0.106 -0.780  0.092 -0.671  0.078 -0.562  0.065 -0.453  0.051 -0.344  0.038 -0.235  0.024 -0.126  0.010 -0.017  -0.003 0.093  -0.017 0.202  -0.031 0.311  -0.044 0.420  -0.058 0.529  -0.072 0.638  -0.085 0.747  -0.099 0.856  -0.112 0.965  -0.126 1.074  -0.140 1.183  -0.153 1.292  -0.167 1.401  -0.181 1.510  -0.194 1.619  -0.208 1.728  -0.221 1.837  -0.231 1.947  -0.231 2.057
3#app#app33#app3327/n  -0.706 0.420  -0.706 0.277  -0.666 0.143  -0.607 0.013  -0.607 -0.130  -0.607 -0.273  -0.607 -0.416  -0.607 -0.560  -0.590 -0.699  -0.526 -0.827  -0.509 -0.966  -0.509 -1.110  -0.440 -1.225  -0.410 -1.356  -0.410 -1.404  -0.410 -1.261  -0.410 -1.118  -0.410 -0.974  -0.410 -0.831  -0.410 -0.688  -0.410 -0.544  -0.410 -0.401  -0.410 -0.258  -0.410 -0.114  -0.410 0.029  -0.364 0.165  -0.319 0.301  -0.312 0.443  -0.282 0.579  -0.218 0.707  -0.154 0.835  -0.075 0.953  0.027 1.054  0.140 1.139  0.268 1.203  0.410 1.208  0.531 1.153  0.632 1.052  0.750 0.973  0.870 0.904  0.894 0.766  0.958 0.638  1.022 0.510  1.067 0.377  1.067 0.234  1.078 0.092  1.123 -0.043  1.166 -0.180  1.166 -0.323  1.166 -0.466
3#app#app33#app3327/k  -1.015 1.691  -0.894 1.520  -0.894 1.299  -0.803 1.115  -0.773 0.906  -0.747 0.695  -0.652 0.513  -0.622 0.299  -0.530 0.099  -0.530 -0.122  -0.409 -0.293  -0.409 -0.515  -0.408 -0.736  -0.338 -0.946  -0.288 -1.160  -0.288 -1.381  -0.236 -1.330  -0.156 -1.124  -0.075 -0.918  0.006 -0.711  0.086 -0.505  0.167 -0.299  0.248 -0.093  0.328 0.113  0.409 0.320  0.490 0.526  0.570 0.732  0.651 0.938  0.732 1.144  0.803 1.303  0.800 1.085  0.682 0.981  0.561 0.881  0.517 0.678  0.328 0.600  0.228 0.479  0.148 0.308  -0.009 0.152  -0.079 -0.040  -0.236 -0.197  -0.393 -0.354  -0.409 -0.568  -0.248 -0.652  -0.092 -0.809  0.110 -0.855  0.328 -0.864  0.503 -0.976  0.724 -0.976  0.946 -0.976  1.167 -0.976
3#app#app33#app3327/,  -0.127 1.711  -0.127 1.639  -0.127 1.567  -0.127 1.495  -0.127 1.423  -0.127 1.351  -0.127 1.279  -0.127 1.207  -0.127 1.135  -0.127 1.063  -0.127 0.991  -0.127 0.919  -0.127 0.847  -0.127 0.776  -0.127 0.704  -0.106 0.636  -0.074 0.572  -0.042 0.508  -0.009 0.443  0.023 0.379  0.055 0.315  0.087 0.250  0.119 0.186  0.132 0.117  0.132 0.045  0.132 -0.027  0.132 -0.099  0.132 -0.171  0.132 -0.243  0.132 -0.315  0.132 -0.387  0.132 -0.459  0.132 -0.531  0.132 -0.603  0.132 -0.675  0.132 -0.747  0.132 -0.819  0.132 -0.891  0.132 -0.963  0.132 -1.035  0.132 -1.107  0.098 -1.165  0.047 -1.216  -0.004 -1.266  -0.055 -1.317  -0.106 -1.368  -0.127 -1.432  -0.127 -1.504  -0.127 -1.575  -0.127 -1.647
3#app#app33#app3327/i  -0.032 0.054  -0.032 -0.049  -0.032 -0.151  -0.032 -0.254  -0.032 -0.357  -0.032 -0.459  -0.032 -0.562  -0.032 -0.664  -0.032 -0.767  -0.032 -0.870  -0.032 -0.972  -0.032 -1.075  -0.032 -1.177  -0.032 -1.280  -0.032 -1.382  -0.031 -1.459  -0.029 -1.356  -0.026 -1.254  -0.023 -1.151  -0.021 -1.049  -0.018 -0.946  -0.015 -0.843  -0.013 -0.741  -0.010 -0.638  -0.008 -0.536  -0.005 -0.433  -0.002 -0.331  0.000 -0.228  0.003 -0.126  0.006 -0.023  0.008 0.080  0.011 0.182  0.014 0.285  0.016 0.387  0.019 0.490  0.021 0.592  0.024 0.695  0.027 0.798  0.029 0.900  0.032 1.003  0.035 1.105  0.037 1.208  0.040 1.310  0.042 1.413  0.045 1.515  0.048 1.618  0.050 1.721  0.053 1.823  0.056 1.926  0.058 2.028
3#app#app33#app3327/s  -0.731 0.976  -0.842 0.976  -0.952 0.976  -0.955 0.868  -0.955 0.758  -0.955 0.647  -1.028 0.567  -1.067 0.472  -1.013 0.416  -0.955 0.363  -0.919 0.341  -0.839 0.416  -0.729 0.418  -0.651 0.496  -0.554 0.528  -0.462 0.573  -0.379 0.640  -0.269 0.640  -0.158 0.640  -0.047 0.640  0.063 0.640  0.171 0.634  0.249 0.555  0.341 0.496  0.440 0.447  0.531 0.386  0.609 0.308  0.718 0.304  0.771 0.211  0.820 0.112  0.836 0.005  0.836 -0.105  0.836 -0.216  0.836 -0.326  0.836 -0.437  0.836 -0.547  0.836 -0.658  0.771 -0.703  0.689 -0.756  0.628 -0.848  0.566 -0.940  0.505 -1.032  0.428 -1.112  0.350 -1.190  0.270 -1.263  0.159 -1.263  0.048 -1.263  -0.062 -1.263  -0.173 -1.263  -0.283 -1.263
3#app#app33#app3327/t  0.130 1.891  0.099 1.996  0.026 1.933  0.026 1.797  0.026 1.660  0.026 1.524  0.026 1.388  0.028 1.251  0.055 1.118  0.081 0.984  0.108 0.850  0.130 0.716  0.130 0.580  0.130 0.444  0.130 0.307  0.130 0.171  0.130 0.035  0.179 -0.090  0.235 -0.213  0.235 -0.350  0.268 -0.478  0.329 -0.600  0.340 -0.734  0.340 -0.870  0.340 -1.007  0.340 -1.143  0.340 -1.279  0.288 -1.322  0.173 -1.249  0.058 -1.176  -0.057 -1.103  -0.172 -1.029  -0.287 -0.956  -0.402 -0.883  -0.517 -0.810  -0.632 -0.737  -0.747 -0.663  -0.753 -0.622  -0.707 -0.531  -0.621 -0.431  -0.525 -0.334  -0.410 -0.264  -0.288 -0.202  -0.191 -0.106  -0.072 -0.042  0.050 0.019  0.172 0.080  0.301 0.111  0.427 0.155  0.549 0.216
3#app#app33#app3327/h  -0.679 1.531  -0.588 1.407  -0.588 1.246  -0.530 1.109  -0.498 0.961  -0.498 0.800  -0.498 0.638  -0.498 0.477  -0.458 0.322  -0.407 0.169  -0.407 0.008  -0.407 -0.153  -0.407 -0.314  -0.407 -0.476  -0.407 -0.637  -0.407 -0.798  -0.407 -0.960  -0.407 -1.121  -0.407 -1.282  -0.518 -1.356  -0.588 -1.224  -0.588 -1.062  -0.588 -0.901  -0.588 -0.740  -0.566 -0.582  -0.515 -0.429  -0.493 -0.272  -0.442 -0.119  -0.371 0.022  -0.296 0.158  -0.257 0.315  -0.203 0.463  -0.089 0.577  0.054 0.622  0.193 0.676  0.339 0.713  0.500 0.713  0.641 0.665  0.774 0.577  0.925 0.531  1.047 0.439  1.098 0.286  1.164 0.142  1.229 0.008  1.229 -0.154  1.229 -0.315  1.229 -0.476  1.173 -0.614  1.138 -0.761  1.047 -0.831
3#app#app33#app3327/e  -0.567 0.376  -0.465 0.273  -0.441 0.376  -0.297 0.376  -0.152 0.376  -0.036 0.445  0.090 0.491  0.234 0.491  0.379 0.491  0.524 0.491  0.668 0.491  0.813 0.491  0.842 0.376  0.934 0.323  0.934 0.342  0.823 0.376  0.801 0.509  0.699 0.611  0.597 0.713  0.576 0.849  0.474 0.952  0.338 0.972  0.233 1.069  0.088 1.069  0.010 1.002  -0.086 0.953  -0.194 0.865  -0.221 0.731  -0.230 0.589  -0.295 0.459  -0.359 0.330  -0.424 0.200  -0.472 0.065  -0.507 -0.076  -0.542 -0.216  -0.567 -0.358  -0.567 -0.502  -0.567 -0.647  -0.567 -0.792  -0.567 -0.936  -0.567 -1.081  -0.523 -1.215  -0.458 -1.345  -0.441 -1.483  -0.339 -1.586  -0.195 -1.588  -0.056 -1.613  0.074 -1.677  0.212 -1.703  0.357 -1.703
3#app#app33#app3327/r  -0.172 0.763  -0.172 0.632  -0.292 0.620  -0.315 0.512  -0.315 0.381  -0.315 0.250  -0.315 0.119  -0.315 -0.012  -0.280 -0.129  -0.187 -0.222  -0.172 -0.347  -0.172 -0.478  -0.172 -0.609  -0.172 -0.740  -0.172 -0.871  -0.172 -1.002  -0.172 -1.134  -0.172 -1.265  -0.172 -1.396  -0.178 -1.521  -0.309 -1.521  -0.315 -1.396  -0.315 -1.265  -0.315 -1.134  -0.315 -1.002  -0.315 -0.871  -0.315 -0.740  -0.315 -0.609  -0.295 -0.482  -0.237 -0.365  -0.178 -0.248  -0.172 -0.118  -0.172 0.013  -0.130 0.134  -0.071 0.251  -0.002 0.362  0.090 0.454  0.157 0.566  0.216 0.683  0.275 0.800  0.333 0.917  0.392 1.035  0.481 1.130  0.573 1.223  0.666 1.316  0.759 1.409  0.862 1.477  0.993 1.477  1.124 1.477  1.255 1.477
3#app#app33#app3327/e  -0.977 0.418  -0.959 0.280  -0.802 0.280  -0.700 0.334  -0.627 0.418  -0.470 0.418  -0.314 0.418  -0.157 0.418  -0.003 0.413  0.108 0.302  0.256 0.280  0.412 0.280  0.569 0.280  0.726 0.280  0.865 0.238  0.982 0.141  1.100 0.179  1.100 0.336  1.026 0.418  0.962 0.511  0.962 0.667  0.870 0.786  0.823 0.923  0.715 0.972  0.558 0.972  0.403 0.967  0.293 0.857  0.146 0.833  0.031 0.733  -0.054 0.603  -0.124 0.463  -0.221 0.343  -0.332 0.232  -0.436 0.116  -0.506 -0.024  -0.561 -0.168  -0.597 -0.310  -0.700 -0.424  -0.700 -0.580  -0.700 -0.737  -0.700 -0.894  -0.641 -1.026  -0.561 -1.150  -0.517 -1.288  -0.406 -1.399  -0.295 -1.510  -0.185 -1.620  -0.044 -1.659  0.113 -1.659  0.269 -1.659
3#app#app33#app3327/?  -0.884 0.370  -0.884 0.483  -0.838 0.576  -0.758 0.655  -0.679 0.734  -0.588 0.797  -0.487 0.847  -0.387 0.897  -0.282 0.927  -0.170 0.927  -0.069 0.976  0.036 1.006  0.148 1.006  0.260 1.006  0.373 1.006  0.456 0.938  0.564 0.927  0.662 0.892  0.706 0.798  0.708 0.686  0.785 0.606  0.785 0.494  0.785 0.382  0.770 0.276  0.691 0.197  0.612 0.117  0.529 0.043  0.428 -0.007  0.321 -0.027  0.219 -0.072  0.125 -0.131  0.036 -0.186  -0.076 -0.186  -0.182 -0.200  -0.248 -0.285  -0.248 -0.397  -0.248 -0.509  -0.248 -0.622  -0.248 -0.734  -0.248 -0.846  -0.248 -0.958  -0.248 -1.070  -0.248 -1.182  -0.248 -1.295  -0.248 -1.407  -0.248 -1.519  -0.238 -1.627  -0.168 -1.710  -0.168 -1.823  -0.168 -1.776
3#app#app33#app3327/I  -1.018 0.274  -0.911 0.280  -0.834 0.357  -0.733 0.374  -0.651 0.440  -0.556 0.474  -0.468 0.524  -0.384 0.591  -0.287 0.639  -0.196 0.696  -0.119 0.773  -0.010 0.774  0.094 0.786  0.171 0.863  0.247 0.939  0.342 0.974  0.431 1.023  0.518 1.074  0.581 1.119  0.557 1.125  0.509 1.028  0.460 0.930  0.411 0.833  0.368 0.734  0.334 0.630  0.299 0.527  0.258 0.427  0.209 0.330  0.167 0.230  0.133 0.127  0.098 0.023  0.082 -0.083  0.082 -0.192  0.058 -0.296  0.024 -0.400  -0.011 -0.503  -0.018 -0.610  -0.018 -0.719  -0.018 -0.828  -0.018 -0.937  -0.018 -1.045  -0.018 -1.154  -0.018 -1.263  -0.018 -1.372  -0.018 -1.481  -0.018 -1.589  -0.018 -1.698  -0.018 -1.807  -0.018 -1.916  -0.018 -2.024
3#app#app33#app3327/f  0.379 1.926  0.379 1.924  0.320 1.806  0.314 1.676  0.276 1.550  0.249 1.422  0.249 1.290  0.212 1.164  0.171 1.039  0.129 0.914  0.119 0.783  0.119 0.652  0.086 0.525  0.054 0.398  0.054 0.266  0.054 0.134  0.054 0.002  0.054 -0.130  0.047 -0.261  0.026 -0.391  0.004 -0.522  -0.011 -0.652  -0.011 -0.784  -0.011 -0.916  -0.011 -1.048  -0.011 -1.180  -0.062 -1.300  -0.077 -1.429  -0.077 -1.561  -0.021 -1.556  -0.054 -1.428  -0.087 -1.300  -0.121 -1.173  -0.154 -1.045  -0.187 -0.917  -0.221 -0.789  -0.254 -0.662  -0.287 -0.534  -0.321 -0.406  -0.354 -0.279  -0.387 -0.151  -0.402 -0.021  -0.396 0.109  -0.303 0.202  -0.209 0.295  -0.100 0.369  0.011 0.439  0.131 0.493  0.261 0.499  0.379 0.558
3#app#app33#app3327/y  -0.590 1.441  -0.656 1.274  -0.656 1.092  -0.656 0.910  -0.571 0.764  -0.473 0.613  -0.393 0.501  -0.272 0.393  -0.103 0.414  -0.021 0.562  0.015 0.729  0.102 0.884  0.170 1.052  0.200 1.227  0.265 1.382  0.320 1.331  0.331 1.151  0.331 0.969  0.331 0.787  0.331 0.606  0.331 0.424  0.331 0.242  0.331 0.060  0.331 -0.122  0.331 -0.304  0.331 -0.486  0.331 -0.668  0.331 -0.850  0.331 -1.032  0.331 -1.214  0.331 -1.396  0.291 -1.561  0.147 -1.653  -0.034 -1.653  -0.183 -1.560  -0.328 -1.454  -0.456 -1.326  -0.509 -1.157  -0.524 -0.978  -0.524 -0.797  -0.488 -0.630  -0.396 -0.475  -0.315 -0.312  -0.217 -0.161  -0.089 -0.032  0.067 0.058  0.232 0.135  0.403 0.196  0.549 0.299  0.726 0.322
