2#apb#apb40#app4073/D  -0.279 0.986  -0.327 1.035  -0.320 0.845  -0.318 0.654  -0.318 0.464  -0.318 0.274  -0.321 0.084  -0.325 -0.107  -0.329 -0.297  -0.334 -0.487  -0.340 -0.677  -0.339 -0.868  -0.331 -1.058  -0.301 -1.176  -0.322 -0.988  -0.329 -0.798  -0.342 -0.608  -0.357 -0.418  -0.376 -0.229  -0.401 -0.040  -0.427 0.148  -0.447 0.337  -0.455 0.527  -0.462 0.717  -0.467 0.907  -0.426 1.093  -0.385 1.279  -0.260 1.387  -0.077 1.442  0.090 1.353  0.258 1.264  0.386 1.128  0.499 0.975  0.612 0.822  0.691 0.651  0.746 0.469  0.800 0.287  0.849 0.104  0.845 -0.086  0.840 -0.277  0.830 -0.466  0.762 -0.643  0.694 -0.821  0.593 -0.981  0.477 -1.131  0.344 -1.265  0.194 -1.382  0.023 -1.461  -0.158 -1.508  -0.343 -1.462
2#apb#apb40#app4073/e  -1.485 -0.813  -1.327 -0.862  -1.162 -0.840  -0.997 -0.818  -0.852 -0.741  -0.713 -0.650  -0.573 -0.560  -0.455 -0.443  -0.344 -0.319  -0.233 -0.196  -0.121 -0.072  -0.005 0.047  0.113 0.165  0.230 0.282  0.348 0.400  0.451 0.530  0.541 0.670  0.631 0.810  0.685 0.963  0.709 1.128  0.671 1.272  0.553 1.390  0.397 1.344  0.239 1.291  0.105 1.199  -0.012 1.081  -0.130 0.964  -0.248 0.846  -0.333 0.706  -0.395 0.552  -0.458 0.398  -0.521 0.244  -0.573 0.087  -0.592 -0.079  -0.611 -0.244  -0.568 -0.399  -0.498 -0.550  -0.380 -0.650  -0.225 -0.712  -0.071 -0.774  0.088 -0.805  0.253 -0.783  0.418 -0.761  0.583 -0.739  0.748 -0.717  0.907 -0.670  1.066 -0.619  1.224 -0.568  1.382 -0.517  1.541 -0.466
2#apb#apb40#app4073/l  -0.631 -1.061  -0.627 -1.013  -0.520 -0.915  -0.421 -0.810  -0.322 -0.704  -0.219 -0.602  -0.115 -0.502  -0.010 -0.402  0.091 -0.300  0.175 -0.181  0.258 -0.063  0.341 0.055  0.408 0.182  0.449 0.321  0.490 0.459  0.524 0.599  0.524 0.744  0.524 0.889  0.524 1.033  0.497 1.175  0.462 1.315  0.427 1.456  0.341 1.571  0.235 1.556  0.119 1.469  0.054 1.341  -0.008 1.211  -0.070 1.080  -0.132 0.949  -0.186 0.815  -0.228 0.676  -0.270 0.538  -0.312 0.400  -0.354 0.261  -0.397 0.123  -0.403 -0.021  -0.407 -0.166  -0.410 -0.311  -0.413 -0.456  -0.416 -0.600  -0.357 -0.732  -0.297 -0.864  -0.237 -0.996  -0.170 -1.122  -0.056 -1.210  0.059 -1.299  0.173 -1.387  0.306 -1.444  0.440 -1.500  0.573 -1.556
2#apb#apb40#app4073/a  0.546 0.958  0.463 1.068  0.360 1.153  0.232 1.181  0.098 1.145  -0.035 1.110  -0.138 1.021  -0.238 0.926  -0.338 0.830  -0.437 0.735  -0.531 0.635  -0.604 0.518  -0.678 0.401  -0.751 0.284  -0.824 0.167  -0.897 0.050  -0.954 -0.073  -0.989 -0.207  -1.023 -0.340  -1.058 -0.474  -1.084 -0.607  -1.040 -0.738  -0.996 -0.869  -0.896 -0.946  -0.768 -0.999  -0.641 -1.051  -0.510 -1.022  -0.379 -0.978  -0.249 -0.935  -0.118 -0.891  -0.008 -0.809  0.101 -0.724  0.211 -0.640  0.320 -0.556  0.423 -0.464  0.523 -0.369  0.623 -0.274  0.723 -0.179  0.806 -0.072  0.868 0.052  0.929 0.175  0.988 0.300  1.039 0.428  1.051 0.548  0.986 0.430  0.967 0.293  0.952 0.157  0.972 0.020  0.993 -0.116  1.013 -0.252
2#apb#apb40#app4073/w  -1.140 0.791  -1.140 0.664  -1.157 0.538  -1.178 0.413  -1.198 0.288  -1.208 0.161  -1.208 0.034  -1.208 -0.093  -1.191 -0.218  -1.158 -0.340  -1.125 -0.463  -1.066 -0.571  -0.976 -0.660  -0.874 -0.728  -0.750 -0.756  -0.626 -0.751  -0.503 -0.723  -0.401 -0.651  -0.304 -0.569  -0.226 -0.470  -0.166 -0.359  -0.129 -0.239  -0.109 -0.114  -0.089 0.012  -0.068 0.137  -0.029 0.255  0.073 0.202  0.164 0.114  0.254 0.024  0.350 -0.059  0.452 -0.134  0.555 -0.209  0.662 -0.278  0.769 -0.346  0.890 -0.376  1.015 -0.394  1.134 -0.349  1.183 -0.237  1.193 -0.113  1.184 0.014  1.141 0.132  1.086 0.247  1.033 0.362  0.981 0.478  0.929 0.594  0.881 0.711  0.843 0.832  0.804 0.953  0.792 1.078  0.859 1.164
2#apb#apb40#app4073/a  0.773 1.056  0.773 1.210  0.675 1.310  0.538 1.332  0.391 1.290  0.243 1.248  0.122 1.156  0.002 1.060  -0.117 0.964  -0.237 0.868  -0.340 0.758  -0.422 0.629  -0.503 0.499  -0.585 0.369  -0.667 0.240  -0.748 0.110  -0.801 -0.033  -0.848 -0.179  -0.895 -0.324  -0.942 -0.470  -0.977 -0.618  -0.968 -0.770  -0.959 -0.923  -0.931 -1.068  -0.823 -1.176  -0.694 -1.235  -0.541 -1.235  -0.391 -1.223  -0.255 -1.151  -0.120 -1.079  0.010 -1.000  0.118 -0.892  0.227 -0.784  0.335 -0.675  0.411 -0.545  0.472 -0.405  0.534 -0.264  0.567 -0.117  0.583 0.036  0.599 0.188  0.615 0.340  0.627 0.493  0.638 0.646  0.611 0.508  0.611 0.355  0.611 0.202  0.619 0.049  0.653 -0.100  0.686 -0.250  0.719 -0.399
2#apb#apb40#app4073/r  -0.424 0.106  -0.517 0.050  -0.575 -0.035  -0.613 -0.137  -0.651 -0.238  -0.689 -0.340  -0.711 -0.445  -0.726 -0.552  -0.740 -0.660  -0.751 -0.767  -0.734 -0.874  -0.718 -0.982  -0.699 -1.087  -0.608 -1.147  -0.515 -1.201  -0.415 -1.244  -0.324 -1.223  -0.238 -1.157  -0.152 -1.090  -0.092 -1.001  -0.033 -0.910  0.026 -0.819  0.083 -0.727  0.105 -0.621  0.126 -0.514  0.147 -0.408  0.168 -0.302  0.187 -0.195  0.200 -0.088  0.212 0.020  0.225 0.128  0.237 0.236  0.249 0.343  0.264 0.451  0.287 0.557  0.311 0.662  0.334 0.768  0.358 0.874  0.381 0.980  0.405 1.086  0.437 1.189  0.474 1.291  0.510 1.393  0.562 1.473  0.650 1.430  0.720 1.347  0.765 1.250  0.799 1.147  0.833 1.044  0.868 0.941
2#apb#apb40#app4073/e  -0.735 -0.159  -0.657 -0.055  -0.522 0.009  -0.380 0.061  -0.237 0.106  -0.094 0.152  0.049 0.198  0.191 0.250  0.332 0.302  0.470 0.362  0.604 0.429  0.725 0.514  0.819 0.631  0.855 0.769  0.855 0.919  0.775 1.042  0.674 1.145  0.524 1.145  0.373 1.145  0.231 1.110  0.096 1.045  -0.040 0.979  -0.175 0.914  -0.300 0.833  -0.413 0.734  -0.527 0.635  -0.640 0.535  -0.743 0.430  -0.792 0.287  -0.841 0.145  -0.890 0.003  -0.906 -0.142  -0.878 -0.289  -0.850 -0.437  -0.786 -0.568  -0.690 -0.684  -0.595 -0.800  -0.475 -0.884  -0.336 -0.942  -0.197 -1.000  -0.058 -1.057  0.091 -1.075  0.240 -1.094  0.389 -1.113  0.539 -1.131  0.688 -1.123  0.837 -1.101  0.985 -1.080  1.134 -1.058  1.283 -1.036
2#apb#apb40#app4073/G  -1.187 -0.469  -1.311 -0.564  -1.320 -0.744  -1.198 -0.864  -1.025 -0.805  -0.854 -0.733  -0.706 -0.620  -0.559 -0.506  -0.414 -0.390  -0.280 -0.260  -0.147 -0.130  -0.022 0.008  0.086 0.159  0.176 0.320  0.235 0.496  0.240 0.679  0.221 0.864  0.150 1.036  0.070 1.203  -0.043 1.351  -0.183 1.359  -0.174 1.177  -0.106 1.006  0.016 0.878  0.183 0.797  0.369 0.790  0.553 0.808  0.731 0.858  0.837 0.990  0.770 0.954  0.727 0.775  0.720 0.588  0.724 0.402  0.732 0.216  0.744 0.031  0.742 -0.155  0.724 -0.340  0.692 -0.523  0.652 -0.705  0.626 -0.888  0.506 -1.028  0.340 -1.107  0.157 -1.140  -0.027 -1.110  -0.199 -1.046  -0.363 -0.958  -0.501 -0.833  -0.637 -0.706  -0.768 -0.574  -0.700 -0.545
2#apb#apb40#app4073/e  -1.038 -0.625  -1.049 -0.778  -0.930 -0.874  -0.779 -0.920  -0.629 -0.867  -0.479 -0.814  -0.335 -0.747  -0.199 -0.664  -0.063 -0.581  0.064 -0.486  0.180 -0.377  0.295 -0.267  0.411 -0.157  0.514 -0.037  0.602 0.096  0.691 0.228  0.754 0.370  0.773 0.528  0.792 0.687  0.748 0.839  0.698 0.990  0.648 1.141  0.549 1.261  0.432 1.369  0.308 1.455  0.150 1.432  -0.001 1.397  -0.117 1.288  -0.234 1.179  -0.350 1.069  -0.409 0.925  -0.452 0.772  -0.496 0.619  -0.540 0.466  -0.554 0.309  -0.548 0.150  -0.542 -0.010  -0.537 -0.169  -0.489 -0.316  -0.410 -0.455  -0.332 -0.594  -0.253 -0.732  -0.124 -0.816  0.020 -0.885  0.164 -0.954  0.307 -1.023  0.461 -1.061  0.618 -1.091  0.774 -1.121  0.931 -1.151
2#apb#apb40#app4073/o  0.359 0.838  0.261 0.913  0.124 0.878  0.017 0.771  -0.090 0.664  -0.197 0.557  -0.292 0.440  -0.379 0.316  -0.467 0.192  -0.554 0.069  -0.641 -0.055  -0.722 -0.182  -0.762 -0.328  -0.803 -0.474  -0.844 -0.620  -0.885 -0.765  -0.852 -0.910  -0.807 -1.055  -0.753 -1.190  -0.607 -1.229  -0.460 -1.268  -0.315 -1.264  -0.170 -1.220  -0.025 -1.177  0.119 -1.130  0.247 -1.049  0.375 -0.968  0.503 -0.888  0.610 -0.787  0.680 -0.653  0.751 -0.519  0.821 -0.385  0.848 -0.237  0.864 -0.087  0.881 0.064  0.836 0.206  0.778 0.346  0.721 0.486  0.664 0.626  0.575 0.748  0.483 0.868  0.391 0.989  0.282 1.089  0.146 1.157  0.011 1.224  -0.126 1.187  -0.264 1.124  -0.372 1.030  -0.444 0.896  -0.516 0.763
