2#apb#apb33#app3353/A  0.286 0.708  0.264 0.822  0.136 0.842  -0.019 0.622  -0.165 0.397  -0.314 0.172  -0.483 -0.039  -0.631 -0.265  -0.794 -0.480  -0.955 -0.698  -1.137 -0.892  -1.303 -1.055  -1.477 -1.145  -1.494 -1.021  -1.369 -0.781  -1.234 -0.546  -1.084 -0.321  -0.884 -0.144  -0.719 0.068  -0.528 0.254  -0.333 0.439  -0.116 0.601  0.106 0.750  0.327 0.861  0.539 1.001  0.769 1.087  1.028 1.055  1.142 0.826  1.147 0.560  1.135 0.293  1.077 0.030  0.952 -0.209  0.787 -0.424  0.632 -0.645  0.463 -0.857  0.351 -1.039  0.445 -1.090  0.534 -0.927  0.385 -0.701  0.236 -0.476  0.086 -0.250  -0.063 -0.024  -0.213 0.202  -0.334 0.316  -0.197 0.306  0.070 0.313  0.336 0.338  0.606 0.349  0.872 0.392  1.135 0.425
2#apb#apb33#app3353/B  0.057 0.983  0.081 1.016  -0.088 0.795  -0.222 0.546  -0.337 0.287  -0.498 0.058  -0.629 -0.190  -0.760 -0.430  -0.935 -0.644  -1.131 -0.843  -1.216 -0.810  -1.063 -0.571  -0.915 -0.330  -0.765 -0.091  -0.604 0.141  -0.400 0.329  -0.221 0.542  -0.014 0.723  0.168 0.936  0.391 1.107  0.654 1.176  0.918 1.235  1.149 1.198  1.149 0.926  1.039 0.666  0.959 0.414  0.794 0.187  0.591 -0.010  0.338 -0.126  0.090 -0.193  -0.058 -0.023  0.028 0.157  0.296 0.227  0.562 0.290  0.837 0.234  0.960 0.015  1.022 -0.258  0.968 -0.530  0.849 -0.786  0.701 -1.027  0.485 -1.187  0.228 -1.252  -0.051 -1.242  -0.301 -1.108  -0.559 -0.994  -0.784 -0.823  -0.935 -0.595  -0.993 -0.318  -0.967 -0.038  -0.867 0.227
2#apb#apb33#app3353/C  0.822 0.835  0.875 0.846  0.834 0.782  0.811 0.672  0.787 0.599  0.751 0.520  0.791 0.587  0.836 0.668  0.893 0.765  0.947 0.857  0.885 0.928  0.779 0.918  0.685 0.927  0.575 0.938  0.471 0.895  0.370 0.840  0.274 0.778  0.164 0.752  0.056 0.715  -0.033 0.648  -0.115 0.602  -0.180 0.514  -0.264 0.438  -0.317 0.339  -0.405 0.266  -0.486 0.185  -0.567 0.104  -0.652 0.028  -0.719 -0.062  -0.786 -0.155  -0.818 -0.260  -0.848 -0.367  -0.889 -0.470  -0.902 -0.584  -0.866 -0.678  -0.846 -0.790  -0.815 -0.900  -0.723 -0.961  -0.677 -1.065  -0.580 -1.098  -0.489 -1.167  -0.382 -1.189  -0.277 -1.144  -0.166 -1.116  -0.063 -1.066  0.048 -1.049  0.159 -1.031  0.255 -0.972  0.350 -0.916  0.449 -0.906
2#apb#apb33#app3353/D  0.307 0.926  0.243 1.016  0.123 0.945  -0.007 0.776  -0.107 0.586  -0.206 0.394  -0.308 0.203  -0.424 0.022  -0.541 -0.157  -0.646 -0.343  -0.758 -0.525  -0.886 -0.696  -0.999 -0.877  -1.071 -1.028  -0.931 -1.014  -0.821 -0.828  -0.711 -0.641  -0.601 -0.455  -0.491 -0.268  -0.381 -0.081  -0.272 0.105  -0.162 0.292  -0.052 0.478  0.058 0.665  0.168 0.852  0.278 1.038  0.368 1.169  0.539 1.231  0.672 1.129  0.872 1.089  1.061 1.001  1.173 0.860  1.244 0.662  1.239 0.449  1.204 0.242  1.108 0.053  0.995 -0.122  0.869 -0.297  0.724 -0.456  0.567 -0.603  0.402 -0.728  0.223 -0.848  0.034 -0.952  -0.166 -0.992  -0.351 -1.091  -0.535 -0.995  -0.689 -0.848  -0.772 -0.656  -0.813 -0.447  -0.772 -0.235
2#apb#apb33#app3353/E  -0.193 0.428  -0.063 0.607  -0.137 0.340  -0.284 0.079  -0.426 -0.187  -0.607 -0.429  -0.778 -0.678  -0.920 -0.942  -1.103 -1.179  -1.171 -1.254  -1.023 -0.990  -0.875 -0.726  -0.726 -0.462  -0.578 -0.199  -0.430 0.065  -0.282 0.329  -0.133 0.593  0.036 0.817  0.189 0.977  0.471 1.016  0.768 1.038  1.060 1.085  1.351 1.147  1.650 1.145  1.633 1.114  1.372 0.960  1.111 0.807  0.850 0.653  0.590 0.500  0.329 0.346  0.068 0.193  -0.193 0.039  -0.432 0.029  -0.618 0.109  -0.394 0.092  -0.096 0.095  0.198 0.146  0.452 0.205  0.574 0.091  0.340 -0.101  0.106 -0.292  -0.128 -0.484  -0.362 -0.676  -0.596 -0.868  -0.775 -0.979  -0.534 -1.028  -0.243 -0.968  0.054 -0.944  0.333 -0.829  0.565 -0.828
2#apb#apb33#app3353/F  0.113 0.288  0.072 0.325  0.019 0.211  -0.128 0.064  -0.260 -0.104  -0.403 -0.263  -0.527 -0.438  -0.656 -0.609  -0.786 -0.778  -0.888 -0.967  -1.018 -1.136  -1.164 -1.293  -1.284 -1.460  -1.189 -1.418  -1.065 -1.246  -0.950 -1.065  -0.836 -0.884  -0.722 -0.703  -0.607 -0.521  -0.493 -0.340  -0.379 -0.159  -0.264 0.022  -0.150 0.203  -0.036 0.385  0.057 0.572  0.113 0.747  0.256 0.768  0.466 0.812  0.673 0.866  0.885 0.888  1.088 0.944  1.291 0.999  1.481 1.056  1.406 0.970  1.226 0.854  1.046 0.737  0.867 0.620  0.687 0.503  0.507 0.387  0.328 0.270  0.148 0.153  -0.032 0.036  -0.211 -0.081  -0.378 -0.124  -0.213 -0.151  -0.012 -0.102  0.187 -0.049  0.375 0.044  0.574 0.086  0.788 0.082
2#apb#apb33#app3353/G  1.279 0.951  1.183 1.022  1.079 1.101  0.922 1.115  0.765 1.122  0.609 1.102  0.453 1.122  0.295 1.120  0.139 1.098  -0.005 1.037  -0.161 1.032  -0.286 0.936  -0.414 0.843  -0.502 0.712  -0.600 0.591  -0.670 0.451  -0.744 0.311  -0.822 0.174  -0.863 0.022  -0.863 -0.136  -0.881 -0.293  -0.904 -0.449  -0.906 -0.607  -0.906 -0.765  -0.871 -0.917  -0.820 -1.038  -0.666 -1.041  -0.509 -1.021  -0.351 -1.020  -0.203 -0.985  -0.058 -0.934  0.098 -0.921  0.250 -0.881  0.405 -0.852  0.561 -0.827  0.673 -0.753  0.794 -0.669  0.866 -0.591  0.893 -0.461  0.847 -0.313  0.729 -0.227  0.583 -0.184  0.446 -0.115  0.300 -0.059  0.155 0.002  0.001 0.030  -0.157 0.030  -0.302 0.092  -0.450 0.054  -0.413 -0.013
2#apb#apb33#app3353/H  0.176 0.942  0.102 1.065  -0.098 0.921  -0.240 0.717  -0.364 0.502  -0.501 0.295  -0.637 0.088  -0.781 -0.115  -0.932 -0.313  -1.062 -0.523  -1.218 -0.715  -1.322 -0.879  -1.375 -1.074  -1.399 -1.201  -1.208 -1.042  -1.016 -0.883  -0.825 -0.725  -0.634 -0.566  -0.442 -0.407  -0.251 -0.249  -0.060 -0.090  0.132 0.069  0.323 0.227  0.514 0.386  0.706 0.545  0.897 0.703  1.088 0.862  1.280 1.021  1.464 1.177  1.288 1.060  1.150 0.859  0.998 0.682  0.908 0.457  0.808 0.231  0.719 0.000  0.604 -0.216  0.494 -0.437  0.349 -0.628  0.237 -0.848  0.064 -0.991  0.010 -0.832  -0.055 -0.592  -0.120 -0.352  -0.185 -0.112  -0.254 0.113  -0.339 0.096  -0.098 0.096  0.141 0.143  0.366 0.223  0.599 0.307
2#apb#apb33#app3353/I  0.647 0.252  0.592 0.259  0.591 0.442  0.609 0.635  0.647 0.770  0.576 0.750  0.454 0.597  0.316 0.460  0.200 0.303  0.067 0.158  -0.051 0.005  -0.177 -0.145  -0.317 -0.284  -0.440 -0.429  -0.552 -0.587  -0.668 -0.742  -0.738 -0.925  -0.851 -1.083  -0.895 -1.271  -0.885 -1.182  -0.992 -1.017  -1.112 -0.896  -1.254 -0.903  -1.120 -0.842  -0.926 -0.833  -0.730 -0.840  -0.547 -0.767  -0.357 -0.816  -0.161 -0.823  0.029 -0.772  0.203 -0.680  0.340 -0.608  0.286 -0.435  0.237 -0.244  0.189 -0.053  0.140 0.138  0.092 0.329  0.044 0.520  -0.005 0.711  -0.079 0.878  -0.162 0.828  -0.024 0.897  0.168 0.939  0.363 0.969  0.553 1.020  0.750 1.020  0.944 1.047  1.138 1.081  1.334 1.095  1.530 1.078
2#apb#apb33#app3353/J  0.656 0.709  0.638 0.813  0.568 0.695  0.551 0.568  0.528 0.433  0.489 0.297  0.451 0.159  0.420 0.019  0.385 -0.120  0.340 -0.257  0.289 -0.391  0.225 -0.518  0.148 -0.639  0.089 -0.769  -0.021 -0.862  -0.098 -0.982  -0.142 -1.118  -0.232 -1.197  -0.352 -1.270  -0.492 -1.267  -0.631 -1.264  -0.744 -1.209  -0.802 -1.078  -0.831 -0.938  -0.880 -0.804  -0.912 -0.667  -0.950 -0.529  -1.040 -0.419  -0.979 -0.299  -0.883 -0.192  -0.787 -0.085  -0.692 0.022  -0.596 0.129  -0.500 0.236  -0.404 0.343  -0.309 0.450  -0.220 0.562  -0.225 0.691  -0.089 0.720  0.037 0.790  0.167 0.849  0.309 0.871  0.442 0.922  0.583 0.912  0.726 0.924  0.869 0.928  1.012 0.936  1.153 0.962  1.297 0.965  1.440 0.965
2#apb#apb33#app3353/K  0.272 1.146  0.228 1.183  0.214 0.955  0.116 0.747  -0.030 0.561  -0.188 0.384  -0.341 0.202  -0.485 0.014  -0.634 -0.171  -0.794 -0.347  -0.959 -0.516  -1.109 -0.692  -1.253 -0.880  -1.429 -1.039  -1.360 -1.067  -1.159 -0.943  -0.970 -0.799  -0.781 -0.655  -0.592 -0.511  -0.403 -0.368  -0.214 -0.224  -0.025 -0.080  0.164 0.064  0.353 0.208  0.542 0.351  0.731 0.495  0.919 0.639  1.108 0.783  1.297 0.927  1.226 1.023  1.011 0.946  0.816 0.812  0.600 0.717  0.389 0.609  0.175 0.507  -0.045 0.419  -0.269 0.338  -0.501 0.297  -0.682 0.233  -0.483 0.144  -0.278 0.037  -0.049 -0.025  0.157 -0.139  0.339 -0.291  0.479 -0.482  0.585 -0.694  0.707 -0.897  0.806 -1.111  0.908 -1.311  0.889 -1.494
