1b#apa#apa09#app0971/Q  -0.712 0.586  -0.904 0.586  -1.032 0.503  -1.078 0.317  -1.125 0.131  -1.146 -0.055  -1.086 -0.237  -1.025 -0.419  -0.907 -0.565  -0.771 -0.701  -0.603 -0.760  -0.411 -0.760  -0.219 -0.760  -0.027 -0.760  0.165 -0.760  0.338 -0.683  0.510 -0.597  0.682 -0.511  0.818 -0.390  0.904 -0.218  0.973 -0.040  1.034 0.142  1.067 0.324  0.996 0.502  0.924 0.680  0.853 0.858  0.781 1.036  0.645 1.172  0.509 1.307  0.344 1.403  0.181 1.469  0.120 1.287  0.059 1.105  -0.002 0.923  -0.062 0.741  -0.123 0.559  -0.184 0.377  -0.244 0.195  -0.305 0.013  -0.366 -0.170  -0.413 -0.269  -0.366 -0.233  -0.260 -0.392  -0.153 -0.552  -0.041 -0.708  0.074 -0.861  0.189 -1.015  0.305 -1.169  0.462 -1.272  0.633 -1.358
1b#apa#apa09#app0971/U  -1.180 0.568  -1.180 0.470  -1.180 0.372  -1.180 0.274  -1.180 0.176  -1.180 0.078  -1.180 -0.020  -1.161 -0.110  -1.092 -0.180  -1.023 -0.249  -0.952 -0.317  -0.871 -0.371  -0.789 -0.426  -0.708 -0.480  -0.626 -0.534  -0.545 -0.589  -0.463 -0.643  -0.382 -0.697  -0.300 -0.752  -0.202 -0.752  -0.104 -0.752  -0.006 -0.752  0.092 -0.752  0.190 -0.752  0.288 -0.752  0.378 -0.733  0.448 -0.664  0.517 -0.595  0.584 -0.524  0.628 -0.436  0.672 -0.348  0.715 -0.261  0.759 -0.173  0.800 -0.084  0.800 0.014  0.800 0.112  0.800 0.210  0.800 0.308  0.800 0.406  0.800 0.504  0.789 0.600  0.758 0.693  0.727 0.786  0.696 0.879  0.665 0.972  0.634 1.065  0.603 1.158  0.580 1.252  0.580 1.350  0.580 1.448
1b#apa#apa09#app0971/I  -0.318 1.658  -0.318 1.586  -0.318 1.515  -0.318 1.443  -0.318 1.372  -0.318 1.300  -0.318 1.229  -0.318 1.157  -0.318 1.086  -0.318 1.014  -0.318 0.943  -0.318 0.871  -0.318 0.800  -0.318 0.728  -0.318 0.656  -0.318 0.585  -0.318 0.513  -0.300 0.449  -0.250 0.399  -0.199 0.348  -0.149 0.298  -0.098 0.247  -0.048 0.196  -0.013 0.137  0.005 0.068  0.022 -0.002  0.040 -0.071  0.057 -0.140  0.074 -0.210  0.092 -0.279  0.109 -0.349  0.126 -0.418  0.144 -0.487  0.161 -0.557  0.178 -0.626  0.196 -0.696  0.213 -0.765  0.230 -0.834  0.248 -0.904  0.265 -0.973  0.287 -1.041  0.319 -1.105  0.351 -1.169  0.383 -1.233  0.415 -1.297  0.447 -1.361  0.479 -1.425  0.511 -1.489  0.543 -1.553  0.575 -1.617
1b#apa#apa09#app0971/C  0.831 0.735  0.753 0.813  0.675 0.892  0.671 0.939  0.781 0.939  0.892 0.939  1.002 0.939  0.958 0.939  0.847 0.939  0.737 0.939  0.627 0.939  0.528 0.889  0.429 0.840  0.330 0.790  0.232 0.741  0.133 0.692  0.034 0.642  -0.065 0.593  -0.163 0.544  -0.257 0.485  -0.349 0.424  -0.440 0.363  -0.532 0.301  -0.624 0.240  -0.716 0.179  -0.803 0.114  -0.853 0.015  -0.902 -0.084  -0.951 -0.183  -1.001 -0.281  -0.953 -0.380  -0.904 -0.479  -0.854 -0.577  -0.805 -0.676  -0.713 -0.733  -0.615 -0.782  -0.516 -0.831  -0.417 -0.881  -0.318 -0.930  -0.220 -0.979  -0.121 -1.029  -0.022 -1.078  0.082 -1.081  0.189 -1.055  0.296 -1.028  0.403 -1.001  0.510 -0.974  0.617 -0.947  0.724 -0.921  0.831 -0.894
1b#apa#apa09#app0971/K  -0.944 -0.287  -1.063 -0.168  -1.122 -0.195  -1.122 -0.363  -1.122 -0.531  -1.122 -0.699  -1.122 -0.867  -1.122 -1.035  -1.092 -1.173  -0.930 -1.159  -0.811 -1.040  -0.692 -0.921  -0.573 -0.802  -0.454 -0.683  -0.335 -0.564  -0.216 -0.446  -0.098 -0.327  -0.016 -0.183  0.046 -0.027  0.109 0.129  0.171 0.285  0.234 0.441  0.296 0.597  0.414 0.717  0.533 0.836  0.652 0.955  0.745 1.094  0.838 1.234  0.932 1.374  0.990 1.459  0.903 1.315  0.817 1.171  0.730 1.027  0.644 0.882  0.558 0.738  0.471 0.594  0.385 0.450  0.298 0.306  0.212 0.162  0.125 0.017  0.039 -0.127  -0.048 -0.271  -0.057 -0.137  0.042 -0.209  0.161 -0.327  0.280 -0.446  0.398 -0.565  0.529 -0.668  0.679 -0.744  0.829 -0.819
1b#apa#apa09#app0971/L  -0.177 1.320  -0.177 1.413  -0.181 1.486  -0.223 1.403  -0.265 1.320  -0.306 1.236  -0.348 1.153  -0.353 1.061  -0.353 0.968  -0.353 0.875  -0.357 0.783  -0.399 0.700  -0.440 0.617  -0.482 0.533  -0.524 0.450  -0.565 0.367  -0.607 0.284  -0.648 0.200  -0.690 0.117  -0.704 0.027  -0.704 -0.066  -0.704 -0.159  -0.704 -0.252  -0.704 -0.345  -0.704 -0.438  -0.621 -0.480  -0.538 -0.521  -0.454 -0.563  -0.371 -0.604  -0.280 -0.614  -0.187 -0.614  -0.094 -0.614  -0.001 -0.614  0.092 -0.614  0.185 -0.614  0.278 -0.614  0.371 -0.614  0.464 -0.614  0.557 -0.614  0.650 -0.614  0.743 -0.614  0.836 -0.614  0.929 -0.614  1.023 -0.614  1.116 -0.614  1.209 -0.614  1.302 -0.614  1.395 -0.614  1.488 -0.614  1.581 -0.614
1b#apa#apa09#app0971/Y  -0.825 0.562  -0.825 0.694  -0.814 0.541  -0.745 0.402  -0.675 0.263  -0.606 0.123  -0.537 -0.016  -0.524 -0.162  -0.376 -0.211  -0.229 -0.260  -0.082 -0.290  0.057 -0.220  0.196 -0.151  0.335 -0.081  0.472 -0.010  0.542 0.130  0.611 0.269  0.720 0.380  0.830 0.490  0.940 0.600  1.046 0.712  1.046 0.867  1.046 1.023  1.046 1.178  1.014 1.239  0.921 1.115  0.827 0.990  0.734 0.866  0.641 0.741  0.547 0.617  0.454 0.492  0.361 0.368  0.267 0.243  0.174 0.119  0.081 -0.005  -0.013 -0.130  -0.106 -0.254  -0.199 -0.379  -0.293 -0.503  -0.386 -0.628  -0.479 -0.752  -0.573 -0.877  -0.666 -1.001  -0.681 -0.890  -0.745 -1.005  -0.814 -1.144  -0.867 -1.290  -0.916 -1.438  -0.965 -1.585  -0.969 -1.740
1b#apa#apa09#app0971/F  -0.220 -0.053  -0.314 0.134  -0.396 0.274  -0.396 0.065  -0.396 -0.144  -0.396 -0.352  -0.396 -0.561  -0.456 -0.760  -0.522 -0.958  -0.572 -1.159  -0.572 -1.368  -0.572 -1.576  -0.572 -1.785  -0.442 -1.681  -0.396 -1.491  -0.396 -1.282  -0.396 -1.074  -0.396 -0.865  -0.396 -0.656  -0.396 -0.447  -0.396 -0.239  -0.348 -0.036  -0.297 0.167  -0.247 0.369  -0.175 0.564  -0.082 0.751  0.044 0.914  0.191 1.062  0.350 1.192  0.548 1.258  0.746 1.324  0.950 1.353  1.159 1.353  1.049 1.232  0.893 1.093  0.737 0.955  0.581 0.816  0.425 0.677  0.269 0.539  0.113 0.400  -0.043 0.261  -0.199 0.122  -0.355 -0.016  -0.243 -0.053  -0.034 -0.053  0.175 -0.053  0.384 -0.053  0.592 -0.053  0.801 -0.053  1.010 -0.053
1b#apa#apa09#app0971/O  0.496 -0.073  0.353 -0.002  0.211 0.070  0.069 0.142  -0.044 0.254  -0.163 0.352  -0.322 0.352  -0.482 0.352  -0.628 0.310  -0.761 0.221  -0.893 0.133  -1.026 0.044  -1.158 -0.044  -1.202 -0.180  -1.202 -0.339  -1.202 -0.499  -1.202 -0.658  -1.100 -0.743  -0.948 -0.794  -0.797 -0.844  -0.646 -0.895  -0.491 -0.922  -0.332 -0.922  -0.173 -0.922  -0.013 -0.922  0.146 -0.922  0.302 -0.909  0.434 -0.821  0.567 -0.733  0.699 -0.644  0.832 -0.556  0.937 -0.446  0.987 -0.295  1.038 -0.144  1.088 0.007  1.132 0.159  1.132 0.319  1.062 0.457  0.974 0.589  0.885 0.722  0.797 0.854  0.708 0.987  0.550 0.988  0.391 0.988  0.231 0.988  0.072 0.988  -0.087 0.988  -0.247 0.988  -0.406 0.988  -0.565 0.988
1b#apa#apa09#app0971/R  -0.609 0.989  -0.616 0.790  -0.665 0.596  -0.713 0.402  -0.762 0.209  -0.778 0.011  -0.778 -0.189  -0.778 -0.388  -0.778 -0.588  -0.749 -0.783  -0.686 -0.973  -0.623 -1.162  -0.578 -1.054  -0.539 -0.858  -0.500 -0.662  -0.461 -0.466  -0.422 -0.270  -0.383 -0.075  -0.343 0.121  -0.304 0.317  -0.293 0.504  -0.434 0.646  -0.440 0.843  -0.386 0.989  -0.186 0.989  0.014 0.989  0.213 0.989  0.413 0.989  0.613 0.989  0.812 0.989  0.995 0.932  1.161 0.821  1.327 0.711  1.417 0.559  1.348 0.380  1.237 0.214  1.126 0.047  0.973 -0.066  0.788 -0.140  0.602 -0.215  0.417 -0.289  0.231 -0.363  0.053 -0.453  -0.114 -0.554  -0.203 -0.732  -0.237 -0.902  -0.095 -1.042  0.072 -1.152  0.238 -1.263  0.404 -1.374
1b#apa#apa09#app0971/G  0.833 0.932  0.833 1.079  0.833 1.227  0.746 1.287  0.616 1.327  0.512 1.431  0.395 1.408  0.272 1.327  0.150 1.245  0.027 1.163  -0.089 1.074  -0.193 0.970  -0.297 0.866  -0.401 0.761  -0.469 0.632  -0.535 0.500  -0.601 0.368  -0.667 0.236  -0.733 0.105  -0.763 -0.035  -0.763 -0.183  -0.763 -0.330  -0.763 -0.477  -0.763 -0.624  -0.763 -0.772  -0.708 -0.896  -0.604 -1.000  -0.499 -1.104  -0.390 -1.196  -0.243 -1.196  -0.096 -1.196  0.052 -1.196  0.124 -1.121  0.124 -0.974  0.124 -0.827  0.124 -0.679  0.124 -0.532  0.052 -0.415  -0.052 -0.311  -0.199 -0.309  -0.115 -0.309  0.032 -0.309  0.179 -0.309  0.326 -0.309  0.474 -0.309  0.617 -0.275  0.760 -0.239  0.902 -0.203  1.045 -0.168  1.188 -0.132
