1c#app#app18#app1882/a  0.137 0.263  0.298 0.299  0.298 0.495  0.298 0.692  0.298 0.889  0.298 1.085  0.246 1.230  0.050 1.230  -0.147 1.230  -0.344 1.230  -0.483 1.093  -0.509 0.908  -0.669 0.871  -0.741 0.747  -0.830 0.639  -0.931 0.484  -0.991 0.312  -1.095 0.159  -1.152 -0.014  -1.152 -0.211  -1.152 -0.408  -1.090 -0.542  -0.991 -0.640  -0.858 -0.704  -0.823 -0.865  -0.639 -0.895  -0.496 -1.026  -0.300 -1.026  -0.127 -0.968  0.027 -0.865  0.198 -0.804  0.337 -0.665  0.476 -0.526  0.615 -0.387  0.620 -0.192  0.620 0.005  0.550 0.172  0.411 0.311  0.298 0.388  0.349 0.212  0.459 0.061  0.536 -0.059  0.620 -0.171  0.768 -0.220  0.803 -0.381  0.968 -0.433  1.056 -0.608  1.194 -0.704  1.265 -0.829  1.426 -0.865
1c#app#app18#app1882/q  0.032 0.402  0.032 0.515  0.032 0.627  0.029 0.738  -0.034 0.824  -0.103 0.869  -0.182 0.948  -0.274 0.999  -0.384 1.008  -0.484 1.058  -0.564 1.034  -0.641 0.999  -0.696 0.942  -0.763 0.896  -0.763 0.783  -0.763 0.671  -0.696 0.586  -0.653 0.492  -0.564 0.455  -0.505 0.402  -0.392 0.402  -0.280 0.402  -0.168 0.402  -0.068 0.434  -0.034 0.532  -0.034 0.558  -0.018 0.452  0.046 0.363  0.081 0.257  0.139 0.164  0.165 0.062  0.182 -0.047  0.218 -0.154  0.253 -0.260  0.289 -0.367  0.297 -0.478  0.313 -0.588  0.340 -0.697  0.369 -0.805  0.404 -0.912  0.440 -1.018  0.475 -1.125  0.517 -1.229  0.562 -1.331  0.562 -1.443  0.595 -1.550  0.630 -1.656  0.666 -1.763  0.695 -1.870  0.695 -1.983
1c#app#app18#app1882/u  -0.895 0.312  -0.895 0.462  -0.895 0.612  -0.895 0.761  -0.933 0.873  -1.035 0.826  -1.092 0.733  -1.176 0.666  -1.176 0.517  -1.176 0.367  -1.176 0.217  -1.176 0.068  -1.176 -0.082  -1.052 -0.108  -1.035 -0.241  -0.935 -0.349  -0.829 -0.455  -0.710 -0.529  -0.615 -0.584  -0.551 -0.669  -0.401 -0.669  -0.251 -0.669  -0.102 -0.669  0.048 -0.669  0.198 -0.669  0.312 -0.584  0.418 -0.478  0.531 -0.389  0.647 -0.356  0.647 -0.206  0.647 -0.056  0.647 0.093  0.647 0.243  0.590 0.369  0.475 0.452  0.367 0.494  0.367 0.542  0.427 0.452  0.556 0.403  0.662 0.297  0.768 0.191  0.874 0.085  1.001 0.032  1.068 -0.052  1.161 -0.108  1.208 -0.211  1.320 -0.249  1.470 -0.249  1.488 -0.379  1.629 -0.389
1c#app#app18#app1882/i  -0.779 1.382  -0.701 1.382  -0.624 1.382  -0.546 1.382  -0.468 1.382  -0.409 1.334  -0.354 1.279  -0.299 1.224  -0.244 1.169  -0.189 1.114  -0.134 1.059  -0.134 0.981  -0.134 0.903  -0.134 0.825  -0.134 0.747  -0.134 0.669  -0.134 0.591  -0.134 0.513  -0.134 0.435  -0.134 0.358  -0.134 0.280  -0.134 0.202  -0.134 0.124  -0.102 0.059  -0.047 0.004  0.008 -0.051  0.063 -0.106  0.118 -0.162  0.173 -0.217  0.189 -0.288  0.189 -0.366  0.189 -0.444  0.189 -0.522  0.189 -0.600  0.189 -0.678  0.189 -0.756  0.189 -0.834  0.189 -0.911  0.189 -0.989  0.189 -1.067  0.189 -1.145  0.211 -1.201  0.289 -1.201  0.367 -1.201  0.445 -1.201  0.512 -1.212  0.512 -1.290  0.512 -1.368  0.512 -1.446  0.512 -1.524
1c#app#app18#app1882/c  0.482 -0.307  0.351 -0.307  0.400 -0.307  0.482 -0.258  0.482 -0.127  0.482 0.003  0.482 0.134  0.482 0.265  0.482 0.396  0.482 0.526  0.482 0.657  0.482 0.788  0.482 0.918  0.482 1.049  0.482 1.180  0.407 1.236  0.276 1.236  0.145 1.236  0.015 1.236  -0.092 1.176  -0.184 1.084  -0.307 1.064  -0.403 1.009  -0.461 0.892  -0.520 0.775  -0.547 0.650  -0.568 0.528  -0.660 0.436  -0.718 0.329  -0.718 0.198  -0.718 0.068  -0.674 -0.053  -0.616 -0.169  -0.557 -0.286  -0.547 -0.415  -0.517 -0.538  -0.458 -0.655  -0.400 -0.772  -0.375 -0.897  -0.351 -1.018  -0.258 -1.110  -0.166 -1.202  -0.073 -1.295  0.040 -1.336  0.171 -1.336  0.302 -1.336  0.433 -1.336  0.563 -1.336  0.694 -1.336  0.825 -1.336
1c#app#app18#app1882/k  -0.995 1.362  -0.995 1.524  -0.995 1.605  -0.995 1.443  -0.995 1.280  -0.995 1.118  -0.995 0.956  -0.995 0.794  -0.901 0.671  -0.901 0.508  -0.869 0.353  -0.806 0.206  -0.806 0.044  -0.779 -0.112  -0.703 -0.255  -0.617 -0.381  -0.540 -0.512  -0.492 -0.654  -0.428 -0.790  -0.333 -0.858  -0.226 -0.896  -0.107 -0.786  0.012 -0.676  0.131 -0.565  0.250 -0.455  0.368 -0.344  0.487 -0.234  0.606 -0.123  0.725 -0.013  0.844 0.097  0.963 0.208  1.082 0.318  0.928 0.322  0.766 0.322  0.613 0.313  0.536 0.227  0.468 0.132  0.329 0.110  0.329 -0.053  0.265 -0.151  0.234 -0.283  0.308 -0.414  0.367 -0.530  0.435 -0.624  0.518 -0.703  0.665 -0.719  0.827 -0.719  0.989 -0.719  1.152 -0.719  1.275 -0.624
1c#app#app18#app1882/b  -0.729 1.116  -0.681 1.212  -0.632 1.308  -0.632 1.453  -0.726 1.503  -0.729 1.554  -0.729 1.410  -0.729 1.265  -0.729 1.121  -0.729 0.976  -0.665 0.858  -0.601 0.732  -0.555 0.595  -0.535 0.453  -0.535 0.309  -0.535 0.164  -0.478 0.033  -0.438 -0.102  -0.433 -0.245  -0.341 -0.351  -0.341 -0.496  -0.263 -0.608  -0.230 -0.739  -0.148 -0.792  -0.094 -0.669  -0.051 -0.542  0.043 -0.437  0.076 -0.306  0.165 -0.194  0.230 -0.065  0.336 -0.019  0.389 0.103  0.515 0.148  0.660 0.148  0.805 0.148  0.843 0.028  0.917 -0.086  0.917 -0.230  0.917 -0.375  0.917 -0.520  0.917 -0.664  0.857 -0.784  0.820 -0.913  0.723 -0.961  0.659 -1.079  0.527 -1.111  0.383 -1.111  0.238 -1.111  0.192 -1.111  0.239 -1.014
1c#app#app18#app1882/r  -0.571 -0.092  -0.427 -0.092  -0.396 0.021  -0.479 0.082  -0.571 0.030  -0.549 -0.092  -0.406 -0.092  -0.396 -0.227  -0.396 -0.370  -0.345 -0.492  -0.243 -0.594  -0.222 -0.729  -0.222 -0.873  -0.169 -0.963  -0.048 -0.986  -0.048 -1.129  -0.048 -1.273  -0.048 -1.417  0.027 -1.486  0.126 -1.442  0.126 -1.298  0.126 -1.154  0.126 -1.011  0.058 -0.895  -0.043 -0.794  -0.048 -0.652  -0.048 -0.508  -0.048 -0.365  -0.048 -0.221  -0.053 -0.078  -0.098 0.058  -0.144 0.194  -0.189 0.331  -0.222 0.469  -0.222 0.613  -0.222 0.756  -0.222 0.900  -0.132 0.953  -0.048 1.013  -0.027 1.148  0.074 1.250  0.196 1.302  0.340 1.302  0.484 1.302  0.627 1.302  0.771 1.302  0.915 1.302  1.058 1.302  1.171 1.271  1.171 1.127
1c#app#app18#app1882/o  -0.326 0.926  -0.177 0.926  -0.268 0.926  -0.418 0.926  -0.504 0.863  -0.538 0.748  -0.682 0.743  -0.682 0.594  -0.682 0.444  -0.779 0.392  -0.860 0.324  -0.860 0.175  -0.860 0.026  -0.860 -0.124  -0.860 -0.273  -0.860 -0.422  -0.860 -0.571  -0.816 -0.676  -0.682 -0.692  -0.682 -0.841  -0.586 -0.950  -0.471 -1.032  -0.321 -1.032  -0.172 -1.032  -0.023 -1.032  0.126 -1.032  0.276 -1.032  0.425 -1.032  0.564 -1.022  0.564 -0.873  0.656 -0.762  0.770 -0.676  0.919 -0.676  0.920 -0.528  0.920 -0.379  0.920 -0.230  0.920 -0.080  0.920 0.069  0.920 0.218  0.920 0.367  0.920 0.516  0.825 0.570  0.695 0.617  0.590 0.723  0.484 0.828  0.375 0.926  0.226 0.926  0.115 1.019  0.001 1.104  -0.148 1.104
1c#app#app18#app1882/w  -1.395 0.015  -1.274 0.061  -1.181 0.136  -1.153 0.238  -1.218 0.136  -1.274 0.024  -1.274 -0.143  -1.274 -0.310  -1.268 -0.475  -1.150 -0.593  -1.031 -0.711  -0.911 -0.758  -0.818 -0.832  -0.650 -0.832  -0.549 -0.766  -0.437 -0.711  -0.280 -0.684  -0.162 -0.566  -0.044 -0.448  0.056 -0.322  0.056 -0.154  0.056 0.013  0.056 0.180  -0.035 0.256  -0.162 0.354  -0.186 0.244  -0.144 0.094  -0.065 -0.041  0.037 -0.106  0.196 -0.126  0.321 -0.227  0.489 -0.227  0.656 -0.227  0.823 -0.227  0.991 -0.227  1.119 -0.132  1.265 -0.096  1.322 0.015  1.386 0.117  1.358 0.256  1.265 0.331  1.179 0.463  1.061 0.581  0.943 0.700  0.792 0.740  0.756 0.886  0.629 0.982  0.484 1.037  0.344 1.103  0.298 0.982
1c#app#app18#app1882/n  -1.017 0.880  -1.017 1.051  -1.017 0.890  -1.017 0.720  -1.017 0.549  -0.911 0.422  -0.841 0.280  -0.841 0.109  -0.841 -0.061  -0.841 -0.232  -0.805 -0.388  -0.684 -0.509  -0.665 -0.672  -0.665 -0.842  -0.665 -1.013  -0.537 -1.056  -0.489 -0.933  -0.489 -0.762  -0.376 -0.704  -0.313 -0.597  -0.241 -0.456  -0.137 -0.328  -0.137 -0.157  -0.131 0.012  -0.055 0.165  0.022 0.318  0.039 0.484  0.039 0.655  0.125 0.790  0.215 0.924  0.242 1.083  0.363 1.204  0.391 1.101  0.391 0.930  0.391 0.759  0.391 0.588  0.469 0.450  0.567 0.320  0.586 0.157  0.707 0.036  0.743 -0.120  0.743 -0.291  0.852 -0.352  0.993 -0.426  1.095 -0.554  1.116 -0.704  1.271 -0.720  1.271 -0.890  1.276 -1.056  1.447 -1.056
