1c#app#app32#app3225/j  -0.042 1.385  -0.066 1.502  -0.078 1.400  -0.042 1.268  -0.042 1.128  -0.042 0.987  -0.019 0.850  0.016 0.715  0.016 0.574  0.060 0.440  0.104 0.307  0.149 0.173  0.193 0.040  0.238 -0.094  0.282 -0.227  0.308 -0.364  0.334 -0.500  0.384 -0.632  0.447 -0.758  0.483 -0.890  0.521 -1.022  0.567 -1.147  0.599 -1.274  0.597 -1.412  0.480 -1.471  0.342 -1.458  0.212 -1.412  0.084 -1.359  0.024 -1.245  -0.076 -1.145  -0.134 -1.020  -0.161 -0.885  -0.217 -0.767  -0.224 -0.626  -0.236 -0.486  -0.248 -0.346  -0.260 -0.206  -0.272 -0.065  -0.284 0.075  -0.296 0.215  -0.308 0.355  -0.320 0.496  -0.332 0.636  -0.344 0.776  -0.356 0.916  -0.368 1.057  -0.380 1.197  -0.392 1.337  -0.450 1.420  -0.450 1.560
1c#app#app32#app3225/o  -0.277 1.329  -0.387 1.303  -0.439 1.220  -0.496 1.141  -0.543 1.017  -0.604 0.895  -0.606 0.760  -0.606 0.624  -0.658 0.510  -0.715 0.398  -0.715 0.263  -0.715 0.127  -0.715 -0.009  -0.715 -0.144  -0.715 -0.280  -0.715 -0.416  -0.703 -0.546  -0.607 -0.642  -0.588 -0.770  -0.492 -0.866  -0.396 -0.962  -0.374 -1.082  -0.243 -1.099  -0.121 -1.159  0.007 -1.191  0.143 -1.191  0.276 -1.186  0.372 -1.090  0.500 -1.071  0.596 -0.976  0.614 -0.847  0.709 -0.751  0.722 -0.618  0.782 -0.497  0.819 -0.370  0.819 -0.234  0.819 -0.098  0.819 0.037  0.819 0.173  0.819 0.309  0.747 0.415  0.709 0.535  0.632 0.639  0.537 0.735  0.441 0.831  0.330 0.891  0.217 0.945  0.104 1.000  -0.032 1.000  -0.168 1.000
1c#app#app32#app3225/u  -1.008 0.770  -1.008 0.657  -1.008 0.543  -1.008 0.430  -1.008 0.317  -1.008 0.204  -1.003 0.092  -0.922 0.012  -0.874 -0.081  -0.874 -0.194  -0.872 -0.307  -0.792 -0.387  -0.712 -0.467  -0.632 -0.547  -0.552 -0.627  -0.472 -0.707  -0.470 -0.820  -0.380 -0.843  -0.287 -0.892  -0.207 -0.972  -0.096 -0.977  0.018 -0.977  0.131 -0.977  0.244 -0.977  0.336 -0.956  0.336 -0.843  0.416 -0.762  0.496 -0.682  0.576 -0.602  0.605 -0.501  0.605 -0.387  0.627 -0.283  0.707 -0.203  0.739 -0.103  0.739 0.010  0.739 0.123  0.739 0.237  0.739 0.350  0.739 0.463  0.715 0.573  0.679 0.680  0.644 0.788  0.608 0.895  0.531 0.978  0.470 1.066  0.470 1.179  0.470 1.292  0.401 1.377  0.336 1.463  0.336 1.576
1c#app#app32#app3225/r  -0.536 0.786  -0.536 0.664  -0.536 0.542  -0.536 0.420  -0.536 0.298  -0.536 0.176  -0.536 0.054  -0.536 -0.068  -0.490 -0.180  -0.436 -0.289  -0.410 -0.405  -0.410 -0.527  -0.410 -0.649  -0.410 -0.771  -0.372 -0.878  -0.286 -0.964  -0.285 -1.086  -0.285 -1.208  -0.204 -1.296  -0.160 -1.400  -0.160 -1.408  -0.160 -1.286  -0.160 -1.164  -0.160 -1.042  -0.160 -0.920  -0.160 -0.797  -0.160 -0.675  -0.135 -0.564  -0.048 -0.478  0.011 -0.372  0.066 -0.263  0.090 -0.146  0.090 -0.024  0.109 0.095  0.148 0.211  0.187 0.326  0.230 0.440  0.284 0.550  0.339 0.659  0.393 0.768  0.448 0.877  0.503 0.986  0.557 1.096  0.624 1.196  0.711 1.282  0.797 1.368  0.883 1.455  0.971 1.537  1.094 1.537  1.216 1.537
1c#app#app32#app3225/n  -0.787 1.210  -0.787 1.052  -0.787 0.895  -0.787 0.737  -0.787 0.580  -0.771 0.426  -0.700 0.285  -0.662 0.137  -0.662 -0.021  -0.662 -0.178  -0.662 -0.336  -0.662 -0.493  -0.662 -0.651  -0.562 -0.767  -0.537 -0.914  -0.537 -1.072  -0.537 -1.107  -0.537 -0.949  -0.537 -0.792  -0.537 -0.634  -0.537 -0.477  -0.537 -0.319  -0.478 -0.176  -0.411 -0.034  -0.394 0.119  -0.323 0.260  -0.286 0.409  -0.286 0.567  -0.187 0.683  -0.076 0.795  0.035 0.906  0.171 0.960  0.328 0.960  0.480 0.945  0.591 0.833  0.661 0.692  0.715 0.547  0.764 0.410  0.840 0.284  0.840 0.127  0.921 0.003  0.965 -0.137  0.967 -0.294  1.078 -0.405  1.090 -0.557  1.138 -0.667  1.216 -0.747  1.216 -0.905  1.318 -1.020  1.341 -1.168
1c#app#app32#app3225/e  -0.772 0.377  -0.639 0.377  -0.505 0.377  -0.371 0.377  -0.238 0.377  -0.104 0.377  0.029 0.377  0.163 0.377  0.297 0.377  0.430 0.377  0.553 0.423  0.673 0.482  0.775 0.566  0.834 0.675  0.834 0.809  0.783 0.922  0.710 1.025  0.670 1.119  0.536 1.119  0.403 1.119  0.269 1.119  0.159 1.062  0.092 0.956  0.048 0.849  -0.072 0.790  -0.155 0.707  -0.177 0.579  -0.237 0.460  -0.308 0.348  -0.402 0.253  -0.402 0.120  -0.408 -0.013  -0.451 -0.140  -0.493 -0.267  -0.525 -0.395  -0.525 -0.529  -0.525 -0.662  -0.525 -0.796  -0.493 -0.922  -0.434 -1.042  -0.402 -1.168  -0.329 -1.229  -0.220 -1.287  -0.125 -1.382  -0.031 -1.476  0.064 -1.571  0.186 -1.599  0.319 -1.599  0.453 -1.599  0.587 -1.599
1c#app#app32#app3225/y  -0.571 0.921  -0.638 1.050  -0.704 1.179  -0.704 1.133  -0.704 0.937  -0.704 0.742  -0.704 0.546  -0.687 0.355  -0.630 0.172  -0.571 -0.009  -0.444 -0.077  -0.265 -0.037  -0.172 0.081  -0.157 0.270  -0.105 0.445  -0.052 0.628  -0.039 0.820  -0.039 1.016  0.028 1.196  0.030 1.391  0.095 1.469  0.095 1.274  0.095 1.078  0.128 0.888  0.161 0.697  0.175 0.503  0.208 0.310  0.251 0.120  0.313 -0.066  0.361 -0.254  0.378 -0.445  0.455 -0.625  0.544 -0.794  0.561 -0.982  0.561 -1.178  0.561 -1.374  0.561 -1.569  0.497 -1.739  0.303 -1.742  0.201 -1.582  0.095 -1.430  0.028 -1.262  0.021 -1.069  -0.039 -0.898  -0.039 -0.702  -0.039 -0.507  0.107 -0.398  0.245 -0.260  0.393 -0.144  0.561 -0.077
1c#app#app32#app3225/s  -0.349 1.080  -0.383 0.971  -0.458 0.904  -0.559 0.862  -0.578 0.731  -0.642 0.603  -0.705 0.476  -0.769 0.349  -0.861 0.242  -0.892 0.113  -0.985 0.009  -1.001 -0.126  -1.046 -0.224  -1.109 -0.302  -1.113 -0.441  -1.181 -0.441  -1.059 -0.391  -0.959 -0.291  -0.858 -0.190  -0.758 -0.089  -0.657 0.011  -0.553 0.102  -0.424 0.136  -0.324 0.236  -0.216 0.319  -0.080 0.345  0.047 0.409  0.156 0.498  0.282 0.536  0.425 0.536  0.567 0.536  0.709 0.536  0.850 0.532  0.950 0.432  1.051 0.331  1.074 0.199  1.171 0.097  1.171 -0.045  1.171 -0.188  1.171 -0.330  1.149 -0.463  1.063 -0.569  1.025 -0.696  0.925 -0.797  0.824 -0.897  0.737 -1.003  0.684 -1.093  0.567 -1.154  0.445 -1.201  0.302 -1.201
1c#app#app32#app3225/h  -0.314 1.885  -0.404 1.821  -0.404 1.665  -0.404 1.510  -0.404 1.355  -0.404 1.200  -0.404 1.045  -0.404 0.890  -0.404 0.735  -0.404 0.580  -0.404 0.424  -0.404 0.269  -0.404 0.114  -0.404 -0.041  -0.404 -0.196  -0.404 -0.351  -0.404 -0.506  -0.404 -0.661  -0.404 -0.816  -0.404 -0.972  -0.404 -1.127  -0.460 -1.259  -0.495 -1.371  -0.495 -1.216  -0.459 -1.076  -0.404 -0.943  -0.404 -0.788  -0.352 -0.645  -0.283 -0.507  -0.214 -0.368  -0.144 -0.229  -0.075 -0.090  -0.006 0.048  0.072 0.181  0.173 0.298  0.259 0.427  0.363 0.522  0.518 0.522  0.673 0.522  0.776 0.470  0.828 0.327  0.867 0.181  0.958 0.064  0.958 -0.091  0.958 -0.246  0.958 -0.401  0.958 -0.556  0.958 -0.712  0.958 -0.867  0.958 -1.022
1c#app#app32#app3225/i  -0.092 0.489  -0.092 0.368  -0.092 0.247  -0.092 0.126  -0.092 0.005  -0.092 -0.116  -0.092 -0.237  -0.092 -0.357  -0.092 -0.478  -0.092 -0.599  -0.092 -0.720  -0.167 -0.810  -0.203 -0.916  -0.203 -1.037  -0.203 -1.158  -0.133 -1.250  -0.092 -1.354  -0.092 -1.475  -0.010 -1.514  0.023 -1.423  0.027 -1.302  0.031 -1.181  0.035 -1.060  0.039 -0.939  0.043 -0.818  0.047 -0.697  0.051 -0.576  0.055 -0.455  0.059 -0.334  0.063 -0.213  0.067 -0.093  0.071 0.028  0.075 0.149  0.079 0.270  0.083 0.391  0.087 0.512  0.091 0.633  0.095 0.754  0.099 0.875  0.103 0.996  0.107 1.117  0.111 1.237  0.115 1.358  0.119 1.479  0.123 1.600  0.128 1.721  0.119 1.813  0.033 1.727  0.020 1.612  -0.092 1.602
1c#app#app32#app3225/d  0.346 2.060  0.346 1.891  0.346 1.722  0.329 1.557  0.253 1.406  0.252 1.238  0.252 1.069  0.252 0.900  0.252 0.732  0.252 0.563  0.252 0.394  0.319 0.241  0.346 0.079  0.346 -0.090  0.346 -0.259  0.439 -0.389  0.439 -0.558  0.533 -0.688  0.533 -0.829  0.533 -0.660  0.439 -0.585  0.439 -0.416  0.346 -0.341  0.346 -0.172  0.346 -0.004  0.295 0.144  0.252 0.295  0.252 0.464  0.159 0.594  0.051 0.655  -0.118 0.655  -0.238 0.539  -0.358 0.420  -0.477 0.301  -0.560 0.155  -0.661 0.023  -0.745 -0.122  -0.778 -0.283  -0.832 -0.429  -0.871 -0.582  -0.871 -0.751  -0.871 -0.920  -0.830 -1.071  -0.711 -1.191  -0.553 -1.217  -0.417 -1.297  -0.254 -1.311  -0.085 -1.311  0.083 -1.311  0.252 -1.311
