3#apb#apb32#app3247/E  1.143 0.420  1.280 0.487  1.337 0.629  1.297 0.789  1.188 0.901  1.051 0.998  0.888 1.047  0.718 1.066  0.548 1.064  0.378 1.047  0.209 1.021  0.046 0.972  -0.117 0.918  -0.263 0.831  -0.408 0.740  -0.540 0.632  -0.665 0.516  -0.769 0.382  -0.791 0.214  -0.760 0.047  -0.663 -0.090  -0.509 -0.155  -0.347 -0.143  -0.191 -0.075  -0.032 -0.012  0.112 0.079  0.252 0.177  0.398 0.266  0.378 0.279  0.227 0.200  0.080 0.113  -0.062 0.018  -0.207 -0.072  -0.356 -0.157  -0.502 -0.245  -0.640 -0.345  -0.762 -0.462  -0.861 -0.601  -0.916 -0.759  -0.881 -0.924  -0.767 -1.047  -0.612 -1.120  -0.451 -1.177  -0.289 -1.228  -0.118 -1.237  0.052 -1.233  0.222 -1.214  0.392 -1.211  0.557 -1.173  0.728 -1.173
3#apb#apb32#app3247/d  0.024 -0.516  -0.009 -0.346  0.002 -0.169  -0.094 -0.026  -0.254 -0.056  -0.399 -0.167  -0.528 -0.297  -0.662 -0.423  -0.796 -0.549  -0.909 -0.693  -1.015 -0.843  -1.101 -1.005  -1.134 -1.175  -1.014 -1.268  -0.837 -1.224  -0.680 -1.136  -0.536 -1.022  -0.392 -0.908  -0.261 -0.779  -0.134 -0.647  -0.007 -0.514  0.100 -0.365  0.201 -0.212  0.302 -0.058  0.394 0.101  0.480 0.263  0.567 0.425  0.642 0.592  0.705 0.765  0.768 0.937  0.827 1.111  0.883 1.286  0.923 1.464  0.946 1.647  0.809 1.559  0.700 1.411  0.590 1.264  0.485 1.114  0.384 0.960  0.283 0.806  0.189 0.649  0.113 0.482  0.038 0.314  -0.033 0.145  -0.080 -0.033  -0.126 -0.210  -0.130 -0.391  -0.106 -0.573  -0.077 -0.754  -0.043 -0.935
3#apb#apb32#app3247/i  -1.176 -0.920  -1.316 -0.904  -1.391 -0.843  -1.328 -0.741  -1.232 -0.637  -1.124 -0.546  -1.015 -0.455  -0.908 -0.363  -0.801 -0.270  -0.692 -0.180  -0.579 -0.093  -0.469 -0.005  -0.364 0.090  -0.256 0.181  -0.185 0.277  -0.199 0.139  -0.262 0.012  -0.291 -0.125  -0.300 -0.266  -0.299 -0.407  -0.246 -0.539  -0.150 -0.627  -0.014 -0.653  0.128 -0.648  0.267 -0.624  0.407 -0.599  0.546 -0.572  0.684 -0.544  0.820 -0.505  0.956 -0.463  1.097 -0.463  1.186 -0.434  1.111 -0.313  1.036 -0.193  0.961 -0.073  0.886 0.047  0.811 0.167  0.735 0.287  0.660 0.407  0.585 0.527  0.510 0.647  0.435 0.767  0.360 0.887  0.285 1.007  0.209 1.127  0.134 1.247  0.059 1.367  -0.016 1.487  -0.091 1.607  -0.166 1.727
3#apb#apb32#app3247/t  -1.014 -1.517  -0.950 -1.296  -0.785 -1.112  -0.653 -0.896  -0.509 -0.688  -0.360 -0.483  -0.232 -0.265  -0.106 -0.045  0.025 0.172  0.154 0.390  0.277 0.611  0.402 0.832  0.527 1.052  0.650 1.241  0.597 0.998  0.500 0.764  0.399 0.532  0.297 0.300  0.194 0.068  0.094 -0.164  0.033 -0.410  -0.028 -0.656  -0.014 -0.905  0.157 -1.082  0.405 -1.120  0.656 -1.137  0.736 -1.061  0.532 -0.911  0.328 -0.761  0.124 -0.611  -0.080 -0.460  -0.284 -0.310  -0.489 -0.160  -0.693 -0.010  -0.897 0.140  -1.101 0.290  -1.305 0.440  -1.323 0.614  -1.075 0.667  -0.825 0.698  -0.572 0.703  -0.318 0.708  -0.066 0.695  0.187 0.675  0.439 0.654  0.691 0.621  0.942 0.588  1.193 0.558  1.445 0.534  1.698 0.510
3#apb#apb32#app3247/o  0.464 0.231  0.403 0.423  0.218 0.522  0.012 0.590  -0.192 0.527  -0.387 0.434  -0.573 0.322  -0.755 0.204  -0.931 0.078  -1.083 -0.071  -1.191 -0.259  -1.248 -0.460  -1.236 -0.676  -1.205 -0.885  -1.060 -1.046  -0.893 -1.181  -0.707 -1.293  -0.509 -1.338  -0.295 -1.298  -0.106 -1.209  0.059 -1.068  0.207 -0.912  0.310 -0.721  0.382 -0.519  0.425 -0.306  0.464 -0.093  0.464 0.124  0.464 0.341  0.439 0.556  0.407 0.771  0.350 0.980  0.247 1.169  0.044 1.206  -0.146 1.148  -0.273 0.977  -0.354 0.800  -0.290 0.600  -0.363 0.416  -0.420 0.231  -0.246 0.103  -0.056 -0.003  0.161 -0.003  0.378 -0.003  0.595 -0.003  0.812 -0.000  1.029 0.014  1.243 0.044  1.452 0.101  1.642 0.206  1.843 0.231
3#apb#apb32#app3247/r  -1.365 -0.744  -1.406 -0.696  -1.434 -0.639  -1.408 -0.534  -1.314 -0.464  -1.254 -0.360  -1.186 -0.260  -1.117 -0.162  -1.032 -0.078  -0.942 0.003  -0.860 0.090  -0.787 0.186  -0.715 0.282  -0.635 0.372  -0.554 0.461  -0.474 0.550  -0.393 0.639  -0.312 0.728  -0.218 0.803  -0.122 0.876  -0.006 0.909  0.113 0.915  0.206 0.854  0.283 0.762  0.353 0.664  0.374 0.550  0.366 0.431  0.332 0.316  0.285 0.206  0.226 0.101  0.166 -0.003  0.101 -0.104  0.034 -0.204  -0.025 -0.308  0.029 -0.409  0.146 -0.441  0.262 -0.461  0.382 -0.448  0.502 -0.435  0.621 -0.423  0.742 -0.417  0.862 -0.411  0.982 -0.405  1.101 -0.387  1.219 -0.367  1.338 -0.347  1.456 -0.323  1.573 -0.297  1.692 -0.285  1.813 -0.285
3#apb#apb32#app3247/V  -0.822 0.876  -0.822 1.007  -0.853 1.123  -0.840 1.214  -0.782 1.129  -0.729 1.011  -0.698 0.884  -0.670 0.756  -0.640 0.628  -0.605 0.502  -0.568 0.376  -0.534 0.250  -0.499 0.124  -0.457 0.000  -0.408 -0.121  -0.362 -0.244  -0.321 -0.368  -0.280 -0.493  -0.233 -0.615  -0.185 -0.737  -0.135 -0.858  -0.087 -0.980  -0.049 -1.105  -0.002 -1.227  0.067 -1.338  0.111 -1.440  0.119 -1.447  0.127 -1.317  0.143 -1.187  0.160 -1.057  0.181 -0.928  0.205 -0.799  0.228 -0.670  0.254 -0.542  0.283 -0.414  0.312 -0.287  0.342 -0.159  0.375 -0.032  0.414 0.093  0.454 0.218  0.493 0.342  0.537 0.465  0.590 0.585  0.643 0.705  0.701 0.822  0.763 0.938  0.851 1.033  0.955 1.108  1.077 1.116  1.194 1.058
3#apb#apb32#app3247/P  -0.919 -1.354  -0.940 -1.173  -0.827 -0.976  -0.721 -0.773  -0.614 -0.570  -0.490 -0.376  -0.380 -0.173  -0.290 0.039  -0.203 0.253  -0.121 0.468  -0.042 0.685  0.001 0.875  0.086 0.672  0.086 0.441  0.068 0.212  0.035 -0.016  0.020 -0.246  0.004 -0.476  -0.011 -0.706  -0.025 -0.936  -0.051 -1.166  -0.119 -1.383  -0.277 -1.501  -0.440 -1.348  -0.526 -1.136  -0.570 -0.911  -0.593 -0.681  -0.595 -0.451  -0.595 -0.220  -0.540 0.003  -0.481 0.226  -0.401 0.441  -0.303 0.651  -0.197 0.854  -0.055 1.035  0.107 1.196  0.296 1.329  0.515 1.381  0.736 1.353  0.935 1.245  1.084 1.069  1.183 0.860  1.253 0.642  1.255 0.416  1.138 0.234  0.948 0.109  0.731 0.032  0.509 -0.030  0.282 -0.060  0.052 -0.060
3#apb#apb32#app3247/O  0.204 0.968  0.151 1.027  -0.003 0.933  -0.141 0.801  -0.275 0.665  -0.404 0.526  -0.519 0.373  -0.632 0.219  -0.742 0.062  -0.846 -0.098  -0.949 -0.259  -1.054 -0.419  -1.091 -0.602  -1.091 -0.789  -1.093 -0.973  -1.030 -1.146  -0.894 -1.271  -0.707 -1.303  -0.519 -1.272  -0.338 -1.214  -0.156 -1.156  0.022 -1.087  0.180 -0.980  0.339 -0.874  0.495 -0.765  0.638 -0.638  0.741 -0.481  0.823 -0.309  0.899 -0.135  0.940 0.052  0.959 0.242  0.946 0.432  0.914 0.621  0.864 0.804  0.784 0.977  0.650 1.113  0.480 1.190  0.298 1.152  0.130 1.062  -0.023 0.948  -0.146 0.802  -0.223 0.627  -0.266 0.441  -0.225 0.256  -0.118 0.100  0.050 0.017  0.226 -0.058  0.400 -0.137  0.582 -0.195  0.766 -0.248
3#apb#apb32#app3247/p  0.448 1.233  0.442 1.181  0.378 1.034  0.296 0.887  0.193 0.751  0.109 0.605  0.052 0.445  -0.013 0.288  -0.061 0.125  -0.096 -0.041  -0.128 -0.208  -0.150 -0.377  -0.162 -0.546  -0.202 -0.711  -0.236 -0.877  -0.246 -1.047  -0.273 -1.214  -0.307 -1.381  -0.333 -1.548  -0.416 -1.696  -0.550 -1.709  -0.605 -1.552  -0.623 -1.384  -0.632 -1.214  -0.619 -1.045  -0.600 -0.876  -0.578 -0.707  -0.538 -0.542  -0.498 -0.376  -0.458 -0.211  -0.399 -0.052  -0.329 0.103  -0.259 0.258  -0.188 0.413  -0.103 0.560  -0.017 0.706  0.070 0.853  0.179 0.982  0.300 1.102  0.451 1.174  0.612 1.167  0.749 1.085  0.825 0.933  0.901 0.781  0.919 0.615  0.862 0.466  0.712 0.403  0.543 0.380  0.374 0.391  0.204 0.395
3#apb#apb32#app3247/e  -1.066 -1.222  -1.142 -1.191  -1.033 -1.142  -0.922 -1.016  -0.812 -0.889  -0.695 -0.769  -0.555 -0.675  -0.447 -0.548  -0.341 -0.416  -0.225 -0.295  -0.101 -0.181  0.024 -0.068  0.129 0.063  0.230 0.198  0.331 0.333  0.430 0.469  0.529 0.605  0.601 0.755  0.654 0.915  0.733 1.063  0.798 1.216  0.764 1.361  0.608 1.318  0.451 1.258  0.293 1.200  0.140 1.134  0.003 1.035  -0.133 0.936  -0.262 0.827  -0.388 0.715  -0.501 0.592  -0.602 0.457  -0.703 0.322  -0.727 0.162  -0.719 -0.005  -0.654 -0.161  -0.590 -0.316  -0.476 -0.435  -0.344 -0.540  -0.202 -0.626  -0.044 -0.683  0.115 -0.740  0.278 -0.740  0.444 -0.713  0.611 -0.685  0.776 -0.652  0.938 -0.608  1.101 -0.567  1.267 -0.540  1.434 -0.512
