1c#tos#t1#t1041065/a  0.419 0.371  0.522 0.239  0.617 0.379  0.637 0.609  0.683 0.833  0.579 0.964  0.545 1.168  0.353 1.246  0.232 1.360  0.024 1.295  -0.199 1.249  -0.349 1.077  -0.502 0.901  -0.575 0.696  -0.702 0.515  -0.768 0.295  -0.937 0.183  -0.966 -0.032  -0.986 -0.262  -1.091 -0.472  -1.098 -0.705  -1.098 -0.939  -1.070 -1.146  -0.916 -1.278  -0.683 -1.261  -0.453 -1.215  -0.373 -1.019  -0.287 -0.809  -0.062 -0.750  0.023 -0.600  0.089 -0.431  0.089 -0.196  0.089 0.038  0.221 0.141  0.221 0.376  0.323 0.575  0.353 0.803  0.419 0.825  0.419 0.591  0.419 0.356  0.382 0.136  0.287 -0.059  0.287 -0.294  0.353 -0.463  0.353 -0.697  0.485 -0.800  0.572 -0.948  0.806 -0.948  1.041 -0.948  1.276 -0.948
1c#tos#t1#t1041065/b  0.187 1.567  0.131 1.722  0.131 1.644  -0.002 1.489  -0.082 1.322  -0.145 1.152  -0.145 0.942  -0.210 0.751  -0.311 0.568  -0.311 0.358  -0.311 0.148  -0.325 -0.057  -0.421 -0.238  -0.421 -0.448  -0.461 -0.651  -0.510 -0.853  -0.532 -1.060  -0.583 -1.176  -0.539 -0.970  -0.495 -0.765  -0.451 -0.560  -0.421 -0.353  -0.421 -0.143  -0.421 0.067  -0.396 0.266  -0.236 0.391  -0.180 0.573  -0.050 0.693  0.155 0.739  0.309 0.794  0.519 0.794  0.729 0.794  0.849 0.704  0.960 0.562  0.960 0.353  0.960 0.143  0.960 -0.067  0.905 -0.254  0.807 -0.366  0.685 -0.531  0.641 -0.698  0.518 -0.784  0.402 -0.924  0.220 -1.018  0.067 -1.084  -0.143 -1.084  -0.350 -1.098  -0.554 -1.140  -0.753 -1.129  -0.918 -1.084
1c#tos#t1#t1041065/h  -0.523 -0.046  -0.709 -0.011  -0.600 0.109  -0.439 0.186  -0.257 0.279  -0.067 0.336  0.100 0.439  0.256 0.594  0.431 0.723  0.591 0.850  0.637 1.051  0.637 1.272  0.591 1.473  0.488 1.626  0.268 1.626  0.084 1.537  -0.022 1.393  -0.059 1.210  -0.106 0.997  -0.190 0.803  -0.198 0.585  -0.291 0.393  -0.291 0.172  -0.291 -0.048  -0.462 -0.135  -0.498 -0.340  -0.570 -0.537  -0.591 -0.755  -0.681 -0.946  -0.709 -1.155  -0.795 -1.339  -0.756 -1.248  -0.653 -1.086  -0.616 -0.872  -0.459 -0.771  -0.323 -0.599  -0.198 -0.427  -0.081 -0.325  0.068 -0.198  0.190 -0.092  0.391 -0.046  0.545 -0.113  0.545 -0.333  0.498 -0.546  0.509 -0.764  0.545 -0.976  0.720 -1.021  0.940 -1.021  1.114 -0.975  1.288 -0.928
1c#tos#t1#t1041065/i  0.045 0.239  -0.055 0.267  -0.148 0.336  -0.205 0.269  -0.274 0.170  -0.331 0.060  -0.378 -0.058  -0.466 -0.141  -0.504 -0.244  -0.554 -0.360  -0.604 -0.475  -0.604 -0.602  -0.604 -0.729  -0.604 -0.857  -0.604 -0.984  -0.604 -1.111  -0.575 -1.209  -0.448 -1.212  -0.332 -1.259  -0.205 -1.259  -0.077 -1.259  0.044 -1.226  0.161 -1.176  0.246 -1.119  0.251 -0.992  0.255 -0.865  0.260 -0.738  0.264 -0.611  0.269 -0.483  0.273 -0.356  0.278 -0.229  0.283 -0.102  0.287 0.025  0.292 0.152  0.296 0.279  0.301 0.407  0.305 0.534  0.310 0.661  0.314 0.788  0.319 0.915  0.323 1.042  0.328 1.170  0.332 1.297  0.337 1.424  0.342 1.551  0.304 1.638  0.177 1.638  0.240 1.638  0.345 1.615  0.395 1.538
1c#tos#t1#t1041065/j  0.539 0.562  0.529 0.658  0.436 0.568  0.424 0.439  0.411 0.306  0.350 0.185  0.348 0.049  0.348 -0.087  0.309 -0.214  0.309 -0.351  0.309 -0.487  0.271 -0.585  0.256 -0.714  0.190 -0.824  0.140 -0.945  0.080 -1.057  -0.016 -1.119  -0.129 -1.175  -0.256 -1.196  -0.393 -1.196  -0.529 -1.196  -0.663 -1.187  -0.785 -1.127  -0.881 -1.081  -0.900 -0.981  -0.831 -0.864  -0.763 -0.746  -0.694 -0.628  -0.626 -0.511  -0.557 -0.393  -0.489 -0.275  -0.420 -0.158  -0.352 -0.040  -0.283 0.078  -0.215 0.195  -0.146 0.313  -0.078 0.431  -0.010 0.548  0.059 0.666  0.127 0.784  0.196 0.901  0.264 1.019  0.333 1.137  0.401 1.254  0.470 1.372  0.538 1.490  0.533 1.594  0.489 1.556  0.625 1.556  0.730 1.479
1c#tos#t1#t1041065/m  -1.286 -0.103  -1.449 -0.049  -1.449 0.169  -1.394 0.332  -1.288 0.487  -1.099 0.573  -0.970 0.745  -0.768 0.777  -0.557 0.822  -0.524 0.637  -0.524 0.419  -0.578 0.215  -0.670 0.057  -0.742 -0.135  -0.875 -0.257  -1.014 -0.386  -0.956 -0.510  -0.833 -0.340  -0.732 -0.148  -0.555 -0.049  -0.409 0.096  -0.243 0.211  -0.061 0.332  0.079 0.470  0.275 0.532  0.401 0.433  0.401 0.216  0.395 0.001  0.225 -0.129  0.126 -0.323  -0.047 -0.449  -0.143 -0.637  -0.103 -0.573  0.099 -0.494  0.172 -0.311  0.334 -0.198  0.530 -0.108  0.698 0.030  0.881 0.114  1.000 0.213  1.108 0.322  1.316 0.332  1.381 0.179  1.381 -0.039  1.272 -0.148  1.272 -0.366  1.272 -0.584  1.348 -0.756  1.544 -0.811  1.761 -0.811
1c#tos#t1#t1041065/o  0.037 1.104  -0.084 1.024  -0.207 0.947  -0.317 0.869  -0.404 0.778  -0.518 0.691  -0.529 0.550  -0.589 0.418  -0.686 0.311  -0.742 0.189  -0.742 0.043  -0.794 -0.081  -0.897 -0.184  -0.954 -0.305  -0.954 -0.451  -0.954 -0.596  -0.954 -0.742  -0.954 -0.887  -0.870 -0.949  -0.742 -0.966  -0.650 -1.020  -0.505 -1.020  -0.359 -1.020  -0.214 -1.020  -0.080 -0.972  0.060 -0.949  0.206 -0.949  0.295 -0.858  0.405 -0.779  0.540 -0.729  0.657 -0.648  0.795 -0.602  0.816 -0.472  0.873 -0.340  0.887 -0.198  0.920 -0.066  0.958 0.064  0.958 0.209  0.958 0.355  0.925 0.467  0.816 0.504  0.816 0.649  0.704 0.708  0.563 0.743  0.533 0.865  0.427 0.945  0.296 0.987  0.175 1.042  0.110 1.172  -0.034 1.175
1c#tos#t1#t1041065/q  0.714 0.806  0.690 1.033  0.561 1.217  0.442 1.365  0.225 1.416  -0.006 1.405  -0.115 1.205  -0.326 1.096  -0.456 0.928  -0.648 0.817  -0.762 0.647  -0.762 0.410  -0.613 0.273  -0.382 0.246  -0.144 0.246  0.093 0.246  0.178 0.399  0.353 0.500  0.509 0.651  0.561 0.868  0.544 0.890  0.376 0.723  0.267 0.523  0.154 0.348  0.088 0.129  -0.049 -0.022  -0.154 -0.217  -0.295 -0.407  -0.403 -0.612  -0.512 -0.792  -0.609 -0.997  -0.668 -1.216  -0.762 -1.429  -0.725 -1.658  -0.506 -1.687  -0.269 -1.687  -0.097 -1.560  0.069 -1.433  0.217 -1.269  0.392 -1.111  0.460 -0.915  0.460 -0.677  0.460 -0.440  0.309 -0.314  0.169 -0.124  0.057 0.079  -0.087 0.131  0.111 0.035  0.330 -0.008  0.561 -0.059
1c#tos#t1#t1041065/s  0.965 0.829  0.818 0.829  0.731 0.888  0.651 0.964  0.570 1.084  0.449 1.126  0.302 1.126  0.160 1.142  0.023 1.185  -0.123 1.185  -0.259 1.138  -0.367 1.042  -0.493 0.986  -0.615 0.905  -0.640 0.772  -0.640 0.625  -0.553 0.532  -0.437 0.482  -0.333 0.413  -0.215 0.344  -0.089 0.294  0.033 0.234  0.179 0.234  0.296 0.153  0.431 0.112  0.502 -0.016  0.608 -0.083  0.642 -0.216  0.667 -0.352  0.667 -0.498  0.715 -0.598  0.727 -0.732  0.684 -0.835  0.551 -0.894  0.524 -1.014  0.377 -1.014  0.239 -1.050  0.098 -1.073  -0.048 -1.073  -0.195 -1.073  -0.342 -1.073  -0.429 -1.014  -0.575 -1.014  -0.700 -0.992  -0.749 -0.895  -0.843 -0.822  -0.914 -0.717  -0.997 -0.653  -0.997 -0.507  -1.056 -0.419
1c#tos#t1#t1041065/u  -0.385 1.028  -0.385 1.210  -0.452 1.130  -0.465 0.956  -0.639 0.899  -0.786 0.808  -0.787 0.626  -0.853 0.459  -0.853 0.276  -0.853 0.093  -0.853 -0.090  -0.969 -0.224  -0.987 -0.400  -0.987 -0.583  -0.987 -0.765  -0.987 -0.948  -0.987 -1.131  -0.849 -1.176  -0.667 -1.176  -0.494 -1.151  -0.385 -1.014  -0.261 -0.901  -0.104 -0.807  0.003 -0.667  0.086 -0.505  0.191 -0.358  0.216 -0.181  0.383 -0.119  0.482 0.024  0.516 0.193  0.646 0.322  0.683 0.489  0.795 0.560  0.817 0.721  0.817 0.904  0.884 1.059  0.950 1.014  0.950 0.831  0.950 0.648  0.859 0.537  0.683 0.491  0.683 0.309  0.612 0.155  0.550 -0.002  0.550 -0.184  0.508 -0.350  0.483 -0.522  0.483 -0.705  0.515 -0.874  0.683 -0.909
1c#tos#t1#t1041065/x  -1.366 0.221  -1.366 0.413  -1.254 0.535  -1.121 0.659  -0.954 0.737  -0.763 0.737  -0.674 0.840  -0.483 0.840  -0.315 0.802  -0.253 0.625  -0.231 0.439  -0.231 0.247  -0.231 0.056  -0.231 -0.136  -0.128 -0.263  -0.110 -0.452  0.009 -0.552  0.078 -0.675  0.164 -0.810  0.335 -0.878  0.516 -0.913  0.701 -0.886  0.875 -0.810  1.049 -0.768  1.209 -0.683  1.316 -0.577  1.265 -0.394  1.206 -0.211  1.148 -0.029  1.089 0.153  1.031 0.335  0.972 0.518  0.913 0.700  0.855 0.882  0.708 0.800  0.522 0.789  0.414 0.660  0.278 0.525  0.119 0.422  0.027 0.288  -0.080 0.157  -0.242 0.056  -0.378 -0.080  -0.497 -0.229  -0.634 -0.357  -0.779 -0.481  -0.914 -0.616  -1.049 -0.752  -1.202 -0.868  -1.314 -1.016
