3#apa#apa02#app0226/w  -1.294 0.605  -1.322 0.730  -1.363 0.730  -1.294 0.646  -1.215 0.526  -1.170 0.393  -1.054 0.356  -1.045 0.212  -1.012 0.074  -0.920 -0.041  -0.898 -0.188  -0.829 -0.324  -0.796 -0.469  -0.721 -0.590  -0.671 -0.722  -0.562 -0.765  -0.547 -0.628  -0.547 -0.476  -0.498 -0.343  -0.422 -0.222  -0.350 -0.142  -0.297 -0.042  -0.173 -0.014  -0.173 0.138  -0.113 0.231  -0.048 0.319  0.067 0.356  0.076 0.213  0.109 0.074  0.201 -0.040  0.237 -0.178  0.325 -0.294  0.380 -0.391  0.508 -0.450  0.616 -0.558  0.734 -0.641  0.887 -0.641  1.039 -0.641  1.073 -0.522  1.073 -0.369  1.108 -0.232  1.197 -0.116  1.197 0.036  1.197 0.189  1.197 0.341  1.197 0.494  1.197 0.646  1.197 0.799  1.197 0.951  1.322 0.979
3#apa#apa02#app0226/a  0.144 0.519  0.144 0.696  0.064 0.793  -0.113 0.793  -0.290 0.793  -0.449 0.748  -0.574 0.623  -0.708 0.519  -0.886 0.519  -0.953 0.409  -0.966 0.244  -1.143 0.244  -1.228 0.151  -1.228 -0.026  -1.228 -0.203  -1.228 -0.380  -1.228 -0.558  -1.071 -0.579  -0.953 -0.638  -0.953 -0.815  -0.814 -0.853  -0.637 -0.853  -0.460 -0.853  -0.282 -0.853  -0.112 -0.835  0.013 -0.710  0.138 -0.585  0.144 -0.410  0.144 -0.233  0.144 -0.056  0.144 0.122  0.183 0.283  0.308 0.408  0.419 0.540  0.419 0.717  0.520 0.793  0.693 0.789  0.693 0.611  0.693 0.434  0.693 0.257  0.857 0.244  0.967 0.177  0.967 -0.000  1.115 -0.030  1.242 -0.081  1.242 -0.258  1.242 -0.435  1.265 -0.602  1.391 -0.728  1.516 -0.853
3#apa#apa02#app0226/n  -1.143 0.648  -1.143 0.511  -1.045 0.472  -0.967 0.412  -0.967 0.275  -0.967 0.137  -0.967 -0.000  -0.967 -0.138  -0.924 -0.232  -0.791 -0.236  -0.791 -0.374  -0.791 -0.511  -0.727 -0.584  -0.615 -0.610  -0.615 -0.748  -0.615 -0.636  -0.615 -0.499  -0.615 -0.361  -0.615 -0.224  -0.615 -0.086  -0.508 -0.056  -0.439 0.013  -0.439 0.150  -0.439 0.287  -0.439 0.425  -0.349 0.472  -0.263 0.524  -0.250 0.648  -0.113 0.648  0.025 0.648  0.162 0.648  0.300 0.648  0.437 0.648  0.536 0.554  0.639 0.472  0.777 0.472  0.879 0.387  0.976 0.290  1.073 0.193  1.146 0.086  1.146 -0.052  1.146 -0.189  1.241 -0.232  1.322 -0.288  1.322 -0.426  1.322 -0.563  1.322 -0.700  1.322 -0.838  1.322 -0.975  1.322 -1.113
3#apa#apa02#app0226/t  0.265 0.142  0.265 -0.014  0.265 -0.169  0.265 -0.324  0.306 -0.463  0.416 -0.572  0.526 -0.682  0.546 -0.829  0.546 -0.984  0.546 -1.140  0.576 -1.266  0.731 -1.266  0.783 -1.227  0.666 -1.125  0.550 -1.022  0.433 -0.920  0.316 -0.818  0.199 -0.715  0.082 -0.613  -0.035 -0.511  -0.152 -0.409  -0.269 -0.306  -0.386 -0.204  -0.503 -0.102  -0.620 0.001  -0.736 0.103  -0.853 0.205  -0.970 0.307  -1.087 0.410  -1.204 0.512  -1.321 0.614  -1.406 0.705  -1.250 0.705  -1.095 0.705  -0.940 0.705  -0.784 0.705  -0.629 0.705  -0.474 0.705  -0.318 0.705  -0.163 0.705  -0.008 0.705  0.148 0.705  0.303 0.705  0.458 0.705  0.614 0.705  0.769 0.705  0.924 0.705  1.080 0.705  1.235 0.705  1.390 0.705
3#apa#apa02#app0226/e  -0.225 -0.487  -0.066 -0.487  0.073 -0.437  0.185 -0.325  0.270 -0.201  0.270 -0.042  0.270 0.117  0.285 0.270  0.397 0.382  0.509 0.494  0.517 0.650  0.517 0.809  0.517 0.968  0.517 1.127  0.476 1.244  0.317 1.244  0.158 1.244  0.006 1.228  -0.106 1.115  -0.219 1.003  -0.375 0.997  -0.516 0.953  -0.628 0.841  -0.741 0.728  -0.853 0.616  -0.965 0.504  -0.967 0.345  -0.967 0.186  -0.967 0.027  -0.967 -0.132  -0.916 -0.240  -0.757 -0.240  -0.719 -0.361  -0.686 -0.487  -0.527 -0.487  -0.369 -0.487  -0.225 -0.502  -0.225 -0.661  -0.164 -0.795  -0.052 -0.907  0.076 -0.982  0.235 -0.982  0.394 -0.982  0.553 -0.982  0.712 -0.982  0.871 -0.982  1.030 -0.982  1.189 -0.982  1.348 -0.982  1.507 -0.982
3#apa#apa02#app0226/d  -0.229 -0.041  -0.399 -0.092  -0.561 -0.161  -0.588 -0.326  -0.588 -0.517  -0.588 -0.708  -0.588 -0.899  -0.523 -1.063  -0.355 -1.118  -0.283 -1.238  -0.092 -1.238  0.099 -1.238  0.290 -1.238  0.370 -1.126  0.489 -1.055  0.445 -0.871  0.382 -0.691  0.319 -0.510  0.257 -0.330  0.194 -0.149  0.131 0.031  0.068 0.212  0.006 0.392  -0.057 0.573  -0.120 0.753  -0.183 0.934  -0.246 1.114  -0.308 1.295  -0.371 1.475  -0.434 1.656  -0.468 1.667  -0.348 1.595  -0.238 1.514  -0.167 1.395  -0.099 1.265  0.011 1.120  0.011 0.928  0.130 0.787  0.187 0.620  0.250 0.454  0.250 0.263  0.254 0.074  0.370 -0.069  0.370 -0.261  0.370 -0.452  0.456 -0.607  0.489 -0.784  0.489 -0.975  0.537 -1.118  0.609 -1.238
3#apa#apa02#app0226/p  -0.609 1.166  -0.609 0.934  -0.609 0.702  -0.501 0.579  -0.462 0.386  -0.462 0.154  -0.413 -0.057  -0.315 -0.249  -0.315 -0.480  -0.315 -0.712  -0.260 -0.888  -0.169 -1.028  -0.133 -1.252  -0.030 -1.459  -0.022 -1.689  0.086 -1.876  0.125 -1.739  0.125 -1.507  0.125 -1.275  0.125 -1.044  -0.022 -0.873  -0.022 -0.641  -0.022 -0.410  -0.145 -0.301  -0.169 -0.093  -0.272 0.096  -0.332 0.302  -0.462 0.480  -0.462 0.712  -0.462 0.944  -0.315 1.029  -0.220 1.166  -0.136 1.312  0.096 1.312  0.328 1.312  0.518 1.212  0.725 1.152  0.858 0.976  0.949 0.782  1.005 0.573  1.005 0.342  0.881 0.161  0.821 -0.045  0.635 -0.155  0.403 -0.155  0.171 -0.155  -0.022 -0.116  -0.145 -0.008  -0.230 0.139  -0.315 0.285
3#apa#apa02#app0226/i  -0.163 -0.040  -0.055 -0.040  0.019 -0.075  0.019 -0.184  0.019 -0.292  0.019 -0.401  0.093 -0.478  0.170 -0.555  0.247 -0.632  0.323 -0.708  0.383 -0.792  0.383 -0.901  0.383 -1.009  0.383 -1.118  0.383 -1.226  0.404 -1.314  0.512 -1.314  0.544 -1.262  0.502 -1.162  0.461 -1.062  0.420 -0.961  0.378 -0.861  0.337 -0.761  0.296 -0.660  0.254 -0.560  0.213 -0.460  0.172 -0.359  0.130 -0.259  0.089 -0.159  0.048 -0.058  0.007 0.042  -0.035 0.142  -0.076 0.243  -0.117 0.343  -0.159 0.443  -0.200 0.544  -0.241 0.644  -0.283 0.744  -0.324 0.845  -0.365 0.945  -0.407 1.045  -0.448 1.146  -0.489 1.246  -0.531 1.346  -0.572 1.447  -0.613 1.547  -0.654 1.647  -0.696 1.748  -0.636 1.780  -0.527 1.780
3#apa#apa02#app0226/n  -1.234 0.291  -1.144 0.200  -1.053 0.109  -0.962 0.019  -0.872 -0.072  -0.843 -0.188  -0.843 -0.316  -0.843 -0.445  -0.843 -0.573  -0.829 -0.686  -0.701 -0.686  -0.648 -0.611  -0.648 -0.483  -0.648 -0.355  -0.648 -0.227  -0.648 -0.098  -0.648 0.030  -0.648 0.158  -0.648 0.286  -0.561 0.378  -0.470 0.469  -0.453 0.590  -0.453 0.718  -0.453 0.846  -0.355 0.877  -0.227 0.877  -0.099 0.877  0.029 0.877  0.150 0.860  0.241 0.770  0.333 0.682  0.461 0.682  0.553 0.624  0.611 0.509  0.668 0.395  0.728 0.282  0.819 0.192  0.910 0.101  0.915 -0.025  0.915 -0.153  0.915 -0.281  0.996 -0.376  1.086 -0.467  1.111 -0.585  1.111 -0.713  1.111 -0.841  1.111 -0.969  1.125 -1.091  1.216 -1.182  1.306 -1.273
3#apa#apa02#app0226/k  -0.946 1.580  -0.946 1.370  -0.946 1.160  -0.903 0.969  -0.804 0.800  -0.804 0.590  -0.662 0.439  -0.662 0.229  -0.563 0.060  -0.520 -0.132  -0.520 -0.341  -0.520 -0.551  -0.472 -0.741  -0.378 -0.912  -0.378 -1.122  -0.308 -1.261  -0.236 -1.123  -0.236 -0.913  -0.194 -0.710  -0.128 -0.511  -0.062 -0.312  0.005 -0.113  0.071 0.086  0.137 0.285  0.204 0.484  0.270 0.683  0.336 0.882  0.403 1.081  0.469 1.280  0.423 1.154  0.332 1.035  0.200 0.880  0.052 0.731  -0.094 0.582  -0.094 0.372  -0.094 0.162  -0.236 0.095  -0.236 -0.115  -0.094 -0.266  0.048 -0.334  0.183 -0.409  0.251 -0.551  0.423 -0.641  0.611 -0.693  0.762 -0.835  0.972 -0.835  1.182 -0.835  1.392 -0.835  1.563 -0.929  1.752 -0.977
3#apa#apa02#app0226/y  -1.021 0.948  -0.985 0.816  -0.888 0.746  -0.814 0.609  -0.670 0.552  -0.624 0.430  -0.600 0.287  -0.492 0.228  -0.425 0.088  -0.360 -0.053  -0.249 -0.109  -0.214 -0.241  -0.095 -0.290  -0.011 -0.374  0.156 -0.374  0.169 -0.219  0.169 -0.052  0.169 0.116  0.169 0.283  0.169 0.451  0.169 0.618  0.241 0.756  0.301 0.898  0.301 1.066  0.433 1.101  0.433 1.268  0.524 1.345  0.566 1.219  0.545 1.060  0.427 0.941  0.308 0.823  0.301 0.658  0.301 0.491  0.301 0.324  0.209 0.195  0.169 0.043  0.169 -0.124  0.169 -0.291  0.169 -0.459  0.169 -0.626  0.162 -0.792  0.109 -0.951  0.056 -1.110  0.037 -1.274  0.037 -1.442  0.037 -1.609  0.037 -1.777  -0.045 -1.910  -0.095 -2.057  -0.095 -2.224
