2#apa#apa01#app0126/q  0.111 0.734  0.225 0.808  0.111 0.882  0.111 1.070  -0.003 1.144  -0.103 1.291  -0.286 1.305  -0.437 1.215  -0.575 1.151  -0.689 1.077  -0.763 0.962  -0.803 0.814  -0.803 0.626  -0.803 0.438  -0.803 0.250  -0.803 0.062  -0.689 -0.079  -0.602 -0.180  -0.413 -0.180  -0.225 -0.180  -0.061 -0.123  -0.003 0.042  0.111 0.116  0.130 0.296  0.225 0.445  0.225 0.633  0.225 0.821  0.225 0.915  0.225 0.727  0.225 0.539  0.225 0.351  0.144 0.196  0.111 0.022  0.111 -0.167  0.111 -0.355  0.111 -0.543  0.111 -0.731  0.111 -0.920  0.111 -1.108  0.111 -1.296  0.158 -1.437  0.225 -1.558  0.306 -1.665  0.368 -1.522  0.454 -1.369  0.568 -1.295  0.669 -1.208  0.796 -1.147  0.892 -0.999  1.025 -0.866
2#apa#apa01#app0126/u  -0.909 0.747  -1.071 0.747  -1.074 0.588  -1.074 0.426  -1.181 0.309  -1.240 0.171  -1.240 0.009  -1.240 -0.153  -1.240 -0.315  -1.240 -0.477  -1.198 -0.621  -1.083 -0.736  -0.925 -0.745  -0.763 -0.745  -0.601 -0.745  -0.439 -0.745  -0.412 -0.610  -0.281 -0.579  -0.246 -0.452  -0.159 -0.326  -0.080 -0.197  -0.033 -0.082  0.085 -0.038  0.114 0.112  0.228 0.227  0.251 0.379  0.377 0.415  0.417 0.537  0.417 0.699  0.498 0.828  0.583 0.955  0.544 1.078  0.417 1.043  0.417 0.881  0.417 0.719  0.417 0.557  0.417 0.395  0.417 0.233  0.429 0.084  0.583 0.075  0.583 -0.087  0.584 -0.249  0.698 -0.363  0.813 -0.478  0.933 -0.579  1.095 -0.579  1.257 -0.579  1.418 -0.579  1.580 -0.579  1.742 -0.579
2#apa#apa01#app0126/i  -0.082 -0.375  0.017 -0.375  0.064 -0.427  0.064 -0.526  0.064 -0.625  0.064 -0.724  0.064 -0.823  0.064 -0.922  0.064 -1.022  0.064 -1.121  0.064 -1.220  0.064 -1.319  0.083 -1.399  0.183 -1.399  0.200 -1.328  0.186 -1.230  0.172 -1.131  0.158 -1.033  0.144 -0.935  0.130 -0.837  0.116 -0.739  0.102 -0.641  0.088 -0.542  0.074 -0.444  0.060 -0.346  0.046 -0.248  0.032 -0.150  0.018 -0.052  0.004 0.047  -0.010 0.145  -0.024 0.243  -0.038 0.341  -0.052 0.439  -0.066 0.537  -0.080 0.636  -0.094 0.734  -0.108 0.832  -0.122 0.930  -0.136 1.028  -0.151 1.126  -0.165 1.224  -0.179 1.323  -0.193 1.421  -0.207 1.519  -0.221 1.617  -0.186 1.673  -0.087 1.673  -0.082 1.579  -0.082 1.480  -0.082 1.381
2#apa#apa01#app0126/c  0.377 1.291  0.266 1.291  0.166 1.268  0.088 1.190  0.010 1.112  -0.097 1.104  -0.186 1.082  -0.186 0.972  -0.240 0.916  -0.351 0.916  -0.461 0.916  -0.560 0.906  -0.560 0.795  -0.560 0.685  -0.560 0.575  -0.637 0.542  -0.748 0.542  -0.748 0.431  -0.748 0.321  -0.748 0.211  -0.748 0.101  -0.748 -0.010  -0.748 -0.120  -0.732 -0.224  -0.654 -0.302  -0.576 -0.380  -0.473 -0.396  -0.373 -0.406  -0.373 -0.517  -0.329 -0.583  -0.219 -0.583  -0.186 -0.660  -0.186 -0.770  -0.076 -0.771  0.035 -0.771  0.145 -0.771  0.255 -0.771  0.365 -0.771  0.476 -0.771  0.586 -0.771  0.696 -0.771  0.807 -0.771  0.917 -0.771  1.027 -0.771  1.126 -0.760  1.126 -0.649  1.170 -0.583  1.281 -0.583  1.391 -0.583  1.501 -0.583
2#apa#apa01#app0126/k  -0.767 1.366  -0.767 1.124  -0.767 0.882  -0.767 0.640  -0.767 0.398  -0.657 0.266  -0.610 0.070  -0.610 -0.172  -0.610 -0.414  -0.514 -0.616  -0.453 -0.833  -0.453 -1.075  -0.444 -1.313  -0.288 -1.430  -0.230 -1.195  -0.171 -0.961  -0.112 -0.726  -0.053 -0.491  0.005 -0.256  0.064 -0.021  0.123 0.214  0.181 0.449  0.240 0.683  0.299 0.918  0.358 1.153  0.416 1.388  0.475 1.623  0.489 1.497  0.378 1.366  0.332 1.170  0.332 0.928  0.184 0.747  0.018 0.574  -0.047 0.358  -0.139 0.154  -0.278 -0.030  -0.453 -0.108  -0.453 -0.350  -0.381 -0.205  -0.139 -0.205  0.103 -0.205  0.332 -0.218  0.431 -0.362  0.619 -0.492  0.693 -0.676  0.803 -0.807  0.863 -0.990  0.960 -1.135  1.118 -1.220  1.118 -1.462
2#apa#apa01#app0126/z  -1.259 1.115  -1.126 1.115  -1.112 0.997  -1.008 0.968  -0.875 0.968  -0.743 0.968  -0.610 0.968  -0.477 0.968  -0.345 0.968  -0.212 0.968  -0.080 0.968  0.053 0.968  0.185 0.968  0.318 0.968  0.451 0.968  0.503 0.888  0.503 0.756  0.452 0.674  0.357 0.637  0.357 0.505  0.350 0.375  0.257 0.281  0.163 0.187  0.069 0.093  0.063 -0.037  -0.014 -0.137  -0.084 -0.241  -0.104 -0.353  -0.231 -0.359  -0.231 -0.492  -0.355 -0.500  -0.378 -0.610  -0.378 -0.743  -0.459 -0.794  -0.457 -0.794  -0.325 -0.794  -0.231 -0.832  -0.207 -0.941  -0.074 -0.941  0.059 -0.941  0.191 -0.941  0.324 -0.941  0.456 -0.941  0.589 -0.941  0.721 -0.941  0.854 -0.941  0.944 -0.984  0.972 -1.088  1.091 -1.073  1.091 -0.941
2#apa#apa01#app0126/e  -0.313 -0.274  -0.193 -0.154  -0.062 -0.059  0.108 -0.059  0.231 0.054  0.358 0.156  0.528 0.156  0.549 0.306  0.549 0.476  0.549 0.646  0.549 0.816  0.549 0.985  0.411 1.018  0.333 1.110  0.287 1.233  0.117 1.233  -0.053 1.233  -0.097 1.108  -0.178 1.018  -0.337 0.993  -0.457 0.873  -0.528 0.733  -0.553 0.587  -0.723 0.587  -0.744 0.438  -0.744 0.268  -0.802 0.156  -0.959 0.144  -0.959 -0.026  -0.959 -0.196  -0.959 -0.366  -0.913 -0.490  -0.744 -0.490  -0.744 -0.660  -0.619 -0.705  -0.528 -0.785  -0.494 -0.921  -0.324 -0.921  -0.154 -0.921  0.016 -0.921  0.186 -0.921  0.355 -0.921  0.525 -0.921  0.695 -0.921  0.865 -0.921  1.035 -0.921  1.202 -0.913  1.322 -0.793  1.410 -0.660  1.410 -0.490
2#apa#apa01#app0126/p  -0.648 0.820  -0.506 0.748  -0.364 0.676  -0.364 0.462  -0.364 0.248  -0.364 0.034  -0.364 -0.180  -0.364 -0.394  -0.364 -0.608  -0.364 -0.821  -0.364 -1.035  -0.364 -1.249  -0.364 -1.463  -0.280 -1.594  -0.222 -1.749  -0.222 -1.792  -0.222 -1.578  -0.222 -1.365  -0.222 -1.151  -0.222 -0.937  -0.222 -0.723  -0.222 -0.509  -0.222 -0.295  -0.222 -0.081  -0.222 0.133  -0.222 0.347  -0.222 0.561  -0.222 0.774  -0.195 0.962  -0.080 1.060  0.062 1.132  0.133 1.317  0.318 1.388  0.532 1.388  0.630 1.272  0.772 1.200  0.772 0.986  0.914 0.914  0.914 0.700  0.914 0.487  0.914 0.273  0.777 0.115  0.708 -0.032  0.494 -0.032  0.422 -0.174  0.208 -0.174  -0.006 -0.174  -0.080 -0.034  -0.222 0.038  -0.364 0.110
2#apa#apa01#app0126/h  -0.678 1.535  -0.678 1.367  -0.678 1.199  -0.678 1.032  -0.678 0.864  -0.678 0.697  -0.678 0.529  -0.678 0.361  -0.678 0.194  -0.678 0.026  -0.678 -0.141  -0.678 -0.309  -0.678 -0.477  -0.678 -0.644  -0.678 -0.812  -0.678 -0.979  -0.678 -0.986  -0.678 -0.819  -0.678 -0.651  -0.572 -0.527  -0.533 -0.376  -0.533 -0.208  -0.533 -0.040  -0.496 0.089  -0.389 0.150  -0.389 0.318  -0.282 0.379  -0.244 0.508  -0.094 0.529  0.025 0.648  0.184 0.668  0.352 0.668  0.519 0.668  0.623 0.603  0.710 0.523  0.767 0.413  0.900 0.379  0.912 0.222  0.912 0.054  0.970 -0.055  1.056 -0.136  1.056 -0.304  1.056 -0.471  1.056 -0.639  1.027 -0.778  0.912 -0.830  0.912 -0.997  0.912 -1.165  1.033 -1.211  1.056 -1.067
2#apa#apa01#app0126/y  -1.260 1.198  -1.115 1.174  -1.115 1.004  -1.063 0.856  -0.970 0.725  -0.970 0.555  -0.908 0.411  -0.789 0.291  -0.680 0.166  -0.639 0.038  -0.535 -0.028  -0.445 -0.107  -0.309 -0.188  -0.166 -0.252  -0.100 -0.356  0.028 -0.397  0.198 -0.397  0.344 -0.366  0.388 -0.202  0.433 -0.039  0.478 0.125  0.522 0.288  0.567 0.452  0.611 0.616  0.656 0.779  0.701 0.943  0.745 1.107  0.770 1.123  0.671 1.053  0.625 0.929  0.623 0.761  0.503 0.641  0.480 0.480  0.463 0.328  0.335 0.286  0.335 0.117  0.271 -0.026  0.190 -0.163  0.190 -0.332  0.116 -0.471  0.045 -0.611  0.045 -0.781  0.045 -0.951  0.045 -1.120  0.045 -1.290  -0.002 -1.413  -0.100 -1.484  -0.100 -1.654  -0.100 -1.823  -0.100 -1.993
2#apa#apa01#app0126/r  -0.735 0.861  -0.735 0.723  -0.735 0.585  -0.718 0.454  -0.621 0.356  -0.540 0.251  -0.540 0.113  -0.540 -0.025  -0.540 -0.163  -0.540 -0.301  -0.540 -0.439  -0.489 -0.556  -0.392 -0.654  -0.345 -0.772  -0.345 -0.910  -0.345 -1.048  -0.249 -1.091  -0.150 -1.129  -0.150 -1.267  -0.150 -1.405  -0.150 -1.419  -0.150 -1.281  -0.150 -1.143  -0.150 -1.005  -0.150 -0.867  -0.150 -0.729  -0.150 -0.591  -0.150 -0.453  -0.150 -0.315  -0.150 -0.177  -0.150 -0.039  -0.150 0.099  -0.150 0.237  -0.050 0.275  0.046 0.318  0.046 0.456  0.133 0.558  0.231 0.655  0.328 0.753  0.426 0.851  0.560 0.861  0.631 0.927  0.641 1.056  0.779 1.056  0.917 1.056  1.055 1.056  1.193 1.056  1.331 1.056  1.469 1.056  1.607 1.056
