1c#apb#apb33#app3354/a  -1.600 -0.748  -1.775 -0.702  -1.704 -0.619  -1.503 -0.471  -1.305 -0.295  -1.092 -0.128  -0.934 0.077  -0.730 0.227  -0.538 0.413  -0.309 0.542  -0.109 0.681  0.116 0.809  0.356 0.914  0.570 1.004  0.748 0.922  0.848 0.701  0.771 0.451  0.784 0.368  0.829 0.623  0.624 0.747  0.365 0.698  0.117 0.592  -0.098 0.468  -0.291 0.278  -0.470 0.077  -0.636 -0.137  -0.781 -0.364  -0.903 -0.603  -0.914 -0.848  -0.696 -0.788  -0.502 -0.633  -0.264 -0.510  -0.047 -0.356  0.166 -0.189  0.337 0.020  0.494 0.240  0.653 0.445  0.693 0.710  0.693 0.615  0.613 0.360  0.508 0.114  0.408 -0.137  0.358 -0.402  0.358 -0.673  0.440 -0.922  0.640 -1.032  0.865 -0.884  1.080 -0.721  1.299 -0.572  1.466 -0.361
1c#apb#apb33#app3354/b  -1.595 -0.789  -1.619 -0.719  -1.415 -0.692  -1.227 -0.581  -1.028 -0.492  -0.861 -0.352  -0.662 -0.268  -0.497 -0.131  -0.314 -0.017  -0.182 0.157  -0.059 0.325  0.101 0.457  0.228 0.634  0.349 0.815  0.456 1.004  0.611 1.147  0.725 1.281  0.641 1.332  0.451 1.252  0.317 1.081  0.148 0.943  -0.014 0.801  -0.138 0.623  -0.275 0.461  -0.399 0.281  -0.490 0.084  -0.593 -0.108  -0.703 -0.295  -0.768 -0.504  -0.806 -0.717  -0.799 -0.931  -0.594 -0.904  -0.405 -0.805  -0.236 -0.673  -0.038 -0.583  0.155 -0.480  0.313 -0.331  0.431 -0.161  0.358 0.001  0.336 -0.020  0.310 -0.232  0.409 -0.420  0.589 -0.539  0.805 -0.556  0.962 -0.437  1.100 -0.267  1.270 -0.141  1.373 0.032  1.547 0.158  1.726 0.280
1c#apb#apb33#app3354/c  -0.848 -0.201  -0.972 -0.354  -1.018 -0.313  -0.927 -0.195  -0.801 -0.037  -0.671 0.120  -0.538 0.274  -0.374 0.396  -0.204 0.509  -0.042 0.633  0.117 0.755  0.302 0.822  0.459 0.917  0.649 0.907  0.810 0.819  0.886 0.656  0.829 0.469  0.744 0.300  0.687 0.144  0.738 0.334  0.804 0.527  0.883 0.706  0.885 0.909  0.750 1.014  0.556 0.979  0.382 0.907  0.194 0.838  0.018 0.736  -0.101 0.574  -0.237 0.426  -0.378 0.279  -0.517 0.130  -0.633 -0.037  -0.746 -0.207  -0.832 -0.392  -0.921 -0.576  -1.032 -0.747  -1.018 -0.941  -0.875 -1.073  -0.718 -1.167  -0.513 -1.167  -0.309 -1.167  -0.117 -1.114  0.071 -1.035  0.270 -0.997  0.471 -0.982  0.663 -0.911  0.866 -0.886  1.056 -0.810  1.255 -0.769
1c#apb#apb33#app3354/d  0.466 0.303  0.468 0.351  0.282 0.423  0.065 0.394  -0.153 0.375  -0.341 0.293  -0.518 0.160  -0.702 0.047  -0.883 -0.071  -1.053 -0.209  -1.142 -0.406  -1.262 -0.580  -1.337 -0.756  -1.346 -0.959  -1.161 -1.001  -0.970 -0.913  -0.771 -0.822  -0.585 -0.704  -0.405 -0.577  -0.234 -0.447  -0.091 -0.280  0.006 -0.082  0.107 0.113  0.208 0.309  0.354 0.471  0.496 0.637  0.570 0.844  0.693 1.028  0.778 1.213  0.880 1.399  0.950 1.482  0.890 1.419  0.825 1.220  0.666 1.067  0.536 0.888  0.442 0.689  0.319 0.512  0.227 0.311  0.130 0.112  0.022 -0.078  -0.058 -0.282  -0.144 -0.485  -0.200 -0.693  -0.183 -0.899  -0.003 -0.995  0.216 -1.017  0.427 -1.048  0.641 -0.995  0.835 -0.907  1.043 -0.851
1c#apb#apb33#app3354/e  -1.288 -0.618  -1.370 -0.536  -1.353 -0.495  -1.181 -0.484  -1.054 -0.385  -0.887 -0.348  -0.733 -0.263  -0.574 -0.186  -0.412 -0.116  -0.258 -0.032  -0.118 0.076  0.029 0.174  0.183 0.259  0.327 0.359  0.456 0.480  0.599 0.581  0.743 0.673  0.853 0.811  0.981 0.927  1.092 1.064  1.119 1.137  0.980 1.140  0.803 1.140  0.632 1.112  0.467 1.062  0.332 0.984  0.169 0.960  0.026 0.876  -0.087 0.742  -0.206 0.612  -0.262 0.445  -0.332 0.287  -0.406 0.134  -0.444 -0.038  -0.482 -0.210  -0.512 -0.384  -0.538 -0.557  -0.538 -0.734  -0.513 -0.907  -0.435 -1.058  -0.297 -1.161  -0.121 -1.152  0.048 -1.103  0.210 -1.038  0.349 -0.930  0.496 -0.833  0.651 -0.747  0.812 -0.676  0.957 -0.579  1.090 -0.463
1c#apb#apb33#app3354/f  -0.906 -0.007  -0.786 -0.033  -0.575 0.033  -0.360 0.096  -0.146 0.177  0.056 0.284  0.273 0.334  0.458 0.467  0.658 0.578  0.835 0.721  0.961 0.911  1.088 1.100  1.200 1.285  1.113 1.285  0.928 1.211  0.719 1.119  0.555 0.969  0.408 0.794  0.223 0.660  0.058 0.501  -0.084 0.323  -0.213 0.136  -0.349 -0.044  -0.478 -0.234  -0.595 -0.429  -0.754 -0.585  -0.868 -0.783  -1.029 -0.946  -1.174 -1.119  -1.297 -1.298  -1.244 -1.388  -1.049 -1.346  -0.831 -1.278  -0.629 -1.170  -0.445 -1.036  -0.283 -0.874  -0.132 -0.702  0.005 -0.520  0.125 -0.327  0.238 -0.136  0.306 0.083  0.345 0.307  0.206 0.471  0.127 0.465  0.155 0.241  0.214 0.030  0.406 -0.086  0.632 -0.093  0.858 -0.100  1.081 -0.046
1c#apb#apb33#app3354/g  0.831 0.782  0.672 0.873  0.462 0.900  0.250 0.855  0.056 0.852  -0.150 0.774  -0.304 0.627  -0.396 0.430  -0.405 0.219  -0.308 0.056  -0.089 0.059  0.116 0.126  0.325 0.196  0.531 0.277  0.715 0.395  0.864 0.542  0.831 0.676  0.718 0.582  0.572 0.420  0.439 0.244  0.290 0.082  0.191 -0.114  0.043 -0.268  -0.067 -0.460  -0.202 -0.631  -0.353 -0.791  -0.509 -0.947  -0.649 -1.117  -0.825 -1.247  -0.996 -1.384  -1.178 -1.459  -1.285 -1.377  -1.319 -1.170  -1.275 -0.957  -1.177 -0.761  -1.034 -0.592  -0.887 -0.428  -0.720 -0.286  -0.531 -0.171  -0.333 -0.077  -0.140 0.024  0.071 0.054  0.261 0.159  0.456 0.246  0.659 0.296  0.821 0.434  1.005 0.550  1.183 0.664  1.314 0.840  1.457 1.002
1c#apb#apb33#app3354/h  -1.692 -0.558  -1.562 -0.607  -1.344 -0.507  -1.130 -0.388  -0.955 -0.237  -0.732 -0.154  -0.531 -0.015  -0.317 0.085  -0.130 0.235  0.052 0.396  0.214 0.579  0.389 0.748  0.512 0.959  0.658 1.152  0.779 1.330  0.634 1.205  0.442 1.058  0.269 0.885  0.105 0.704  -0.050 0.516  -0.197 0.323  -0.371 0.161  -0.496 -0.049  -0.636 -0.250  -0.774 -0.453  -0.914 -0.632  -1.029 -0.814  -1.099 -0.824  -0.976 -0.632  -0.801 -0.464  -0.617 -0.304  -0.418 -0.166  -0.233 -0.014  -0.026 0.095  0.183 0.042  0.310 -0.112  0.359 -0.280  0.213 -0.459  0.087 -0.643  0.205 -0.691  0.433 -0.600  0.670 -0.540  0.886 -0.443  1.081 -0.307  1.249 -0.133  1.417 0.041  1.546 0.215  1.520 0.357  1.421 0.181  1.397 0.011
1c#apb#apb33#app3354/i  -1.444 -0.936  -1.478 -0.890  -1.456 -0.789  -1.360 -0.706  -1.261 -0.629  -1.137 -0.602  -1.025 -0.542  -0.918 -0.473  -0.809 -0.408  -0.698 -0.347  -0.598 -0.269  -0.494 -0.196  -0.386 -0.129  -0.281 -0.060  -0.191 0.030  -0.102 0.120  -0.004 0.201  0.049 0.294  -0.025 0.196  -0.120 0.113  -0.224 0.044  -0.307 -0.052  -0.393 -0.146  -0.462 -0.252  -0.501 -0.364  -0.476 -0.472  -0.361 -0.451  -0.245 -0.424  -0.122 -0.408  -0.010 -0.363  0.117 -0.363  0.243 -0.357  0.355 -0.298  0.480 -0.276  0.580 -0.221  0.634 -0.106  0.688 0.009  0.742 0.124  0.796 0.239  0.850 0.354  0.904 0.469  0.958 0.584  1.012 0.699  1.066 0.814  1.121 0.929  1.175 1.044  1.229 1.160  1.283 1.275  1.337 1.390  1.268 1.439
1c#apb#apb33#app3354/j  0.708 0.507  0.546 0.560  0.356 0.568  0.169 0.568  0.002 0.559  -0.166 0.507  -0.148 0.482  0.018 0.577  0.183 0.673  0.354 0.758  0.502 0.878  0.675 0.960  0.824 1.074  0.953 1.213  0.940 1.167  0.856 0.996  0.746 0.839  0.634 0.683  0.507 0.541  0.407 0.378  0.300 0.219  0.202 0.054  0.108 -0.113  0.012 -0.278  -0.096 -0.433  -0.230 -0.569  -0.354 -0.715  -0.479 -0.860  -0.617 -0.993  -0.739 -1.137  -0.883 -1.263  -1.016 -1.400  -1.166 -1.504  -1.259 -1.395  -1.206 -1.211  -1.123 -1.039  -1.016 -0.880  -0.891 -0.735  -0.739 -0.619  -0.597 -0.492  -0.437 -0.388  -0.277 -0.283  -0.105 -0.200  0.043 -0.079  0.192 0.043  0.361 0.130  0.521 0.230  0.665 0.356  0.802 0.486  0.959 0.578
1c#apb#apb33#app3354/k  0.343 0.826  0.478 1.059  0.472 0.992  0.260 0.723  0.009 0.494  -0.215 0.237  -0.462 0.000  -0.685 -0.260  -0.883 -0.539  -1.090 -0.812  -1.311 -1.073  -1.172 -1.046  -0.889 -0.854  -0.660 -0.600  -0.432 -0.344  -0.204 -0.088  0.024 0.168  0.252 0.423  0.480 0.679  0.708 0.935  0.935 1.191  1.066 1.484  1.036 1.615  0.759 1.413  0.465 1.246  0.230 1.010  0.043 0.727  -0.135 0.436  -0.278 0.127  -0.446 -0.162  -0.578 -0.475  -0.762 -0.752  -0.767 -0.788  -0.562 -0.515  -0.297 -0.299  -0.021 -0.096  0.268 0.087  0.568 0.253  0.795 0.415  0.762 0.110  0.538 -0.145  0.287 -0.377  -0.032 -0.463  -0.189 -0.254  -0.086 -0.372  0.017 -0.697  0.077 -1.026  0.202 -1.341  0.390 -1.625  0.690 -1.649
