2#app#app12#app1222/f  0.972 0.600  0.972 0.771  0.972 0.943  0.884 1.026  0.834 1.177  0.713 1.298  0.592 1.419  0.445 1.479  0.274 1.479  0.126 1.423  0.006 1.353  -0.082 1.269  -0.165 1.132  -0.170 0.963  -0.170 0.791  -0.170 0.620  -0.170 0.448  -0.170 0.277  -0.131 0.122  -0.057 -0.026  -0.016 -0.193  0.006 -0.361  0.041 -0.524  0.093 -0.683  0.155 -0.840  0.181 -1.005  0.257 -1.145  0.316 -1.292  0.337 -1.405  0.204 -1.297  0.071 -1.188  -0.062 -1.080  -0.195 -0.972  -0.328 -0.864  -0.461 -0.756  -0.594 -0.648  -0.727 -0.540  -0.860 -0.432  -0.993 -0.324  -1.040 -0.375  -0.902 -0.454  -0.767 -0.367  -0.596 -0.367  -0.429 -0.336  -0.267 -0.282  -0.103 -0.245  0.055 -0.191  0.226 -0.191  0.361 -0.103  0.533 -0.103
2#app#app12#app1222/a  -0.936 0.438  -0.924 0.275  -0.773 0.300  -0.735 0.438  -0.610 0.489  -0.547 0.601  -0.393 0.655  -0.263 0.765  -0.087 0.765  0.075 0.797  0.199 0.921  0.372 0.928  0.532 0.912  0.560 0.765  0.736 0.765  0.896 0.726  1.020 0.602  1.145 0.478  1.184 0.319  1.317 0.275  1.218 0.340  1.061 0.419  0.890 0.438  0.714 0.438  0.538 0.438  0.364 0.434  0.240 0.310  0.079 0.275  -0.097 0.275  -0.273 0.275  -0.285 0.111  -0.409 -0.013  -0.569 -0.051  -0.610 -0.186  -0.714 -0.319  -0.773 -0.470  -0.848 -0.615  -0.936 -0.754  -0.936 -0.930  -0.861 -1.030  -0.773 -1.118  -0.672 -1.193  -0.497 -1.193  -0.321 -1.193  -0.145 -1.193  0.031 -1.193  0.206 -1.193  0.381 -1.187  0.538 -1.108  0.695 -1.030
2#app#app12#app1222/i  -0.396 1.606  -0.345 1.555  -0.294 1.504  -0.243 1.453  -0.192 1.401  -0.141 1.350  -0.090 1.299  -0.038 1.248  -0.036 1.177  -0.036 1.105  -0.036 1.033  -0.036 0.960  -0.036 0.888  -0.036 0.816  -0.036 0.744  -0.036 0.671  -0.036 0.599  -0.036 0.527  -0.036 0.455  -0.036 0.382  -0.036 0.310  -0.036 0.238  -0.036 0.166  -0.036 0.093  -0.036 0.021  -0.036 -0.051  -0.036 -0.123  -0.036 -0.195  -0.036 -0.268  -0.036 -0.340  -0.036 -0.412  -0.036 -0.484  -0.036 -0.557  -0.036 -0.629  -0.036 -0.701  -0.036 -0.773  -0.036 -0.846  -0.034 -0.917  0.017 -0.968  0.068 -1.019  0.119 -1.070  0.170 -1.121  0.221 -1.172  0.272 -1.224  0.324 -1.275  0.324 -1.347  0.324 -1.419  0.324 -1.491  0.324 -1.563  0.324 -1.635
2#app#app12#app1222/l  -0.133 1.702  -0.133 1.631  -0.133 1.561  -0.133 1.490  -0.133 1.419  -0.133 1.348  -0.133 1.278  -0.133 1.207  -0.133 1.136  -0.133 1.065  -0.133 0.995  -0.133 0.924  -0.133 0.853  -0.133 0.782  -0.133 0.712  -0.133 0.641  -0.133 0.570  -0.133 0.499  -0.133 0.429  -0.112 0.363  -0.080 0.299  -0.049 0.236  -0.017 0.173  -0.003 0.105  -0.003 0.035  -0.003 -0.036  -0.003 -0.107  -0.003 -0.178  -0.003 -0.248  -0.003 -0.319  -0.003 -0.390  -0.003 -0.461  0.009 -0.529  0.041 -0.592  0.072 -0.655  0.104 -0.718  0.127 -0.784  0.127 -0.854  0.127 -0.925  0.127 -0.996  0.127 -1.067  0.127 -1.137  0.151 -1.202  0.183 -1.266  0.215 -1.329  0.246 -1.392  0.257 -1.461  0.257 -1.531  0.257 -1.602  0.257 -1.673
2#app#app12#app1222/e  -0.590 -0.865  -0.422 -0.865  -0.300 -0.756  -0.162 -0.684  -0.047 -0.632  -0.008 -0.503  0.134 -0.478  0.143 -0.314  0.261 -0.195  0.380 -0.077  0.496 0.043  0.496 0.210  0.607 0.332  0.677 0.471  0.677 0.638  0.719 0.763  0.858 0.792  0.858 0.960  0.856 1.125  0.688 1.125  0.677 1.282  0.534 1.306  0.366 1.306  0.233 1.224  0.106 1.125  -0.057 1.115  -0.176 0.996  -0.322 0.944  -0.466 0.887  -0.584 0.769  -0.590 0.604  -0.590 0.436  -0.684 0.307  -0.771 0.176  -0.771 0.008  -0.771 -0.159  -0.771 -0.327  -0.771 -0.495  -0.700 -0.645  -0.625 -0.795  -0.527 -0.929  -0.408 -1.046  -0.240 -1.046  -0.228 -1.202  -0.086 -1.227  0.081 -1.227  0.249 -1.227  0.387 -1.155  0.509 -1.046  0.677 -1.046
2#app#app12#app1222/d  -0.075 1.664  -0.075 1.520  -0.075 1.375  -0.015 1.245  0.050 1.115  0.138 1.003  0.224 0.893  0.237 0.754  0.339 0.652  0.373 0.521  0.438 0.404  0.541 0.301  0.643 0.199  0.776 0.170  0.821 0.071  0.888 0.087  0.971 0.198  0.948 0.319  0.821 0.337  0.808 0.469  0.663 0.469  0.519 0.469  0.374 0.469  0.229 0.469  0.125 0.371  0.002 0.319  -0.123 0.272  -0.226 0.170  -0.370 0.170  -0.515 0.170  -0.620 0.074  -0.722 -0.029  -0.825 -0.131  -0.927 -0.233  -0.972 -0.359  -0.972 -0.504  -0.972 -0.649  -0.925 -0.774  -0.823 -0.876  -0.823 -1.021  -0.683 -1.026  -0.552 -1.086  -0.423 -1.151  -0.284 -1.175  -0.139 -1.175  -0.018 -1.232  0.088 -1.325  0.233 -1.325  0.378 -1.325  0.523 -1.325
2#app#app12#app1222/w  -1.293 0.812  -1.168 0.778  -1.168 0.620  -1.168 0.462  -1.168 0.304  -1.168 0.146  -1.168 -0.012  -1.168 -0.170  -1.168 -0.329  -1.133 -0.472  -1.043 -0.593  -0.998 -0.733  -0.873 -0.812  -0.714 -0.812  -0.589 -0.733  -0.543 -0.594  -0.417 -0.562  -0.305 -0.450  -0.286 -0.298  -0.215 -0.157  -0.168 -0.010  -0.107 0.123  -0.043 0.255  0.028 0.383  0.082 0.519  0.082 0.677  0.106 0.812  0.206 0.869  0.206 0.846  0.206 0.688  0.206 0.530  0.206 0.372  0.276 0.242  0.331 0.107  0.331 -0.051  0.435 -0.166  0.513 -0.302  0.581 -0.444  0.621 -0.563  0.779 -0.563  0.937 -0.563  1.091 -0.552  1.203 -0.441  1.226 -0.292  1.331 -0.177  1.331 -0.019  1.385 0.116  1.456 0.245  1.456 0.404  1.456 0.562
2#app#app12#app1222/i  -0.270 1.670  -0.270 1.597  -0.270 1.525  -0.270 1.453  -0.270 1.380  -0.270 1.308  -0.270 1.235  -0.233 1.179  -0.181 1.127  -0.130 1.076  -0.079 1.025  -0.044 0.967  -0.044 0.895  -0.044 0.822  -0.044 0.750  -0.044 0.678  -0.044 0.605  -0.044 0.533  -0.044 0.460  -0.044 0.388  -0.044 0.316  -0.044 0.243  -0.044 0.171  -0.044 0.098  -0.044 0.026  -0.044 -0.046  -0.044 -0.119  -0.044 -0.191  -0.044 -0.264  -0.044 -0.336  -0.027 -0.404  0.006 -0.469  0.038 -0.534  0.070 -0.599  0.103 -0.664  0.135 -0.728  0.168 -0.793  0.183 -0.862  0.183 -0.934  0.183 -1.007  0.183 -1.079  0.183 -1.151  0.183 -1.224  0.183 -1.296  0.183 -1.369  0.183 -1.441  0.193 -1.504  0.265 -1.504  0.337 -1.504  0.410 -1.504
2#app#app12#app1222/z  -1.387 0.953  -1.244 0.953  -1.226 0.828  -1.119 0.791  -0.976 0.791  -0.833 0.791  -0.689 0.791  -0.580 0.826  -0.564 0.953  -0.421 0.953  -0.278 0.953  -0.135 0.953  0.009 0.953  0.152 0.953  0.295 0.953  0.388 0.903  0.420 0.791  0.549 0.777  0.549 0.634  0.451 0.532  0.388 0.415  0.352 0.307  0.227 0.290  0.227 0.146  0.084 0.146  0.065 0.021  -0.010 -0.091  -0.096 -0.198  -0.099 -0.340  -0.200 -0.442  -0.258 -0.561  -0.258 -0.704  -0.275 -0.840  -0.377 -0.941  -0.419 -1.067  -0.354 -1.145  -0.211 -1.145  -0.076 -1.125  0.025 -1.023  0.152 -0.984  0.295 -0.984  0.388 -0.933  0.421 -0.822  0.564 -0.822  0.707 -0.822  0.809 -0.724  0.927 -0.661  1.070 -0.661  1.213 -0.661  1.356 -0.661
2#app#app12#app1222/a  -0.591 1.422  -0.458 1.422  -0.423 1.324  -0.360 1.253  -0.235 1.234  -0.141 1.139  -0.046 1.045  0.048 0.951  0.142 0.857  0.236 0.762  0.363 0.747  0.421 0.671  0.461 0.578  0.593 0.574  0.687 0.480  0.758 0.376  0.758 0.243  0.758 0.109  0.758 0.168  0.758 0.302  0.733 0.410  0.599 0.410  0.466 0.410  0.333 0.410  0.199 0.410  0.071 0.397  -0.023 0.303  -0.117 0.209  -0.212 0.115  -0.328 0.072  -0.423 0.034  -0.423 -0.099  -0.423 -0.232  -0.494 -0.336  -0.588 -0.431  -0.591 -0.563  -0.591 -0.696  -0.591 -0.829  -0.591 -0.962  -0.591 -1.096  -0.506 -1.194  -0.423 -1.292  -0.423 -1.426  -0.309 -1.446  -0.176 -1.446  -0.043 -1.446  0.088 -1.441  0.183 -1.346  0.287 -1.277  0.421 -1.277
2#app#app12#app1222/r  -1.229 0.543  -1.065 0.543  -0.972 0.472  -0.972 0.309  -0.831 0.286  -0.716 0.238  -0.716 0.075  -0.597 0.030  -0.441 0.011  -0.325 -0.104  -0.209 -0.220  -0.203 -0.381  -0.142 -0.483  0.022 -0.483  0.054 -0.615  0.054 -0.778  0.054 -0.942  0.054 -1.106  0.070 -1.253  0.234 -1.253  0.311 -1.340  0.311 -1.503  0.199 -1.398  0.084 -1.283  0.054 -1.131  0.054 -0.968  0.054 -0.804  0.054 -0.641  0.054 -0.477  0.054 -0.313  -0.000 -0.172  -0.116 -0.057  -0.203 0.071  -0.203 0.235  -0.203 0.398  -0.203 0.562  -0.203 0.725  -0.203 0.889  -0.203 1.053  -0.042 1.056  0.121 1.056  0.285 1.056  0.448 1.056  0.612 1.056  0.776 1.056  0.939 1.056  1.103 1.056  1.266 1.056  1.337 0.963  1.337 0.799
