2#app#app11#app1169/L  -0.459 1.835  -0.388 1.765  -0.324 1.691  -0.324 1.591  -0.324 1.491  -0.324 1.391  -0.324 1.292  -0.324 1.192  -0.324 1.092  -0.324 0.992  -0.324 0.892  -0.324 0.792  -0.324 0.692  -0.324 0.593  -0.324 0.493  -0.324 0.393  -0.324 0.293  -0.324 0.193  -0.324 0.093  -0.324 -0.007  -0.324 -0.107  -0.324 -0.206  -0.324 -0.306  -0.324 -0.406  -0.324 -0.506  -0.324 -0.606  -0.324 -0.706  -0.324 -0.806  -0.324 -0.905  -0.301 -0.982  -0.201 -0.982  -0.190 -0.893  -0.135 -0.848  -0.036 -0.848  0.064 -0.848  0.164 -0.848  0.212 -0.796  0.230 -0.714  0.330 -0.714  0.430 -0.714  0.515 -0.679  0.586 -0.608  0.674 -0.579  0.771 -0.568  0.860 -0.524  0.949 -0.479  1.041 -0.445  1.141 -0.445  1.215 -0.382  1.285 -0.311
2#apb#apb12#app1217/L  -0.762 1.152  -0.711 1.254  -0.661 1.357  -0.634 1.467  -0.625 1.466  -0.608 1.352  -0.592 1.239  -0.575 1.126  -0.558 1.013  -0.542 0.900  -0.525 0.787  -0.508 0.673  -0.491 0.560  -0.475 0.447  -0.458 0.334  -0.441 0.221  -0.425 0.107  -0.408 -0.006  -0.391 -0.119  -0.374 -0.232  -0.358 -0.345  -0.341 -0.458  -0.324 -0.572  -0.308 -0.685  -0.291 -0.798  -0.274 -0.911  -0.274 -0.961  -0.305 -0.851  -0.312 -0.739  -0.292 -0.626  -0.245 -0.522  -0.191 -0.423  -0.100 -0.354  -0.008 -0.287  0.098 -0.244  0.205 -0.206  0.320 -0.213  0.434 -0.220  0.543 -0.255  0.651 -0.291  0.752 -0.345  0.853 -0.399  0.953 -0.454  1.052 -0.511  1.151 -0.569  1.255 -0.615  1.368 -0.614  1.475 -0.574  1.582 -0.534  1.696 -0.520
1b#ced#cypl9614_s_jd/L  -0.030 1.392  -0.076 1.463  -0.100 1.530  -0.146 1.587  -0.100 1.571  -0.100 1.481  -0.100 1.391  -0.123 1.306  -0.139 1.220  -0.148 1.132  -0.176 1.047  -0.210 0.963  -0.215 0.875  -0.215 0.785  -0.230 0.696  -0.249 0.608  -0.262 0.520  -0.262 0.430  -0.262 0.340  -0.262 0.250  -0.262 0.160  -0.262 0.070  -0.262 -0.020  -0.262 -0.110  -0.262 -0.200  -0.262 -0.290  -0.262 -0.380  -0.260 -0.470  -0.239 -0.557  -0.246 -0.646  -0.262 -0.734  -0.262 -0.824  -0.262 -0.914  -0.262 -1.004  -0.208 -1.040  -0.118 -1.040  -0.031 -1.029  0.056 -1.017  0.141 -0.994  0.231 -0.994  0.315 -0.971  0.403 -0.958  0.486 -0.922  0.571 -0.894  0.656 -0.866  0.742 -0.837  0.831 -0.831  0.911 -0.794  0.988 -0.762  1.059 -0.716
1b#ced#cypl9614_s_jd/L  -0.247 1.120  -0.288 1.184  -0.314 1.254  -0.337 1.338  -0.305 1.413  -0.269 1.485  -0.292 1.450  -0.292 1.357  -0.304 1.265  -0.314 1.173  -0.314 1.079  -0.314 0.985  -0.333 0.893  -0.337 0.799  -0.337 0.706  -0.337 0.612  -0.334 0.518  -0.319 0.426  -0.314 0.332  -0.314 0.238  -0.314 0.144  -0.314 0.050  -0.305 -0.043  -0.292 -0.135  -0.292 -0.229  -0.292 -0.323  -0.292 -0.417  -0.281 -0.510  -0.269 -0.602  -0.269 -0.696  -0.249 -0.787  -0.234 -0.879  -0.195 -0.959  -0.116 -0.997  -0.050 -1.000  0.039 -0.978  0.132 -0.974  0.222 -0.952  0.314 -0.938  0.403 -0.908  0.495 -0.900  0.579 -0.859  0.664 -0.821  0.753 -0.791  0.842 -0.762  0.932 -0.736  1.019 -0.702  1.108 -0.673  1.194 -0.636  1.285 -0.614
1b#ced#cypl9614_s_jd/L  -0.436 1.188  -0.388 1.260  -0.383 1.308  -0.373 1.380  -0.340 1.439  -0.292 1.456  -0.244 1.460  -0.244 1.389  -0.244 1.297  -0.244 1.206  -0.267 1.119  -0.268 1.028  -0.265 0.937  -0.244 0.848  -0.244 0.756  -0.244 0.665  -0.244 0.573  -0.244 0.482  -0.234 0.391  -0.216 0.301  -0.198 0.212  -0.196 0.120  -0.181 0.030  -0.160 -0.059  -0.148 -0.149  -0.146 -0.240  -0.128 -0.330  -0.124 -0.421  -0.102 -0.509  -0.080 -0.598  -0.076 -0.689  -0.076 -0.781  -0.076 -0.872  -0.076 -0.964  -0.098 -1.045  -0.076 -1.102  -0.006 -1.115  0.075 -1.091  0.166 -1.089  0.248 -1.048  0.335 -1.029  0.413 -0.984  0.497 -0.948  0.584 -0.919  0.669 -0.886  0.751 -0.847  0.837 -0.814  0.925 -0.797  1.010 -0.764  1.099 -0.755
2#apa#apa02#app0296/L  -0.310 1.303  -0.310 1.399  -0.310 1.495  -0.310 1.591  -0.310 1.571  -0.310 1.476  -0.310 1.380  -0.310 1.284  -0.310 1.188  -0.310 1.093  -0.310 0.997  -0.310 0.901  -0.310 0.806  -0.310 0.710  -0.310 0.614  -0.310 0.518  -0.310 0.423  -0.310 0.327  -0.310 0.231  -0.310 0.136  -0.310 0.040  -0.310 -0.056  -0.310 -0.152  -0.310 -0.247  -0.310 -0.343  -0.310 -0.439  -0.310 -0.534  -0.310 -0.630  -0.310 -0.726  -0.310 -0.822  -0.310 -0.917  -0.271 -0.974  -0.175 -0.974  -0.084 -0.965  -0.016 -0.897  0.067 -0.866  0.151 -0.838  0.219 -0.771  0.309 -0.757  0.405 -0.757  0.501 -0.757  0.596 -0.757  0.684 -0.739  0.752 -0.671  0.838 -0.649  0.934 -0.649  1.030 -0.649  1.126 -0.649  1.221 -0.649  1.317 -0.649
3#app#app18#app1860/L  -0.290 1.252  -0.290 1.341  -0.290 1.430  -0.378 1.431  -0.468 1.431  -0.469 1.343  -0.469 1.254  -0.469 1.165  -0.469 1.075  -0.469 0.986  -0.469 0.897  -0.469 0.808  -0.469 0.719  -0.469 0.630  -0.469 0.541  -0.469 0.452  -0.469 0.362  -0.469 0.273  -0.469 0.184  -0.469 0.095  -0.469 0.006  -0.469 -0.083  -0.469 -0.172  -0.469 -0.262  -0.469 -0.351  -0.469 -0.440  -0.469 -0.529  -0.388 -0.537  -0.299 -0.537  -0.210 -0.537  -0.120 -0.537  -0.055 -0.593  0.008 -0.656  0.073 -0.716  0.162 -0.716  0.251 -0.716  0.340 -0.716  0.429 -0.716  0.519 -0.716  0.608 -0.716  0.697 -0.716  0.786 -0.716  0.875 -0.716  0.964 -0.716  1.053 -0.716  1.142 -0.716  1.232 -0.716  1.320 -0.717  1.320 -0.806  1.320 -0.895
1b#uqb#re/L  -0.557 1.239  -0.581 1.323  -0.546 1.402  -0.489 1.422  -0.469 1.336  -0.455 1.249  -0.444 1.161  -0.454 1.073  -0.446 0.985  -0.439 0.896  -0.431 0.808  -0.446 0.721  -0.466 0.635  -0.494 0.550  -0.515 0.466  -0.506 0.380  -0.506 0.291  -0.506 0.202  -0.523 0.116  -0.547 0.031  -0.572 -0.054  -0.595 -0.140  -0.605 -0.228  -0.619 -0.316  -0.574 -0.388  -0.522 -0.460  -0.451 -0.508  -0.370 -0.532  -0.281 -0.537  -0.193 -0.550  -0.106 -0.563  -0.018 -0.572  0.071 -0.575  0.160 -0.579  0.248 -0.583  0.337 -0.583  0.426 -0.583  0.514 -0.587  0.599 -0.611  0.685 -0.635  0.773 -0.648  0.861 -0.656  0.949 -0.664  1.038 -0.672  1.126 -0.674  1.215 -0.678  1.304 -0.682  1.392 -0.685  1.481 -0.685  1.544 -0.659
1b#uqb#re/L  -0.348 1.389  -0.310 1.473  -0.271 1.547  -0.242 1.480  -0.206 1.395  -0.195 1.303  -0.184 1.212  -0.181 1.119  -0.199 1.029  -0.221 0.939  -0.243 0.850  -0.269 0.762  -0.311 0.679  -0.352 0.596  -0.393 0.514  -0.431 0.430  -0.469 0.345  -0.507 0.261  -0.545 0.177  -0.584 0.093  -0.622 0.009  -0.654 -0.077  -0.678 -0.167  -0.701 -0.256  -0.678 -0.337  -0.622 -0.410  -0.560 -0.477  -0.479 -0.522  -0.396 -0.563  -0.318 -0.610  -0.251 -0.672  -0.161 -0.693  -0.071 -0.714  0.019 -0.735  0.110 -0.748  0.202 -0.743  0.294 -0.731  0.385 -0.720  0.477 -0.708  0.568 -0.696  0.661 -0.696  0.753 -0.696  0.846 -0.696  0.938 -0.696  1.030 -0.696  1.122 -0.702  1.212 -0.722  1.298 -0.748  1.351 -0.727  1.390 -0.645
1b#uqb#re/L  -0.287 1.366  -0.310 1.447  -0.389 1.487  -0.438 1.509  -0.383 1.457  -0.345 1.377  -0.308 1.296  -0.280 1.213  -0.271 1.125  -0.265 1.037  -0.266 0.948  -0.280 0.861  -0.293 0.773  -0.308 0.686  -0.323 0.598  -0.338 0.511  -0.356 0.424  -0.378 0.338  -0.400 0.252  -0.422 0.166  -0.444 0.081  -0.439 -0.006  -0.423 -0.094  -0.407 -0.181  -0.407 -0.268  -0.419 -0.356  -0.393 -0.432  -0.343 -0.505  -0.293 -0.578  -0.274 -0.652  -0.261 -0.738  -0.227 -0.800  -0.139 -0.800  -0.050 -0.800  0.039 -0.800  0.127 -0.800  0.216 -0.800  0.305 -0.800  0.393 -0.798  0.482 -0.793  0.570 -0.789  0.659 -0.789  0.747 -0.795  0.836 -0.803  0.922 -0.821  1.009 -0.834  1.095 -0.812  1.180 -0.789  1.267 -0.774  1.312 -0.749
1b#uqb#re/L  -0.206 1.500  -0.266 1.560  -0.269 1.575  -0.261 1.492  -0.256 1.407  -0.261 1.323  -0.278 1.240  -0.296 1.157  -0.317 1.075  -0.339 0.993  -0.354 0.909  -0.367 0.825  -0.380 0.741  -0.388 0.657  -0.395 0.572  -0.402 0.488  -0.407 0.403  -0.410 0.318  -0.413 0.233  -0.418 0.148  -0.431 0.064  -0.444 -0.020  -0.459 -0.103  -0.474 -0.187  -0.490 -0.270  -0.485 -0.352  -0.453 -0.431  -0.417 -0.506  -0.371 -0.570  -0.294 -0.603  -0.222 -0.649  -0.152 -0.697  -0.076 -0.733  0.004 -0.759  0.085 -0.786  0.170 -0.786  0.255 -0.786  0.340 -0.786  0.425 -0.786  0.510 -0.786  0.595 -0.786  0.680 -0.786  0.764 -0.786  0.848 -0.799  0.932 -0.814  1.016 -0.829  1.100 -0.833  1.185 -0.833  1.268 -0.829  1.275 -0.786
