1c#apb#apb24#app2433/a  0.261 -0.345  0.411 -0.239  0.494 -0.089  0.530 0.091  0.555 0.273  0.585 0.454  0.608 0.636  0.623 0.818  0.583 0.998  0.506 1.160  0.354 1.254  0.178 1.293  -0.005 1.293  -0.178 1.233  -0.351 1.169  -0.503 1.067  -0.653 0.961  -0.791 0.840  -0.895 0.695  -0.963 0.524  -1.011 0.347  -1.050 0.168  -1.083 -0.013  -1.105 -0.195  -1.105 -0.378  -1.065 -0.556  -1.005 -0.729  -0.933 -0.898  -0.786 -1.000  -0.613 -1.043  -0.430 -1.043  -0.270 -0.959  -0.113 -0.863  0.042 -0.765  0.195 -0.663  0.305 -0.524  0.382 -0.358  0.449 -0.188  0.474 -0.006  0.471 0.177  0.442 0.251  0.382 0.087  0.425 -0.086  0.513 -0.246  0.581 -0.417  0.663 -0.580  0.770 -0.730  0.886 -0.871  1.040 -0.959  1.202 -1.043
1c#apb#apb24#app2433/b  -0.395 1.818  -0.540 1.891  -0.610 1.794  -0.667 1.642  -0.635 1.483  -0.598 1.324  -0.562 1.166  -0.527 1.006  -0.491 0.847  -0.456 0.688  -0.416 0.530  -0.377 0.372  -0.337 0.214  -0.323 0.052  -0.311 -0.111  -0.299 -0.273  -0.282 -0.435  -0.285 -0.597  -0.317 -0.756  -0.334 -0.918  -0.393 -0.819  -0.376 -0.657  -0.354 -0.496  -0.311 -0.339  -0.264 -0.183  -0.192 -0.037  -0.119 0.109  -0.035 0.245  0.101 0.335  0.240 0.410  0.403 0.395  0.561 0.373  0.677 0.258  0.792 0.143  0.892 0.016  0.971 -0.127  1.036 -0.275  1.072 -0.432  1.072 -0.595  1.006 -0.741  0.908 -0.865  0.764 -0.928  0.602 -0.908  0.441 -0.922  0.281 -0.951  0.120 -0.954  -0.043 -0.939  -0.205 -0.932  -0.368 -0.932  -0.517 -0.993
1c#apb#apb24#app2433/c  0.611 0.753  0.646 0.866  0.675 0.780  0.675 0.645  0.707 0.515  0.742 0.385  0.764 0.252  0.800 0.123  0.822 -0.004  0.784 0.062  0.788 0.194  0.804 0.327  0.804 0.462  0.804 0.596  0.797 0.728  0.701 0.823  0.580 0.870  0.448 0.900  0.322 0.883  0.199 0.827  0.077 0.771  -0.045 0.714  -0.167 0.657  -0.289 0.600  -0.411 0.543  -0.531 0.483  -0.641 0.404  -0.751 0.326  -0.860 0.248  -0.966 0.167  -1.027 0.046  -1.087 -0.074  -1.114 -0.200  -1.094 -0.333  -1.074 -0.466  -1.034 -0.590  -0.944 -0.691  -0.854 -0.791  -0.762 -0.888  -0.638 -0.941  -0.515 -0.994  -0.391 -1.047  -0.263 -1.085  -0.129 -1.101  0.005 -1.118  0.138 -1.135  0.272 -1.136  0.407 -1.128  0.541 -1.119  0.675 -1.110
1c#apb#apb24#app2433/d  0.218 0.434  0.052 0.464  -0.115 0.482  -0.284 0.482  -0.452 0.475  -0.618 0.444  -0.784 0.413  -0.925 0.322  -1.060 0.222  -1.180 0.103  -1.281 -0.029  -1.344 -0.185  -1.334 -0.349  -1.304 -0.515  -1.270 -0.681  -1.170 -0.807  -1.037 -0.910  -0.894 -1.000  -0.741 -1.027  -0.576 -0.992  -0.417 -0.938  -0.266 -0.863  -0.115 -0.787  0.025 -0.693  0.164 -0.597  0.282 -0.479  0.386 -0.346  0.487 -0.212  0.528 -0.048  0.569 0.116  0.618 0.277  0.672 0.437  0.703 0.601  0.703 0.770  0.690 0.937  0.642 1.098  0.540 1.209  0.430 1.097  0.418 0.930  0.446 0.763  0.496 0.604  0.572 0.453  0.647 0.302  0.723 0.151  0.798 0.000  0.886 -0.144  0.975 -0.287  1.070 -0.427  1.167 -0.565  1.260 -0.706
1c#apb#apb24#app2433/e  -0.243 -0.239  -0.405 -0.239  -0.497 -0.367  -0.502 -0.497  -0.381 -0.493  -0.237 -0.421  -0.092 -0.349  0.056 -0.284  0.204 -0.221  0.353 -0.157  0.498 -0.088  0.643 -0.015  0.787 0.057  0.919 0.147  1.033 0.261  1.147 0.375  1.238 0.508  1.253 0.655  1.207 0.809  1.073 0.899  0.926 0.958  0.767 0.987  0.608 1.011  0.447 1.011  0.285 1.011  0.126 0.987  -0.031 0.951  -0.188 0.914  -0.335 0.847  -0.479 0.775  -0.622 0.700  -0.743 0.593  -0.863 0.486  -0.944 0.353  -0.990 0.198  -1.009 0.042  -0.977 -0.116  -0.941 -0.273  -0.890 -0.427  -0.839 -0.580  -0.744 -0.703  -0.618 -0.803  -0.492 -0.904  -0.365 -1.004  -0.237 -1.103  -0.095 -1.173  0.061 -1.215  0.217 -1.256  0.375 -1.288  0.534 -1.319
1c#apb#apb24#app2433/f  -0.035 1.615  -0.035 1.741  -0.077 1.854  -0.120 1.788  -0.154 1.667  -0.179 1.543  -0.204 1.419  -0.229 1.295  -0.245 1.170  -0.252 1.044  -0.260 0.918  -0.267 0.792  -0.278 0.667  -0.292 0.541  -0.306 0.416  -0.320 0.290  -0.332 0.165  -0.340 0.039  -0.348 -0.087  -0.356 -0.213  -0.353 -0.339  -0.340 -0.464  -0.325 -0.590  -0.300 -0.713  -0.276 -0.837  -0.205 -0.938  -0.123 -1.034  -0.016 -1.094  0.104 -1.133  0.224 -1.173  0.343 -1.213  0.463 -1.177  0.583 -1.137  0.686 -1.066  0.782 -0.985  0.790 -0.863  0.790 -0.737  0.749 -0.623  0.679 -0.518  0.607 -0.416  0.492 -0.364  0.377 -0.312  0.264 -0.255  0.159 -0.185  0.054 -0.115  -0.065 -0.086  -0.191 -0.073  -0.317 -0.065  -0.443 -0.065  -0.566 -0.095
1c#apb#apb24#app2433/g  0.236 0.918  0.204 1.074  0.161 1.224  0.061 1.347  -0.064 1.418  -0.209 1.362  -0.336 1.267  -0.441 1.150  -0.532 1.020  -0.616 0.886  -0.691 0.745  -0.766 0.605  -0.829 0.460  -0.876 0.309  -0.923 0.157  -0.923 -0.002  -0.896 -0.154  -0.825 -0.296  -0.699 -0.387  -0.561 -0.464  -0.402 -0.467  -0.245 -0.457  -0.096 -0.403  0.054 -0.350  0.183 -0.265  0.296 -0.152  0.402 -0.035  0.497 0.091  0.552 0.240  0.603 0.390  0.587 0.544  0.504 0.677  0.462 0.635  0.444 0.477  0.443 0.319  0.467 0.162  0.490 0.005  0.490 -0.154  0.490 -0.312  0.479 -0.470  0.449 -0.626  0.420 -0.782  0.395 -0.939  0.376 -1.097  0.356 -1.255  0.313 -1.406  0.256 -1.555  0.192 -1.699  0.087 -1.817  -0.019 -1.936
1c#apb#apb24#app2433/h  -0.628 1.346  -0.705 1.475  -0.727 1.339  -0.730 1.190  -0.718 1.040  -0.707 0.889  -0.698 0.739  -0.690 0.589  -0.679 0.439  -0.641 0.293  -0.602 0.148  -0.564 0.002  -0.529 -0.144  -0.498 -0.292  -0.466 -0.439  -0.443 -0.588  -0.420 -0.736  -0.411 -0.886  -0.411 -1.037  -0.411 -1.164  -0.411 -1.014  -0.411 -0.863  -0.424 -0.714  -0.447 -0.565  -0.465 -0.416  -0.465 -0.265  -0.465 -0.115  -0.430 0.031  -0.389 0.176  -0.329 0.307  -0.204 0.390  -0.073 0.462  0.073 0.500  0.218 0.539  0.365 0.546  0.513 0.518  0.661 0.491  0.791 0.425  0.905 0.328  1.020 0.230  1.112 0.115  1.180 -0.020  1.243 -0.155  1.243 -0.306  1.243 -0.456  1.206 -0.598  1.139 -0.733  1.085 -0.873  1.063 -1.017  1.134 -1.149
1c#apb#apb24#app2433/i  0.290 0.257  0.391 0.241  0.407 0.131  0.389 0.018  0.372 -0.094  0.342 -0.203  0.298 -0.307  0.253 -0.412  0.211 -0.517  0.184 -0.628  0.156 -0.738  0.118 -0.844  0.071 -0.948  0.024 -1.051  0.022 -1.165  0.022 -1.278  0.066 -1.356  0.179 -1.371  0.282 -1.340  0.326 -1.257  0.295 -1.147  0.263 -1.038  0.232 -0.929  0.200 -0.820  0.169 -0.711  0.137 -0.601  0.106 -0.492  0.075 -0.383  0.043 -0.274  0.012 -0.165  -0.020 -0.055  -0.051 0.054  -0.083 0.163  -0.114 0.272  -0.146 0.382  -0.177 0.491  -0.209 0.600  -0.240 0.709  -0.272 0.818  -0.303 0.928  -0.335 1.037  -0.366 1.146  -0.397 1.255  -0.429 1.364  -0.460 1.474  -0.498 1.579  -0.530 1.676  -0.515 1.789  -0.449 1.876  -0.342 1.862
1c#apb#apb24#app2433/j  0.361 1.555  0.405 1.688  0.474 1.757  0.456 1.619  0.460 1.480  0.471 1.340  0.450 1.202  0.418 1.066  0.410 0.927  0.417 0.787  0.424 0.647  0.426 0.507  0.419 0.366  0.412 0.226  0.406 0.086  0.406 -0.054  0.406 -0.194  0.416 -0.334  0.439 -0.472  0.461 -0.611  0.460 -0.748  0.406 -0.869  0.277 -0.926  0.143 -0.962  0.004 -0.982  -0.135 -1.003  -0.274 -1.017  -0.414 -1.017  -0.554 -1.017  -0.695 -1.017  -0.833 -0.997  -0.969 -0.965  -1.083 -0.895  -1.132 -0.786  -1.054 -0.669  -0.976 -0.552  -0.863 -0.470  -0.747 -0.391  -0.631 -0.312  -0.516 -0.233  -0.400 -0.154  -0.285 -0.074  -0.169 0.006  -0.054 0.086  0.061 0.166  0.170 0.254  0.274 0.348  0.379 0.442  0.483 0.536  0.587 0.630
1c#apb#apb24#app2433/k  -0.474 2.009  -0.564 1.890  -0.549 1.701  -0.541 1.512  -0.554 1.323  -0.566 1.133  -0.550 0.945  -0.527 0.757  -0.501 0.569  -0.462 0.384  -0.422 0.198  -0.411 0.010  -0.409 -0.179  -0.385 -0.365  -0.470 -0.535  -0.612 -0.633  -0.695 -0.768  -0.560 -0.886  -0.424 -0.829  -0.298 -0.688  -0.172 -0.546  -0.046 -0.404  0.080 -0.262  0.206 -0.121  0.332 0.021  0.458 0.163  0.584 0.304  0.710 0.446  0.836 0.588  0.962 0.729  0.899 0.721  0.733 0.630  0.572 0.530  0.416 0.422  0.261 0.314  0.125 0.182  -0.009 0.048  -0.135 -0.093  -0.245 -0.248  -0.302 -0.428  -0.295 -0.613  -0.199 -0.770  -0.069 -0.906  0.095 -1.000  0.249 -1.110  0.407 -1.208  0.596 -1.224  0.785 -1.237  0.975 -1.237  1.164 -1.237
