1c#apa#apa20#app2046/b  -0.233 1.360  -0.263 1.507  -0.349 1.631  -0.349 1.791  -0.349 1.929  -0.349 1.769  -0.349 1.609  -0.349 1.450  -0.349 1.290  -0.349 1.130  -0.349 0.971  -0.322 0.815  -0.271 0.664  -0.233 0.511  -0.233 0.351  -0.233 0.191  -0.233 0.032  -0.233 -0.128  -0.233 -0.288  -0.233 -0.447  -0.233 -0.607  -0.123 -0.721  -0.117 -0.878  -0.117 -1.038  -0.117 -1.184  -0.117 -1.024  -0.117 -0.865  -0.117 -0.705  -0.117 -0.545  -0.117 -0.386  -0.117 -0.226  -0.117 -0.066  -0.028 0.057  0.120 0.085  0.279 0.085  0.412 0.020  0.525 -0.093  0.638 -0.206  0.695 -0.342  0.811 -0.386  0.811 -0.546  0.811 -0.705  0.789 -0.843  0.649 -0.889  0.518 -0.959  0.358 -0.959  0.208 -0.982  0.087 -1.075  -0.073 -1.075  -0.233 -1.075
1c#apa#apa20#app2046/e  -1.109 0.163  -0.930 0.163  -0.752 0.163  -0.573 0.163  -0.395 0.163  -0.245 0.094  -0.119 -0.033  0.059 -0.035  0.237 -0.035  0.416 -0.035  0.595 -0.035  0.773 -0.035  0.877 0.040  0.877 0.219  0.877 0.397  0.877 0.576  0.877 0.754  0.703 0.759  0.678 0.913  0.544 0.958  0.365 0.958  0.187 0.958  0.008 0.958  -0.170 0.958  -0.349 0.958  -0.523 0.948  -0.650 0.821  -0.802 0.759  -0.910 0.689  -0.910 0.510  -0.910 0.331  -0.910 0.153  -0.910 -0.026  -0.910 -0.204  -0.910 -0.383  -0.819 -0.524  -0.693 -0.650  -0.566 -0.776  -0.410 -0.829  -0.231 -0.829  -0.071 -0.874  0.055 -1.000  0.222 -1.028  0.401 -1.028  0.579 -1.028  0.758 -1.028  0.936 -1.028  1.115 -1.028  1.294 -1.028  1.472 -1.028
1c#apa#apa20#app2046/w  -1.206 1.076  -1.353 1.055  -1.353 0.888  -1.353 0.721  -1.353 0.554  -1.280 0.417  -1.206 0.281  -1.206 0.114  -1.206 -0.053  -1.118 -0.184  -0.975 -0.242  -0.914 -0.348  -0.824 -0.478  -0.706 -0.596  -0.575 -0.681  -0.408 -0.681  -0.241 -0.681  -0.074 -0.681  -0.035 -0.553  0.070 -0.429  0.111 -0.279  0.111 -0.112  0.111 0.055  0.111 0.222  0.111 0.389  0.111 0.556  0.111 0.550  0.111 0.383  0.111 0.216  0.111 0.049  0.111 -0.118  0.154 -0.242  0.258 -0.306  0.317 -0.448  0.404 -0.579  0.469 -0.681  0.636 -0.681  0.803 -0.681  0.843 -0.555  0.990 -0.534  1.005 -0.373  1.123 -0.255  1.136 -0.094  1.136 0.074  1.136 0.241  1.136 0.408  1.136 0.575  1.136 0.742  1.136 0.909  1.136 1.076
1c#apa#apa20#app2046/i  -0.015 0.316  -0.015 0.202  -0.015 0.088  -0.015 -0.026  -0.015 -0.140  -0.015 -0.254  -0.015 -0.368  -0.015 -0.482  -0.015 -0.596  -0.015 -0.710  -0.015 -0.824  -0.015 -0.938  -0.015 -1.051  -0.015 -1.165  -0.015 -1.279  -0.015 -1.393  0.053 -1.439  0.167 -1.439  0.198 -1.362  0.189 -1.249  0.179 -1.135  0.170 -1.021  0.160 -0.908  0.151 -0.794  0.141 -0.681  0.132 -0.567  0.122 -0.454  0.113 -0.340  0.103 -0.226  0.094 -0.113  0.084 0.001  0.075 0.114  0.065 0.228  0.056 0.342  0.047 0.455  0.037 0.569  0.028 0.682  0.018 0.796  0.009 0.909  -0.001 1.023  -0.010 1.137  -0.015 1.250  -0.015 1.364  -0.061 1.459  -0.142 1.540  -0.222 1.620  -0.331 1.633  -0.445 1.633  -0.454 1.738  -0.454 1.852
1c#apa#apa20#app2046/l  -0.040 0.867  -0.040 0.946  -0.040 1.026  -0.040 1.105  -0.040 1.185  -0.046 1.259  -0.125 1.259  -0.138 1.326  -0.089 1.357  -0.040 1.326  -0.040 1.246  -0.040 1.167  -0.040 1.087  -0.040 1.007  -0.040 0.928  -0.040 0.848  -0.040 0.769  -0.040 0.689  -0.040 0.609  -0.040 0.530  -0.040 0.450  -0.040 0.370  -0.040 0.291  -0.040 0.211  -0.040 0.132  -0.040 0.052  -0.040 -0.028  -0.040 -0.107  -0.040 -0.187  -0.040 -0.267  -0.040 -0.346  -0.040 -0.426  -0.040 -0.505  -0.040 -0.585  -0.012 -0.658  0.023 -0.729  0.058 -0.801  0.058 -0.880  0.058 -0.960  0.058 -1.040  0.058 -1.119  0.058 -1.199  0.058 -1.278  0.058 -1.358  0.094 -1.423  0.150 -1.479  0.179 -1.553  0.204 -1.628  0.229 -1.704  0.254 -1.779
1c#apa#apa20#app2046/d  0.067 2.094  0.067 2.124  0.067 1.984  0.067 1.845  0.067 1.706  0.067 1.567  0.067 1.427  0.067 1.288  0.067 1.149  0.067 1.009  0.067 0.870  0.067 0.731  0.087 0.595  0.131 0.463  0.152 0.327  0.152 0.187  0.152 0.048  0.183 -0.084  0.237 -0.210  0.237 -0.350  0.237 -0.489  0.237 -0.628  0.267 -0.760  0.321 -0.887  0.321 -1.026  0.321 -0.909  0.315 -0.771  0.253 -0.646  0.237 -0.511  0.185 -0.393  0.146 -0.270  0.048 -0.171  -0.051 -0.073  -0.169 -0.022  -0.308 -0.022  -0.445 -0.027  -0.544 -0.125  -0.610 -0.237  -0.610 -0.377  -0.610 -0.516  -0.610 -0.655  -0.542 -0.766  -0.503 -0.890  -0.395 -0.975  -0.271 -1.037  -0.146 -1.100  -0.012 -1.122  0.127 -1.122  0.266 -1.122  0.406 -1.122
1c#apa#apa20#app2046/e  -0.735 -0.411  -0.735 -0.589  -0.589 -0.620  -0.527 -0.504  -0.442 -0.411  -0.265 -0.411  -0.110 -0.389  -0.110 -0.211  0.059 -0.203  0.236 -0.203  0.413 -0.203  0.569 -0.149  0.694 -0.024  0.859 0.005  1.037 0.005  1.139 0.080  1.139 0.257  1.139 0.434  1.139 0.612  1.139 0.789  1.011 0.838  0.931 0.935  0.865 1.047  0.688 1.047  0.510 1.047  0.333 1.047  0.156 1.047  -0.022 1.047  -0.173 0.984  -0.298 0.858  -0.468 0.838  -0.610 0.755  -0.736 0.629  -0.861 0.504  -0.943 0.361  -0.943 0.183  -0.943 0.006  -0.943 -0.171  -0.943 -0.349  -0.862 -0.492  -0.737 -0.618  -0.735 -0.794  -0.607 -0.892  -0.448 -0.972  -0.286 -1.036  -0.109 -1.036  0.069 -1.036  0.203 -1.141  0.337 -1.245  0.515 -1.245
1c#apa#apa20#app2046/r  -0.546 0.024  -0.426 0.024  -0.407 -0.077  -0.407 -0.198  -0.407 -0.318  -0.407 -0.438  -0.381 -0.531  -0.268 -0.539  -0.268 -0.660  -0.268 -0.780  -0.268 -0.900  -0.268 -1.020  -0.268 -1.140  -0.268 -1.260  -0.268 -1.381  -0.268 -1.501  -0.268 -1.386  -0.268 -1.266  -0.268 -1.146  -0.268 -1.025  -0.268 -0.905  -0.268 -0.785  -0.268 -0.665  -0.268 -0.545  -0.268 -0.425  -0.268 -0.304  -0.268 -0.184  -0.252 -0.067  -0.214 0.047  -0.176 0.161  -0.138 0.275  -0.064 0.367  0.009 0.457  0.009 0.577  0.009 0.697  0.079 0.788  0.164 0.873  0.249 0.958  0.287 1.063  0.335 1.135  0.426 1.164  0.437 1.274  0.557 1.274  0.677 1.274  0.797 1.274  0.917 1.274  0.981 1.218  1.019 1.135  1.120 1.116  1.120 0.996
1c#apa#apa20#app2046/e  -1.185 -0.103  -1.019 -0.103  -0.899 0.009  -0.758 0.072  -0.612 0.121  -0.494 0.239  -0.331 0.246  -0.164 0.246  0.002 0.246  0.169 0.246  0.335 0.246  0.502 0.246  0.561 0.354  0.660 0.421  0.736 0.512  0.736 0.679  0.736 0.845  0.669 0.945  0.561 1.004  0.511 1.120  0.345 1.120  0.178 1.120  0.037 1.094  0.020 0.945  -0.144 0.938  -0.262 0.820  -0.380 0.703  -0.502 0.596  -0.661 0.589  -0.661 0.422  -0.661 0.256  -0.661 0.089  -0.661 -0.078  -0.661 -0.244  -0.661 -0.411  -0.661 -0.577  -0.579 -0.709  -0.461 -0.827  -0.343 -0.945  -0.202 -1.031  -0.053 -1.105  0.102 -1.151  0.269 -1.151  0.435 -1.151  0.602 -1.151  0.769 -1.151  0.935 -1.151  1.102 -1.151  1.268 -1.151  1.435 -1.151
1c#apa#apa20#app2046/d  0.067 1.900  0.067 1.932  0.067 1.770  0.067 1.608  0.067 1.446  0.067 1.284  0.067 1.121  0.096 0.966  0.164 0.820  0.164 0.658  0.227 0.510  0.262 0.357  0.262 0.194  0.262 0.032  0.262 -0.130  0.262 -0.292  0.275 -0.449  0.359 -0.576  0.354 -0.523  0.282 -0.378  0.262 -0.220  0.262 -0.058  0.159 0.062  0.086 0.207  -0.017 0.330  -0.134 0.440  -0.296 0.440  -0.458 0.440  -0.620 0.440  -0.762 0.390  -0.876 0.275  -0.906 0.125  -0.906 -0.037  -0.906 -0.199  -0.821 -0.326  -0.744 -0.468  -0.671 -0.613  -0.584 -0.743  -0.438 -0.815  -0.319 -0.923  -0.174 -0.996  -0.029 -1.068  0.119 -1.134  0.273 -1.185  0.430 -1.214  0.592 -1.214  0.744 -1.167  0.880 -1.082  1.016 -1.019  1.137 -0.922
1c#apa#apa20#app2046/c  0.425 0.733  0.532 0.733  0.539 0.833  0.633 0.847  0.568 0.847  0.539 0.926  0.468 0.962  0.425 1.026  0.367 1.076  0.260 1.076  0.153 1.076  0.056 1.050  -0.020 0.974  -0.122 0.962  -0.220 0.925  -0.316 0.877  -0.405 0.818  -0.480 0.742  -0.556 0.666  -0.604 0.579  -0.627 0.481  -0.703 0.405  -0.718 0.304  -0.718 0.197  -0.718 0.090  -0.718 -0.018  -0.718 -0.125  -0.718 -0.232  -0.699 -0.335  -0.651 -0.431  -0.603 -0.527  -0.544 -0.616  -0.484 -0.705  -0.425 -0.794  -0.357 -0.868  -0.251 -0.873  -0.155 -0.921  -0.059 -0.969  0.045 -0.983  0.153 -0.983  0.260 -0.983  0.367 -0.983  0.475 -0.983  0.582 -0.983  0.689 -0.983  0.796 -0.983  0.904 -0.983  1.011 -0.983  1.118 -0.983  1.226 -0.983
