2#apb#apb05#app0542/3  -0.853 0.828  -1.010 0.807  -0.947 0.885  -0.796 0.930  -0.649 0.988  -0.512 1.068  -0.363 1.104  -0.204 1.104  -0.053 1.148  0.096 1.177  0.248 1.131  0.387 1.064  0.429 0.921  0.397 0.765  0.307 0.635  0.206 0.514  0.089 0.407  -0.035 0.309  -0.170 0.226  -0.306 0.143  -0.442 0.062  -0.589 0.004  -0.705 -0.033  -0.574 0.033  -0.431 0.102  -0.287 0.168  -0.130 0.190  0.027 0.209  0.185 0.202  0.342 0.178  0.495 0.137  0.623 0.048  0.746 -0.053  0.803 -0.199  0.848 -0.350  0.872 -0.507  0.874 -0.664  0.850 -0.821  0.764 -0.947  0.652 -1.059  0.539 -1.171  0.412 -1.261  0.268 -1.327  0.115 -1.362  -0.043 -1.373  -0.201 -1.369  -0.359 -1.357  -0.504 -1.297  -0.639 -1.213  -0.769 -1.122
2#apb#apb05#app0542/M  -0.927 0.581  -0.941 0.461  -0.928 0.259  -0.915 0.058  -0.915 -0.144  -0.926 -0.346  -0.896 -0.545  -0.883 -0.745  -0.908 -0.946  -0.902 -1.146  -0.818 -1.003  -0.785 -0.805  -0.760 -0.605  -0.733 -0.404  -0.703 -0.204  -0.670 -0.005  -0.639 0.195  -0.613 0.395  -0.580 0.594  -0.536 0.791  -0.495 0.989  -0.378 0.869  -0.293 0.685  -0.228 0.494  -0.168 0.302  -0.093 0.114  -0.027 -0.077  0.046 -0.265  0.174 -0.363  0.301 -0.220  0.350 -0.024  0.375 0.176  0.404 0.376  0.439 0.575  0.481 0.773  0.531 0.968  0.650 1.042  0.770 0.881  0.864 0.702  0.955 0.522  1.026 0.334  1.065 0.136  1.086 -0.065  1.107 -0.266  1.128 -0.467  1.133 -0.669  1.130 -0.871  1.099 -1.070  1.220 -1.096  1.323 -0.924
2#apb#apb05#app0542/A  -1.206 -1.452  -1.256 -1.552  -1.155 -1.391  -1.067 -1.214  -0.963 -1.046  -0.874 -0.869  -0.790 -0.690  -0.709 -0.509  -0.630 -0.327  -0.551 -0.146  -0.460 0.030  -0.366 0.204  -0.272 0.379  -0.174 0.551  -0.073 0.722  0.028 0.892  0.129 1.062  0.204 1.245  0.280 1.429  0.349 1.614  0.409 1.470  0.475 1.284  0.512 1.090  0.544 0.894  0.572 0.698  0.610 0.504  0.649 0.310  0.700 0.119  0.760 -0.070  0.808 -0.262  0.854 -0.455  0.880 -0.651  0.927 -0.843  0.843 -0.876  0.678 -0.768  0.508 -0.666  0.338 -0.565  0.168 -0.463  -0.002 -0.361  -0.172 -0.260  -0.342 -0.158  -0.512 -0.057  -0.679 0.048  -0.587 0.107  -0.390 0.127  -0.194 0.155  0.003 0.172  0.201 0.172  0.399 0.179  0.596 0.194
2#apb#apb05#app0542/  0.265 0.197  0.157 0.197  0.049 0.197  -0.059 0.197  -0.167 0.197  -0.275 0.197  -0.383 0.197  -0.491 0.197  -0.600 0.197  -0.708 0.197  -0.816 0.197  -0.924 0.197  -1.032 0.197  -1.140 0.197  -1.248 0.197  -1.356 0.197  -1.464 0.197  -1.397 0.183  -1.291 0.165  -1.184 0.147  -1.077 0.129  -0.971 0.112  -0.864 0.094  -0.758 0.076  -0.651 0.058  -0.544 0.041  -0.438 0.023  -0.331 0.005  -0.224 -0.013  -0.118 -0.031  -0.011 -0.048  0.096 -0.066  0.202 -0.084  0.309 -0.102  0.415 -0.119  0.522 -0.137  0.629 -0.155  0.735 -0.173  0.842 -0.190  0.949 -0.208  1.055 -0.226  1.162 -0.244  1.269 -0.262  1.375 -0.279  1.482 -0.297  1.589 -0.315  1.695 -0.333  1.802 -0.350  1.908 -0.368  2.015 -0.386
2#apb#apb05#app0542/1  0.255 1.637  0.206 1.616  0.206 1.546  0.206 1.477  0.206 1.407  0.206 1.337  0.206 1.267  0.206 1.197  0.206 1.128  0.195 1.059  0.177 0.992  0.158 0.925  0.139 0.858  0.121 0.790  0.102 0.723  0.083 0.656  0.067 0.588  0.051 0.520  0.035 0.452  0.020 0.384  0.004 0.316  -0.012 0.249  -0.026 0.180  -0.039 0.111  -0.051 0.043  -0.064 -0.026  -0.077 -0.094  -0.088 -0.163  -0.088 -0.233  -0.088 -0.303  -0.088 -0.372  -0.088 -0.442  -0.088 -0.512  -0.088 -0.582  -0.092 -0.651  -0.100 -0.721  -0.107 -0.790  -0.115 -0.859  -0.123 -0.929  -0.130 -0.998  -0.138 -1.067  -0.143 -1.137  -0.149 -1.206  -0.154 -1.276  -0.159 -1.346  -0.162 -1.415  -0.162 -1.485  -0.162 -1.555  -0.162 -1.625  -0.113 -1.674
2#apb#apb05#app0542/P  -0.062 0.545  -0.042 0.672  -0.052 0.485  -0.074 0.299  -0.100 0.113  -0.129 -0.072  -0.157 -0.258  -0.183 -0.443  -0.206 -0.629  -0.222 -0.816  -0.238 -1.003  -0.266 -1.188  -0.294 -1.374  -0.297 -1.561  -0.297 -1.749  -0.331 -1.644  -0.349 -1.457  -0.368 -1.271  -0.387 -1.084  -0.406 -0.898  -0.425 -0.711  -0.443 -0.525  -0.462 -0.338  -0.481 -0.152  -0.500 0.035  -0.519 0.221  -0.537 0.408  -0.556 0.594  -0.577 0.781  -0.532 0.946  -0.385 1.055  -0.215 1.133  -0.031 1.170  0.153 1.206  0.338 1.238  0.523 1.269  0.698 1.204  0.862 1.122  0.979 0.976  1.102 0.834  1.105 0.661  1.039 0.487  0.960 0.317  0.823 0.189  0.676 0.074  0.517 -0.024  0.348 -0.107  0.177 -0.182  0.002 -0.248  -0.179 -0.297
2#apb#apb05#app0542/l  0.386 1.540  0.364 1.595  0.342 1.529  0.321 1.463  0.302 1.396  0.282 1.329  0.263 1.262  0.244 1.195  0.232 1.127  0.220 1.058  0.208 0.990  0.196 0.921  0.184 0.852  0.166 0.785  0.149 0.718  0.131 0.650  0.113 0.583  0.096 0.516  0.078 0.448  0.062 0.381  0.051 0.312  0.040 0.243  0.029 0.174  0.018 0.106  0.007 0.037  -0.004 -0.032  -0.015 -0.101  -0.029 -0.169  -0.043 -0.237  -0.057 -0.305  -0.072 -0.373  -0.086 -0.442  -0.100 -0.510  -0.114 -0.578  -0.130 -0.646  -0.147 -0.713  -0.164 -0.781  -0.181 -0.848  -0.198 -0.916  -0.215 -0.983  -0.232 -1.051  -0.247 -1.119  -0.261 -1.187  -0.276 -1.255  -0.290 -1.323  -0.304 -1.391  -0.319 -1.459  -0.326 -1.528  -0.333 -1.598  -0.340 -1.667
2#apb#apb05#app0542/u  -0.658 1.443  -0.650 1.468  -0.632 1.324  -0.688 1.190  -0.744 1.056  -0.787 0.918  -0.817 0.775  -0.848 0.633  -0.869 0.490  -0.887 0.345  -0.905 0.201  -0.913 0.056  -0.913 -0.089  -0.904 -0.234  -0.889 -0.379  -0.901 -0.523  -0.894 -0.664  -0.847 -0.795  -0.701 -0.795  -0.558 -0.787  -0.427 -0.722  -0.297 -0.657  -0.179 -0.576  -0.070 -0.478  0.038 -0.381  0.132 -0.270  0.224 -0.158  0.316 -0.045  0.410 0.066  0.504 0.177  0.598 0.288  0.661 0.417  0.717 0.551  0.758 0.689  0.755 0.766  0.735 0.624  0.718 0.479  0.704 0.334  0.694 0.189  0.685 0.044  0.676 -0.101  0.681 -0.246  0.692 -0.391  0.704 -0.536  0.718 -0.680  0.751 -0.816  0.854 -0.919  0.957 -1.022  1.084 -1.092  1.211 -1.163
2#apb#apb05#app0542/m  -0.864 0.933  -0.948 0.783  -0.973 0.612  -0.989 0.441  -0.989 0.269  -1.015 0.099  -1.045 -0.070  -1.061 -0.241  -1.074 -0.413  -1.091 -0.584  -1.135 -0.751  -1.123 -0.705  -1.081 -0.538  -1.022 -0.376  -0.958 -0.217  -0.870 -0.069  -0.777 0.076  -0.680 0.218  -0.582 0.359  -0.441 0.457  -0.296 0.550  -0.130 0.545  0.006 0.446  0.112 0.310  0.112 0.138  0.112 -0.034  0.120 -0.206  0.127 -0.376  0.072 -0.539  0.032 -0.600  0.109 -0.446  0.176 -0.287  0.254 -0.135  0.352 0.006  0.450 0.148  0.549 0.289  0.681 0.400  0.812 0.511  0.962 0.595  1.112 0.605  1.253 0.507  1.348 0.375  1.374 0.205  1.359 0.035  1.332 -0.135  1.309 -0.306  1.274 -0.474  1.235 -0.640  1.235 -0.812  1.276 -0.959
2#apb#apb05#app0542/b  -0.253 1.956  -0.312 1.813  -0.333 1.646  -0.355 1.479  -0.380 1.313  -0.405 1.146  -0.427 0.980  -0.449 0.813  -0.470 0.646  -0.491 0.479  -0.512 0.312  -0.530 0.145  -0.543 -0.023  -0.557 -0.191  -0.564 -0.359  -0.564 -0.527  -0.569 -0.695  -0.594 -0.862  -0.598 -0.996  -0.551 -0.835  -0.469 -0.688  -0.386 -0.542  -0.304 -0.395  -0.221 -0.248  -0.143 -0.099  -0.065 0.050  0.019 0.195  0.125 0.326  0.231 0.457  0.356 0.569  0.485 0.676  0.643 0.734  0.791 0.702  0.867 0.551  0.898 0.387  0.911 0.219  0.911 0.051  0.889 -0.114  0.838 -0.274  0.794 -0.437  0.756 -0.600  0.689 -0.752  0.593 -0.890  0.481 -1.015  0.355 -1.124  0.202 -1.193  0.041 -1.242  -0.121 -1.242  -0.281 -1.191  -0.428 -1.109
2#apb#apb05#app0542/i  -0.013 0.077  -0.067 0.065  -0.101 -0.034  -0.132 -0.135  -0.161 -0.237  -0.189 -0.339  -0.216 -0.441  -0.241 -0.543  -0.263 -0.647  -0.285 -0.750  -0.319 -0.849  -0.357 -0.948  -0.393 -1.047  -0.421 -1.149  -0.450 -1.251  -0.491 -1.348  -0.452 -1.361  -0.408 -1.267  -0.374 -1.167  -0.340 -1.067  -0.306 -0.967  -0.271 -0.867  -0.237 -0.767  -0.203 -0.667  -0.169 -0.567  -0.135 -0.467  -0.101 -0.367  -0.067 -0.267  -0.033 -0.167  0.002 -0.067  0.036 0.033  0.070 0.133  0.104 0.233  0.138 0.333  0.172 0.433  0.206 0.532  0.240 0.632  0.275 0.732  0.309 0.832  0.343 0.932  0.377 1.032  0.411 1.132  0.445 1.232  0.479 1.332  0.514 1.432  0.548 1.532  0.582 1.632  0.616 1.732  0.650 1.832  0.678 1.893
