3#apa#apa14#app1434/Q  -0.011 1.519  -0.180 1.398  -0.356 1.294  -0.460 1.102  -0.596 0.933  -0.752 0.778  -0.855 0.601  -0.855 0.382  -0.868 0.166  -0.966 -0.030  -0.855 -0.198  -0.765 -0.380  -0.558 -0.410  -0.459 -0.531  -0.240 -0.531  -0.020 -0.531  0.199 -0.531  0.419 -0.531  0.589 -0.413  0.744 -0.258  0.834 -0.076  0.834 0.144  0.713 0.313  0.615 0.509  0.441 0.630  0.267 0.759  0.183 0.916  0.007 1.019  -0.184 1.089  -0.372 1.155  -0.365 0.936  -0.348 0.717  -0.331 0.498  -0.314 0.279  -0.297 0.061  -0.280 -0.158  -0.264 -0.377  -0.298 -0.485  -0.292 -0.330  -0.101 -0.320  0.080 -0.410  0.195 -0.580  0.329 -0.750  0.351 -0.960  0.469 -1.131  0.633 -1.275  0.829 -1.373  0.998 -1.496  1.195 -1.517  1.316 -1.616
3#apa#apa14#app1434/U  -0.575 1.027  -0.699 1.027  -0.781 1.027  -0.658 1.027  -0.575 0.986  -0.575 0.863  -0.575 0.740  -0.575 0.616  -0.575 0.493  -0.575 0.369  -0.621 0.257  -0.676 0.146  -0.732 0.036  -0.787 -0.075  -0.802 -0.195  -0.802 -0.318  -0.802 -0.441  -0.797 -0.563  -0.709 -0.650  -0.622 -0.737  -0.575 -0.841  -0.575 -0.965  -0.498 -1.010  -0.374 -1.010  -0.251 -1.010  -0.127 -1.010  -0.016 -0.957  0.094 -0.902  0.204 -0.847  0.315 -0.792  0.436 -0.784  0.559 -0.782  0.646 -0.694  0.734 -0.607  0.783 -0.504  0.783 -0.381  0.783 -0.257  0.783 -0.134  0.783 -0.010  0.783 0.113  0.783 0.237  0.783 0.360  0.783 0.483  0.783 0.607  0.783 0.730  0.783 0.854  0.783 0.977  0.835 1.079  0.922 1.166  1.009 1.254
3#apa#apa14#app1434/I  0.035 0.917  0.035 0.995  0.035 1.072  0.035 1.150  0.035 1.228  0.035 1.306  -0.012 1.336  -0.090 1.336  -0.167 1.336  -0.175 1.266  -0.175 1.188  -0.170 1.111  -0.145 1.038  -0.120 0.964  -0.096 0.890  -0.071 0.816  -0.047 0.743  -0.022 0.669  0.002 0.595  0.027 0.521  0.035 0.445  0.035 0.367  0.035 0.289  0.035 0.212  0.035 0.134  0.035 0.056  0.035 -0.022  0.035 -0.099  0.035 -0.177  0.035 -0.255  0.035 -0.333  0.035 -0.410  0.035 -0.488  0.035 -0.566  0.035 -0.644  0.035 -0.721  0.035 -0.799  0.035 -0.877  0.035 -0.955  0.035 -1.032  0.035 -1.110  0.035 -1.188  0.035 -1.266  0.035 -1.343  0.035 -1.421  0.035 -1.499  0.035 -1.577  0.035 -1.654  0.035 -1.732  0.035 -1.810
3#apa#apa14#app1434/C  0.385 0.548  0.385 0.653  0.385 0.757  0.385 0.862  0.385 0.967  0.327 1.048  0.253 1.122  0.178 1.196  0.080 1.210  -0.025 1.210  -0.130 1.210  -0.235 1.210  -0.321 1.167  -0.396 1.093  -0.470 1.019  -0.499 0.926  -0.499 0.821  -0.499 0.717  -0.499 0.612  -0.499 0.507  -0.499 0.402  -0.499 0.298  -0.499 0.193  -0.499 0.088  -0.499 -0.017  -0.499 -0.122  -0.499 -0.226  -0.499 -0.331  -0.499 -0.436  -0.499 -0.541  -0.499 -0.646  -0.499 -0.750  -0.422 -0.778  -0.317 -0.778  -0.212 -0.778  -0.107 -0.778  -0.018 -0.816  0.056 -0.891  0.130 -0.965  0.220 -0.999  0.325 -0.999  0.430 -0.999  0.535 -0.999  0.640 -0.999  0.744 -0.999  0.849 -0.999  0.954 -0.999  1.059 -0.999  1.164 -0.999  1.268 -0.999
3#apa#apa14#app1434/K  -0.684 1.315  -0.684 1.429  -0.634 1.216  -0.534 1.016  -0.515 0.797  -0.515 0.573  -0.515 0.349  -0.515 0.125  -0.515 -0.099  -0.477 -0.317  -0.407 -0.530  -0.346 -0.744  -0.346 -0.968  -0.346 -1.192  -0.335 -1.026  -0.247 -0.821  -0.159 -0.615  -0.070 -0.409  0.018 -0.203  0.106 0.003  0.194 0.209  0.283 0.415  0.371 0.621  0.459 0.826  0.547 1.032  0.636 1.238  0.668 1.455  0.650 1.296  0.493 1.136  0.369 0.950  0.244 0.763  0.109 0.586  -0.049 0.428  -0.177 0.257  -0.271 0.100  -0.483 0.030  -0.684 -0.050  -0.616 -0.206  -0.392 -0.206  -0.168 -0.206  -0.008 -0.270  0.077 -0.459  0.208 -0.637  0.308 -0.837  0.453 -1.005  0.612 -1.163  0.770 -1.322  0.929 -1.480  1.006 -1.672  1.175 -1.727
3#apa#apa14#app1434/Z  -1.205 0.469  -1.205 0.622  -1.063 0.633  -0.924 0.691  -0.788 0.760  -0.651 0.828  -0.515 0.896  -0.377 0.960  -0.224 0.960  -0.072 0.960  0.081 0.960  0.234 0.960  0.387 0.960  0.539 0.960  0.692 0.960  0.845 0.960  0.864 0.904  0.756 0.796  0.648 0.688  0.540 0.580  0.432 0.472  0.324 0.364  0.216 0.256  0.108 0.148  0.000 0.040  -0.108 -0.067  -0.216 -0.175  -0.324 -0.283  -0.388 -0.409  -0.388 -0.562  -0.428 -0.675  -0.581 -0.675  -0.715 -0.693  -0.723 -0.838  -0.876 -0.838  -0.728 -0.838  -0.576 -0.838  -0.423 -0.838  -0.270 -0.838  -0.118 -0.838  0.035 -0.838  0.188 -0.838  0.341 -0.838  0.493 -0.838  0.646 -0.838  0.799 -0.838  0.951 -0.838  1.104 -0.838  1.257 -0.838  1.409 -0.838
3#apa#apa14#app1434/E  -0.281 0.815  -0.312 1.043  -0.474 1.206  -0.304 1.036  -0.281 0.805  -0.281 0.564  -0.281 0.324  -0.281 0.083  -0.281 -0.157  -0.295 -0.395  -0.403 -0.610  -0.478 -0.832  -0.478 -1.073  -0.478 -1.313  -0.276 -1.352  -0.036 -1.352  0.205 -1.352  0.431 -1.291  0.646 -1.184  0.880 -1.155  0.923 -0.958  1.036 -0.937  0.808 -0.861  0.580 -0.785  0.351 -0.709  0.123 -0.633  -0.105 -0.557  -0.333 -0.481  -0.561 -0.405  -0.675 -0.246  -0.511 -0.170  -0.272 -0.165  -0.057 -0.058  0.164 0.027  0.404 0.027  0.392 0.104  0.192 0.237  -0.008 0.370  -0.208 0.504  -0.408 0.637  -0.608 0.771  -0.675 0.975  -0.472 1.012  -0.231 1.012  0.009 1.012  0.210 1.109  0.403 1.241  0.632 1.317  0.860 1.393  1.098 1.406
3#apa#apa14#app1434/P  -0.670 -1.565  -0.791 -1.545  -0.791 -1.405  -0.791 -1.265  -0.791 -1.125  -0.791 -0.985  -0.791 -0.845  -0.791 -0.705  -0.791 -0.565  -0.791 -0.425  -0.791 -0.285  -0.791 -0.145  -0.791 -0.005  -0.883 0.097  -0.912 0.225  -0.793 0.246  -0.791 0.384  -0.754 0.488  -0.631 0.527  -0.527 0.620  -0.402 0.682  -0.273 0.729  -0.133 0.729  0.007 0.729  0.147 0.729  0.276 0.779  0.401 0.842  0.539 0.850  0.679 0.850  0.819 0.850  0.899 0.790  0.970 0.694  1.095 0.631  1.140 0.519  1.140 0.379  1.140 0.239  1.140 0.099  1.140 -0.041  1.082 -0.145  0.957 -0.208  0.824 -0.237  0.711 -0.304  0.593 -0.357  0.453 -0.357  0.313 -0.357  0.209 -0.271  0.093 -0.196  -0.032 -0.133  -0.168 -0.116  -0.308 -0.116
3#apa#apa14#app1434/H  -0.306 1.514  -0.566 1.514  -0.664 1.351  -0.664 1.091  -0.664 0.830  -0.664 0.570  -0.664 0.310  -0.664 0.049  -0.664 -0.211  -0.664 -0.472  -0.664 -0.732  -0.664 -0.993  -0.664 -1.253  -0.664 -1.196  -0.459 -1.121  -0.349 -0.885  -0.239 -0.649  -0.129 -0.413  -0.019 -0.177  0.091 0.059  0.202 0.295  0.312 0.531  0.422 0.767  0.532 1.003  0.642 1.239  0.752 1.475  0.770 1.295  0.770 1.035  0.770 0.774  0.770 0.514  0.770 0.254  0.770 -0.007  0.770 -0.267  0.770 -0.528  0.770 -0.788  0.770 -1.049  0.904 -1.176  0.743 -1.152  0.547 -0.981  0.351 -0.809  0.155 -0.638  -0.041 -0.466  -0.237 -0.295  -0.433 -0.123  -0.629 0.048  -0.810 0.079  -0.549 0.079  -0.468 -0.100  -0.207 -0.100  0.053 -0.100
3#apa#apa14#app1434/Y  -0.921 1.065  -0.921 1.228  -0.808 1.120  -0.753 0.980  -0.753 0.816  -0.699 0.675  -0.583 0.560  -0.468 0.444  -0.417 0.302  -0.330 0.226  -0.249 0.143  -0.249 -0.021  -0.197 -0.162  -0.081 -0.278  0.082 -0.278  0.086 -0.437  0.086 -0.290  0.154 -0.143  0.227 0.003  0.300 0.149  0.373 0.296  0.446 0.442  0.519 0.588  0.592 0.734  0.665 0.880  0.738 1.026  0.672 1.150  0.590 1.186  0.590 1.023  0.573 0.864  0.500 0.717  0.427 0.571  0.422 0.409  0.422 0.246  0.376 0.090  0.325 -0.065  0.273 -0.221  0.208 -0.370  0.135 -0.516  0.047 -0.652  -0.068 -0.768  -0.082 -0.925  -0.082 -1.089  -0.142 -1.238  -0.215 -1.384  -0.249 -1.539  -0.308 -1.679  -0.417 -1.797  -0.417 -1.960  -0.417 -2.124
3#apa#apa14#app1434/R  -0.555 0.661  -0.555 0.762  -0.555 0.521  -0.555 0.280  -0.506 0.050  -0.398 -0.166  -0.383 -0.404  -0.383 -0.646  -0.383 -0.887  -0.383 -1.128  -0.415 -1.079  -0.468 -0.843  -0.520 -0.607  -0.572 -0.372  -0.625 -0.136  -0.677 0.100  -0.738 0.331  -0.897 0.506  -0.811 0.661  -0.726 0.818  -0.523 0.934  -0.307 1.042  -0.092 1.150  0.124 1.258  0.345 1.346  0.553 1.266  0.757 1.175  0.807 0.995  0.644 0.822  0.608 0.589  0.500 0.373  0.464 0.143  0.248 0.035  0.032 -0.073  -0.184 -0.181  -0.360 -0.343  -0.531 -0.219  -0.518 -0.024  -0.277 -0.024  -0.037 -0.028  0.135 -0.197  0.350 -0.305  0.547 -0.440  0.644 -0.641  0.767 -0.832  0.970 -0.957  1.180 -1.074  1.329 -1.253  1.430 -1.394  1.500 -1.565
