1a#apb#apb38#app3800/4  -0.668 1.056  -0.732 0.929  -0.764 0.759  -0.809 0.591  -0.868 0.428  -0.936 0.268  -1.013 0.113  -1.066 -0.052  -1.112 -0.219  -1.204 -0.366  -1.236 -0.535  -1.238 -0.707  -1.159 -0.804  -0.993 -0.766  -0.835 -0.700  -0.682 -0.617  -0.533 -0.527  -0.376 -0.456  -0.211 -0.401  -0.040 -0.372  0.127 -0.326  0.300 -0.323  0.462 -0.373  0.513 -0.249  0.552 -0.080  0.590 0.090  0.628 0.259  0.667 0.429  0.705 0.598  0.744 0.767  0.782 0.937  0.821 1.106  0.859 1.276  0.807 1.234  0.730 1.079  0.655 0.922  0.601 0.759  0.568 0.588  0.539 0.417  0.534 0.245  0.546 0.071  0.542 -0.102  0.530 -0.275  0.504 -0.447  0.472 -0.618  0.438 -0.788  0.400 -0.957  0.345 -1.122  0.287 -1.286  0.228 -1.450
1a#apb#apb38#app3800/8  -0.014 1.426  -0.150 1.303  -0.287 1.181  -0.425 1.062  -0.586 0.976  -0.728 0.863  -0.853 0.730  -0.963 0.585  -1.021 0.415  -0.923 0.286  -0.741 0.274  -0.559 0.293  -0.376 0.293  -0.194 0.282  -0.012 0.264  0.169 0.239  0.337 0.167  0.504 0.099  0.618 -0.043  0.685 -0.212  0.754 -0.375  0.736 -0.553  0.687 -0.729  0.643 -0.906  0.566 -1.066  0.443 -1.201  0.308 -1.322  0.143 -1.396  -0.028 -1.458  -0.204 -1.495  -0.375 -1.442  -0.482 -1.332  -0.492 -1.150  -0.457 -0.973  -0.403 -0.798  -0.345 -0.624  -0.212 -0.500  -0.090 -0.366  0.015 -0.216  0.133 -0.076  0.254 0.061  0.371 0.202  0.477 0.351  0.576 0.503  0.615 0.680  0.570 0.851  0.495 1.016  0.419 1.178  0.287 1.300  0.112 1.350
1a#apb#apb38#app3800/1  0.076 1.456  0.005 1.457  -0.026 1.521  -0.034 1.529  -0.045 1.459  -0.057 1.389  -0.063 1.319  -0.063 1.248  -0.063 1.177  -0.063 1.106  -0.063 1.035  -0.063 0.964  -0.063 0.893  -0.063 0.822  -0.060 0.751  -0.054 0.680  -0.049 0.610  -0.043 0.539  -0.038 0.468  -0.032 0.398  -0.027 0.327  -0.020 0.256  -0.012 0.186  -0.005 0.115  0.002 0.045  0.006 -0.026  0.006 -0.097  0.006 -0.168  0.006 -0.239  0.006 -0.310  0.006 -0.381  0.006 -0.452  0.006 -0.523  0.006 -0.594  0.006 -0.665  0.006 -0.736  0.006 -0.806  0.020 -0.875  0.043 -0.942  0.065 -1.010  0.080 -1.079  0.089 -1.149  0.098 -1.219  0.107 -1.290  0.102 -1.360  0.088 -1.429  0.073 -1.499  0.051 -1.566  0.029 -1.633  0.006 -1.701
1a#apb#apb38#app3800/0  0.256 0.977  0.128 0.967  0.003 0.931  -0.118 0.883  -0.234 0.829  -0.321 0.732  -0.407 0.635  -0.494 0.538  -0.581 0.441  -0.655 0.335  -0.722 0.224  -0.800 0.121  -0.886 0.024  -0.965 -0.079  -1.035 -0.189  -1.097 -0.301  -1.123 -0.429  -1.124 -0.554  -1.083 -0.678  -1.002 -0.774  -0.901 -0.855  -0.778 -0.897  -0.655 -0.938  -0.526 -0.944  -0.396 -0.944  -0.268 -0.934  -0.148 -0.884  -0.028 -0.835  0.093 -0.785  0.206 -0.722  0.319 -0.658  0.432 -0.595  0.545 -0.530  0.657 -0.464  0.762 -0.389  0.848 -0.292  0.934 -0.195  1.020 -0.097  1.097 0.006  1.145 0.123  1.117 0.250  1.074 0.372  1.016 0.488  0.937 0.588  0.839 0.674  0.753 0.770  0.673 0.873  0.590 0.973  0.505 1.071  0.394 1.138
1a#apb#apb38#app3800/5  -0.499 0.653  -0.447 0.653  -0.306 0.640  -0.164 0.661  -0.025 0.699  0.114 0.735  0.253 0.769  0.393 0.802  0.533 0.835  0.672 0.870  0.814 0.884  0.881 0.920  0.737 0.920  0.595 0.907  0.457 0.869  0.318 0.830  0.179 0.795  0.040 0.761  -0.103 0.742  -0.246 0.724  -0.375 0.662  -0.503 0.598  -0.638 0.549  -0.770 0.491  -0.898 0.426  -0.939 0.321  -0.862 0.200  -0.755 0.104  -0.652 0.004  -0.551 -0.097  -0.453 -0.197  -0.327 -0.225  -0.195 -0.281  -0.059 -0.328  0.084 -0.344  0.218 -0.393  0.323 -0.490  0.407 -0.606  0.483 -0.727  0.539 -0.857  0.555 -0.999  0.556 -1.140  0.487 -1.263  0.385 -1.365  0.269 -1.449  0.150 -1.530  0.029 -1.607  -0.098 -1.674  -0.232 -1.720  -0.375 -1.733
1a#apb#apb38#app3800/7  -1.173 -0.043  -1.112 0.036  -1.067 0.148  -1.062 0.268  -1.053 0.388  -1.043 0.508  -1.043 0.628  -1.059 0.747  -1.019 0.695  -0.925 0.619  -0.832 0.542  -0.716 0.523  -0.595 0.514  -0.475 0.514  -0.355 0.500  -0.236 0.483  -0.116 0.487  0.003 0.503  0.123 0.516  0.244 0.525  0.364 0.535  0.483 0.553  0.602 0.573  0.718 0.605  0.836 0.630  0.956 0.643  1.039 0.644  0.982 0.569  0.879 0.506  0.801 0.414  0.733 0.315  0.671 0.211  0.616 0.104  0.563 -0.004  0.515 -0.115  0.467 -0.225  0.423 -0.338  0.385 -0.452  0.347 -0.567  0.311 -0.682  0.277 -0.798  0.243 -0.913  0.203 -1.027  0.163 -1.141  0.119 -1.253  0.073 -1.365  0.026 -1.476  -0.030 -1.582  -0.099 -1.681  -0.153 -1.787
1a#apb#apb38#app3800/1  0.370 1.490  0.300 1.490  0.236 1.496  0.210 1.488  0.167 1.432  0.134 1.372  0.127 1.302  0.120 1.232  0.113 1.162  0.106 1.092  0.095 1.023  0.082 0.954  0.068 0.885  0.054 0.816  0.040 0.747  0.031 0.677  0.026 0.607  0.021 0.536  0.015 0.466  0.010 0.396  0.004 0.326  0.001 0.256  0.001 0.185  0.001 0.115  0.001 0.044  0.001 -0.026  0.001 -0.096  0.001 -0.167  0.001 -0.237  -0.006 -0.307  -0.014 -0.377  -0.023 -0.447  -0.032 -0.517  -0.041 -0.587  -0.049 -0.657  -0.058 -0.726  -0.067 -0.796  -0.080 -0.865  -0.092 -0.935  -0.105 -1.004  -0.117 -1.073  -0.130 -1.143  -0.143 -1.212  -0.157 -1.281  -0.171 -1.350  -0.185 -1.419  -0.199 -1.488  -0.211 -1.557  -0.222 -1.627  -0.234 -1.696
1a#apb#apb38#app3800/2  -0.711 1.357  -0.710 1.393  -0.617 1.448  -0.507 1.477  -0.393 1.493  -0.284 1.472  -0.177 1.431  -0.068 1.395  0.040 1.359  0.117 1.275  0.189 1.187  0.219 1.076  0.249 0.966  0.282 0.856  0.316 0.747  0.349 0.637  0.353 0.523  0.353 0.409  0.349 0.295  0.325 0.183  0.301 0.071  0.277 -0.041  0.253 -0.153  0.229 -0.265  0.199 -0.374  0.151 -0.479  0.104 -0.583  0.048 -0.682  -0.011 -0.780  -0.081 -0.869  -0.169 -0.943  -0.258 -1.015  -0.358 -1.055  -0.473 -1.055  -0.587 -1.055  -0.616 -0.970  -0.579 -0.864  -0.499 -0.784  -0.407 -0.720  -0.295 -0.695  -0.183 -0.673  -0.069 -0.661  0.044 -0.660  0.158 -0.676  0.265 -0.715  0.372 -0.756  0.477 -0.801  0.578 -0.854  0.675 -0.915  0.779 -0.961
1a#apb#apb38#app3800/6  0.510 1.706  0.458 1.723  0.365 1.650  0.262 1.587  0.162 1.521  0.077 1.435  -0.007 1.349  -0.079 1.252  -0.149 1.154  -0.216 1.053  -0.278 0.950  -0.336 0.844  -0.387 0.735  -0.434 0.624  -0.475 0.510  -0.515 0.396  -0.549 0.281  -0.576 0.163  -0.594 0.044  -0.608 -0.076  -0.608 -0.196  -0.608 -0.317  -0.605 -0.437  -0.573 -0.554  -0.535 -0.667  -0.463 -0.764  -0.390 -0.860  -0.318 -0.957  -0.223 -1.030  -0.123 -1.097  -0.015 -1.151  0.093 -1.205  0.193 -1.170  0.289 -1.097  0.374 -1.012  0.460 -0.926  0.545 -0.841  0.622 -0.749  0.697 -0.653  0.755 -0.548  0.809 -0.441  0.763 -0.336  0.666 -0.266  0.562 -0.205  0.452 -0.164  0.331 -0.164  0.223 -0.216  0.114 -0.267  0.001 -0.306  -0.120 -0.306
1a#apb#apb38#app3800/3  -1.258 0.628  -1.363 0.609  -1.262 0.671  -1.162 0.733  -1.058 0.789  -0.945 0.821  -0.831 0.854  -0.717 0.884  -0.602 0.913  -0.487 0.938  -0.369 0.947  -0.252 0.956  -0.134 0.958  -0.015 0.958  0.100 0.939  0.213 0.905  0.314 0.847  0.390 0.760  0.432 0.653  0.420 0.535  0.387 0.428  0.304 0.344  0.220 0.261  0.137 0.177  0.053 0.094  -0.030 0.010  -0.114 -0.073  -0.209 -0.141  -0.316 -0.189  -0.377 -0.273  -0.260 -0.280  -0.145 -0.308  -0.030 -0.335  0.085 -0.362  0.200 -0.391  0.313 -0.423  0.422 -0.469  0.524 -0.527  0.618 -0.598  0.677 -0.695  0.727 -0.801  0.783 -0.901  0.763 -1.017  0.763 -1.135  0.718 -1.243  0.646 -1.335  0.566 -1.421  0.488 -1.508  0.392 -1.576  0.280 -1.613
1a#apb#apb38#app3800/1  -0.070 0.914  -0.045 0.988  0.016 1.094  0.084 1.198  0.156 1.301  0.231 1.402  0.297 1.509  0.391 1.590  0.470 1.583  0.449 1.459  0.435 1.336  0.400 1.215  0.360 1.095  0.355 0.970  0.333 0.848  0.295 0.728  0.260 0.607  0.242 0.483  0.195 0.368  0.138 0.257  0.111 0.134  0.078 0.013  0.036 -0.106  -0.014 -0.221  -0.051 -0.341  -0.079 -0.464  -0.111 -0.584  -0.167 -0.697  -0.224 -0.809  -0.280 -0.922  -0.330 -1.020  -0.405 -1.036  -0.525 -1.021  -0.647 -1.002  -0.771 -0.988  -0.876 -0.927  -0.844 -0.901  -0.726 -0.856  -0.601 -0.856  -0.475 -0.850  -0.351 -0.832  -0.231 -0.792  -0.109 -0.765  0.011 -0.727  0.135 -0.714  0.261 -0.714  0.382 -0.695  0.492 -0.734  0.612 -0.761  0.709 -0.762
