1c#apa#apa01#app0189/f  -0.034 -1.828  0.098 -1.814  -0.019 -1.697  -0.034 -1.537  -0.053 -1.389  -0.180 -1.350  -0.180 -1.184  -0.236 -1.041  -0.327 -0.912  -0.327 -0.746  -0.327 -0.580  -0.327 -0.414  -0.410 -0.282  -0.473 -0.142  -0.473 0.024  -0.473 0.190  -0.473 0.357  -0.473 0.523  -0.473 0.689  -0.423 0.805  -0.327 0.875  -0.327 1.041  -0.216 1.097  -0.180 1.227  -0.074 1.350  0.075 1.390  0.112 1.261  0.261 1.244  0.421 1.228  0.538 1.110  0.697 1.095  0.719 0.951  0.819 0.917  0.721 0.783  0.623 0.648  0.526 0.514  0.428 0.380  0.330 0.245  0.232 0.111  0.135 -0.024  0.037 -0.158  -0.061 -0.293  -0.159 -0.427  -0.256 -0.561  -0.280 -0.658  -0.114 -0.658  0.052 -0.658  0.219 -0.658  0.258 -0.532  0.405 -0.512
1c#apa#apa01#app0189/a  -0.019 0.300  0.145 0.300  0.188 0.420  0.112 0.507  -0.019 0.539  -0.019 0.702  -0.171 0.714  -0.334 0.714  -0.497 0.714  -0.654 0.699  -0.770 0.584  -0.901 0.507  -1.054 0.496  -1.054 0.333  -1.184 0.300  -1.261 0.213  -1.261 0.050  -1.261 -0.114  -1.098 -0.114  -1.054 -0.233  -1.054 -0.397  -1.022 -0.528  -0.859 -0.528  -0.740 -0.635  -0.618 -0.735  -0.455 -0.735  -0.433 -0.594  -0.335 -0.528  -0.172 -0.528  -0.019 -0.518  -0.019 -0.355  0.111 -0.321  0.188 -0.235  0.218 -0.084  0.334 0.031  0.395 0.169  0.428 0.300  0.591 0.300  0.602 0.147  0.711 0.093  0.855 0.047  0.971 -0.069  1.115 -0.114  1.279 -0.114  1.430 -0.126  1.430 -0.289  1.562 -0.321  1.725 -0.321  1.888 -0.321  2.052 -0.321
1c#apa#apa01#app0189/i  0.145 -0.427  0.213 -0.495  0.281 -0.563  0.333 -0.638  0.333 -0.734  0.333 -0.830  0.333 -0.926  0.354 -1.013  0.422 -1.081  0.490 -1.149  0.522 -1.232  0.522 -1.328  0.502 -1.319  0.466 -1.230  0.430 -1.141  0.395 -1.051  0.359 -0.962  0.323 -0.873  0.287 -0.784  0.252 -0.694  0.216 -0.605  0.180 -0.516  0.145 -0.427  0.109 -0.338  0.073 -0.248  0.038 -0.159  0.002 -0.070  -0.034 0.019  -0.069 0.109  -0.105 0.198  -0.141 0.287  -0.176 0.376  -0.212 0.465  -0.248 0.555  -0.284 0.644  -0.319 0.733  -0.355 0.822  -0.391 0.911  -0.426 1.001  -0.462 1.090  -0.498 1.179  -0.533 1.268  -0.569 1.358  -0.605 1.447  -0.524 1.457  -0.428 1.457  -0.420 1.369  -0.420 1.272  -0.420 1.361  -0.420 1.457
1c#apa#apa01#app0189/l  -0.400 1.669  -0.400 1.594  -0.400 1.519  -0.400 1.444  -0.400 1.369  -0.400 1.293  -0.393 1.221  -0.340 1.168  -0.287 1.115  -0.253 1.054  -0.253 0.979  -0.253 0.903  -0.253 0.828  -0.253 0.753  -0.253 0.678  -0.253 0.603  -0.253 0.528  -0.224 0.465  -0.171 0.412  -0.118 0.359  -0.106 0.288  -0.106 0.213  -0.062 0.156  -0.009 0.103  0.040 0.048  0.040 -0.027  0.040 -0.102  0.040 -0.177  0.049 -0.249  0.102 -0.302  0.155 -0.355  0.187 -0.417  0.187 -0.492  0.187 -0.567  0.187 -0.642  0.187 -0.717  0.187 -0.792  0.216 -0.856  0.269 -0.909  0.322 -0.962  0.334 -1.032  0.334 -1.107  0.334 -1.182  0.334 -1.258  0.334 -1.333  0.334 -1.408  0.402 -1.415  0.477 -1.415  0.481 -1.486  0.481 -1.561
1c#apa#apa01#app0189/e  -1.054 0.211  -0.940 0.096  -0.826 -0.018  -0.673 -0.040  -0.512 -0.040  -0.350 -0.040  -0.304 0.076  -0.277 0.211  -0.115 0.211  0.017 0.281  0.131 0.396  0.245 0.510  0.360 0.624  0.446 0.750  0.446 0.911  0.446 1.073  0.423 1.211  0.261 1.211  0.099 1.211  -0.054 1.203  -0.054 1.041  -0.135 0.961  -0.297 0.961  -0.304 0.807  -0.370 0.711  -0.531 0.711  -0.554 0.572  -0.554 0.410  -0.554 0.249  -0.554 0.087  -0.554 -0.074  -0.554 -0.236  -0.554 -0.397  -0.554 -0.559  -0.554 -0.721  -0.462 -0.790  -0.300 -0.790  -0.139 -0.790  0.000 -0.844  0.115 -0.959  0.243 -1.040  0.404 -1.040  0.566 -1.040  0.727 -1.040  0.889 -1.040  1.050 -1.040  1.212 -1.040  1.374 -1.040  1.535 -1.040  1.697 -1.040
1c#apa#apa01#app0189/d  0.083 -0.457  -0.101 -0.457  -0.285 -0.457  -0.336 -0.590  -0.448 -0.662  -0.570 -0.723  -0.551 -0.884  -0.448 -1.025  -0.359 -1.120  -0.308 -1.253  -0.125 -1.253  0.059 -1.253  0.215 -1.226  0.215 -1.042  0.198 -0.860  0.173 -0.678  0.148 -0.496  0.124 -0.314  0.099 -0.132  0.074 0.050  0.049 0.232  0.024 0.414  -0.001 0.596  -0.025 0.778  -0.050 0.960  -0.075 1.142  -0.100 1.324  -0.125 1.506  -0.149 1.688  -0.174 1.870  -0.182 1.807  -0.059 1.674  -0.050 1.494  0.013 1.337  0.083 1.182  0.083 0.998  0.083 0.815  0.083 0.631  0.083 0.447  0.083 0.264  0.083 0.080  0.083 -0.104  0.150 -0.260  0.215 -0.416  0.215 -0.600  0.215 -0.784  0.328 -0.855  0.348 -1.018  0.430 -1.120  0.481 -1.253
1c#apa#apa01#app0189/w  -1.517 0.555  -1.382 0.555  -1.352 0.450  -1.352 0.315  -1.352 0.181  -1.338 0.061  -1.203 0.061  -1.103 -0.024  -1.023 -0.125  -1.023 -0.260  -0.934 -0.358  -0.858 -0.461  -0.858 -0.596  -0.726 -0.598  -0.693 -0.496  -0.693 -0.361  -0.651 -0.269  -0.529 -0.257  -0.529 -0.122  -0.446 -0.022  -0.364 0.079  -0.364 0.214  -0.277 0.312  -0.174 0.390  -0.040 0.390  0.057 0.298  0.130 0.194  0.132 0.061  0.266 0.061  0.295 -0.046  0.371 -0.104  0.459 -0.150  0.476 -0.269  0.610 -0.269  0.624 -0.390  0.715 -0.434  0.850 -0.434  0.984 -0.434  1.118 -0.433  1.118 -0.298  1.118 -0.163  1.118 -0.029  1.164 0.061  1.283 0.076  1.283 0.211  1.283 0.345  1.283 0.480  1.283 0.615  1.313 0.719  1.448 0.719
1c#apa#apa01#app0189/i  0.012 -0.330  0.087 -0.406  0.165 -0.475  0.271 -0.475  0.302 -0.551  0.302 -0.658  0.302 -0.764  0.302 -0.870  0.302 -0.977  0.302 -1.083  0.302 -1.190  0.302 -1.296  0.302 -1.403  0.297 -1.470  0.272 -1.366  0.248 -1.263  0.223 -1.159  0.199 -1.056  0.174 -0.952  0.149 -0.849  0.125 -0.745  0.100 -0.642  0.075 -0.538  0.051 -0.435  0.026 -0.331  0.001 -0.228  -0.023 -0.124  -0.048 -0.021  -0.073 0.083  -0.097 0.186  -0.122 0.290  -0.147 0.393  -0.171 0.497  -0.196 0.600  -0.220 0.704  -0.245 0.807  -0.270 0.911  -0.294 1.014  -0.319 1.118  -0.344 1.222  -0.368 1.325  -0.393 1.429  -0.418 1.532  -0.337 1.552  -0.278 1.505  -0.269 1.407  -0.162 1.407  -0.133 1.331  -0.133 1.224  -0.133 1.118
1c#apa#apa01#app0189/z  -1.407 0.913  -1.292 0.913  -1.176 0.913  -1.060 0.913  -0.944 0.913  -0.828 0.913  -0.712 0.913  -0.597 0.913  -0.481 0.913  -0.365 0.913  -0.249 0.913  -0.133 0.913  -0.017 0.913  0.098 0.913  0.115 0.813  0.140 0.723  0.256 0.723  0.305 0.656  0.305 0.540  0.229 0.456  0.147 0.374  0.115 0.272  0.115 0.156  0.003 0.152  -0.076 0.114  -0.076 -0.001  -0.154 -0.039  -0.266 -0.043  -0.266 -0.159  -0.266 -0.274  -0.266 -0.390  -0.266 -0.506  -0.266 -0.622  -0.266 -0.738  -0.212 -0.800  -0.096 -0.800  0.020 -0.800  0.129 -0.814  0.211 -0.896  0.293 -0.978  0.404 -0.990  0.520 -0.990  0.636 -0.990  0.752 -0.990  0.868 -0.990  0.983 -0.990  1.099 -0.990  1.215 -0.990  1.331 -0.990  1.447 -0.990
1c#apa#apa01#app0189/a  0.665 0.311  0.536 0.441  0.398 0.549  0.215 0.549  0.189 0.707  0.087 0.788  -0.096 0.788  -0.279 0.788  -0.463 0.788  -0.646 0.788  -0.764 0.723  -0.774 0.549  -0.957 0.549  -1.002 0.412  -1.085 0.311  -1.241 0.284  -1.241 0.101  -1.241 -0.082  -1.241 -0.265  -1.241 -0.448  -1.241 -0.631  -1.068 -0.642  -0.919 -0.725  -0.790 -0.855  -0.617 -0.880  -0.434 -0.880  -0.288 -0.844  -0.288 -0.661  -0.123 -0.642  -0.049 -0.533  0.005 -0.404  0.188 -0.404  0.189 -0.222  0.279 -0.076  0.408 0.054  0.427 0.229  0.528 0.311  0.665 0.357  0.665 0.540  0.665 0.376  0.784 0.311  0.949 0.266  1.078 0.137  1.142 -0.020  1.142 -0.203  1.142 -0.386  1.307 -0.404  1.380 -0.514  1.435 -0.642  1.618 -0.642
1c#apa#apa01#app0189/r  -0.620 0.886  -0.620 0.729  -0.620 0.572  -0.620 0.414  -0.620 0.257  -0.533 0.136  -0.422 0.024  -0.310 -0.087  -0.288 -0.235  -0.288 -0.393  -0.288 -0.550  -0.288 -0.708  -0.196 -0.773  -0.039 -0.773  0.043 -0.848  0.043 -1.005  0.043 -1.163  0.043 -1.320  0.085 -1.437  0.242 -1.437  0.375 -1.413  0.375 -1.255  0.370 -1.100  0.259 -0.988  0.148 -0.877  0.043 -0.763  0.043 -0.606  0.043 -0.448  -0.107 -0.441  -0.264 -0.441  -0.288 -0.308  -0.288 -0.150  -0.288 0.007  -0.288 0.165  -0.288 0.322  -0.288 0.479  -0.288 0.637  -0.288 0.794  -0.242 0.933  -0.131 1.044  -0.020 1.155  0.112 1.218  0.269 1.218  0.426 1.218  0.584 1.218  0.741 1.218  0.899 1.218  1.056 1.218  1.213 1.218  1.371 1.218
