3#app#app32#app3276/@  0.198 0.232  0.129 0.402  0.045 0.536  -0.039 0.401  -0.108 0.231  -0.208 0.074  -0.310 -0.083  -0.304 -0.276  -0.135 -0.202  -0.005 -0.057  0.096 0.040  0.198 0.138  0.299 0.235  0.228 0.262  0.198 0.076  0.350 0.029  0.549 0.029  0.642 0.149  0.807 0.246  0.913 0.343  1.002 0.520  1.010 0.718  1.010 0.917  0.908 1.073  0.883 1.247  0.684 1.247  0.485 1.247  0.298 1.196  0.136 1.084  -0.004 0.943  -0.145 0.803  -0.286 0.662  -0.384 0.490  -0.508 0.338  -0.636 0.188  -0.722 0.009  -0.785 -0.180  -0.861 -0.363  -0.919 -0.548  -0.919 -0.747  -0.919 -0.946  -0.919 -1.145  -0.881 -1.329  -0.709 -1.392  -0.541 -1.466  -0.353 -1.494  -0.154 -1.494  0.045 -1.494  0.244 -1.494  0.401 -1.392
3#app#app32#app3276/1  -0.061 1.720  -0.061 1.648  -0.061 1.577  -0.061 1.506  -0.061 1.434  -0.061 1.363  -0.061 1.292  -0.061 1.220  -0.061 1.149  -0.061 1.078  -0.061 1.006  -0.061 0.935  -0.061 0.864  -0.061 0.792  -0.061 0.721  -0.061 0.650  -0.061 0.578  -0.061 0.507  -0.061 0.436  -0.061 0.364  -0.061 0.293  -0.061 0.222  -0.061 0.150  -0.061 0.079  -0.061 0.008  -0.061 -0.063  -0.061 -0.135  -0.061 -0.206  -0.061 -0.277  -0.061 -0.349  -0.025 -0.405  0.025 -0.456  0.076 -0.506  0.089 -0.572  0.089 -0.644  0.089 -0.715  0.089 -0.786  0.089 -0.858  0.089 -0.929  0.089 -1.000  0.089 -1.072  0.089 -1.143  0.089 -1.214  0.089 -1.286  0.089 -1.357  0.089 -1.428  0.089 -1.500  0.095 -1.564  0.167 -1.564  0.238 -1.564
3#app#app32#app3276/2  -0.863 0.506  -0.863 0.628  -0.863 0.750  -0.798 0.845  -0.706 0.918  -0.586 0.921  -0.499 1.007  -0.397 1.055  -0.275 1.055  -0.177 1.079  -0.169 1.192  -0.047 1.192  0.075 1.192  0.197 1.192  0.319 1.192  0.372 1.123  0.372 1.001  0.372 0.879  0.372 0.758  0.372 0.636  0.372 0.514  0.372 0.392  0.302 0.299  0.223 0.208  0.168 0.098  0.113 -0.011  0.098 -0.129  0.047 -0.230  -0.039 -0.316  -0.125 -0.402  -0.177 -0.503  -0.201 -0.615  -0.287 -0.701  -0.314 -0.812  -0.362 -0.914  -0.449 -1.000  -0.451 -1.121  -0.349 -1.140  -0.227 -1.140  -0.105 -1.140  0.017 -1.140  0.139 -1.140  0.261 -1.140  0.380 -1.132  0.466 -1.046  0.570 -1.003  0.692 -1.003  0.814 -1.003  0.921 -0.988  0.921 -0.866
3#app#app32#app3276/:  -0.190 1.190  -0.190 1.263  -0.190 1.336  -0.215 1.383  -0.288 1.383  -0.361 1.383  -0.369 1.333  -0.350 1.263  -0.331 1.192  -0.313 1.122  -0.294 1.052  -0.275 0.981  -0.256 0.911  -0.237 0.840  -0.219 0.770  -0.200 0.700  -0.181 0.629  -0.162 0.559  -0.144 0.489  -0.125 0.418  -0.106 0.348  -0.087 0.277  -0.069 0.207  -0.050 0.137  -0.031 0.066  -0.012 -0.004  0.007 -0.075  0.025 -0.145  0.044 -0.215  0.063 -0.286  0.082 -0.356  0.100 -0.427  0.119 -0.497  0.138 -0.567  0.157 -0.638  0.175 -0.708  0.194 -0.778  0.213 -0.849  0.232 -0.919  0.251 -0.990  0.269 -1.060  0.288 -1.130  0.307 -1.201  0.326 -1.271  0.344 -1.342  0.363 -1.412  0.382 -1.482  0.389 -1.554  0.389 -1.627  0.389 -1.700
3#app#app32#app3276/3  -0.752 0.974  -0.871 0.974  -0.987 0.977  -0.983 1.092  -0.864 1.092  -0.745 1.092  -0.626 1.092  -0.507 1.092  -0.388 1.092  -0.273 1.084  -0.189 0.999  -0.080 0.974  -0.046 0.889  -0.046 0.770  -0.046 0.652  -0.046 0.533  -0.136 0.504  -0.164 0.412  -0.257 0.386  -0.348 0.320  -0.432 0.235  -0.516 0.151  -0.398 0.151  -0.279 0.151  -0.160 0.151  -0.041 0.151  0.076 0.147  0.160 0.063  0.267 0.033  0.363 -0.023  0.456 -0.084  0.542 -0.117  0.566 -0.226  0.650 -0.310  0.660 -0.425  0.735 -0.513  0.777 -0.615  0.777 -0.734  0.777 -0.853  0.732 -0.953  0.648 -1.037  0.564 -1.121  0.480 -1.205  0.395 -1.289  0.311 -1.373  0.194 -1.378  0.189 -1.492  0.074 -1.496  -0.045 -1.496  -0.164 -1.496
3#app#app32#app3276/4  -0.072 1.117  -0.197 1.059  -0.313 0.993  -0.444 0.869  -0.573 0.740  -0.694 0.607  -0.764 0.496  -0.818 0.367  -0.818 0.184  -0.818 0.002  -0.655 -0.040  -0.526 -0.169  -0.377 -0.250  -0.231 -0.340  -0.063 -0.374  0.052 -0.442  0.178 -0.498  0.300 -0.438  0.300 -0.256  0.300 -0.074  0.300 0.109  0.300 0.291  0.300 0.474  0.300 0.656  0.300 0.839  0.300 1.021  0.300 1.204  0.300 1.386  0.300 1.410  0.300 1.228  0.300 1.045  0.300 0.863  0.300 0.680  0.214 0.534  0.176 0.367  0.176 0.185  0.176 0.002  0.096 -0.161  0.052 -0.334  0.052 -0.516  0.052 -0.698  0.052 -0.881  0.052 -1.063  0.053 -1.245  0.176 -1.377  0.176 -1.559  0.176 -1.742  0.176 -1.924  0.176 -2.107  0.300 -2.238
3#app#app32#app3276/:  -0.913 1.187  -0.828 1.187  -0.743 1.187  -0.659 1.187  -0.574 1.187  -0.508 1.167  -0.508 1.083  -0.508 0.998  -0.508 0.913  -0.508 0.828  -0.470 0.782  -0.385 0.782  -0.306 0.776  -0.306 0.692  -0.306 0.607  -0.306 0.522  -0.306 0.438  -0.306 0.402  -0.306 0.487  -0.306 0.572  -0.269 0.512  -0.229 0.438  -0.188 0.364  -0.148 0.289  -0.107 0.215  -0.067 0.141  -0.026 0.066  0.015 -0.008  0.055 -0.083  0.096 -0.157  0.136 -0.231  0.177 -0.306  0.217 -0.380  0.258 -0.455  0.299 -0.529  0.339 -0.603  0.380 -0.678  0.420 -0.752  0.461 -0.826  0.501 -0.901  0.542 -0.975  0.583 -1.050  0.623 -1.124  0.664 -1.198  0.704 -1.273  0.745 -1.347  0.785 -1.422  0.826 -1.496  0.867 -1.570  0.907 -1.645
3#app#app32#app3276/5  0.681 1.339  0.681 1.207  0.648 1.109  0.567 1.059  0.501 0.994  0.369 0.994  0.267 0.924  0.154 0.880  0.023 0.880  -0.108 0.880  -0.239 0.880  -0.371 0.880  -0.502 0.880  -0.633 0.880  -0.765 0.880  -0.810 0.794  -0.810 0.662  -0.810 0.531  -0.810 0.400  -0.810 0.269  -0.756 0.191  -0.695 0.121  -0.608 0.077  -0.477 0.077  -0.345 0.077  -0.214 0.077  -0.083 0.077  0.049 0.077  0.159 0.026  0.264 -0.038  0.395 -0.038  0.452 -0.112  0.543 -0.153  0.567 -0.260  0.567 -0.391  0.567 -0.522  0.567 -0.654  0.567 -0.785  0.567 -0.916  0.475 -0.956  0.452 -1.064  0.330 -1.077  0.237 -1.170  0.223 -1.295  0.099 -1.308  0.006 -1.401  -0.119 -1.414  -0.213 -1.506  -0.334 -1.529  -0.466 -1.529
3#app#app32#app3276/6  0.061 1.822  0.061 1.964  -0.036 1.871  -0.086 1.750  -0.086 1.608  -0.130 1.484  -0.230 1.384  -0.232 1.242  -0.292 1.115  -0.356 0.988  -0.379 0.851  -0.417 0.718  -0.481 0.591  -0.526 0.460  -0.526 0.318  -0.526 0.176  -0.526 0.034  -0.526 -0.108  -0.526 -0.250  -0.526 -0.392  -0.526 -0.534  -0.522 -0.675  -0.422 -0.776  -0.321 -0.876  -0.216 -0.965  -0.074 -0.965  0.068 -0.965  0.208 -0.963  0.208 -0.821  0.347 -0.818  0.489 -0.818  0.593 -0.727  0.693 -0.626  0.794 -0.526  0.894 -0.425  0.941 -0.303  0.941 -0.161  0.875 -0.085  0.733 -0.085  0.607 -0.125  0.507 -0.226  0.367 -0.232  0.263 -0.323  0.163 -0.423  0.062 -0.524  -0.038 -0.624  -0.160 -0.672  -0.282 -0.721  -0.384 -0.818  -0.526 -0.818
3#app#app32#app3276/_  -1.607 0.177  -1.534 0.177  -1.461 0.177  -1.388 0.177  -1.316 0.177  -1.243 0.177  -1.210 0.136  -1.210 0.064  -1.210 -0.009  -1.150 -0.021  -1.077 -0.021  -1.004 -0.021  -0.931 -0.021  -0.859 -0.021  -0.786 -0.021  -0.713 -0.021  -0.640 -0.021  -0.567 -0.021  -0.495 -0.021  -0.422 -0.021  -0.349 -0.021  -0.276 -0.021  -0.203 -0.021  -0.131 -0.021  -0.058 -0.021  0.015 -0.021  0.088 -0.021  0.161 -0.021  0.233 -0.021  0.306 -0.021  0.379 -0.021  0.452 -0.021  0.525 -0.021  0.597 -0.021  0.670 -0.021  0.743 -0.021  0.816 -0.021  0.889 -0.021  0.961 -0.021  1.034 -0.021  1.107 -0.021  1.180 -0.021  1.253 -0.021  1.325 -0.021  1.398 -0.021  1.471 -0.021  1.544 -0.021  1.564 -0.074  1.564 -0.147  1.564 -0.220
3#app#app32#app3276/J  -0.038 1.146  -0.009 1.009  0.069 0.892  0.069 0.743  0.080 0.598  0.177 0.488  0.215 0.355  0.285 0.234  0.285 0.084  0.380 -0.025  0.434 -0.163  0.481 -0.305  0.541 -0.442  0.607 -0.576  0.637 -0.713  0.715 -0.830  0.772 -0.956  0.823 -1.084  0.823 -1.234  0.768 -1.328  0.618 -1.328  0.469 -1.328  0.320 -1.328  0.204 -1.248  0.066 -1.218  -0.038 -1.112  -0.069 -0.975  -0.146 -0.857  -0.179 -0.715  -0.239 -0.578  -0.299 -0.441  -0.359 -0.304  -0.418 -0.167  -0.478 -0.030  -0.538 0.107  -0.598 0.244  -0.658 0.381  -0.718 0.517  -0.778 0.654  -0.838 0.791  -0.898 0.928  -0.860 1.039  -0.711 1.039  -0.563 1.045  -0.429 1.112  -0.288 1.146  -0.138 1.146  0.011 1.146  0.151 1.187  0.285 1.254
