1c#lou#lou0#jl_vo_c/m  -1.900 -0.742  -1.759 -0.698  -1.637 -0.598  -1.504 -0.510  -1.369 -0.428  -1.227 -0.357  -1.182 -0.217  -1.070 -0.105  -0.984 0.027  -0.913 0.169  -0.842 0.311  -0.771 0.453  -0.676 0.579  -0.627 0.708  -0.468 0.708  -0.387 0.581  -0.316 0.439  -0.257 0.294  -0.257 0.135  -0.240 -0.021  -0.190 -0.172  -0.161 -0.326  -0.161 -0.420  -0.161 -0.261  -0.127 -0.112  -0.039 0.020  0.046 0.154  0.117 0.297  0.261 0.321  0.342 0.226  0.373 0.070  0.404 -0.086  0.419 -0.243  0.419 -0.402  0.454 -0.349  0.504 -0.198  0.578 -0.058  0.660 0.078  0.742 0.214  0.830 0.346  0.953 0.443  1.095 0.514  1.208 0.402  1.289 0.277  1.292 0.118  1.342 -0.032  1.393 -0.183  1.443 -0.334  1.482 -0.486  1.579 -0.549
1c#lou#lou0#jl_vo_c/q  0.039 0.935  -0.088 0.872  -0.214 0.809  -0.340 0.746  -0.453 0.663  -0.537 0.552  -0.600 0.426  -0.663 0.299  -0.726 0.173  -0.710 0.040  -0.607 -0.051  -0.466 -0.051  -0.325 -0.051  -0.231 0.038  -0.153 0.155  -0.074 0.272  0.024 0.373  0.068 0.505  0.102 0.642  0.136 0.779  0.148 0.918  0.148 1.060  0.148 1.201  0.148 1.342  0.148 1.263  0.148 1.122  0.148 0.981  0.148 0.840  0.148 0.699  0.163 0.560  0.208 0.426  0.253 0.292  0.258 0.152  0.258 0.011  0.258 -0.130  0.258 -0.272  0.258 -0.413  0.258 -0.554  0.258 -0.695  0.246 -0.836  0.233 -0.976  0.221 -1.117  0.208 -1.257  0.195 -1.398  0.182 -1.539  0.169 -1.679  0.157 -1.820  0.148 -1.960  0.148 -2.102  0.148 -2.243
1c#lou#lou0#jl_vo_c/r  -1.446 -0.845  -1.446 -0.715  -1.317 -0.715  -1.225 -0.624  -1.134 -0.532  -1.037 -0.454  -0.912 -0.441  -0.821 -0.350  -0.729 -0.258  -0.637 -0.166  -0.546 -0.075  -0.535 0.050  -0.499 0.174  -0.458 0.297  -0.417 0.420  -0.376 0.543  -0.335 0.666  -0.294 0.789  -0.274 0.915  -0.227 1.025  -0.132 1.109  -0.003 1.109  0.127 1.109  0.256 1.109  0.385 1.105  0.501 1.047  0.617 0.989  0.638 0.872  0.638 0.743  0.638 0.613  0.591 0.494  0.533 0.379  0.480 0.260  0.432 0.140  0.384 0.020  0.336 -0.101  0.288 -0.221  0.247 -0.343  0.247 -0.472  0.247 -0.602  0.247 -0.731  0.263 -0.847  0.390 -0.869  0.518 -0.890  0.646 -0.911  0.774 -0.933  0.902 -0.954  1.030 -0.975  1.159 -0.975  1.289 -0.975
1c#lou#lou0#jl_vo_c/n  -1.594 -0.753  -1.594 -0.608  -1.589 -0.464  -1.509 -0.343  -1.428 -0.223  -1.348 -0.102  -1.255 0.009  -1.152 0.111  -1.050 0.214  -0.978 0.339  -0.913 0.469  -0.806 0.556  -0.676 0.621  -0.547 0.686  -0.417 0.751  -0.282 0.796  -0.152 0.761  -0.049 0.658  0.053 0.555  0.084 0.428  0.066 0.284  0.048 0.140  0.030 -0.004  0.012 -0.148  -0.006 -0.292  -0.024 -0.436  -0.042 -0.580  -0.046 -0.724  0.006 -0.648  0.071 -0.518  0.160 -0.406  0.253 -0.296  0.318 -0.166  0.382 -0.037  0.447 0.093  0.512 0.223  0.577 0.353  0.642 0.482  0.768 0.514  0.862 0.419  0.942 0.298  1.023 0.178  1.110 0.062  1.212 -0.040  1.247 -0.179  1.275 -0.322  1.304 -0.464  1.332 -0.606  1.361 -0.748  1.362 -0.893
1c#lou#lou0#jl_vo_c/o  -1.563 0.117  -1.419 0.261  -1.225 0.288  -1.032 0.351  -0.838 0.415  -0.641 0.458  -0.437 0.458  -0.247 0.519  -0.064 0.610  0.135 0.629  0.339 0.629  0.543 0.629  0.658 0.719  0.542 0.761  0.348 0.697  0.154 0.632  -0.042 0.612  -0.186 0.468  -0.331 0.324  -0.424 0.146  -0.500 -0.044  -0.575 -0.233  -0.651 -0.423  -0.709 -0.616  -0.709 -0.820  -0.709 -1.024  -0.709 -1.228  -0.546 -1.331  -0.363 -1.421  -0.159 -1.421  0.046 -1.421  0.219 -1.347  0.363 -1.203  0.500 -1.053  0.591 -0.870  0.658 -0.682  0.618 -0.487  0.527 -0.305  0.436 -0.122  0.345 0.060  0.316 0.258  0.193 0.411  0.146 0.595  0.315 0.629  0.519 0.629  0.720 0.650  0.914 0.715  1.107 0.779  1.308 0.800  1.512 0.800
1c#lou#lou0#jl_vo_c/b  -0.163 2.173  -0.163 2.011  -0.163 1.849  -0.165 1.687  -0.193 1.527  -0.221 1.368  -0.250 1.208  -0.278 1.048  -0.306 0.889  -0.334 0.729  -0.362 0.570  -0.390 0.410  -0.419 0.250  -0.447 0.091  -0.475 -0.069  -0.503 -0.228  -0.520 -0.389  -0.520 -0.551  -0.535 -0.710  -0.607 -0.855  -0.574 -0.854  -0.488 -0.720  -0.428 -0.570  -0.368 -0.419  -0.308 -0.269  -0.216 -0.139  -0.102 -0.024  0.013 0.090  0.128 0.205  0.242 0.319  0.372 0.370  0.526 0.318  0.674 0.261  0.746 0.116  0.819 -0.029  0.891 -0.174  0.907 -0.332  0.907 -0.495  0.907 -0.657  0.863 -0.812  0.812 -0.965  0.701 -1.037  0.539 -1.037  0.377 -1.037  0.220 -1.006  0.066 -0.955  -0.085 -0.898  -0.230 -0.825  -0.375 -0.753  -0.520 -0.680
1c#lou#lou0#jl_vo_c/t  0.215 1.912  0.187 1.773  0.103 1.658  0.103 1.509  0.103 1.359  0.103 1.209  0.103 1.060  0.081 0.912  0.052 0.765  0.023 0.619  -0.007 0.472  -0.036 0.325  -0.065 0.178  -0.095 0.031  -0.127 -0.115  -0.174 -0.257  -0.222 -0.399  -0.254 -0.544  -0.284 -0.691  -0.313 -0.838  -0.341 -0.985  -0.316 -1.132  -0.291 -1.280  -0.267 -1.428  -0.242 -1.575  -0.161 -1.613  -0.028 -1.546  0.082 -1.446  0.074 -1.308  0.038 -1.163  0.002 -1.018  -0.035 -0.873  -0.071 -0.727  -0.107 -0.582  -0.144 -0.437  -0.180 -0.292  -0.216 -0.147  -0.252 -0.001  -0.289 0.144  -0.325 0.289  -0.268 0.391  -0.134 0.458  0.012 0.474  0.150 0.533  0.287 0.592  0.425 0.651  0.562 0.710  0.700 0.769  0.843 0.800  0.993 0.800
1c#lou#lou0#jl_vo_c/l  -1.435 -0.823  -1.286 -0.773  -1.136 -0.723  -0.986 -0.674  -0.836 -0.624  -0.679 -0.619  -0.549 -0.551  -0.438 -0.439  -0.297 -0.376  -0.147 -0.326  -0.025 -0.231  0.087 -0.119  0.198 -0.007  0.307 0.106  0.378 0.247  0.459 0.382  0.547 0.514  0.609 0.653  0.609 0.810  0.609 0.968  0.609 1.126  0.609 1.284  0.594 1.431  0.444 1.481  0.297 1.522  0.179 1.426  0.064 1.357  -0.007 1.215  -0.078 1.074  -0.106 0.923  -0.106 0.765  -0.106 0.607  -0.106 0.450  -0.106 0.292  -0.106 0.134  -0.106 -0.024  -0.106 -0.182  -0.106 -0.340  -0.106 -0.498  -0.106 -0.655  -0.106 -0.813  -0.106 -0.971  -0.106 -1.129  -0.052 -1.232  0.106 -1.232  0.260 -1.209  0.406 -1.150  0.553 -1.091  0.699 -1.033  0.814 -0.925
1c#lou#lou0#jl_vo_c/d  0.079 0.386  -0.108 0.386  -0.280 0.320  -0.447 0.236  -0.613 0.150  -0.769 0.046  -0.925 -0.058  -0.962 -0.238  -0.993 -0.422  -1.024 -0.607  -1.022 -0.786  -0.938 -0.954  -0.855 -1.121  -0.721 -1.239  -0.555 -1.277  -0.395 -1.180  -0.234 -1.084  -0.074 -0.988  -0.026 -0.824  0.026 -0.644  0.077 -0.464  0.128 -0.284  0.180 -0.104  0.192 0.081  0.192 0.268  0.192 0.455  0.192 0.643  0.192 0.830  0.208 1.015  0.253 1.196  0.299 1.378  0.328 1.559  0.411 1.726  0.429 1.562  0.466 1.378  0.502 1.195  0.529 1.010  0.529 0.823  0.529 0.636  0.502 0.451  0.472 0.266  0.441 0.082  0.417 -0.103  0.417 -0.291  0.417 -0.478  0.417 -0.665  0.417 -0.852  0.417 -1.039  0.454 -1.189  0.642 -1.189
1c#lou#lou0#jl_vo_c/v  -1.502 -0.013  -1.486 0.135  -1.378 0.243  -1.258 0.340  -1.138 0.436  -1.018 0.533  -0.898 0.629  -0.778 0.725  -0.651 0.810  -0.513 0.878  -0.367 0.914  -0.214 0.914  -0.178 0.795  -0.183 0.644  -0.292 0.535  -0.310 0.389  -0.310 0.235  -0.310 0.081  -0.310 -0.073  -0.310 -0.227  -0.310 -0.381  -0.310 -0.534  -0.310 -0.688  -0.295 -0.838  -0.226 -0.976  -0.136 -1.093  0.001 -1.162  0.145 -1.204  0.299 -1.204  0.453 -1.204  0.607 -1.204  0.616 -1.060  0.616 -0.906  0.603 -0.754  0.566 -0.605  0.528 -0.456  0.491 -0.306  0.484 -0.153  0.419 -0.015  0.351 0.123  0.351 0.277  0.384 0.417  0.496 0.522  0.633 0.591  0.774 0.649  0.927 0.649  1.081 0.649  1.235 0.649  1.389 0.649  1.543 0.649
1c#lou#lou0#jl_vo_c/f  -0.842 -0.116  -0.690 -0.046  -0.532 0.039  -0.381 0.137  -0.228 0.232  -0.066 0.313  0.095 0.393  0.248 0.485  0.376 0.613  0.477 0.762  0.533 0.921  0.498 1.098  0.460 1.273  0.343 1.410  0.243 1.560  0.164 1.678  0.005 1.628  0.017 1.467  0.074 1.296  0.131 1.125  0.155 0.946  0.175 0.767  0.195 0.588  0.214 0.409  0.209 0.229  0.197 0.049  0.185 -0.131  0.173 -0.311  0.161 -0.491  0.149 -0.671  0.136 -0.851  0.093 -1.026  0.044 -1.199  -0.037 -1.361  -0.129 -1.508  -0.304 -1.551  -0.460 -1.545  -0.560 -1.395  -0.660 -1.245  -0.760 -1.095  -0.680 -0.933  -0.553 -0.805  -0.407 -0.700  -0.254 -0.605  -0.101 -0.509  0.052 -0.414  0.211 -0.331  0.379 -0.264  0.546 -0.197  0.708 -0.116
