1d#app#app11#app1188/!  0.024 1.712  0.024 1.639  0.024 1.566  -0.013 1.508  -0.060 1.454  -0.060 1.381  -0.060 1.308  -0.060 1.235  -0.060 1.162  -0.060 1.089  -0.060 1.016  -0.060 0.943  -0.060 0.869  -0.060 0.796  -0.060 0.723  -0.060 0.650  -0.060 0.577  -0.060 0.504  -0.060 0.431  -0.060 0.358  -0.060 0.284  -0.060 0.211  -0.060 0.138  -0.060 0.065  -0.060 -0.008  -0.060 -0.081  -0.040 -0.146  0.012 -0.198  0.024 -0.266  0.024 -0.339  0.024 -0.412  0.024 -0.485  0.024 -0.559  0.028 -0.628  0.101 -0.628  0.101 -0.694  0.095 -0.767  0.088 -0.840  0.081 -0.913  0.075 -0.985  0.068 -1.058  0.062 -1.131  0.055 -1.204  0.048 -1.277  0.042 -1.350  0.035 -1.422  0.029 -1.495  0.045 -1.547  0.107 -1.558  0.107 -1.631
1d#app#app11#app1188/@  0.315 0.700  0.046 0.700  -0.110 0.586  -0.229 0.383  -0.364 0.170  -0.478 -0.053  -0.478 -0.322  -0.366 -0.545  -0.138 -0.505  -0.025 -0.349  0.144 -0.150  0.202 0.095  0.315 0.251  0.268 0.473  0.202 0.497  0.089 0.341  0.089 0.072  0.015 -0.167  -0.025 -0.420  0.005 -0.659  0.161 -0.772  0.430 -0.771  0.652 -0.659  0.768 -0.439  0.874 -0.214  0.946 0.037  0.994 0.295  0.994 0.564  0.980 0.827  0.881 1.055  0.768 1.277  0.600 1.379  0.331 1.379  0.070 1.360  -0.154 1.250  -0.344 1.060  -0.534 0.869  -0.675 0.644  -0.837 0.433  -0.931 0.186  -0.931 -0.083  -0.931 -0.353  -0.931 -0.622  -0.927 -0.889  -0.817 -1.113  -0.626 -1.303  -0.436 -1.493  -0.214 -1.640  0.046 -1.678  0.315 -1.678
1d#app#app11#app1188/#  -0.308 1.590  -0.308 1.163  -0.308 0.736  -0.308 0.309  -0.308 -0.118  -0.308 -0.545  -0.308 -0.972  -0.306 -1.397  -0.137 -1.106  -0.087 -0.682  -0.036 -0.258  0.015 0.166  0.066 0.590  0.117 1.014  0.168 1.438  0.219 1.862  0.235 1.706  0.235 1.279  0.235 0.852  0.270 0.433  0.371 0.030  0.371 -0.397  0.371 -0.824  0.506 -1.195  0.506 -1.622  0.259 -1.381  -0.019 -1.056  -0.297 -0.732  -0.574 -0.408  -0.852 -0.084  -1.123 0.243  -0.820 0.368  -0.393 0.368  -0.023 0.504  0.405 0.504  0.816 0.541  1.202 0.639  1.303 0.562  0.921 0.371  0.539 0.180  0.157 -0.011  -0.225 -0.202  -0.607 -0.393  -0.989 -0.584  -1.133 -0.719  -0.707 -0.714  -0.311 -0.583  0.111 -0.571  0.487 -0.447  0.914 -0.447
1d#app#app11#app1188/$  1.019 0.802  0.750 0.802  0.495 0.838  0.261 0.924  0.006 0.889  -0.227 0.802  -0.446 0.681  -0.637 0.490  -0.813 0.365  -0.840 0.314  -0.693 0.191  -0.466 0.088  -0.204 0.069  -0.057 -0.053  0.162 -0.173  0.431 -0.175  0.578 -0.297  0.775 -0.442  0.895 -0.662  0.881 -0.924  0.656 -1.030  0.437 -1.152  0.218 -1.274  -0.051 -1.274  -0.203 -1.085  -0.203 -0.815  -0.203 -0.546  -0.203 -0.276  -0.203 -0.007  -0.203 0.263  -0.203 0.532  -0.203 0.802  -0.203 1.071  -0.203 1.341  -0.203 1.610  -0.203 1.680  -0.203 1.410  -0.203 1.141  -0.203 0.871  -0.203 0.602  -0.203 0.332  -0.162 0.069  -0.080 -0.187  -0.042 -0.452  0.024 -0.713  0.042 -0.980  0.042 -1.250  0.164 -1.469  0.164 -1.738  0.164 -2.007
1d#app#app11#app1188/%  -0.547 0.814  -0.637 0.909  -0.642 1.089  -0.737 1.019  -0.832 0.928  -0.927 0.838  -0.993 0.719  -1.022 0.563  -1.022 0.378  -0.875 0.339  -0.690 0.339  -0.505 0.339  -0.359 0.433  -0.262 0.578  -0.262 0.763  -0.289 0.937  -0.447 1.004  -0.505 1.081  -0.335 1.008  -0.165 0.935  0.005 0.862  0.098 0.755  0.040 0.579  0.023 0.397  -0.034 0.225  -0.072 0.049  -0.072 -0.136  -0.155 -0.302  -0.167 -0.484  -0.167 -0.669  -0.167 -0.854  -0.038 -0.831  0.127 -0.748  0.293 -0.665  0.459 -0.583  0.593 -0.550  0.498 -0.641  0.480 -0.818  0.403 -0.971  0.403 -1.157  0.469 -1.275  0.654 -1.275  0.795 -1.168  0.946 -1.085  1.018 -0.945  1.163 -0.876  1.163 -0.691  1.163 -0.506  1.158 -0.325  0.973 -0.325
1d#app#app11#app1188/^  -0.845 -0.696  -0.845 -0.836  -0.845 -0.976  -0.736 -1.007  -0.596 -1.007  -0.534 -0.928  -0.534 -0.788  -0.534 -0.648  -0.534 -0.508  -0.534 -0.368  -0.534 -0.227  -0.534 -0.087  -0.534 0.053  -0.534 0.193  -0.534 0.333  -0.534 0.474  -0.488 0.595  -0.389 0.694  -0.290 0.793  -0.223 0.905  -0.223 1.046  -0.223 1.186  -0.223 1.326  -0.223 1.466  -0.223 1.360  -0.223 1.220  -0.157 1.106  -0.058 1.007  0.041 0.908  0.089 0.788  0.089 0.648  0.089 0.507  0.089 0.367  0.096 0.230  0.196 0.131  0.295 0.032  0.394 -0.067  0.400 -0.205  0.400 -0.345  0.501 -0.384  0.641 -0.384  0.761 -0.434  0.860 -0.533  0.959 -0.632  1.022 -0.746  1.022 -0.886  1.036 -1.021  1.135 -1.120  1.234 -1.219  1.334 -1.318
1d#app#app11#app1188/&  0.714 1.099  0.710 1.099  0.457 0.990  0.175 0.952  -0.063 0.805  -0.304 0.669  -0.529 0.478  -0.787 0.333  -0.998 0.122  -0.826 0.070  -0.528 0.070  -0.291 0.217  0.007 0.217  0.305 0.217  0.290 0.087  0.060 -0.077  -0.091 -0.224  -0.328 -0.371  -0.474 -0.530  -0.609 -0.772  -0.609 -1.070  -0.462 -1.221  -0.315 -1.372  -0.045 -1.400  0.253 -1.400  0.551 -1.400  0.693 -1.181  0.611 -0.895  0.529 -0.608  0.448 -0.321  0.366 -0.035  0.284 0.252  0.202 0.538  0.120 0.825  0.038 1.112  -0.044 1.398  -0.126 1.685  -0.168 1.692  -0.168 1.394  -0.168 1.095  -0.168 0.797  -0.168 0.499  -0.053 0.249  0.026 -0.025  0.126 -0.299  0.126 -0.597  0.229 -0.871  0.273 -1.159  0.313 -1.440  0.420 -1.694
1d#app#app11#app1188/*  -0.474 1.348  -0.299 1.224  -0.299 0.927  -0.299 0.629  -0.299 0.331  -0.125 0.106  -0.125 -0.192  -0.059 -0.462  0.050 -0.715  0.224 -0.940  0.367 -1.095  0.490 -1.269  0.587 -1.055  0.605 -0.758  0.624 -0.461  0.642 -0.164  0.661 0.133  0.679 0.430  0.698 0.727  0.717 1.025  0.735 1.322  0.748 1.425  0.716 1.141  0.477 0.999  0.367 0.792  0.156 0.582  -0.054 0.371  -0.265 0.161  -0.410 -0.096  -0.584 -0.333  -0.795 -0.544  -1.005 -0.754  -1.165 -0.858  -1.132 -0.562  -1.099 -0.267  -1.066 0.029  -1.033 0.325  -1.000 0.621  -0.823 0.556  -0.780 0.301  -0.648 0.135  -0.392 0.045  -0.299 -0.214  -0.041 -0.352  0.240 -0.413  0.450 -0.623  0.697 -0.746  0.974 -0.797  1.220 -0.920  1.446 -1.095
1d#app#app11#app1188/(  0.203 1.574  0.203 1.493  0.171 1.445  0.090 1.445  0.074 1.379  0.074 1.298  0.074 1.217  0.024 1.187  -0.055 1.184  -0.055 1.104  -0.080 1.033  -0.137 0.976  -0.184 0.914  -0.184 0.833  -0.184 0.752  -0.184 0.671  -0.240 0.614  -0.298 0.557  -0.313 0.482  -0.313 0.401  -0.313 0.320  -0.313 0.239  -0.313 0.158  -0.313 0.077  -0.313 -0.004  -0.313 -0.085  -0.286 -0.159  -0.250 -0.232  -0.213 -0.304  -0.184 -0.378  -0.184 -0.459  -0.150 -0.526  -0.093 -0.583  -0.055 -0.648  -0.055 -0.729  -0.012 -0.793  0.045 -0.850  0.074 -0.919  0.074 -0.999  0.125 -1.059  0.182 -1.117  0.255 -1.137  0.332 -1.141  0.332 -1.222  0.368 -1.266  0.449 -1.266  0.510 -1.315  0.567 -1.372  0.639 -1.396  0.720 -1.396
1d#app#app11#app1188/)  -0.595 1.450  -0.595 1.374  -0.595 1.297  -0.542 1.274  -0.465 1.274  -0.418 1.244  -0.418 1.167  -0.412 1.097  -0.335 1.097  -0.259 1.097  -0.241 1.037  -0.241 0.961  -0.216 0.895  -0.162 0.840  -0.108 0.786  -0.064 0.727  -0.064 0.651  -0.064 0.574  -0.064 0.498  -0.064 0.421  -0.032 0.358  0.022 0.303  0.076 0.249  0.112 0.188  0.112 0.111  0.112 0.034  0.112 -0.042  0.112 -0.119  0.112 -0.196  0.112 -0.272  0.112 -0.349  0.112 -0.426  0.118 -0.500  0.172 -0.554  0.226 -0.608  0.281 -0.663  0.289 -0.736  0.289 -0.812  0.289 -0.889  0.289 -0.966  0.289 -1.042  0.289 -1.119  0.289 -1.196  0.289 -1.272  0.289 -1.349  0.289 -1.425  0.289 -1.502  0.289 -1.579  0.289 -1.655  0.289 -1.732
1d#app#app11#app1188/`  -0.986 1.173  -0.907 1.173  -0.828 1.173  -0.749 1.173  -0.670 1.173  -0.591 1.173  -0.559 1.126  -0.559 1.047  -0.559 0.968  -0.559 0.889  -0.559 0.810  -0.559 0.731  -0.559 0.652  -0.559 0.573  -0.559 0.494  -0.559 0.415  -0.559 0.336  -0.497 0.319  -0.418 0.319  -0.339 0.319  -0.260 0.319  -0.181 0.319  -0.119 0.292  -0.084 0.222  -0.048 0.151  -0.013 0.080  0.022 0.010  0.058 -0.061  0.093 -0.132  0.128 -0.202  0.164 -0.273  0.199 -0.343  0.234 -0.414  0.270 -0.485  0.311 -0.551  0.367 -0.607  0.423 -0.663  0.478 -0.719  0.534 -0.774  0.590 -0.830  0.646 -0.886  0.702 -0.942  0.758 -0.998  0.813 -1.054  0.869 -1.109  0.925 -1.165  0.981 -1.221  1.037 -1.277  1.093 -1.333  1.148 -1.389
