3#apb#apb10#app1066/6  1.061 1.570  1.072 1.674  0.946 1.651  0.840 1.569  0.751 1.470  0.667 1.366  0.580 1.265  0.476 1.181  0.371 1.098  0.267 1.014  0.172 0.920  0.080 0.823  -0.012 0.726  -0.103 0.628  -0.191 0.527  -0.279 0.427  -0.367 0.326  -0.455 0.225  -0.540 0.122  -0.625 0.019  -0.704 -0.089  -0.764 -0.208  -0.824 -0.328  -0.828 -0.460  -0.785 -0.582  -0.711 -0.692  -0.602 -0.769  -0.479 -0.805  -0.346 -0.805  -0.212 -0.796  -0.079 -0.786  0.047 -0.742  0.173 -0.697  0.290 -0.634  0.403 -0.562  0.505 -0.475  0.596 -0.379  0.564 -0.267  0.446 -0.263  0.327 -0.323  0.212 -0.391  0.098 -0.462  -0.013 -0.536  -0.120 -0.616  -0.227 -0.696  -0.300 -0.805  -0.359 -0.925  -0.380 -1.057  -0.368 -1.178  -0.273 -1.273
3#apb#apb10#app1066/  0.928 1.148  0.931 1.217  0.953 1.265  0.915 1.206  0.878 1.147  0.841 1.087  0.804 1.027  0.767 0.968  0.730 0.908  0.693 0.848  0.650 0.792  0.607 0.737  0.564 0.681  0.521 0.626  0.478 0.570  0.436 0.515  0.393 0.459  0.349 0.404  0.304 0.350  0.260 0.296  0.215 0.241  0.171 0.187  0.127 0.133  0.082 0.078  0.038 0.024  -0.007 -0.030  -0.053 -0.083  -0.099 -0.136  -0.145 -0.189  -0.191 -0.242  -0.237 -0.295  -0.283 -0.348  -0.329 -0.401  -0.375 -0.454  -0.421 -0.508  -0.466 -0.561  -0.512 -0.614  -0.558 -0.667  -0.603 -0.721  -0.649 -0.774  -0.689 -0.832  -0.728 -0.890  -0.768 -0.948  -0.807 -1.006  -0.847 -1.064  -0.888 -1.121  -0.929 -1.178  -0.969 -1.235  -1.016 -1.287  -1.062 -1.333
3#apb#apb10#app1066/8  1.217 0.778  1.184 0.911  1.161 1.047  1.077 1.155  0.954 1.223  0.834 1.290  0.693 1.290  0.555 1.262  0.418 1.230  0.290 1.173  0.164 1.110  0.041 1.042  -0.071 0.957  -0.183 0.871  -0.274 0.765  -0.337 0.644  -0.348 0.503  -0.305 0.373  -0.242 0.247  -0.164 0.130  -0.085 0.014  -0.004 -0.101  0.078 -0.216  0.144 -0.339  0.200 -0.468  0.210 -0.607  0.194 -0.744  0.135 -0.872  0.046 -0.977  -0.063 -1.067  -0.181 -1.143  -0.302 -1.214  -0.433 -1.252  -0.574 -1.252  -0.711 -1.229  -0.826 -1.161  -0.879 -1.037  -0.879 -0.896  -0.816 -0.774  -0.739 -0.655  -0.634 -0.563  -0.525 -0.474  -0.412 -0.390  -0.296 -0.310  -0.180 -0.231  -0.055 -0.167  0.073 -0.107  0.177 -0.014  0.281 0.081  0.392 0.167
3#apb#apb10#app1066/8  0.879 0.790  0.984 0.894  1.026 1.025  0.965 1.154  0.845 1.237  0.705 1.288  0.559 1.309  0.413 1.304  0.267 1.279  0.128 1.230  -0.009 1.174  -0.120 1.076  -0.203 0.958  -0.249 0.819  -0.227 0.673  -0.202 0.527  -0.149 0.389  -0.096 0.251  -0.036 0.115  0.025 -0.020  0.077 -0.158  0.117 -0.300  0.152 -0.444  0.174 -0.590  0.182 -0.737  0.156 -0.882  0.110 -1.022  0.051 -1.158  -0.059 -1.254  -0.180 -1.338  -0.315 -1.400  -0.457 -1.419  -0.597 -1.385  -0.703 -1.290  -0.755 -1.151  -0.771 -1.008  -0.757 -0.860  -0.722 -0.718  -0.661 -0.583  -0.593 -0.452  -0.508 -0.331  -0.424 -0.210  -0.318 -0.106  -0.210 -0.005  -0.080 0.066  0.047 0.141  0.172 0.221  0.312 0.265  0.456 0.302  0.600 0.335
3#apb#apb10#app1066/  1.016 1.274  0.964 1.318  0.910 1.283  0.863 1.231  0.816 1.178  0.772 1.124  0.730 1.068  0.687 1.013  0.644 0.957  0.601 0.902  0.558 0.846  0.520 0.787  0.482 0.728  0.444 0.669  0.406 0.610  0.368 0.551  0.330 0.492  0.292 0.433  0.254 0.375  0.215 0.317  0.176 0.258  0.137 0.200  0.098 0.142  0.059 0.083  0.020 0.025  -0.019 -0.034  -0.057 -0.092  -0.095 -0.151  -0.134 -0.210  -0.172 -0.268  -0.211 -0.327  -0.249 -0.385  -0.288 -0.444  -0.330 -0.500  -0.373 -0.556  -0.415 -0.611  -0.458 -0.667  -0.500 -0.723  -0.541 -0.780  -0.581 -0.838  -0.620 -0.895  -0.660 -0.953  -0.700 -1.011  -0.742 -1.067  -0.786 -1.121  -0.831 -1.176  -0.872 -1.232  -0.912 -1.290  -0.935 -1.289  -0.881 -1.245
3#apb#apb10#app1066/4  -0.463 0.485  -0.343 0.638  -0.234 0.796  -0.285 0.662  -0.378 0.491  -0.465 0.318  -0.583 0.164  -0.707 0.014  -0.849 -0.118  -0.979 -0.262  -1.053 -0.383  -0.861 -0.386  -0.670 -0.348  -0.477 -0.332  -0.283 -0.332  -0.089 -0.332  0.106 -0.332  0.300 -0.332  0.494 -0.332  0.688 -0.332  0.883 -0.332  1.070 -0.311  1.086 -0.137  1.059 0.055  1.031 0.247  1.003 0.440  0.975 0.632  0.948 0.824  0.920 1.016  0.892 1.209  0.879 1.368  0.788 1.198  0.686 1.033  0.576 0.873  0.465 0.713  0.358 0.551  0.254 0.387  0.150 0.223  0.042 0.061  -0.073 -0.095  -0.188 -0.252  -0.301 -0.409  -0.409 -0.571  -0.517 -0.733  -0.627 -0.893  -0.740 -1.051  -0.853 -1.209  -0.968 -1.365  -1.076 -1.527  -1.182 -1.690
3#apb#apb10#app1066/1  0.586 0.912  0.608 0.983  0.630 1.054  0.652 1.125  0.674 1.196  0.707 1.262  0.696 1.241  0.663 1.175  0.630 1.108  0.597 1.042  0.559 0.978  0.520 0.914  0.481 0.851  0.442 0.788  0.403 0.725  0.364 0.662  0.325 0.599  0.287 0.534  0.252 0.469  0.216 0.404  0.181 0.339  0.145 0.273  0.110 0.208  0.075 0.143  0.039 0.077  0.003 0.012  -0.033 -0.052  -0.070 -0.117  -0.107 -0.181  -0.144 -0.246  -0.181 -0.310  -0.218 -0.375  -0.255 -0.439  -0.294 -0.502  -0.334 -0.565  -0.373 -0.628  -0.413 -0.691  -0.452 -0.754  -0.490 -0.818  -0.527 -0.882  -0.563 -0.947  -0.600 -1.011  -0.637 -1.076  -0.666 -1.144  -0.694 -1.213  -0.721 -1.282  -0.749 -1.351  -0.775 -1.421  -0.775 -1.495  -0.775 -1.569
3#apb#apb10#app1066/1  1.136 1.203  1.067 1.200  1.001 1.175  0.936 1.151  0.876 1.116  0.820 1.075  0.763 1.034  0.707 0.993  0.656 0.946  0.608 0.895  0.561 0.844  0.513 0.793  0.465 0.742  0.418 0.691  0.374 0.637  0.332 0.581  0.290 0.525  0.248 0.469  0.206 0.413  0.164 0.357  0.123 0.302  0.083 0.245  0.047 0.184  0.012 0.124  -0.023 0.064  -0.058 0.003  -0.093 -0.057  -0.128 -0.117  -0.164 -0.177  -0.199 -0.237  -0.237 -0.296  -0.275 -0.354  -0.313 -0.413  -0.351 -0.471  -0.389 -0.530  -0.427 -0.588  -0.465 -0.647  -0.502 -0.706  -0.539 -0.765  -0.576 -0.825  -0.613 -0.884  -0.650 -0.943  -0.685 -1.003  -0.718 -1.065  -0.751 -1.126  -0.784 -1.188  -0.817 -1.249  -0.852 -1.310  -0.887 -1.370  -0.910 -1.436
3#apb#apb10#app1066/  1.091 1.259  1.056 1.231  1.034 1.165  1.000 1.105  0.960 1.049  0.919 0.992  0.879 0.935  0.839 0.877  0.800 0.820  0.760 0.763  0.720 0.705  0.681 0.648  0.640 0.591  0.595 0.538  0.550 0.485  0.504 0.432  0.459 0.379  0.414 0.326  0.369 0.273  0.320 0.224  0.269 0.176  0.218 0.129  0.167 0.081  0.116 0.034  0.065 -0.014  0.014 -0.062  -0.038 -0.108  -0.091 -0.153  -0.145 -0.198  -0.198 -0.243  -0.252 -0.288  -0.305 -0.332  -0.358 -0.377  -0.412 -0.422  -0.465 -0.468  -0.517 -0.513  -0.570 -0.559  -0.623 -0.605  -0.675 -0.650  -0.728 -0.696  -0.781 -0.742  -0.834 -0.787  -0.887 -0.832  -0.940 -0.877  -0.993 -0.922  -1.046 -0.968  -1.093 -1.019  -1.140 -1.071  -1.183 -1.125  -1.165 -1.187
3#apb#apb10#app1066/1  0.503 1.077  0.503 1.150  0.503 1.223  0.503 1.296  0.507 1.366  0.555 1.347  0.532 1.278  0.509 1.208  0.482 1.140  0.454 1.073  0.426 1.005  0.398 0.937  0.370 0.870  0.343 0.802  0.315 0.734  0.284 0.668  0.252 0.602  0.219 0.537  0.186 0.471  0.153 0.406  0.121 0.340  0.088 0.275  0.055 0.209  0.021 0.144  -0.013 0.080  -0.047 0.015  -0.082 -0.049  -0.116 -0.114  -0.151 -0.178  -0.185 -0.243  -0.204 -0.313  -0.221 -0.385  -0.238 -0.456  -0.255 -0.527  -0.272 -0.598  -0.288 -0.670  -0.305 -0.741  -0.324 -0.811  -0.343 -0.882  -0.363 -0.953  -0.382 -1.023  -0.405 -1.093  -0.432 -1.161  -0.459 -1.229  -0.486 -1.297  -0.510 -1.365  -0.520 -1.438  -0.531 -1.510  -0.554 -1.578  -0.595 -1.639
3#apb#apb10#app1066/9  0.400 -0.302  0.488 -0.161  0.580 -0.006  0.645 0.162  0.728 0.323  0.797 0.489  0.851 0.662  0.883 0.839  0.871 1.015  0.803 1.181  0.676 1.304  0.499 1.316  0.331 1.253  0.167 1.178  0.020 1.072  -0.126 0.966  -0.254 0.839  -0.378 0.707  -0.500 0.574  -0.619 0.439  -0.736 0.301  -0.839 0.152  -0.923 -0.007  -0.970 -0.179  -0.899 -0.327  -0.724 -0.354  -0.551 -0.313  -0.379 -0.256  -0.221 -0.170  -0.064 -0.080  0.072 0.036  0.196 0.168  0.321 0.299  0.449 0.427  0.449 0.392  0.376 0.227  0.301 0.062  0.228 -0.103  0.158 -0.269  0.088 -0.436  0.018 -0.603  -0.050 -0.770  -0.118 -0.938  -0.191 -1.103  -0.269 -1.266  -0.347 -1.429  -0.431 -1.589  -0.516 -1.749  -0.602 -1.908  -0.685 -2.067
3#apb#apb10#app1066/  0.742 1.436  0.739 1.456  0.717 1.390  0.695 1.324  0.668 1.261  0.634 1.200  0.599 1.140  0.565 1.079  0.531 1.018  0.497 0.958  0.467 0.895  0.438 0.832  0.410 0.768  0.381 0.705  0.352 0.641  0.324 0.578  0.295 0.515  0.264 0.453  0.230 0.392  0.196 0.331  0.162 0.270  0.129 0.209  0.095 0.149  0.061 0.088  0.027 0.027  -0.007 -0.034  -0.039 -0.095  -0.071 -0.157  -0.103 -0.219  -0.134 -0.281  -0.166 -0.343  -0.198 -0.405  -0.230 -0.466  -0.262 -0.528  -0.297 -0.588  -0.332 -0.648  -0.368 -0.708  -0.403 -0.768  -0.439 -0.828  -0.474 -0.888  -0.509 -0.947  -0.545 -1.007  -0.581 -1.067  -0.617 -1.126  -0.653 -1.186  -0.689 -1.245  -0.726 -1.304  -0.763 -1.363  -0.797 -1.424  -0.817 -1.489
3#apb#apb10#app1066/7  -1.107 0.446  -1.070 0.495  -0.963 0.498  -0.859 0.520  -0.754 0.543  -0.649 0.561  -0.544 0.579  -0.438 0.598  -0.335 0.622  -0.234 0.658  -0.133 0.694  -0.033 0.730  0.068 0.766  0.171 0.795  0.274 0.822  0.378 0.848  0.481 0.875  0.585 0.899  0.690 0.920  0.793 0.946  0.828 0.917  0.775 0.824  0.724 0.730  0.674 0.636  0.625 0.541  0.577 0.445  0.530 0.350  0.481 0.254  0.431 0.160  0.382 0.065  0.332 -0.030  0.285 -0.126  0.239 -0.222  0.192 -0.318  0.146 -0.415  0.097 -0.510  0.045 -0.603  -0.007 -0.696  -0.059 -0.790  -0.111 -0.883  -0.161 -0.978  -0.210 -1.072  -0.260 -1.167  -0.309 -1.262  -0.349 -1.361  -0.390 -1.460  -0.429 -1.559  -0.463 -1.661  -0.486 -1.764  -0.453 -1.861
