1b#tos#t3#t3021066/A  -0.848 -0.806  -0.977 -0.996  -1.122 -1.189  -1.072 -1.134  -1.014 -0.916  -0.886 -0.714  -0.777 -0.511  -0.634 -0.318  -0.545 -0.095  -0.463 0.131  -0.430 0.365  -0.322 0.581  -0.236 0.806  -0.179 1.034  -0.061 1.205  0.025 1.388  0.158 1.513  0.158 1.550  0.222 1.373  0.325 1.192  0.381 1.007  0.493 0.844  0.549 0.626  0.605 0.407  0.668 0.192  0.716 -0.030  0.792 -0.217  0.884 -0.392  0.920 -0.619  0.972 -0.839  0.996 -1.070  1.050 -1.252  0.865 -1.097  0.680 -0.941  0.494 -0.786  0.309 -0.631  0.124 -0.476  -0.061 -0.320  -0.246 -0.165  -0.431 -0.010  -0.616 0.145  -0.780 0.129  -0.905 0.088  -0.664 0.088  -0.422 0.088  -0.181 0.088  0.061 0.088  0.233 0.199  0.475 0.199  0.716 0.199
1b#tos#t3#t3021066/B  -0.172 1.387  -0.361 1.227  -0.313 0.989  -0.313 0.704  -0.313 0.419  -0.313 0.134  -0.361 -0.144  -0.415 -0.414  -0.455 -0.683  -0.502 -0.949  -0.561 -1.221  -0.644 -1.258  -0.612 -0.975  -0.573 -0.693  -0.534 -0.410  -0.495 -0.128  -0.457 0.155  -0.418 0.437  -0.379 0.720  -0.340 1.002  -0.401 1.198  -0.177 1.151  0.088 1.198  0.373 1.198  0.658 1.198  0.838 1.056  0.852 0.806  0.675 0.679  0.543 0.490  0.365 0.366  0.126 0.284  -0.093 0.207  -0.358 0.160  -0.220 0.207  0.065 0.207  0.331 0.254  0.583 0.221  0.759 0.112  0.914 -0.018  0.961 -0.256  0.914 -0.522  0.867 -0.760  0.736 -0.963  0.583 -1.129  0.442 -1.300  0.160 -1.304  -0.125 -1.304  -0.406 -1.269  -0.689 -1.257  -0.833 -1.209
1b#tos#t3#t3021066/C  0.699 0.868  0.621 0.824  0.610 0.713  0.565 0.744  0.521 0.822  0.436 0.908  0.387 0.984  0.299 1.017  0.205 1.046  0.121 1.083  0.006 1.090  -0.116 1.090  -0.193 1.046  -0.315 1.046  -0.348 0.957  -0.457 0.945  -0.458 0.824  -0.553 0.766  -0.591 0.653  -0.591 0.531  -0.637 0.420  -0.680 0.308  -0.722 0.204  -0.724 0.083  -0.724 -0.039  -0.724 -0.161  -0.685 -0.244  -0.652 -0.333  -0.635 -0.437  -0.588 -0.514  -0.546 -0.618  -0.502 -0.696  -0.462 -0.777  -0.393 -0.842  -0.299 -0.911  -0.194 -0.951  -0.092 -1.000  -0.013 -1.042  0.107 -1.044  0.229 -1.044  0.350 -1.044  0.460 -1.016  0.575 -0.995  0.687 -0.955  0.777 -0.877  0.883 -0.822  0.948 -0.742  1.029 -0.672  1.146 -0.641  1.232 -0.555
1b#tos#t3#t3021066/H  -0.870 0.875  -1.037 0.726  -1.079 0.509  -1.079 0.251  -1.079 -0.007  -1.079 -0.265  -1.079 -0.523  -1.037 -0.771  -0.995 -1.012  -0.959 -1.168  -0.799 -0.966  -0.638 -0.764  -0.478 -0.562  -0.318 -0.360  -0.157 -0.157  0.003 0.045  0.164 0.247  0.324 0.449  0.485 0.651  0.645 0.854  0.806 1.056  0.966 1.258  1.045 1.394  0.968 1.199  0.968 0.941  0.968 0.683  0.968 0.425  0.968 0.167  0.926 -0.081  0.926 -0.340  0.903 -0.592  0.849 -0.831  0.809 -1.023  0.599 -0.874  0.388 -0.724  0.177 -0.575  -0.034 -0.426  -0.244 -0.277  -0.455 -0.128  -0.666 0.021  -0.878 0.165  -0.972 0.082  -0.756 0.040  -0.497 0.040  -0.239 0.040  0.019 0.040  0.277 0.040  0.509 0.066  0.752 0.082  1.010 0.082
1b#tos#t3#t3021066/L  -0.273 1.434  -0.274 1.540  -0.378 1.537  -0.378 1.430  -0.380 1.324  -0.414 1.222  -0.431 1.118  -0.455 1.017  -0.483 0.917  -0.483 0.810  -0.483 0.704  -0.483 0.597  -0.518 0.504  -0.536 0.405  -0.536 0.298  -0.536 0.191  -0.536 0.085  -0.536 -0.022  -0.536 -0.129  -0.536 -0.236  -0.536 -0.342  -0.536 -0.449  -0.536 -0.556  -0.536 -0.663  -0.581 -0.725  -0.589 -0.626  -0.636 -0.567  -0.592 -0.514  -0.485 -0.514  -0.379 -0.514  -0.272 -0.514  -0.165 -0.514  -0.058 -0.514  0.048 -0.514  0.155 -0.514  0.262 -0.514  0.369 -0.514  0.476 -0.514  0.582 -0.514  0.689 -0.514  0.796 -0.514  0.901 -0.507  0.997 -0.462  1.104 -0.462  1.204 -0.434  1.305 -0.409  1.412 -0.409  1.507 -0.362  1.601 -0.326  1.676 -0.251
1b#tos#t3#t3021066/M  -1.138 0.889  -1.180 0.821  -1.180 0.545  -1.180 0.268  -1.180 -0.009  -1.180 -0.285  -1.138 -0.555  -1.138 -0.832  -1.097 -1.102  -0.977 -1.200  -0.795 -0.991  -0.614 -0.783  -0.432 -0.575  -0.250 -0.366  -0.068 -0.158  0.114 0.051  0.296 0.259  0.478 0.468  0.660 0.676  0.842 0.884  0.992 1.105  0.926 0.943  0.908 0.670  0.908 0.393  0.908 0.116  0.908 -0.160  0.908 -0.437  0.908 -0.714  0.908 -0.990  0.908 -1.267  0.779 -1.147  0.617 -0.923  0.454 -0.699  0.292 -0.475  0.129 -0.251  -0.033 -0.027  -0.196 0.197  -0.358 0.421  -0.521 0.645  -0.637 0.884  -0.512 0.763  -0.372 0.547  -0.191 0.359  -0.055 0.179  0.082 0.002  0.217 -0.059  0.334 0.158  0.488 0.383  0.634 0.615  0.824 0.764
1b#tos#t3#t3021066/O  0.215 1.149  0.215 0.988  0.215 0.827  0.168 0.846  0.076 0.914  -0.063 0.937  -0.197 0.964  -0.359 0.964  -0.472 0.887  -0.573 0.820  -0.600 0.686  -0.666 0.590  -0.722 0.444  -0.758 0.298  -0.758 0.137  -0.758 -0.025  -0.758 -0.186  -0.758 -0.347  -0.758 -0.508  -0.712 -0.659  -0.712 -0.820  -0.666 -0.962  -0.571 -1.030  -0.474 -1.120  -0.405 -1.213  -0.290 -1.259  -0.175 -1.306  -0.014 -1.306  0.128 -1.259  0.270 -1.213  0.409 -1.158  0.492 -1.031  0.585 -0.935  0.672 -0.802  0.724 -0.654  0.724 -0.493  0.758 -0.345  0.770 -0.189  0.770 -0.028  0.770 0.133  0.770 0.295  0.724 0.410  0.678 0.525  0.585 0.620  0.539 0.735  0.446 0.839  0.363 0.946  0.213 0.964  0.052 0.964  -0.110 0.964
1b#tos#t3#t3021066/R  -0.490 1.166  -0.490 1.440  -0.490 1.586  -0.490 1.312  -0.437 1.060  -0.437 0.787  -0.437 0.513  -0.437 0.239  -0.437 -0.035  -0.437 -0.309  -0.437 -0.582  -0.437 -0.856  -0.437 -1.130  -0.437 -1.404  -0.437 -1.364  -0.437 -1.090  -0.437 -0.816  -0.437 -0.542  -0.437 -0.269  -0.437 0.005  -0.437 0.279  -0.437 0.553  -0.437 0.827  -0.395 1.059  -0.143 1.112  0.077 1.166  0.350 1.166  0.624 1.166  0.784 0.966  0.799 0.699  0.769 0.438  0.720 0.199  0.584 0.030  0.429 -0.117  0.234 -0.231  0.047 -0.349  -0.184 -0.392  -0.404 -0.446  -0.438 -0.359  -0.177 -0.277  0.084 -0.196  0.316 -0.092  0.369 -0.160  0.507 -0.322  0.600 -0.553  0.695 -0.776  0.799 -0.984  0.952 -1.181  1.031 -1.413  1.229 -1.521
1b#tos#t3#t3021066/S  0.819 1.022  0.859 1.165  0.776 1.227  0.682 1.313  0.550 1.381  0.412 1.432  0.252 1.432  0.093 1.427  -0.053 1.377  -0.138 1.243  -0.229 1.151  -0.270 1.008  -0.307 0.864  -0.307 0.704  -0.259 0.564  -0.205 0.427  -0.085 0.374  0.008 0.246  0.121 0.133  0.216 0.050  0.305 -0.050  0.412 -0.104  0.554 -0.146  0.689 -0.206  0.747 -0.308  0.768 -0.447  0.768 -0.607  0.733 -0.753  0.641 -0.844  0.514 -0.922  0.354 -0.922  0.194 -0.922  0.034 -0.922  -0.113 -0.871  -0.252 -0.820  -0.307 -0.715  -0.349 -0.573  -0.358 -0.417  -0.406 -0.430  -0.554 -0.489  -0.591 -0.421  -0.563 -0.265  -0.598 -0.293  -0.665 -0.434  -0.682 -0.589  -0.768 -0.722  -0.787 -0.879  -0.861 -1.016  -0.870 -1.172  -0.921 -1.281
1b#tos#t3#t3021066/U  -0.709 1.088  -0.734 1.181  -0.802 1.224  -0.802 1.106  -0.802 0.988  -0.802 0.871  -0.802 0.753  -0.802 0.635  -0.802 0.518  -0.802 0.400  -0.802 0.282  -0.802 0.165  -0.802 0.047  -0.802 -0.070  -0.780 -0.175  -0.709 -0.248  -0.709 -0.366  -0.663 -0.465  -0.662 -0.581  -0.598 -0.646  -0.512 -0.720  -0.440 -0.767  -0.369 -0.813  -0.251 -0.813  -0.191 -0.906  -0.073 -0.906  0.044 -0.906  0.162 -0.906  0.229 -0.849  0.311 -0.792  0.390 -0.734  0.450 -0.669  0.526 -0.628  0.581 -0.542  0.635 -0.474  0.709 -0.415  0.728 -0.305  0.785 -0.236  0.821 -0.127  0.865 -0.027  0.914 0.079  0.914 0.196  0.914 0.314  0.941 0.420  0.960 0.530  1.006 0.628  1.006 0.746  1.030 0.858  1.053 0.970  1.053 1.088
1b#tos#t3#t3021066/X  -0.905 1.193  -0.958 1.160  -0.827 1.038  -0.783 0.859  -0.721 0.692  -0.605 0.541  -0.519 0.369  -0.405 0.217  -0.308 0.053  -0.235 -0.125  -0.093 -0.226  0.022 -0.370  0.128 -0.525  0.248 -0.656  0.380 -0.793  0.496 -0.918  0.628 -1.034  0.686 -1.168  0.736 -1.078  0.732 -0.885  0.728 -0.693  0.724 -0.500  0.719 -0.307  0.715 -0.115  0.711 0.078  0.706 0.270  0.702 0.463  0.698 0.655  0.694 0.848  0.689 1.040  0.726 1.193  0.671 1.285  0.552 1.137  0.451 0.973  0.339 0.818  0.198 0.700  0.094 0.539  -0.017 0.384  -0.127 0.233  -0.282 0.144  -0.352 -0.035  -0.445 -0.202  -0.534 -0.358  -0.640 -0.507  -0.719 -0.675  -0.815 -0.821  -0.852 -0.978  -0.957 -1.138  -1.011 -1.318  -1.064 -1.458
