1b#app#app08#app0820/W  -0.984 0.968  -0.984 0.841  -1.004 0.716  -1.044 0.595  -1.065 0.470  -1.105 0.349  -1.113 0.222  -1.113 0.095  -1.113 -0.033  -1.113 -0.161  -1.113 -0.289  -1.070 -0.407  -0.991 -0.506  -0.932 -0.618  -0.818 -0.642  -0.690 -0.642  -0.563 -0.642  -0.438 -0.626  -0.328 -0.564  -0.227 -0.488  -0.120 -0.421  -0.041 -0.321  0.030 -0.215  0.046 -0.092  0.046 -0.031  0.046 -0.159  0.046 -0.287  0.046 -0.415  0.111 -0.516  0.177 -0.577  0.305 -0.577  0.433 -0.577  0.560 -0.577  0.670 -0.533  0.779 -0.468  0.865 -0.379  0.936 -0.273  0.995 -0.160  1.012 -0.036  1.012 0.092  1.012 0.220  1.012 0.347  1.012 0.475  1.012 0.603  1.012 0.731  1.004 0.857  0.948 0.971  0.948 1.099  0.948 1.227  0.948 1.355
1b#app#app08#app0820/I  0.303 1.373  0.303 1.447  0.303 1.521  0.255 1.478  0.203 1.426  0.151 1.374  0.151 1.300  0.151 1.226  0.151 1.152  0.151 1.079  0.122 1.011  0.089 0.945  0.056 0.879  0.023 0.813  -0.002 0.746  -0.002 0.672  -0.010 0.601  -0.062 0.549  -0.114 0.497  -0.155 0.440  -0.155 0.366  -0.155 0.293  -0.155 0.219  -0.155 0.145  -0.155 0.071  -0.155 -0.003  -0.155 -0.076  -0.155 -0.150  -0.155 -0.224  -0.155 -0.298  -0.155 -0.372  -0.155 -0.445  -0.155 -0.519  -0.155 -0.593  -0.139 -0.664  -0.116 -0.734  -0.092 -0.804  -0.069 -0.874  -0.046 -0.944  -0.022 -1.014  -0.002 -1.085  -0.002 -1.158  -0.002 -1.232  -0.002 -1.306  -0.002 -1.380  0.050 -1.432  0.102 -1.484  0.151 -1.538  0.151 -1.611  0.151 -1.685
1b#app#app08#app0820/T  0.241 0.643  0.358 0.526  0.358 0.361  0.401 0.206  0.475 0.058  0.475 -0.108  0.475 -0.273  0.475 -0.439  0.475 -0.604  0.475 -0.770  0.475 -0.935  0.475 -1.100  0.475 -1.266  0.475 -1.431  0.358 -1.480  0.324 -1.524  0.239 -1.382  0.154 -1.240  0.069 -1.099  -0.016 -0.957  -0.101 -0.815  -0.186 -0.673  -0.272 -0.531  -0.357 -0.389  -0.442 -0.248  -0.527 -0.106  -0.612 0.036  -0.697 0.178  -0.782 0.320  -0.867 0.462  -0.952 0.604  -1.037 0.745  -1.078 0.877  -1.163 0.957  -1.039 0.986  -0.918 0.877  -0.753 0.877  -0.588 0.877  -0.426 0.860  -0.278 0.786  -0.130 0.712  0.019 0.643  0.184 0.643  0.350 0.643  0.515 0.643  0.681 0.643  0.840 0.629  0.963 0.526  1.128 0.526  1.294 0.526
1b#app#app08#app0820/H  -1.008 1.360  -1.008 1.087  -0.888 0.864  -0.883 0.593  -0.767 0.368  -0.758 0.099  -0.735 -0.165  -0.632 -0.396  -0.632 -0.669  -0.511 -0.891  -0.502 -1.128  -0.420 -0.868  -0.337 -0.608  -0.255 -0.347  -0.173 -0.087  -0.091 0.174  -0.008 0.434  0.074 0.694  0.156 0.955  0.238 1.215  0.334 1.450  0.370 1.708  0.495 1.542  0.495 1.269  0.495 0.996  0.612 0.751  0.620 0.480  0.620 0.207  0.620 -0.066  0.620 -0.339  0.718 -0.589  0.746 -0.856  0.746 -1.129  0.746 -1.402  0.632 -1.416  0.432 -1.231  0.231 -1.046  0.030 -0.861  -0.170 -0.676  -0.371 -0.490  -0.572 -0.305  -0.772 -0.120  -0.760 -0.018  -0.487 -0.018  -0.214 -0.018  0.059 -0.018  0.323 -0.057  0.575 -0.143  0.848 -0.143  1.121 -0.143
1b#app#app08#app0820/A  0.458 1.008  0.253 0.887  0.037 0.755  -0.077 0.527  -0.226 0.323  -0.399 0.137  -0.539 -0.073  -0.658 -0.298  -0.802 -0.505  -0.890 -0.724  -1.018 -0.934  -1.059 -1.180  -1.059 -1.435  -0.961 -1.202  -0.863 -0.966  -0.765 -0.730  -0.666 -0.494  -0.568 -0.259  -0.470 -0.023  -0.372 0.213  -0.273 0.449  -0.175 0.684  -0.077 0.920  0.021 1.156  0.120 1.392  0.205 1.630  0.314 1.573  0.413 1.351  0.527 1.123  0.559 0.874  0.645 0.633  0.737 0.397  0.802 0.150  0.879 -0.087  0.956 -0.324  0.964 -0.578  1.048 -0.813  1.048 -1.069  0.851 -0.990  0.628 -0.866  0.405 -0.742  0.182 -0.618  -0.042 -0.494  -0.265 -0.370  -0.469 -0.235  -0.360 -0.088  -0.113 -0.069  0.116 -0.004  0.371 -0.004  0.627 -0.004
1b#app#app08#app0820/Q  -0.387 0.675  -0.418 0.837  -0.597 0.773  -0.741 0.646  -0.900 0.540  -1.014 0.394  -1.100 0.221  -1.116 0.031  -1.116 -0.162  -1.116 -0.356  -1.010 -0.510  -0.906 -0.671  -0.769 -0.807  -0.632 -0.944  -0.459 -1.032  -0.284 -1.109  -0.090 -1.109  0.103 -1.109  0.297 -1.109  0.475 -1.042  0.648 -0.956  0.774 -0.814  0.861 -0.640  0.947 -0.467  1.034 -0.294  1.073 -0.110  1.073 0.084  1.073 0.278  1.073 0.471  1.041 0.658  0.933 0.815  0.766 0.910  0.670 1.075  0.481 1.081  0.287 1.081  0.093 1.081  -0.088 1.028  -0.198 0.880  -0.278 0.704  -0.358 0.528  -0.438 0.351  -0.518 0.175  -0.429 0.108  -0.273 0.010  -0.109 -0.089  0.060 -0.156  0.223 -0.258  0.324 -0.421  0.449 -0.566  0.586 -0.703
1b#app#app08#app0820/U  -1.078 0.928  -1.003 0.853  -0.964 0.763  -0.964 0.656  -0.964 0.550  -0.964 0.444  -0.950 0.343  -0.875 0.268  -0.850 0.172  -0.850 0.065  -0.850 -0.041  -0.850 -0.147  -0.823 -0.242  -0.747 -0.318  -0.695 -0.410  -0.648 -0.505  -0.621 -0.605  -0.594 -0.700  -0.519 -0.775  -0.443 -0.850  -0.358 -0.901  -0.252 -0.901  -0.145 -0.901  -0.039 -0.901  0.067 -0.901  0.174 -0.901  0.179 -0.800  0.262 -0.745  0.357 -0.697  0.443 -0.637  0.518 -0.562  0.567 -0.467  0.615 -0.372  0.636 -0.271  0.659 -0.170  0.706 -0.075  0.753 0.021  0.787 0.122  0.820 0.222  0.854 0.323  0.865 0.428  0.865 0.534  0.865 0.641  0.865 0.747  0.865 0.853  0.865 0.960  0.865 1.066  0.865 1.172  0.865 1.279  0.865 1.385
1b#app#app08#app0820/A  -0.543 1.149  -0.543 0.798  -0.543 0.448  -0.656 0.144  -0.707 -0.195  -0.864 -0.509  -0.942 -0.831  -1.108 -1.132  -0.995 -1.076  -0.882 -0.772  -0.776 -0.446  -0.598 -0.148  -0.421 0.151  -0.318 0.478  -0.167 0.773  -0.043 1.085  0.126 1.366  0.360 1.488  0.481 1.254  0.649 0.973  0.699 0.643  0.699 0.292  0.699 -0.059  0.699 -0.409  0.699 -0.760  0.659 -0.434  0.618 -0.085  0.577 0.263  0.536 0.611  0.495 0.960  0.586 1.036  0.586 0.685  0.586 0.335  0.586 -0.016  0.586 -0.367  0.586 -0.718  0.699 -1.022  0.699 -1.372  0.699 -1.627  0.503 -1.354  0.263 -1.098  0.022 -0.843  -0.218 -0.587  -0.458 -0.332  -0.699 -0.077  -0.939 0.179  -1.004 0.358  -0.666 0.307  -0.329 0.245  0.021 0.245
1b#app#app08#app0820/L  -0.229 1.462  -0.229 1.545  -0.229 1.532  -0.229 1.449  -0.229 1.365  -0.229 1.282  -0.247 1.206  -0.306 1.147  -0.348 1.080  -0.348 0.997  -0.348 0.913  -0.348 0.829  -0.348 0.746  -0.348 0.662  -0.384 0.594  -0.443 0.535  -0.466 0.461  -0.466 0.377  -0.466 0.294  -0.466 0.210  -0.466 0.127  -0.466 0.043  -0.466 -0.040  -0.466 -0.124  -0.466 -0.208  -0.466 -0.291  -0.428 -0.359  -0.368 -0.418  -0.309 -0.477  -0.250 -0.536  -0.191 -0.595  -0.132 -0.654  -0.060 -0.693  0.019 -0.719  0.098 -0.746  0.177 -0.772  0.257 -0.795  0.341 -0.795  0.424 -0.795  0.505 -0.806  0.580 -0.843  0.655 -0.880  0.730 -0.914  0.814 -0.914  0.898 -0.914  0.981 -0.914  1.065 -0.914  1.148 -0.914  1.232 -0.914  1.315 -0.914
1b#app#app08#app0820/M  -0.986 0.575  -0.986 0.385  -0.986 0.195  -0.986 0.005  -1.082 -0.145  -1.090 -0.332  -1.090 -0.522  -1.090 -0.712  -1.090 -0.902  -0.984 -0.984  -0.882 -0.836  -0.789 -0.685  -0.674 -0.542  -0.623 -0.364  -0.570 -0.187  -0.553 0.001  -0.493 0.181  -0.466 0.367  -0.405 0.532  -0.362 0.704  -0.362 0.894  -0.362 0.899  -0.362 0.709  -0.362 0.519  -0.362 0.329  -0.362 0.139  -0.360 -0.051  -0.258 -0.198  -0.165 -0.350  -0.084 -0.465  0.106 -0.465  0.256 -0.368  0.390 -0.234  0.525 -0.099  0.659 0.035  0.793 0.170  0.913 0.315  0.991 0.486  1.063 0.647  1.197 0.781  1.199 0.804  1.199 0.614  1.199 0.424  1.199 0.234  1.199 0.044  1.199 -0.146  1.234 -0.328  1.303 -0.501  1.303 -0.692  1.303 -0.882
1b#app#app08#app0820/T  0.334 0.574  0.334 0.410  0.237 0.285  0.237 0.120  0.237 -0.044  0.237 -0.209  0.237 -0.374  0.237 -0.538  0.290 -0.691  0.334 -0.845  0.377 -1.003  0.429 -1.159  0.475 -1.305  0.527 -1.448  0.527 -1.613  0.461 -1.534  0.377 -1.392  0.294 -1.250  0.211 -1.107  0.128 -0.965  0.044 -0.823  -0.039 -0.681  -0.122 -0.539  -0.206 -0.397  -0.289 -0.255  -0.372 -0.113  -0.455 0.029  -0.539 0.171  -0.622 0.313  -0.705 0.455  -0.789 0.597  -0.872 0.739  -0.955 0.881  -1.038 1.024  -1.101 1.154  -0.936 1.154  -0.816 1.048  -0.687 0.961  -0.524 0.955  -0.376 0.881  -0.222 0.824  -0.066 0.772  0.098 0.767  0.260 0.756  0.407 0.682  0.562 0.627  0.718 0.575  0.880 0.542  1.041 0.510  1.203 0.478
