3#apa#apa20#app2022/A  -0.070 0.805  -0.241 0.708  -0.329 0.479  -0.432 0.249  -0.456 -0.008  -0.464 -0.273  -0.553 -0.519  -0.553 -0.786  -0.570 -1.046  -0.649 -1.280  -0.685 -1.512  -0.746 -1.306  -0.746 -1.039  -0.649 -0.812  -0.649 -0.544  -0.615 -0.285  -0.539 -0.036  -0.456 0.211  -0.346 0.433  -0.263 0.665  -0.241 0.923  -0.137 1.153  -0.056 1.398  0.026 1.631  0.123 1.801  0.266 1.724  0.318 1.478  0.412 1.250  0.423 0.987  0.509 0.756  0.564 0.502  0.606 0.245  0.702 0.018  0.765 -0.223  0.799 -0.477  0.803 -0.740  0.895 -0.914  0.847 -1.098  0.616 -0.963  0.386 -0.829  0.155 -0.694  -0.076 -0.559  -0.313 -0.450  -0.456 -0.270  -0.298 -0.161  -0.035 -0.143  0.213 -0.064  0.480 -0.064  0.725 -0.161  0.992 -0.161
3#apa#apa20#app2022/s  0.870 0.684  0.727 0.684  0.585 0.684  0.442 0.684  0.300 0.684  0.157 0.684  0.032 0.725  -0.069 0.826  -0.204 0.844  -0.346 0.844  -0.489 0.844  -0.631 0.844  -0.774 0.844  -0.916 0.844  -1.059 0.844  -1.201 0.844  -1.203 0.703  -1.079 0.684  -1.043 0.578  -0.953 0.525  -0.832 0.473  -0.732 0.373  -0.631 0.272  -0.521 0.184  -0.393 0.120  -0.266 0.057  -0.126 0.047  0.006 0.001  0.133 -0.063  0.264 -0.113  0.402 -0.123  0.503 -0.224  0.625 -0.272  0.751 -0.313  0.851 -0.413  0.952 -0.514  1.029 -0.625  1.029 -0.767  1.029 -0.909  0.887 -0.910  0.781 -0.998  0.668 -1.069  0.525 -1.069  0.383 -1.069  0.241 -1.069  0.098 -1.069  -0.010 -1.152  -0.121 -1.228  -0.263 -1.228  -0.406 -1.228
3#apa#apa20#app2022/t  0.077 1.919  0.077 2.059  0.077 1.967  0.077 1.827  0.077 1.688  0.077 1.548  0.077 1.409  0.077 1.269  0.077 1.130  0.077 0.990  0.077 0.851  0.106 0.718  0.169 0.594  0.231 0.469  0.240 0.332  0.240 0.192  0.240 0.053  0.240 -0.087  0.240 -0.226  0.240 -0.366  0.240 -0.505  0.240 -0.645  0.240 -0.784  0.240 -0.924  0.240 -1.063  0.240 -1.203  0.240 -1.342  0.137 -1.257  0.031 -1.166  -0.075 -1.075  -0.181 -0.984  -0.287 -0.894  -0.393 -0.803  -0.499 -0.712  -0.605 -0.621  -0.710 -0.531  -0.816 -0.440  -0.876 -0.366  -0.737 -0.366  -0.597 -0.366  -0.458 -0.366  -0.346 -0.299  -0.246 -0.203  -0.107 -0.203  0.033 -0.203  0.172 -0.203  0.312 -0.203  0.451 -0.203  0.591 -0.203  0.730 -0.203
3#apa#apa20#app2022/h  -0.368 2.148  -0.368 1.999  -0.368 1.851  -0.368 1.702  -0.368 1.553  -0.346 1.414  -0.241 1.309  -0.225 1.167  -0.225 1.018  -0.225 0.869  -0.225 0.721  -0.225 0.572  -0.225 0.423  -0.225 0.275  -0.225 0.126  -0.225 -0.022  -0.225 -0.171  -0.256 -0.307  -0.361 -0.412  -0.368 -0.558  -0.368 -0.707  -0.368 -0.855  -0.368 -1.004  -0.368 -1.152  -0.368 -1.248  -0.335 -1.132  -0.225 -1.093  -0.225 -0.945  -0.225 -0.796  -0.225 -0.648  -0.225 -0.499  -0.156 -0.419  -0.082 -0.344  -0.082 -0.196  -0.021 -0.072  0.060 0.043  0.100 0.151  0.249 0.151  0.397 0.151  0.488 0.094  0.552 0.009  0.680 -0.041  0.773 -0.151  0.773 -0.299  0.773 -0.448  0.798 -0.586  0.903 -0.691  0.916 -0.835  0.916 -0.983  0.916 -1.132
3#apa#apa20#app2022/e  -0.656 0.334  -0.656 0.163  -0.546 0.101  -0.374 0.101  -0.203 0.101  -0.031 0.101  0.141 0.101  0.313 0.101  0.484 0.101  0.656 0.101  0.828 0.101  0.977 0.124  0.977 0.295  0.977 0.467  0.977 0.639  0.968 0.801  0.796 0.801  0.659 0.886  0.538 1.007  0.377 1.034  0.206 1.034  0.034 1.034  -0.138 1.034  -0.190 0.915  -0.248 0.801  -0.420 0.801  -0.591 0.801  -0.704 0.706  -0.781 0.552  -0.858 0.398  -0.890 0.234  -0.890 0.062  -0.890 -0.109  -0.890 -0.281  -0.890 -0.453  -0.871 -0.617  -0.750 -0.738  -0.656 -0.871  -0.656 -1.043  -0.507 -1.066  -0.335 -1.066  -0.163 -1.066  0.008 -1.066  0.180 -1.066  0.352 -1.066  0.523 -1.066  0.695 -1.066  0.867 -1.066  1.039 -1.066  1.210 -1.066
3#apa#apa20#app2022/f  1.024 0.903  0.895 0.951  0.827 1.100  0.702 1.226  0.552 1.292  0.505 1.421  0.342 1.456  0.204 1.551  0.027 1.551  -0.012 1.412  -0.069 1.292  -0.141 1.187  -0.157 1.017  -0.271 0.887  -0.271 0.709  -0.271 0.532  -0.271 0.355  -0.271 0.178  -0.271 0.001  -0.271 -0.176  -0.206 -0.327  -0.141 -0.477  -0.138 -0.653  -0.013 -0.778  0.034 -0.909  0.118 -1.002  0.118 -1.180  0.177 -1.298  0.247 -1.404  0.118 -1.402  0.066 -1.246  -0.059 -1.121  -0.184 -0.996  -0.309 -0.871  -0.435 -0.745  -0.560 -0.620  -0.685 -0.495  -0.810 -0.370  -0.900 -0.244  -0.770 -0.132  -0.592 -0.132  -0.415 -0.132  -0.248 -0.155  -0.115 -0.262  0.063 -0.262  0.240 -0.262  0.417 -0.262  0.568 -0.324  0.717 -0.391  0.895 -0.391
3#apa#apa20#app2022/u  -0.868 1.034  -0.978 1.034  -1.088 1.034  -1.091 0.926  -1.091 0.815  -1.091 0.705  -1.091 0.595  -1.091 0.485  -1.091 0.375  -1.020 0.294  -0.942 0.216  -0.868 0.136  -0.868 0.026  -0.864 -0.080  -0.754 -0.080  -0.644 -0.081  -0.566 -0.159  -0.488 -0.237  -0.423 -0.320  -0.423 -0.430  -0.412 -0.536  -0.334 -0.614  -0.256 -0.692  -0.170 -0.748  -0.059 -0.748  0.051 -0.748  0.161 -0.748  0.271 -0.748  0.381 -0.748  0.492 -0.748  0.602 -0.748  0.691 -0.727  0.691 -0.617  0.710 -0.525  0.820 -0.525  0.914 -0.509  0.914 -0.399  0.914 -0.289  0.914 -0.178  0.914 -0.068  0.914 0.042  0.914 0.152  0.914 0.262  0.914 0.372  0.914 0.483  0.914 0.593  0.914 0.703  0.914 0.813  0.914 0.923  0.914 1.034
3#apa#apa20#app2022/m  -1.272 0.347  -1.272 0.122  -1.272 -0.102  -1.196 -0.295  -1.055 -0.466  -0.954 -0.667  -0.895 -0.877  -0.895 -1.101  -0.895 -0.998  -0.895 -0.774  -0.895 -0.549  -0.895 -0.325  -0.811 -0.135  -0.707 0.046  -0.707 0.270  -0.707 0.494  -0.707 0.719  -0.676 0.912  -0.451 0.912  -0.330 0.810  -0.191 0.724  -0.141 0.549  -0.119 0.347  0.048 0.289  0.141 0.158  0.236 0.029  0.236 -0.195  0.245 -0.416  0.403 -0.575  0.425 -0.790  0.425 -0.932  0.425 -0.708  0.425 -0.483  0.425 -0.259  0.425 -0.034  0.425 0.190  0.425 0.414  0.528 0.535  0.613 0.674  0.613 0.899  0.824 0.912  0.990 0.854  1.057 0.657  1.179 0.483  1.179 0.259  1.179 0.035  1.179 -0.190  1.183 -0.412  1.342 -0.571  1.367 -0.785
3#apa#apa20#app2022/e  -0.287 0.037  -0.175 -0.075  -0.064 -0.186  0.084 -0.212  0.242 -0.212  0.400 -0.212  0.558 -0.212  0.717 -0.212  0.875 -0.212  1.012 -0.161  1.123 -0.049  1.209 0.074  1.209 0.232  1.136 0.360  1.024 0.472  0.912 0.584  0.801 0.695  0.680 0.786  0.522 0.786  0.461 0.883  0.455 1.035  0.297 1.035  0.138 1.035  -0.020 1.035  -0.178 1.035  -0.287 0.986  -0.287 0.828  -0.403 0.786  -0.537 0.761  -0.537 0.603  -0.628 0.536  -0.786 0.536  -0.786 0.378  -0.786 0.220  -0.786 0.062  -0.786 -0.097  -0.786 -0.255  -0.786 -0.413  -0.786 -0.571  -0.786 -0.729  -0.786 -0.887  -0.701 -0.960  -0.543 -0.960  -0.537 -1.112  -0.476 -1.210  -0.318 -1.210  -0.197 -1.300  -0.085 -1.412  0.053 -1.459  0.212 -1.459
3#apa#apa20#app2022/s  0.308 1.170  0.217 1.261  0.123 1.344  -0.005 1.344  -0.134 1.344  -0.248 1.310  -0.339 1.220  -0.447 1.170  -0.575 1.170  -0.704 1.170  -0.737 1.075  -0.737 0.946  -0.737 0.818  -0.737 0.689  -0.737 0.561  -0.709 0.444  -0.618 0.353  -0.512 0.299  -0.385 0.295  -0.294 0.204  -0.199 0.125  -0.070 0.125  0.029 0.055  0.120 -0.036  0.211 -0.127  0.302 -0.218  0.415 -0.277  0.530 -0.335  0.645 -0.392  0.738 -0.480  0.829 -0.571  0.957 -0.572  1.005 -0.653  1.005 -0.781  1.005 -0.910  0.887 -0.921  0.759 -0.921  0.630 -0.921  0.502 -0.921  0.373 -0.921  0.245 -0.921  0.116 -0.921  -0.012 -0.921  -0.141 -0.921  -0.269 -0.921  -0.389 -0.912  -0.389 -0.783  -0.480 -0.746  -0.609 -0.746  -0.737 -0.746
3#apa#apa20#app2022/c  0.659 0.342  0.659 0.462  0.593 0.515  0.487 0.528  0.487 0.648  0.407 0.688  0.288 0.688  0.168 0.688  0.141 0.780  0.114 0.888  0.029 0.973  -0.065 1.033  -0.185 1.033  -0.304 1.033  -0.424 1.033  -0.543 1.033  -0.550 0.920  -0.592 0.818  -0.676 0.734  -0.722 0.633  -0.723 0.514  -0.808 0.430  -0.892 0.345  -0.895 0.227  -0.895 0.107  -0.895 -0.012  -0.895 -0.132  -0.842 -0.229  -0.757 -0.314  -0.673 -0.398  -0.588 -0.483  -0.504 -0.567  -0.419 -0.651  -0.317 -0.694  -0.200 -0.698  -0.115 -0.783  -0.030 -0.867  0.089 -0.867  0.209 -0.867  0.328 -0.867  0.448 -0.867  0.567 -0.867  0.686 -0.867  0.806 -0.867  0.925 -0.867  1.045 -0.867  1.164 -0.867  1.284 -0.867  1.403 -0.867  1.523 -0.867
