1c#app#app34#app3457/a  -0.619 1.321  -0.532 1.408  -0.409 1.531  -0.256 1.582  -0.169 1.495  -0.010 1.479  0.077 1.392  0.168 1.275  0.251 1.152  0.338 1.013  0.425 0.875  0.494 0.730  0.512 0.563  0.599 0.425  0.610 0.254  0.686 0.097  0.751 -0.050  0.773 -0.215  0.773 -0.389  0.773 -0.563  0.716 -0.506  0.629 -0.419  0.599 -0.276  0.497 -0.144  0.374 -0.020  0.225 0.041  0.076 0.103  -0.098 0.103  -0.272 0.102  -0.410 0.016  -0.569 -0.021  -0.630 -0.169  -0.773 -0.245  -0.880 -0.363  -0.902 -0.528  -0.967 -0.675  -0.931 -0.841  -0.880 -1.003  -0.819 -1.116  -0.732 -1.203  -0.558 -1.203  -0.399 -1.136  -0.242 -1.086  -0.119 -0.963  0.004 -0.840  0.148 -0.767  0.251 -0.696  0.373 -0.593  0.461 -0.506  0.599 -0.419
1c#app#app34#app3457/q  -0.072 1.309  -0.138 1.421  -0.293 1.474  -0.451 1.433  -0.554 1.331  -0.639 1.189  -0.687 1.031  -0.732 0.873  -0.743 0.700  -0.701 0.540  -0.631 0.392  -0.536 0.280  -0.401 0.192  -0.224 0.192  -0.087 0.289  -0.001 0.430  0.039 0.591  0.039 0.768  -0.017 0.922  -0.072 1.044  -0.072 0.950  -0.072 0.773  -0.042 0.608  -0.017 0.441  0.011 0.276  0.039 0.110  0.039 -0.067  0.039 -0.245  0.095 -0.409  0.095 -0.586  0.095 -0.763  0.095 -0.941  0.095 -1.118  0.095 -1.295  0.095 -1.473  0.151 -1.627  0.280 -1.708  0.433 -1.650  0.519 -1.508  0.582 -1.350  0.598 -1.177  0.598 -0.999  0.598 -0.822  0.598 -0.645  0.550 -0.487  0.504 -0.329  0.402 -0.227  0.300 -0.125  0.161 -0.032  0.039 0.024
1c#app#app34#app3457/u  -1.018 0.821  -1.018 1.013  -1.018 0.972  -1.018 0.781  -1.018 0.589  -0.907 0.443  -0.884 0.261  -0.884 0.069  -0.884 -0.122  -0.884 -0.314  -0.884 -0.506  -0.755 -0.644  -0.751 -0.834  -0.640 -0.915  -0.593 -1.073  -0.446 -1.182  -0.254 -1.182  -0.108 -1.073  0.051 -1.026  0.051 -0.834  0.184 -0.776  0.184 -0.584  0.184 -0.392  0.184 -0.201  0.184 -0.009  0.184 0.183  0.184 0.374  0.192 0.562  0.318 0.702  0.318 0.894  0.318 1.085  0.262 1.222  0.184 1.335  0.184 1.184  0.280 1.088  0.318 0.934  0.318 0.743  0.318 0.551  0.361 0.377  0.451 0.223  0.451 0.031  0.579 -0.107  0.585 -0.297  0.692 -0.381  0.750 -0.514  0.852 -0.604  0.996 -0.658  1.136 -0.781  1.328 -0.781  1.386 -0.648
1c#app#app34#app3457/i  0.063 0.478  0.063 0.353  0.063 0.229  0.090 0.116  0.174 0.026  0.174 -0.098  0.174 -0.222  0.194 -0.342  0.250 -0.453  0.285 -0.569  0.285 -0.693  0.285 -0.818  0.285 -0.942  0.285 -1.066  0.285 -1.191  0.285 -1.315  0.310 -1.415  0.396 -1.452  0.383 -1.477  0.350 -1.357  0.317 -1.237  0.284 -1.117  0.251 -0.998  0.218 -0.878  0.185 -0.758  0.152 -0.638  0.118 -0.518  0.085 -0.398  0.052 -0.278  0.019 -0.159  -0.014 -0.039  -0.047 0.081  -0.080 0.201  -0.113 0.321  -0.146 0.441  -0.179 0.561  -0.212 0.680  -0.245 0.800  -0.278 0.920  -0.311 1.040  -0.344 1.160  -0.378 1.280  -0.411 1.400  -0.444 1.520  -0.477 1.639  -0.494 1.643  -0.494 1.519  -0.494 1.394  -0.592 1.368  -0.605 1.257
1c#app#app34#app3457/c  0.623 1.335  0.525 1.335  0.427 1.335  0.329 1.335  0.231 1.335  0.132 1.335  0.122 1.247  0.062 1.174  -0.020 1.135  -0.106 1.107  -0.176 1.037  -0.245 0.968  -0.279 0.884  -0.313 0.800  -0.382 0.731  -0.452 0.661  -0.479 0.575  -0.479 0.477  -0.504 0.384  -0.548 0.297  -0.579 0.206  -0.579 0.108  -0.579 0.010  -0.579 -0.088  -0.566 -0.181  -0.497 -0.250  -0.479 -0.341  -0.479 -0.439  -0.479 -0.537  -0.413 -0.568  -0.379 -0.633  -0.335 -0.713  -0.260 -0.769  -0.179 -0.785  -0.164 -0.869  -0.070 -0.878  -0.000 -0.947  0.089 -0.969  0.187 -0.969  0.285 -0.969  0.383 -0.969  0.481 -0.969  0.579 -0.969  0.677 -0.969  0.723 -0.917  0.773 -0.869  0.871 -0.869  0.956 -0.837  1.026 -0.769  1.124 -0.769
1c#app#app34#app3457/k  -1.008 1.815  -0.919 1.702  -0.885 1.515  -0.831 1.337  -0.764 1.151  -0.686 0.966  -0.611 0.779  -0.566 0.587  -0.566 0.386  -0.508 0.198  -0.478 0.004  -0.407 -0.180  -0.390 -0.377  -0.390 -0.579  -0.303 -0.744  -0.301 -0.944  -0.301 -1.145  -0.301 -1.028  -0.227 -0.843  -0.146 -0.659  -0.065 -0.475  0.016 -0.291  0.097 -0.106  0.178 0.078  0.259 0.262  0.340 0.446  0.421 0.630  0.502 0.814  0.583 0.998  0.664 1.183  0.759 1.048  0.670 0.883  0.670 0.682  0.587 0.501  0.494 0.337  0.431 0.162  0.317 0.008  0.229 -0.156  0.140 -0.321  0.099 -0.481  -0.013 -0.569  -0.038 -0.746  -0.010 -0.746  0.140 -0.797  0.229 -0.910  0.388 -0.993  0.494 -1.151  0.582 -1.263  0.670 -1.428  0.759 -1.541
1c#app#app34#app3457/b  -0.551 1.365  -0.632 1.480  -0.632 1.514  -0.612 1.527  -0.578 1.527  -0.632 1.439  -0.632 1.244  -0.551 1.082  -0.528 0.891  -0.470 0.705  -0.470 0.509  -0.389 0.348  -0.389 0.153  -0.309 -0.009  -0.284 -0.195  -0.228 -0.367  -0.161 -0.546  -0.146 -0.738  -0.084 -0.923  -0.026 -1.099  0.015 -1.277  0.085 -1.382  0.015 -1.257  -0.066 -1.143  -0.088 -0.956  -0.147 -0.786  -0.147 -0.590  -0.228 -0.429  -0.228 -0.233  -0.228 -0.038  -0.228 0.157  -0.228 0.353  -0.157 0.477  -0.066 0.629  0.089 0.713  0.282 0.719  0.443 0.638  0.598 0.540  0.736 0.402  0.817 0.240  0.898 0.078  0.903 -0.115  0.903 -0.310  0.903 -0.506  0.871 -0.687  0.790 -0.849  0.695 -0.978  0.523 -1.035  0.371 -1.139  0.176 -1.139
1c#app#app34#app3457/r  -0.541 0.781  -0.429 0.752  -0.429 0.612  -0.391 0.481  -0.328 0.356  -0.318 0.218  -0.318 0.078  -0.274 -0.044  -0.206 -0.156  -0.183 -0.293  -0.139 -0.426  -0.094 -0.559  -0.094 -0.699  -0.094 -0.839  -0.034 -0.954  0.017 -1.073  0.017 -1.214  0.027 -1.350  0.126 -1.449  0.104 -1.563  0.017 -1.510  -0.041 -1.394  -0.094 -1.276  -0.160 -1.163  -0.206 -1.042  -0.206 -0.901  -0.206 -0.761  -0.206 -0.621  -0.206 -0.481  -0.206 -0.341  -0.206 -0.200  -0.206 -0.060  -0.206 0.080  -0.129 0.188  -0.094 0.314  -0.094 0.454  -0.068 0.584  0.017 0.688  0.051 0.815  0.150 0.914  0.241 1.017  0.281 1.116  0.352 1.185  0.450 1.227  0.479 1.339  0.606 1.370  0.713 1.451  0.853 1.451  0.993 1.451  0.910 1.451
1c#app#app34#app3457/o  -0.250 1.380  -0.272 1.265  -0.365 1.220  -0.412 1.102  -0.481 0.993  -0.481 0.856  -0.519 0.727  -0.580 0.604  -0.596 0.470  -0.596 0.333  -0.596 0.195  -0.596 0.058  -0.596 -0.080  -0.596 -0.218  -0.596 -0.355  -0.596 -0.493  -0.596 -0.630  -0.547 -0.748  -0.481 -0.858  -0.451 -0.988  -0.390 -1.111  -0.307 -1.219  -0.193 -1.276  -0.056 -1.276  0.082 -1.276  0.219 -1.276  0.348 -1.256  0.446 -1.158  0.543 -1.061  0.640 -0.964  0.674 -0.840  0.674 -0.703  0.674 -0.565  0.674 -0.428  0.674 -0.290  0.674 -0.153  0.674 -0.015  0.674 0.123  0.663 0.258  0.620 0.389  0.576 0.519  0.500 0.630  0.403 0.727  0.328 0.834  0.328 0.971  0.253 1.034  0.144 1.102  0.025 1.149  -0.112 1.149  -0.250 1.149
1c#app#app34#app3457/w  -1.491 1.223  -1.438 1.058  -1.379 0.896  -1.266 0.756  -1.201 0.596  -1.100 0.442  -1.042 0.269  -0.949 0.120  -0.909 -0.053  -0.825 -0.220  -0.761 -0.349  -0.692 -0.474  -0.593 -0.620  -0.584 -0.798  -0.481 -0.881  -0.369 -1.022  -0.368 -0.836  -0.368 -0.649  -0.368 -0.463  -0.256 -0.322  -0.256 -0.136  -0.212 0.033  -0.144 0.191  -0.144 0.378  -0.129 0.550  -0.032 0.639  0.081 0.610  0.193 0.535  0.193 0.349  0.305 0.274  0.314 0.091  0.436 -0.049  0.519 -0.216  0.566 -0.385  0.698 -0.517  0.754 -0.680  0.883 -0.814  0.979 -0.961  0.979 -0.897  0.979 -0.710  0.979 -0.523  0.979 -0.337  0.979 -0.150  0.979 0.037  0.979 0.224  0.979 0.410  0.979 0.597  0.892 0.748  0.867 0.924  0.867 1.111
1c#app#app34#app3457/n  -0.777 1.112  -0.777 0.941  -0.764 0.775  -0.669 0.644  -0.669 0.472  -0.596 0.319  -0.561 0.156  -0.561 -0.015  -0.559 -0.185  -0.453 -0.313  -0.453 -0.484  -0.453 -0.655  -0.380 -0.796  -0.346 -0.952  -0.346 -1.123  -0.346 -1.295  -0.346 -1.274  -0.453 -1.211  -0.453 -1.040  -0.523 -0.938  -0.561 -0.806  -0.474 -0.722  -0.453 -0.572  -0.453 -0.401  -0.426 -0.236  -0.350 -0.083  -0.346 0.087  -0.346 0.258  -0.346 0.429  -0.250 0.561  -0.205 0.713  -0.101 0.846  -0.024 0.999  0.099 1.112  0.270 1.112  0.410 1.081  0.504 1.004  0.629 0.893  0.750 0.772  0.871 0.651  0.992 0.530  1.057 0.386  1.082 0.225  1.165 0.088  1.165 -0.083  1.165 -0.254  1.165 -0.425  1.165 -0.596  1.165 -0.767  1.165 -0.938
