2#apb#apb38#app3856/a  0.294 0.928  0.326 1.039  0.247 1.145  0.120 1.181  -0.002 1.202  -0.130 1.118  -0.283 1.089  -0.413 0.990  -0.537 0.886  -0.627 0.751  -0.718 0.615  -0.823 0.491  -0.931 0.369  -1.046 0.254  -1.139 0.128  -1.162 -0.033  -1.131 -0.193  -1.108 -0.354  -1.035 -0.495  -0.940 -0.628  -0.818 -0.711  -0.663 -0.659  -0.501 -0.657  -0.371 -0.584  -0.264 -0.462  -0.171 -0.329  -0.090 -0.188  0.024 -0.072  0.122 0.054  0.178 0.207  0.217 0.365  0.321 0.475  0.370 0.579  0.453 0.499  0.436 0.338  0.404 0.178  0.377 0.018  0.351 -0.143  0.306 -0.299  0.314 -0.459  0.376 -0.606  0.473 -0.735  0.605 -0.830  0.750 -0.898  0.908 -0.937  1.070 -0.943  1.232 -0.949  1.394 -0.969  1.544 -0.920  1.689 -0.847
2#apb#apb38#app3856/b  0.047 1.844  0.030 1.876  -0.017 1.827  -0.052 1.669  -0.087 1.510  -0.123 1.352  -0.163 1.195  -0.201 1.037  -0.235 0.878  -0.268 0.720  -0.302 0.561  -0.357 0.409  -0.418 0.258  -0.474 0.106  -0.495 -0.054  -0.517 -0.215  -0.550 -0.374  -0.593 -0.530  -0.647 -0.683  -0.707 -0.834  -0.746 -0.915  -0.695 -0.806  -0.589 -0.683  -0.492 -0.553  -0.400 -0.419  -0.308 -0.286  -0.202 -0.163  -0.100 -0.037  -0.003 0.093  0.095 0.223  0.216 0.330  0.345 0.428  0.491 0.494  0.640 0.455  0.719 0.333  0.748 0.174  0.782 0.015  0.819 -0.143  0.839 -0.303  0.839 -0.465  0.839 -0.627  0.780 -0.774  0.700 -0.915  0.571 -1.013  0.433 -1.096  0.281 -1.152  0.125 -1.187  -0.038 -1.187  -0.200 -1.187  -0.362 -1.187
2#apb#apb38#app3856/c  0.930 1.031  0.930 0.966  0.930 1.052  0.930 1.138  0.851 1.138  0.766 1.126  0.682 1.114  0.601 1.090  0.526 1.049  0.451 1.007  0.376 0.966  0.301 0.924  0.225 0.885  0.148 0.847  0.071 0.809  0.019 0.742  -0.031 0.672  -0.080 0.602  -0.133 0.535  -0.201 0.484  -0.270 0.432  -0.325 0.367  -0.380 0.301  -0.435 0.236  -0.476 0.162  -0.503 0.081  -0.530 -0.001  -0.528 -0.084  -0.516 -0.169  -0.504 -0.254  -0.510 -0.338  -0.527 -0.422  -0.544 -0.506  -0.561 -0.590  -0.569 -0.673  -0.526 -0.747  -0.484 -0.822  -0.441 -0.896  -0.380 -0.952  -0.306 -0.996  -0.233 -1.040  -0.159 -1.084  -0.086 -1.128  -0.012 -1.171  0.064 -1.211  0.139 -1.252  0.215 -1.293  0.290 -1.333  0.366 -1.374  0.441 -1.415
2#apb#apb38#app3856/d  -0.815 0.465  -0.970 0.337  -1.115 0.197  -1.268 0.065  -1.401 -0.085  -1.500 -0.258  -1.496 -0.447  -1.428 -0.637  -1.330 -0.809  -1.177 -0.940  -0.987 -1.005  -0.794 -1.046  -0.595 -1.014  -0.396 -0.983  -0.269 -0.858  -0.190 -0.672  -0.110 -0.487  -0.030 -0.302  0.049 -0.117  0.129 0.068  0.209 0.253  0.288 0.439  0.368 0.624  0.448 0.809  0.527 0.994  0.607 1.179  0.687 1.364  0.649 1.255  0.577 1.067  0.506 0.882  0.491 0.681  0.475 0.480  0.460 0.279  0.472 0.078  0.497 -0.122  0.545 -0.316  0.618 -0.504  0.718 -0.677  0.839 -0.838  0.864 -0.816  0.800 -0.625  0.736 -0.433  0.672 -0.242  0.609 -0.051  0.545 0.140  0.481 0.331  0.481 0.467  0.363 0.614  0.177 0.639  -0.014 0.576
2#apb#apb38#app3856/e  -0.608 0.187  -0.622 0.170  -0.534 0.052  -0.400 -0.010  -0.259 -0.059  -0.109 -0.059  0.041 -0.059  0.190 -0.041  0.338 -0.020  0.487 0.001  0.602 0.094  0.715 0.193  0.832 0.287  0.950 0.379  1.073 0.464  1.204 0.538  1.315 0.637  1.279 0.773  1.184 0.862  1.034 0.862  0.884 0.859  0.735 0.852  0.585 0.845  0.435 0.839  0.285 0.832  0.153 0.761  0.022 0.689  -0.117 0.654  -0.267 0.669  -0.396 0.636  -0.489 0.519  -0.583 0.402  -0.674 0.283  -0.764 0.163  -0.838 0.033  -0.905 -0.101  -0.940 -0.242  -0.926 -0.391  -0.909 -0.540  -0.870 -0.684  -0.830 -0.829  -0.741 -0.947  -0.641 -1.058  -0.539 -1.167  -0.405 -1.234  -0.271 -1.301  -0.135 -1.365  0.004 -1.421  0.143 -1.476  0.283 -1.532
2#apb#apb38#app3856/f  0.942 1.461  0.829 1.571  0.668 1.617  0.512 1.569  0.360 1.519  0.231 1.415  0.148 1.270  0.080 1.117  0.054 0.955  0.054 0.788  0.081 0.623  0.114 0.459  0.147 0.295  0.176 0.130  0.201 -0.035  0.239 -0.198  0.292 -0.357  0.319 -0.522  0.345 -0.687  0.376 -0.851  0.404 -1.016  0.405 -1.183  0.425 -1.347  0.335 -1.459  0.215 -1.343  0.094 -1.226  -0.026 -1.110  -0.147 -0.994  -0.267 -0.877  -0.387 -0.761  -0.508 -0.645  -0.628 -0.528  -0.748 -0.412  -0.869 -0.296  -0.989 -0.179  -1.110 -0.063  -1.230 0.053  -1.090 0.080  -0.923 0.065  -0.756 0.072  -0.589 0.084  -0.422 0.088  -0.255 0.088  -0.087 0.088  0.080 0.088  0.247 0.094  0.414 0.106  0.581 0.118  0.748 0.130  0.915 0.142
2#apb#apb38#app3856/g  0.256 1.199  0.259 1.251  0.186 1.297  0.061 1.297  -0.056 1.261  -0.160 1.192  -0.235 1.092  -0.295 0.983  -0.367 0.884  -0.317 0.770  -0.220 0.694  -0.102 0.657  0.021 0.668  0.137 0.713  0.254 0.759  0.341 0.842  0.412 0.945  0.507 0.975  0.560 0.862  0.601 0.744  0.633 0.623  0.605 0.502  0.576 0.380  0.546 0.259  0.516 0.137  0.482 0.017  0.446 -0.102  0.409 -0.222  0.361 -0.336  0.293 -0.441  0.225 -0.545  0.153 -0.647  0.069 -0.740  -0.014 -0.833  -0.097 -0.927  -0.183 -1.018  -0.268 -1.109  -0.354 -1.200  -0.457 -1.271  -0.560 -1.341  -0.663 -1.411  -0.752 -1.392  -0.741 -1.273  -0.687 -1.164  -0.607 -1.068  -0.527 -0.972  -0.447 -0.876  -0.361 -0.786  -0.266 -0.705  -0.171 -0.624
2#apb#apb38#app3856/h  -0.147 1.846  -0.105 1.763  -0.088 1.625  -0.103 1.480  -0.117 1.335  -0.139 1.191  -0.162 1.047  -0.190 0.905  -0.233 0.766  -0.277 0.627  -0.320 0.488  -0.346 0.344  -0.368 0.201  -0.391 0.057  -0.422 -0.086  -0.452 -0.228  -0.483 -0.370  -0.513 -0.513  -0.544 -0.655  -0.578 -0.797  -0.624 -0.935  -0.658 -1.075  -0.713 -1.207  -0.759 -1.289  -0.674 -1.175  -0.628 -1.037  -0.525 -0.934  -0.422 -0.831  -0.368 -0.696  -0.317 -0.559  -0.266 -0.423  -0.214 -0.287  -0.160 -0.152  -0.094 -0.025  0.016 0.071  0.126 0.166  0.252 0.238  0.376 0.315  0.494 0.400  0.627 0.418  0.753 0.355  0.865 0.261  0.952 0.145  1.032 0.024  1.086 -0.111  1.140 -0.247  1.158 -0.391  1.172 -0.536  1.174 -0.681  1.174 -0.827
2#apb#apb38#app3856/i  -0.324 0.249  -0.249 0.361  -0.180 0.476  -0.131 0.597  -0.093 0.630  -0.109 0.502  -0.170 0.387  -0.170 0.253  -0.171 0.118  -0.185 -0.015  -0.198 -0.149  -0.211 -0.282  -0.225 -0.415  -0.238 -0.549  -0.247 -0.683  -0.247 -0.817  -0.247 -0.951  -0.247 -1.085  -0.247 -1.219  -0.247 -1.353  -0.247 -1.488  -0.247 -1.622  -0.221 -1.517  -0.192 -1.386  -0.163 -1.255  -0.134 -1.124  -0.106 -0.993  -0.077 -0.862  -0.048 -0.731  -0.019 -0.600  0.010 -0.469  0.038 -0.338  0.067 -0.207  0.096 -0.076  0.125 0.055  0.154 0.187  0.182 0.318  0.211 0.449  0.240 0.580  0.269 0.711  0.298 0.842  0.326 0.973  0.355 1.104  0.384 1.235  0.413 1.366  0.442 1.497  0.470 1.628  0.499 1.759  0.522 1.890  0.484 2.018
2#apb#apb38#app3856/j  -0.339 0.707  -0.319 0.828  -0.214 0.882  -0.119 0.955  -0.037 1.047  0.009 1.152  0.009 1.274  0.021 1.396  0.053 1.514  0.124 1.521  0.215 1.461  0.269 1.351  0.312 1.237  0.342 1.118  0.372 0.999  0.393 0.878  0.410 0.757  0.423 0.635  0.423 0.513  0.423 0.390  0.422 0.267  0.415 0.145  0.408 0.023  0.401 -0.100  0.380 -0.220  0.359 -0.341  0.337 -0.462  0.294 -0.576  0.250 -0.691  0.205 -0.805  0.141 -0.907  0.058 -0.997  -0.025 -1.087  -0.112 -1.173  -0.206 -1.251  -0.301 -1.330  -0.408 -1.385  -0.519 -1.377  -0.593 -1.290  -0.619 -1.172  -0.596 -1.051  -0.574 -0.931  -0.551 -0.810  -0.516 -0.694  -0.458 -0.586  -0.400 -0.478  -0.300 -0.420  -0.184 -0.380  -0.088 -0.305  0.009 -0.229
2#apb#apb38#app3856/k  -0.402 -0.125  -0.316 0.061  -0.231 0.247  -0.194 0.447  -0.165 0.650  -0.121 0.849  -0.087 1.051  -0.069 1.254  -0.114 1.454  -0.128 1.657  -0.232 1.678  -0.356 1.516  -0.473 1.348  -0.557 1.164  -0.614 0.968  -0.672 0.771  -0.711 0.571  -0.749 0.369  -0.761 0.167  -0.749 -0.038  -0.737 -0.242  -0.713 -0.445  -0.690 -0.648  -0.639 -0.844  -0.552 -1.029  -0.466 -1.215  -0.310 -1.094  -0.152 -0.963  0.005 -0.833  0.163 -0.702  0.321 -0.572  0.478 -0.441  0.636 -0.311  0.794 -0.181  0.951 -0.050  1.109 0.080  1.267 0.211  1.173 0.150  1.005 0.033  0.808 -0.020  0.660 -0.149  0.530 -0.307  0.355 -0.368  0.150 -0.368  0.047 -0.542  0.043 -0.742  0.140 -0.910  0.285 -1.055  0.439 -1.189  0.602 -1.312
