1c#ced#sncn4237/j  0.262 1.137  0.277 1.235  0.277 1.098  0.277 0.961  0.277 0.823  0.277 0.686  0.277 0.549  0.277 0.411  0.277 0.274  0.277 0.137  0.277 -0.001  0.277 -0.138  0.277 -0.275  0.271 -0.412  0.262 -0.549  0.249 -0.686  0.229 -0.822  0.208 -0.957  0.181 -1.091  0.121 -1.215  0.034 -1.319  -0.070 -1.409  -0.196 -1.453  -0.334 -1.453  -0.471 -1.451  -0.539 -1.364  -0.508 -1.230  -0.477 -1.096  -0.445 -0.962  -0.414 -0.829  -0.383 -0.695  -0.351 -0.561  -0.320 -0.428  -0.289 -0.294  -0.257 -0.160  -0.226 -0.026  -0.195 0.107  -0.163 0.241  -0.132 0.375  -0.101 0.509  -0.069 0.642  -0.038 0.776  -0.006 0.910  0.025 1.043  0.056 1.177  0.088 1.311  0.119 1.445  0.161 1.551  0.204 1.673  0.190 1.805
1c#ced#sncn4237/i  -0.009 0.049  0.040 0.151  0.040 0.274  0.043 0.295  0.089 0.219  0.089 0.096  0.089 -0.027  0.112 -0.144  0.138 -0.261  0.138 -0.383  0.138 -0.506  0.138 -0.629  0.138 -0.751  0.138 -0.874  0.138 -0.997  0.138 -1.120  0.138 -1.242  0.138 -1.365  0.138 -1.488  0.135 -1.544  0.122 -1.421  0.109 -1.299  0.097 -1.177  0.084 -1.055  0.071 -0.933  0.059 -0.811  0.046 -0.689  0.033 -0.567  0.020 -0.445  0.008 -0.323  -0.005 -0.201  -0.018 -0.079  -0.030 0.043  -0.043 0.165  -0.056 0.287  -0.069 0.409  -0.081 0.531  -0.094 0.653  -0.107 0.775  -0.143 0.892  -0.157 1.013  -0.157 1.135  -0.166 1.257  -0.205 1.373  -0.206 1.495  -0.206 1.618  -0.206 1.741  -0.256 1.843  -0.288 1.952  -0.305 2.068
1c#ced#sncn4237/m  -1.187 0.581  -1.026 0.742  -0.870 0.906  -0.700 1.010  -0.700 0.764  -0.700 0.519  -0.659 0.280  -0.671 0.036  -0.700 -0.206  -0.700 -0.452  -0.700 -0.698  -0.700 -0.944  -0.701 -1.189  -0.745 -1.425  -0.772 -1.287  -0.714 -1.053  -0.692 -0.811  -0.615 -0.578  -0.597 -0.334  -0.538 -0.095  -0.464 0.139  -0.366 0.364  -0.302 0.598  -0.199 0.817  0.001 0.765  0.067 0.535  0.117 0.297  0.182 0.060  0.217 -0.180  0.253 -0.420  0.295 -0.657  0.317 -0.898  0.317 -0.855  0.317 -0.609  0.341 -0.367  0.362 -0.125  0.406 0.116  0.449 0.356  0.519 0.592  0.591 0.826  0.694 1.046  0.881 1.123  1.003 0.915  1.093 0.687  1.129 0.447  1.196 0.210  1.266 -0.025  1.293 -0.268  1.335 -0.508  1.380 -0.747
1c#ced#sncn4237/m  -1.010 0.402  -0.961 0.629  -0.863 0.828  -0.815 0.666  -0.766 0.448  -0.720 0.216  -0.717 -0.022  -0.708 -0.259  -0.668 -0.492  -0.668 -0.731  -0.668 -0.969  -0.668 -1.208  -0.766 -1.073  -0.766 -0.834  -0.756 -0.597  -0.717 -0.364  -0.668 -0.132  -0.637 0.102  -0.562 0.329  -0.486 0.555  -0.451 0.787  -0.326 0.988  -0.178 1.036  -0.081 0.829  -0.081 0.590  -0.034 0.359  0.017 0.128  0.065 -0.103  0.084 -0.339  0.114 -0.573  0.127 -0.809  0.163 -1.042  0.163 -1.239  0.163 -1.000  0.228 -0.772  0.304 -0.545  0.364 -0.314  0.440 -0.088  0.520 0.137  0.620 0.354  0.716 0.571  0.839 0.775  1.005 0.945  1.206 0.923  1.321 0.726  1.384 0.502  1.429 0.271  1.434 0.033  1.503 -0.195  1.532 -0.429
1c#ced#sncn4237/y  -0.186 1.045  -0.144 1.117  -0.116 1.212  -0.132 1.135  -0.144 1.030  -0.146 0.924  -0.158 0.820  -0.158 0.714  -0.148 0.609  -0.107 0.516  -0.011 0.508  0.064 0.583  0.112 0.676  0.162 0.770  0.209 0.865  0.238 0.967  0.270 1.069  0.244 1.157  0.180 1.087  0.148 0.986  0.122 0.883  0.107 0.778  0.095 0.673  0.092 0.567  0.080 0.461  0.069 0.356  0.067 0.249  0.067 0.143  0.067 0.037  0.070 -0.069  0.081 -0.175  0.081 -0.281  0.087 -0.388  0.095 -0.493  0.095 -0.600  0.095 -0.706  0.095 -0.812  0.103 -0.918  0.104 -1.024  0.095 -1.130  0.095 -1.236  0.085 -1.341  0.049 -1.440  -0.021 -1.520  -0.104 -1.585  -0.201 -1.627  -0.305 -1.651  -0.409 -1.650  -0.515 -1.646  -0.621 -1.646
1c#ced#sncn4237/e  -0.848 0.021  -0.804 0.153  -0.745 0.136  -0.639 0.030  -0.515 -0.051  -0.396 -0.140  -0.255 -0.191  -0.119 -0.256  0.025 -0.283  0.175 -0.283  0.325 -0.283  0.468 -0.239  0.617 -0.229  0.748 -0.163  0.868 -0.076  0.978 0.025  1.060 0.149  1.144 0.271  1.193 0.413  1.193 0.563  1.156 0.704  1.107 0.846  1.016 0.957  0.881 1.024  0.740 1.063  0.590 1.063  0.440 1.063  0.310 0.996  0.171 0.940  0.048 0.856  -0.074 0.769  -0.186 0.672  -0.276 0.551  -0.367 0.431  -0.446 0.304  -0.516 0.172  -0.595 0.044  -0.651 -0.095  -0.714 -0.232  -0.770 -0.370  -0.799 -0.517  -0.804 -0.667  -0.804 -0.817  -0.786 -0.965  -0.749 -1.111  -0.704 -1.252  -0.598 -1.358  -0.490 -1.462  -0.365 -1.546  -0.240 -1.629
1c#ced#sncn4237/d  0.220 -0.626  0.220 -0.546  0.171 -0.404  0.041 -0.340  -0.103 -0.382  -0.219 -0.493  -0.330 -0.611  -0.427 -0.742  -0.508 -0.883  -0.575 -1.031  -0.643 -1.176  -0.664 -1.336  -0.665 -1.484  -0.545 -1.549  -0.404 -1.467  -0.301 -1.343  -0.226 -1.201  -0.133 -1.067  -0.061 -0.922  -0.016 -0.766  0.027 -0.608  0.056 -0.448  0.095 -0.290  0.117 -0.128  0.151 0.031  0.180 0.191  0.198 0.353  0.219 0.515  0.241 0.677  0.245 0.839  0.245 1.003  0.245 1.166  0.245 1.329  0.245 1.492  0.228 1.653  0.220 1.815  0.220 1.682  0.207 1.520  0.196 1.358  0.196 1.195  0.171 1.034  0.171 0.871  0.171 0.708  0.170 0.545  0.150 0.383  0.130 0.221  0.122 0.059  0.114 -0.104  0.097 -0.266  0.097 -0.429
1c#ced#sncn4237/i  -0.025 0.455  -0.065 0.464  -0.065 0.513  0.001 0.495  0.048 0.388  0.135 0.294  0.151 0.168  0.175 0.043  0.175 -0.086  0.175 -0.215  0.175 -0.343  0.175 -0.472  0.175 -0.601  0.175 -0.730  0.175 -0.858  0.175 -0.987  0.175 -1.116  0.175 -1.245  0.175 -1.374  0.175 -1.502  0.174 -1.620  0.155 -1.493  0.136 -1.365  0.117 -1.238  0.097 -1.111  0.078 -0.983  0.059 -0.856  0.040 -0.728  0.021 -0.601  0.001 -0.474  -0.018 -0.346  -0.037 -0.219  -0.056 -0.092  -0.075 0.036  -0.095 0.163  -0.114 0.290  -0.133 0.418  -0.152 0.545  -0.171 0.672  -0.191 0.800  -0.210 0.927  -0.229 1.054  -0.248 1.182  -0.259 1.308  -0.225 1.429  -0.225 1.557  -0.225 1.686  -0.225 1.815  -0.217 1.936  -0.225 2.016
1c#ced#sncn4237/f  0.517 0.744  0.602 0.823  0.692 0.897  0.729 1.006  0.769 1.119  0.751 1.237  0.696 1.339  0.619 1.430  0.516 1.483  0.399 1.462  0.294 1.404  0.222 1.309  0.162 1.204  0.121 1.090  0.083 0.975  0.050 0.859  0.017 0.742  -0.013 0.625  -0.041 0.507  -0.060 0.388  -0.061 0.267  -0.074 0.147  -0.087 0.026  -0.100 -0.094  -0.115 -0.215  -0.128 -0.335  -0.138 -0.456  -0.146 -0.576  -0.150 -0.697  -0.150 -0.818  -0.143 -0.939  -0.132 -1.059  -0.132 -1.180  -0.114 -1.300  -0.154 -1.325  -0.239 -1.239  -0.325 -1.154  -0.411 -1.068  -0.496 -0.983  -0.582 -0.897  -0.680 -0.839  -0.744 -0.751  -0.645 -0.684  -0.528 -0.662  -0.409 -0.644  -0.290 -0.626  -0.169 -0.626  -0.048 -0.629  0.071 -0.644  0.192 -0.644
1c#ced#sncn4237/i  0.408 0.345  0.403 0.430  0.327 0.436  0.327 0.315  0.327 0.195  0.318 0.076  0.275 -0.036  0.208 -0.137  0.178 -0.253  0.184 -0.370  0.206 -0.488  0.206 -0.609  0.206 -0.729  0.206 -0.850  0.206 -0.971  0.201 -1.091  0.178 -1.209  0.166 -1.328  0.160 -1.448  0.124 -1.537  0.104 -1.418  0.085 -1.299  0.065 -1.180  0.046 -1.061  0.026 -0.942  0.007 -0.823  -0.013 -0.704  -0.032 -0.585  -0.052 -0.466  -0.071 -0.347  -0.091 -0.228  -0.110 -0.109  -0.130 0.010  -0.149 0.129  -0.169 0.249  -0.188 0.368  -0.208 0.487  -0.227 0.606  -0.237 0.725  -0.241 0.846  -0.264 0.964  -0.277 1.083  -0.280 1.204  -0.310 1.321  -0.319 1.440  -0.349 1.557  -0.358 1.677  -0.358 1.797  -0.358 1.918  -0.358 2.038
1c#ced#sncn4237/c  0.512 0.257  0.581 0.224  0.667 0.257  0.720 0.326  0.755 0.415  0.790 0.509  0.790 0.611  0.823 0.706  0.825 0.808  0.812 0.907  0.767 0.999  0.713 1.057  0.619 1.090  0.517 1.091  0.423 1.052  0.324 1.027  0.226 0.996  0.138 0.946  0.059 0.882  -0.014 0.809  -0.086 0.737  -0.149 0.657  -0.212 0.576  -0.284 0.504  -0.346 0.423  -0.407 0.340  -0.463 0.254  -0.509 0.163  -0.555 0.071  -0.600 -0.020  -0.626 -0.120  -0.650 -0.219  -0.671 -0.319  -0.671 -0.421  -0.671 -0.524  -0.671 -0.626  -0.659 -0.727  -0.634 -0.826  -0.602 -0.923  -0.556 -1.015  -0.498 -1.098  -0.426 -1.170  -0.346 -1.234  -0.259 -1.288  -0.168 -1.333  -0.067 -1.343  0.034 -1.354  0.133 -1.378  0.235 -1.378  0.338 -1.378
