3#app#app32#app3206/S  0.799 0.994  0.915 0.999  0.824 1.091  0.799 1.210  0.696 1.238  0.567 1.238  0.437 1.238  0.344 1.149  0.228 1.116  0.107 1.075  -0.009 1.017  -0.110 0.939  -0.202 0.848  -0.294 0.756  -0.300 0.629  -0.427 0.623  -0.519 0.531  -0.610 0.439  -0.702 0.347  -0.788 0.253  -0.773 0.139  -0.650 0.123  -0.558 0.031  -0.434 0.017  -0.304 0.017  -0.175 0.017  -0.045 0.017  0.085 0.017  0.215 0.017  0.310 -0.017  0.352 -0.105  0.455 -0.150  0.513 -0.266  0.555 -0.386  0.555 -0.515  0.518 -0.630  0.432 -0.724  0.421 -0.849  0.329 -0.941  0.237 -1.033  0.145 -1.125  0.048 -1.204  -0.079 -1.215  -0.195 -1.273  -0.312 -1.326  -0.442 -1.326  -0.572 -1.326  -0.691 -1.301  -0.783 -1.209  -0.911 -1.204
3#app#app32#app3206/e  -0.730 0.100  -0.896 0.100  -0.960 0.202  -0.923 0.331  -0.757 0.331  -0.591 0.331  -0.425 0.331  -0.260 0.335  -0.111 0.410  0.037 0.484  0.186 0.558  0.351 0.561  0.518 0.561  0.684 0.561  0.850 0.561  1.016 0.561  1.162 0.609  1.280 0.726  1.271 0.792  1.105 0.792  0.939 0.792  0.773 0.792  0.607 0.792  0.441 0.792  0.275 0.792  0.133 0.733  0.016 0.615  -0.102 0.498  -0.219 0.380  -0.365 0.331  -0.522 0.308  -0.639 0.191  -0.730 0.062  -0.730 -0.104  -0.730 -0.270  -0.730 -0.436  -0.730 -0.602  -0.730 -0.768  -0.730 -0.934  -0.682 -1.052  -0.516 -1.052  -0.349 -1.052  -0.208 -1.113  -0.091 -1.230  0.053 -1.283  0.219 -1.283  0.386 -1.283  0.552 -1.283  0.718 -1.283  0.884 -1.283
3#app#app32#app3206/e  -0.284 0.062  -0.284 -0.112  -0.420 -0.151  -0.594 -0.151  -0.710 -0.092  -0.689 0.062  -0.515 0.062  -0.387 0.172  -0.255 0.275  -0.080 0.275  0.094 0.275  0.231 0.364  0.354 0.487  0.528 0.487  0.663 0.584  0.779 0.710  0.779 0.884  0.779 1.058  0.672 1.125  0.498 1.125  0.324 1.125  0.149 1.125  0.024 1.008  -0.111 0.913  -0.285 0.912  -0.408 0.789  -0.531 0.666  -0.655 0.542  -0.778 0.419  -0.901 0.296  -0.922 0.131  -0.922 -0.044  -0.922 -0.218  -0.902 -0.384  -0.779 -0.507  -0.656 -0.630  -0.532 -0.753  -0.409 -0.877  -0.286 -1.000  -0.113 -1.002  0.062 -1.002  0.236 -1.002  0.410 -1.002  0.584 -1.002  0.759 -1.002  0.933 -1.002  1.107 -1.002  1.281 -1.002  1.456 -1.002  1.630 -1.002
3#app#app32#app3206/?  -0.346 0.485  -0.461 0.489  -0.544 0.571  -0.651 0.596  -0.680 0.683  -0.680 0.800  -0.583 0.819  -0.496 0.892  -0.395 0.931  -0.285 0.961  -0.181 1.013  -0.071 1.042  0.046 1.042  0.100 1.105  0.169 1.154  0.285 1.154  0.267 1.098  0.211 1.004  0.180 0.900  0.098 0.817  0.015 0.734  -0.068 0.652  -0.123 0.558  -0.154 0.454  -0.235 0.370  -0.235 0.253  -0.235 0.136  -0.235 0.019  -0.235 -0.098  -0.235 -0.214  -0.235 -0.331  -0.205 -0.436  -0.123 -0.519  -0.007 -0.523  0.075 -0.605  0.182 -0.630  0.299 -0.630  0.416 -0.630  0.434 -0.728  0.434 -0.845  0.434 -0.962  0.434 -1.079  0.434 -1.196  0.434 -1.313  0.434 -1.430  0.434 -1.547  0.434 -1.663  0.434 -1.780  0.463 -1.828  0.546 -1.745
3#app#app32#app3206/\"  0.185 0.826  0.185 1.036  0.139 1.227  -0.010 1.375  -0.159 1.524  -0.307 1.397  -0.456 1.249  -0.524 1.067  -0.524 0.857  -0.524 0.647  -0.524 0.436  -0.524 0.226  -0.625 0.117  -0.835 0.117  -0.878 -0.050  -0.878 -0.260  -0.878 -0.470  -0.878 -0.680  -0.878 -0.890  -0.725 -0.947  -0.515 -0.947  -0.305 -0.947  -0.142 -0.877  -0.064 -0.682  0.014 -0.487  0.092 -0.292  0.170 -0.097  0.249 0.098  0.327 0.293  0.405 0.488  0.483 0.683  0.596 0.826  0.806 0.826  0.772 0.826  0.562 0.826  0.540 0.638  0.540 0.428  0.540 0.217  0.462 0.039  0.314 -0.109  0.185 -0.266  0.185 -0.476  0.185 -0.686  0.185 -0.896  0.185 -1.106  0.200 -1.301  0.411 -1.301  0.597 -1.359  0.746 -1.507  0.894 -1.656
3#app#app32#app3206/s  1.125 0.600  1.125 0.748  1.074 0.875  0.969 0.980  0.850 1.049  0.701 1.049  0.553 1.049  0.405 1.049  0.257 1.049  0.108 1.049  -0.028 1.021  -0.133 0.916  -0.244 0.825  -0.392 0.825  -0.514 0.760  -0.618 0.655  -0.744 0.600  -0.892 0.600  -0.899 0.459  -0.945 0.329  -1.050 0.224  -1.124 0.107  -1.124 -0.042  -1.043 -0.156  -0.938 -0.261  -0.806 -0.300  -0.657 -0.300  -0.509 -0.300  -0.361 -0.300  -0.212 -0.300  -0.064 -0.300  0.060 -0.359  0.165 -0.464  0.288 -0.525  0.436 -0.525  0.584 -0.525  0.733 -0.525  0.881 -0.525  0.900 -0.654  0.847 -0.750  0.699 -0.750  0.551 -0.750  0.416 -0.783  0.312 -0.888  0.199 -0.974  0.051 -0.974  -0.069 -1.044  -0.174 -1.149  -0.301 -1.199  -0.449 -1.199
3#app#app32#app3206/c  1.154 0.278  1.154 0.395  1.154 0.511  1.154 0.628  1.089 0.718  1.006 0.800  0.906 0.841  0.790 0.841  0.673 0.841  0.556 0.841  0.440 0.841  0.323 0.841  0.206 0.841  0.090 0.841  -0.027 0.841  -0.144 0.841  -0.231 0.769  -0.313 0.687  -0.416 0.653  -0.533 0.653  -0.616 0.572  -0.698 0.489  -0.722 0.382  -0.731 0.269  -0.813 0.187  -0.896 0.104  -0.909 -0.007  -0.909 -0.124  -0.909 -0.240  -0.909 -0.357  -0.909 -0.474  -0.909 -0.590  -0.876 -0.693  -0.793 -0.776  -0.706 -0.847  -0.590 -0.847  -0.473 -0.847  -0.356 -0.847  -0.240 -0.847  -0.123 -0.847  -0.006 -0.847  0.110 -0.847  0.227 -0.847  0.344 -0.847  0.460 -0.847  0.577 -0.847  0.694 -0.847  0.801 -0.825  0.884 -0.742  0.966 -0.660
3#app#app32#app3206/r  0.437 1.039  0.274 1.039  0.111 1.039  -0.008 0.932  -0.123 0.817  -0.238 0.702  -0.238 0.539  -0.238 0.376  -0.238 0.212  -0.238 0.049  -0.238 -0.114  -0.238 -0.277  -0.329 -0.402  -0.444 -0.518  -0.560 -0.633  -0.576 -0.789  -0.576 -0.952  -0.576 -1.115  -0.576 -1.278  -0.576 -1.441  -0.576 -1.604  -0.576 -1.558  -0.576 -1.395  -0.576 -1.232  -0.576 -1.069  -0.518 -0.930  -0.403 -0.814  -0.288 -0.699  -0.238 -0.556  -0.238 -0.393  -0.238 -0.230  -0.238 -0.067  -0.169 0.026  -0.005 0.026  0.099 0.084  0.099 0.247  0.099 0.410  0.099 0.573  0.134 0.702  0.297 0.702  0.454 0.718  0.569 0.833  0.684 0.949  0.810 1.039  0.973 1.039  1.113 1.016  1.113 0.853  1.124 0.702  1.287 0.702  1.450 0.702
3#app#app32#app3206/e  -0.463 0.279  -0.463 0.098  -0.565 0.020  -0.722 0.043  -0.722 0.224  -0.597 0.279  -0.416 0.279  -0.235 0.279  -0.055 0.279  0.126 0.279  0.307 0.279  0.487 0.279  0.668 0.279  0.849 0.279  1.030 0.279  1.210 0.279  1.354 0.317  1.354 0.497  1.255 0.637  1.127 0.765  0.960 0.798  0.780 0.798  0.599 0.798  0.418 0.798  0.237 0.798  0.057 0.798  -0.105 0.717  -0.267 0.637  -0.428 0.556  -0.605 0.539  -0.722 0.475  -0.722 0.294  -0.888 0.279  -0.982 0.192  -0.982 0.012  -0.982 -0.169  -0.982 -0.350  -0.959 -0.521  -0.832 -0.649  -0.699 -0.770  -0.537 -0.851  -0.376 -0.932  -0.214 -1.013  -0.084 -1.137  0.044 -1.265  0.219 -1.278  0.400 -1.278  0.579 -1.281  0.707 -1.409  0.835 -1.537
3#app#app32#app3206/e  -0.727 -0.205  -0.727 -0.033  -0.665 0.077  -0.493 0.077  -0.321 0.077  -0.149 0.077  0.023 0.077  0.195 0.077  0.367 0.077  0.498 0.175  0.619 0.297  0.766 0.359  0.937 0.359  1.109 0.359  1.245 0.395  1.245 0.567  1.147 0.641  0.975 0.641  0.850 0.754  0.728 0.875  0.576 0.922  0.404 0.922  0.232 0.922  0.060 0.922  -0.112 0.922  -0.248 0.837  -0.370 0.716  -0.511 0.641  -0.682 0.641  -0.817 0.550  -0.939 0.429  -1.008 0.286  -1.008 0.114  -1.008 -0.058  -1.008 -0.230  -1.008 -0.402  -0.921 -0.486  -0.749 -0.486  -0.621 -0.592  -0.500 -0.713  -0.378 -0.835  -0.256 -0.956  -0.123 -1.050  0.049 -1.050  0.191 -1.122  0.312 -1.243  0.448 -1.331  0.620 -1.331  0.791 -1.331  0.963 -1.331
3#app#app32#app3206/c  0.605 0.666  0.605 0.552  0.605 0.548  0.605 0.662  0.605 0.776  0.569 0.876  0.488 0.956  0.397 1.013  0.283 1.013  0.169 1.013  0.055 1.013  -0.060 1.013  -0.174 1.013  -0.288 1.013  -0.402 1.013  -0.492 0.954  -0.573 0.873  -0.607 0.773  -0.612 0.661  -0.693 0.580  -0.774 0.500  -0.781 0.388  -0.781 0.274  -0.781 0.160  -0.781 0.046  -0.781 -0.069  -0.781 -0.183  -0.684 -0.200  -0.607 -0.238  -0.607 -0.352  -0.524 -0.415  -0.422 -0.466  -0.320 -0.517  -0.261 -0.595  -0.261 -0.709  -0.188 -0.793  -0.107 -0.874  -0.001 -0.893  0.114 -0.893  0.228 -0.893  0.342 -0.893  0.449 -0.910  0.530 -0.991  0.613 -1.066  0.727 -1.066  0.841 -1.066  0.956 -1.066  1.070 -1.066  1.184 -1.066  1.298 -1.066
3#app#app32#app3206/h  -0.119 1.614  -0.119 1.737  -0.132 1.847  -0.235 1.827  -0.235 1.704  -0.235 1.581  -0.235 1.458  -0.235 1.335  -0.235 1.212  -0.235 1.089  -0.235 0.966  -0.235 0.843  -0.235 0.719  -0.235 0.596  -0.235 0.473  -0.235 0.350  -0.235 0.227  -0.235 0.104  -0.289 -0.007  -0.344 -0.117  -0.352 -0.238  -0.352 -0.361  -0.352 -0.484  -0.352 -0.607  -0.352 -0.730  -0.352 -0.853  -0.332 -0.928  -0.245 -0.841  -0.158 -0.754  -0.119 -0.647  -0.066 -0.546  0.021 -0.459  0.108 -0.372  0.195 -0.285  0.231 -0.176  0.287 -0.077  0.347 -0.054  0.347 -0.177  0.347 -0.301  0.347 -0.424  0.347 -0.547  0.379 -0.662  0.434 -0.772  0.463 -0.889  0.463 -1.012  0.513 -1.114  0.580 -1.210  0.615 -1.298  0.726 -1.327  0.813 -1.414
3#app#app32#app3206/e  -0.428 0.078  -0.428 -0.099  -0.492 -0.213  -0.669 -0.213  -0.719 -0.085  -0.704 0.078  -0.527 0.078  -0.349 0.078  -0.172 0.078  0.006 0.078  0.183 0.078  0.360 0.078  0.538 0.078  0.715 0.078  0.893 0.078  1.057 0.109  1.183 0.235  1.308 0.360  1.317 0.534  1.281 0.696  1.155 0.822  1.030 0.947  0.854 0.951  0.676 0.951  0.499 0.951  0.322 0.951  0.144 0.951  -0.033 0.951  -0.189 0.898  -0.315 0.773  -0.445 0.660  -0.622 0.660  -0.719 0.579  -0.719 0.401  -0.719 0.224  -0.719 0.046  -0.719 -0.131  -0.719 -0.308  -0.719 -0.486  -0.719 -0.663  -0.672 -0.794  -0.495 -0.794  -0.428 -0.905  -0.428 -1.082  -0.304 -1.208  -0.179 -1.334  -0.031 -1.429  0.127 -1.508  0.286 -1.587  0.445 -1.667
3#app#app32#app3206/d  -0.160 -0.493  -0.199 -0.349  -0.304 -0.270  -0.422 -0.204  -0.605 -0.204  -0.774 -0.240  -0.883 -0.379  -0.883 -0.563  -0.883 -0.746  -0.883 -0.930  -0.883 -1.114  -0.801 -1.216  -0.653 -1.131  -0.523 -1.001  -0.393 -0.871  -0.263 -0.741  -0.143 -0.604  -0.061 -0.440  -0.015 -0.267  -0.015 -0.083  0.056 0.083  0.130 0.250  0.130 0.434  0.199 0.589  0.274 0.741  0.274 0.925  0.274 1.109  0.310 1.278  0.419 1.416  0.419 1.600  0.419 1.784  0.418 1.674  0.336 1.509  0.274 1.340  0.274 1.156  0.274 0.973  0.274 0.789  0.274 0.605  0.274 0.422  0.274 0.238  0.274 0.054  0.274 -0.130  0.274 -0.313  0.274 -0.497  0.305 -0.668  0.419 -0.805  0.446 -0.982  0.528 -1.146  0.669 -1.216  0.708 -1.361
