3#app#app09#app0905/w  -0.894 0.739  -0.982 0.630  -1.036 0.508  -1.071 0.378  -1.071 0.233  -1.071 0.088  -1.099 -0.052  -1.144 -0.189  -1.159 -0.332  -1.159 -0.476  -1.159 -0.621  -1.096 -0.740  -0.961 -0.764  -0.825 -0.730  -0.706 -0.654  -0.641 -0.525  -0.546 -0.417  -0.444 -0.315  -0.350 -0.207  -0.285 -0.077  -0.188 0.029  -0.086 0.132  -0.010 0.245  -0.010 0.203  -0.010 0.059  -0.010 -0.086  -0.010 -0.231  -0.010 -0.375  0.005 -0.514  0.079 -0.628  0.176 -0.676  0.320 -0.676  0.430 -0.590  0.532 -0.488  0.634 -0.386  0.737 -0.283  0.839 -0.181  0.941 -0.079  1.044 0.024  1.111 0.151  1.176 0.281  1.228 0.413  1.228 0.558  1.228 0.703  1.228 0.847  1.174 0.970  1.132 1.092  0.987 1.092  0.931 1.004  0.874 0.915
3#app#app09#app0905/a  0.480 1.404  0.294 1.404  0.120 1.373  -0.012 1.241  -0.028 1.060  -0.159 0.928  -0.291 0.796  -0.423 0.664  -0.555 0.532  -0.687 0.401  -0.819 0.269  -0.838 0.089  -0.850 -0.092  -0.982 -0.224  -1.002 -0.402  -1.002 -0.589  -0.976 -0.765  -0.844 -0.897  -0.667 -0.892  -0.584 -0.725  -0.493 -0.566  -0.326 -0.482  -0.163 -0.393  -0.031 -0.261  -0.014 -0.081  0.069 0.086  0.153 0.252  0.285 0.384  0.316 0.558  0.432 0.696  0.480 0.863  0.480 1.050  0.318 1.074  0.316 0.890  0.316 0.703  0.316 0.517  0.316 0.330  0.316 0.143  0.316 -0.043  0.316 -0.230  0.316 -0.417  0.316 -0.603  0.316 -0.790  0.368 -0.955  0.500 -1.087  0.632 -1.219  0.764 -1.351  0.810 -1.518  0.953 -1.562  1.139 -1.562
3#app#app09#app0905/n  -0.700 0.898  -0.717 0.765  -0.833 0.730  -0.833 0.580  -0.833 0.430  -0.833 0.280  -0.833 0.129  -0.833 -0.021  -0.833 -0.171  -0.833 -0.321  -0.816 -0.467  -0.748 -0.602  -0.700 -0.740  -0.700 -0.891  -0.700 -1.041  -0.607 -1.098  -0.567 -0.988  -0.439 -0.965  -0.433 -0.821  -0.433 -0.671  -0.433 -0.521  -0.405 -0.377  -0.338 -0.243  -0.300 -0.101  -0.300 0.049  -0.256 0.189  -0.189 0.323  -0.167 0.468  -0.114 0.606  -0.047 0.740  0.053 0.852  0.099 0.983  0.201 1.031  0.351 1.031  0.461 0.935  0.568 0.828  0.658 0.711  0.725 0.576  0.793 0.442  0.860 0.308  0.897 0.166  0.956 0.040  1.062 -0.066  1.163 -0.174  1.181 -0.317  1.287 -0.423  1.297 -0.570  1.311 -0.714  1.418 -0.820  1.430 -0.965
3#app#app09#app0905/t  -0.071 1.589  -0.098 1.446  -0.267 1.446  -0.358 1.367  -0.311 1.208  -0.235 1.056  -0.215 0.891  -0.215 0.722  -0.215 0.552  -0.215 0.382  -0.215 0.212  -0.215 0.042  -0.153 -0.113  -0.077 -0.265  -0.071 -0.433  -0.071 -0.603  -0.042 -0.766  0.034 -0.918  0.072 -1.079  0.072 -1.248  0.134 -1.404  0.210 -1.556  0.118 -1.446  0.012 -1.313  -0.094 -1.180  -0.200 -1.048  -0.306 -0.915  -0.412 -0.783  -0.518 -0.650  -0.624 -0.517  -0.730 -0.385  -0.837 -0.252  -0.920 -0.121  -0.800 -0.001  -0.635 0.011  -0.476 0.036  -0.355 0.154  -0.185 0.154  -0.032 0.194  0.095 0.298  0.265 0.298  0.412 0.351  0.545 0.441  0.715 0.441  0.857 0.508  0.995 0.585  1.165 0.585  1.329 0.621  1.490 0.675  1.651 0.728
3#app#app09#app0905/e  -1.267 0.337  -1.307 0.218  -1.386 0.138  -1.266 0.099  -1.107 0.099  -0.948 0.099  -0.790 0.100  -0.678 0.213  -0.521 0.218  -0.370 0.250  -0.228 0.321  -0.086 0.392  0.056 0.463  0.198 0.534  0.340 0.605  0.482 0.676  0.601 0.779  0.746 0.812  0.754 0.963  0.754 1.122  0.642 1.169  0.528 1.062  0.381 1.034  0.269 0.921  0.158 0.808  0.087 0.666  0.001 0.535  -0.111 0.422  -0.223 0.310  -0.336 0.198  -0.435 0.080  -0.435 -0.079  -0.435 -0.237  -0.435 -0.396  -0.435 -0.555  -0.435 -0.714  -0.420 -0.866  -0.304 -0.971  -0.146 -0.971  -0.014 -1.035  0.123 -1.090  0.281 -1.090  0.440 -1.090  0.599 -1.090  0.757 -1.088  0.899 -1.017  1.041 -0.946  1.183 -0.875  1.325 -0.804  1.467 -0.733
3#app#app09#app0905/d  0.658 0.239  0.497 0.341  0.293 0.341  0.089 0.341  -0.108 0.315  -0.290 0.224  -0.471 0.131  -0.615 -0.013  -0.726 -0.181  -0.844 -0.344  -0.946 -0.519  -0.975 -0.715  -0.975 -0.919  -0.975 -1.123  -0.878 -1.286  -0.779 -1.394  -0.575 -1.394  -0.392 -1.306  -0.212 -1.243  -0.101 -1.075  0.001 -0.899  0.114 -0.730  0.148 -0.536  0.212 -0.348  0.250 -0.153  0.250 0.051  0.250 0.254  0.250 0.458  0.250 0.662  0.250 0.865  0.250 1.069  0.250 1.273  0.250 1.477  0.250 1.680  0.148 1.759  0.148 1.555  0.148 1.351  0.148 1.148  0.148 0.944  0.148 0.740  0.150 0.537  0.190 0.337  0.229 0.137  0.294 -0.054  0.405 -0.222  0.454 -0.405  0.514 -0.595  0.634 -0.757  0.734 -0.932  0.862 -1.088
3#app#app09#app0905/p  -0.825 1.638  -0.825 1.441  -0.721 1.288  -0.703 1.100  -0.617 0.939  -0.589 0.750  -0.502 0.574  -0.414 0.399  -0.409 0.204  -0.354 0.016  -0.305 -0.172  -0.296 -0.366  -0.234 -0.552  -0.201 -0.743  -0.182 -0.937  -0.134 -1.127  -0.097 -1.319  -0.097 -1.515  -0.097 -1.711  -0.097 -1.681  -0.097 -1.485  -0.144 -1.294  -0.192 -1.104  -0.201 -0.909  -0.201 -0.713  -0.201 -0.517  -0.201 -0.321  -0.201 -0.125  -0.201 0.072  -0.201 0.268  -0.168 0.456  -0.071 0.624  0.007 0.788  0.111 0.942  0.235 1.014  0.431 1.014  0.627 1.014  0.797 0.951  0.936 0.812  1.047 0.662  1.047 0.466  1.047 0.270  0.970 0.105  0.889 -0.026  0.705 -0.056  0.567 -0.194  0.387 -0.234  0.191 -0.234  -0.005 -0.234  -0.201 -0.234
3#app#app09#app0905/i  -0.636 0.278  -0.555 0.198  -0.475 0.117  -0.416 0.027  -0.416 -0.087  -0.416 -0.201  -0.385 -0.302  -0.307 -0.384  -0.307 -0.498  -0.307 -0.612  -0.307 -0.727  -0.307 -0.841  -0.307 -0.955  -0.307 -1.069  -0.307 -1.183  -0.307 -1.297  -0.307 -1.411  -0.293 -1.436  -0.258 -1.327  -0.223 -1.218  -0.188 -1.110  -0.153 -1.001  -0.119 -0.892  -0.084 -0.783  -0.049 -0.675  -0.014 -0.566  0.021 -0.457  0.055 -0.349  0.090 -0.240  0.125 -0.131  0.160 -0.022  0.195 0.086  0.229 0.195  0.264 0.304  0.299 0.412  0.334 0.521  0.369 0.630  0.403 0.739  0.438 0.847  0.473 0.956  0.508 1.065  0.543 1.174  0.573 1.283  0.553 1.377  0.446 1.394  0.365 1.475  0.353 1.584  0.353 1.698  0.247 1.707  0.353 1.707
3#app#app09#app0905/n  -0.655 0.856  -0.655 0.702  -0.655 0.547  -0.655 0.392  -0.655 0.238  -0.655 0.083  -0.655 -0.071  -0.655 -0.226  -0.655 -0.381  -0.655 -0.535  -0.583 -0.660  -0.511 -0.785  -0.511 -0.939  -0.511 -1.094  -0.511 -1.249  -0.511 -1.218  -0.511 -1.064  -0.511 -0.909  -0.511 -0.754  -0.511 -0.600  -0.511 -0.445  -0.511 -0.291  -0.511 -0.136  -0.511 0.019  -0.511 0.173  -0.476 0.313  -0.366 0.423  -0.362 0.576  -0.293 0.715  -0.223 0.853  -0.115 0.963  -0.006 1.072  0.119 1.145  0.255 1.102  0.365 0.992  0.474 0.883  0.583 0.774  0.645 0.645  0.700 0.513  0.802 0.398  0.871 0.260  0.944 0.124  1.053 0.015  1.162 -0.094  1.223 -0.224  1.279 -0.355  1.367 -0.473  1.367 -0.628  1.403 -0.768  1.512 -0.877
3#app#app09#app0905/k  -0.508 1.785  -0.508 1.595  -0.508 1.405  -0.508 1.215  -0.508 1.025  -0.508 0.834  -0.508 0.644  -0.508 0.454  -0.508 0.264  -0.508 0.074  -0.392 -0.068  -0.327 -0.246  -0.267 -0.427  -0.260 -0.616  -0.182 -0.774  -0.059 -0.723  0.058 -0.573  0.176 -0.424  0.293 -0.274  0.411 -0.124  0.529 0.025  0.646 0.175  0.764 0.324  0.881 0.474  0.999 0.623  1.116 0.773  1.222 0.917  1.039 0.884  0.869 0.799  0.699 0.714  0.546 0.606  0.381 0.545  0.240 0.424  0.071 0.338  -0.081 0.227  -0.215 0.093  -0.374 -0.009  -0.508 -0.116  -0.583 -0.275  -0.632 -0.445  -0.632 -0.635  -0.630 -0.825  -0.545 -0.995  -0.508 -1.176  -0.334 -1.193  -0.178 -1.275  -0.044 -1.409  0.118 -1.506  0.294 -1.565  0.485 -1.565
3#app#app09#app0905/y  -0.552 1.251  -0.552 1.143  -0.552 1.035  -0.552 0.927  -0.552 0.819  -0.552 0.711  -0.552 0.603  -0.518 0.529  -0.410 0.529  -0.302 0.529  -0.194 0.529  -0.086 0.529  -0.062 0.618  0.016 0.689  0.114 0.714  0.170 0.799  0.210 0.890  0.287 0.966  0.330 1.056  0.257 1.090  0.250 0.989  0.250 0.881  0.216 0.781  0.170 0.684  0.170 0.576  0.170 0.468  0.170 0.360  0.170 0.252  0.170 0.144  0.170 0.036  0.170 -0.072  0.170 -0.180  0.170 -0.288  0.170 -0.396  0.170 -0.505  0.170 -0.613  0.170 -0.721  0.170 -0.829  0.170 -0.937  0.170 -1.045  0.170 -1.153  0.170 -1.261  0.170 -1.369  0.170 -1.477  0.094 -1.553  0.080 -1.657  0.032 -1.754  -0.049 -1.799  -0.155 -1.795  -0.231 -1.719
