2#apb#apb08#app0897/A  -0.850 -0.286  -0.623 -0.244  -0.394 -0.218  -0.162 -0.218  0.069 -0.218  0.300 -0.218  0.529 -0.192  0.758 -0.159  0.985 -0.118  0.975 -0.057  0.758 0.021  0.540 0.099  0.323 0.177  0.105 0.255  -0.112 0.333  -0.330 0.411  -0.547 0.489  -0.765 0.568  -0.901 0.530  -0.901 0.299  -0.918 0.068  -0.935 -0.162  -0.935 -0.393  -0.935 -0.624  -0.938 -0.855  -0.965 -1.084  -1.017 -1.274  -0.958 -1.052  -0.883 -0.833  -0.824 -0.610  -0.764 -0.387  -0.696 -0.166  -0.628 0.055  -0.515 0.256  -0.399 0.456  -0.257 0.638  -0.095 0.798  0.102 0.918  0.302 1.034  0.522 1.063  0.723 0.958  0.925 0.845  1.051 0.654  1.145 0.443  1.220 0.225  1.280 0.002  1.347 -0.219  1.405 -0.442  1.449 -0.669  1.432 -0.899
2#apb#apb08#app0897/r  -0.926 0.015  -0.966 -0.024  -0.948 -0.112  -0.941 -0.202  -0.933 -0.292  -0.926 -0.381  -0.893 -0.465  -0.859 -0.548  -0.826 -0.632  -0.807 -0.720  -0.787 -0.808  -0.766 -0.895  -0.726 -0.967  -0.702 -0.916  -0.702 -0.826  -0.694 -0.736  -0.684 -0.647  -0.665 -0.560  -0.620 -0.482  -0.576 -0.404  -0.531 -0.326  -0.486 -0.248  -0.426 -0.182  -0.363 -0.118  -0.299 -0.054  -0.235 0.009  -0.172 0.073  -0.097 0.122  -0.018 0.165  0.060 0.209  0.139 0.253  0.217 0.297  0.296 0.340  0.376 0.382  0.455 0.424  0.535 0.466  0.614 0.509  0.694 0.551  0.779 0.578  0.866 0.600  0.954 0.621  1.041 0.643  1.129 0.661  1.219 0.661  1.309 0.661  1.399 0.661  1.489 0.661  1.579 0.661  1.669 0.661  1.759 0.661
2#apb#apb08#app0897/i  -0.081 1.560  -0.150 1.542  -0.192 1.547  -0.175 1.507  -0.170 1.436  -0.164 1.365  -0.159 1.294  -0.153 1.223  -0.148 1.152  -0.143 1.081  -0.137 1.011  -0.132 0.940  -0.127 0.869  -0.121 0.798  -0.116 0.727  -0.110 0.656  -0.105 0.585  -0.100 0.514  -0.094 0.444  -0.089 0.373  -0.084 0.302  -0.078 0.231  -0.073 0.160  -0.067 0.089  -0.062 0.018  -0.057 -0.053  -0.016 -0.096  0.012 -0.161  0.040 -0.227  0.042 -0.297  0.042 -0.368  0.042 -0.439  0.042 -0.511  0.044 -0.581  0.064 -0.650  0.083 -0.718  0.103 -0.786  0.122 -0.855  0.141 -0.923  0.152 -0.994  0.162 -1.064  0.173 -1.134  0.184 -1.204  0.193 -1.275  0.200 -1.346  0.207 -1.416  0.216 -1.486  0.248 -1.550  0.280 -1.614  0.312 -1.677
2#apb#apb08#app0897/z  -1.450 0.602  -1.395 0.681  -1.291 0.717  -1.184 0.741  -1.074 0.741  -0.964 0.741  -0.854 0.746  -0.744 0.761  -0.635 0.776  -0.525 0.787  -0.415 0.787  -0.305 0.787  -0.194 0.787  -0.085 0.774  0.025 0.760  0.128 0.723  0.170 0.635  0.138 0.529  0.080 0.438  0.009 0.354  -0.067 0.274  -0.155 0.208  -0.243 0.142  -0.318 0.063  -0.378 -0.030  -0.437 -0.123  -0.494 -0.217  -0.513 -0.319  -0.495 -0.428  -0.421 -0.503  -0.332 -0.569  -0.230 -0.603  -0.122 -0.624  -0.013 -0.645  0.097 -0.651  0.207 -0.651  0.317 -0.651  0.428 -0.651  0.538 -0.651  0.648 -0.651  0.759 -0.651  0.869 -0.651  0.979 -0.656  1.090 -0.661  1.200 -0.666  1.310 -0.666  1.420 -0.666  1.531 -0.664  1.641 -0.657  1.751 -0.651
2#apb#apb08#app0897/o  0.000 0.581  -0.116 0.641  -0.249 0.641  -0.382 0.635  -0.512 0.609  -0.642 0.583  -0.756 0.515  -0.867 0.443  -0.966 0.356  -1.048 0.251  -1.130 0.147  -1.158 0.020  -1.173 -0.112  -1.170 -0.242  -1.116 -0.363  -1.062 -0.485  -0.987 -0.588  -0.873 -0.655  -0.758 -0.723  -0.644 -0.790  -0.519 -0.824  -0.387 -0.828  -0.254 -0.833  -0.121 -0.838  0.012 -0.834  0.143 -0.815  0.275 -0.796  0.407 -0.777  0.535 -0.749  0.649 -0.681  0.763 -0.612  0.877 -0.544  0.971 -0.452  1.058 -0.351  1.144 -0.250  1.154 -0.118  1.162 0.015  1.138 0.141  1.076 0.258  1.015 0.376  0.953 0.494  0.851 0.578  0.746 0.660  0.641 0.742  0.528 0.810  0.408 0.867  0.288 0.924  0.163 0.967  0.032 0.992  -0.098 1.016
2#apb#apb08#app0897/n  -0.941 0.384  -0.970 0.281  -0.976 0.174  -0.976 0.067  -0.976 -0.041  -0.976 -0.148  -0.976 -0.256  -0.976 -0.363  -0.976 -0.471  -0.976 -0.578  -0.960 -0.684  -0.932 -0.788  -0.879 -0.876  -0.854 -0.779  -0.812 -0.680  -0.771 -0.581  -0.737 -0.479  -0.703 -0.376  -0.666 -0.276  -0.611 -0.183  -0.557 -0.091  -0.502 0.002  -0.447 0.094  -0.370 0.170  -0.292 0.243  -0.214 0.317  -0.136 0.391  -0.042 0.443  0.054 0.491  0.150 0.539  0.247 0.585  0.350 0.615  0.454 0.645  0.558 0.665  0.664 0.651  0.771 0.637  0.865 0.589  0.954 0.530  1.035 0.461  1.099 0.375  1.164 0.289  1.211 0.192  1.256 0.095  1.289 -0.007  1.308 -0.113  1.328 -0.219  1.348 -0.324  1.367 -0.430  1.367 -0.538  1.367 -0.645
2#apb#apb08#app0897/a  0.462 0.089  0.518 0.220  0.526 0.362  0.512 0.502  0.471 0.639  0.389 0.755  0.296 0.862  0.201 0.969  0.067 0.997  -0.076 1.007  -0.217 0.992  -0.358 0.967  -0.498 0.938  -0.630 0.884  -0.762 0.829  -0.879 0.754  -0.971 0.645  -1.064 0.536  -1.115 0.404  -1.158 0.268  -1.181 0.130  -1.163 -0.012  -1.146 -0.154  -1.071 -0.274  -0.989 -0.391  -0.885 -0.484  -0.761 -0.555  -0.635 -0.621  -0.495 -0.651  -0.356 -0.681  -0.215 -0.657  -0.082 -0.614  0.034 -0.530  0.146 -0.442  0.247 -0.341  0.329 -0.226  0.398 -0.100  0.446 0.033  0.496 0.011  0.555 -0.119  0.619 -0.247  0.687 -0.373  0.780 -0.481  0.873 -0.590  0.973 -0.690  1.089 -0.774  1.204 -0.859  1.329 -0.924  1.463 -0.974  1.597 -1.025
2#apb#apb08#app0897/C  0.691 0.417  0.684 0.526  0.678 0.635  0.635 0.735  0.576 0.824  0.496 0.898  0.413 0.967  0.310 1.005  0.208 1.042  0.103 1.052  -0.005 1.038  -0.113 1.024  -0.217 0.993  -0.316 0.948  -0.415 0.903  -0.504 0.843  -0.581 0.766  -0.658 0.689  -0.729 0.607  -0.774 0.508  -0.820 0.409  -0.865 0.310  -0.877 0.203  -0.881 0.094  -0.885 -0.015  -0.871 -0.120  -0.822 -0.217  -0.773 -0.315  -0.725 -0.412  -0.647 -0.487  -0.566 -0.560  -0.485 -0.633  -0.396 -0.695  -0.299 -0.744  -0.201 -0.793  -0.104 -0.841  0.001 -0.866  0.109 -0.882  0.217 -0.898  0.325 -0.909  0.434 -0.905  0.543 -0.901  0.652 -0.897  0.757 -0.872  0.862 -0.840  0.966 -0.808  1.069 -0.772  1.171 -0.734  1.268 -0.687  1.362 -0.631
2#apb#apb08#app0897/a  0.606 0.198  0.553 0.356  0.481 0.505  0.402 0.651  0.251 0.721  0.099 0.790  -0.060 0.839  -0.220 0.885  -0.382 0.920  -0.540 0.925  -0.685 0.844  -0.830 0.762  -0.947 0.647  -1.055 0.520  -1.145 0.382  -1.213 0.230  -1.280 0.078  -1.283 -0.084  -1.265 -0.250  -1.231 -0.410  -1.156 -0.559  -1.071 -0.697  -0.922 -0.771  -0.773 -0.845  -0.617 -0.889  -0.451 -0.889  -0.286 -0.883  -0.133 -0.817  0.019 -0.750  0.120 -0.619  0.222 -0.487  0.310 -0.346  0.394 -0.202  0.475 -0.057  0.525 0.101  0.574 0.260  0.608 0.423  0.639 0.586  0.701 0.701  0.738 0.539  0.771 0.376  0.795 0.211  0.818 0.047  0.854 -0.115  0.906 -0.273  0.959 -0.431  1.040 -0.575  1.127 -0.717  1.227 -0.850  1.331 -0.980
2#apb#apb08#app0897/l  -0.537 1.511  -0.496 1.531  -0.442 1.488  -0.397 1.435  -0.357 1.377  -0.317 1.320  -0.278 1.262  -0.247 1.201  -0.229 1.133  -0.211 1.065  -0.194 0.998  -0.176 0.930  -0.158 0.863  -0.141 0.795  -0.126 0.727  -0.111 0.658  -0.096 0.590  -0.081 0.522  -0.067 0.453  -0.052 0.385  -0.037 0.317  -0.023 0.248  -0.008 0.180  0.006 0.111  0.020 0.043  0.038 -0.025  0.059 -0.092  0.080 -0.158  0.101 -0.225  0.122 -0.292  0.143 -0.358  0.153 -0.427  0.163 -0.497  0.174 -0.566  0.184 -0.635  0.194 -0.704  0.201 -0.773  0.205 -0.843  0.209 -0.913  0.214 -0.983  0.218 -1.053  0.223 -1.122  0.228 -1.192  0.234 -1.262  0.242 -1.331  0.253 -1.400  0.265 -1.469  0.276 -1.538  0.285 -1.608  0.293 -1.677
2#apb#apb08#app0897/i  -0.155 1.267  -0.196 1.327  -0.245 1.380  -0.235 1.424  -0.173 1.461  -0.154 1.420  -0.151 1.348  -0.149 1.275  -0.146 1.203  -0.144 1.131  -0.141 1.058  -0.139 0.986  -0.136 0.914  -0.134 0.841  -0.131 0.769  -0.129 0.696  -0.126 0.624  -0.124 0.552  -0.121 0.479  -0.119 0.407  -0.116 0.334  -0.114 0.262  -0.111 0.190  -0.098 0.119  -0.073 0.051  -0.046 -0.016  -0.019 -0.083  0.005 -0.151  0.017 -0.223  0.028 -0.294  0.039 -0.366  0.050 -0.437  0.062 -0.509  0.074 -0.580  0.094 -0.650  0.115 -0.719  0.135 -0.789  0.156 -0.858  0.176 -0.928  0.190 -0.998  0.198 -1.070  0.207 -1.142  0.215 -1.214  0.224 -1.286  0.233 -1.358  0.248 -1.429  0.262 -1.500  0.276 -1.571  0.299 -1.640  0.322 -1.708
