2#app#app13#app1315/A  0.191 1.408  0.073 1.262  -0.046 1.046  -0.153 0.826  -0.257 0.604  -0.360 0.383  -0.520 0.185  -0.602 -0.060  -0.768 -0.263  -0.876 -0.483  -0.994 -0.698  -1.113 -0.914  -1.231 -1.129  -1.178 -1.265  -1.075 -1.044  -0.888 -0.857  -0.765 -0.623  -0.595 -0.423  -0.448 -0.203  -0.321 0.028  -0.203 0.265  -0.121 0.503  0.066 0.690  0.169 0.911  0.295 1.142  0.390 1.370  0.520 1.526  0.665 1.406  0.665 1.142  0.665 0.877  0.575 0.634  0.547 0.376  0.547 0.112  0.547 -0.153  0.547 -0.417  0.547 -0.682  0.547 -0.946  0.547 -1.211  0.692 -1.291  0.694 -1.099  0.518 -0.901  0.342 -0.704  0.167 -0.506  -0.009 -0.308  -0.165 -0.103  0.012 -0.015  0.158 -0.133  0.422 -0.133  0.680 -0.118  0.902 -0.015
2#app#app13#app1315/c  0.537 1.355  0.426 1.355  0.314 1.355  0.203 1.355  0.111 1.335  0.111 1.223  0.090 1.121  0.011 1.042  -0.068 0.963  -0.165 0.929  -0.277 0.929  -0.315 0.855  -0.315 0.744  -0.374 0.657  -0.453 0.578  -0.532 0.499  -0.610 0.420  -0.689 0.341  -0.741 0.251  -0.741 0.140  -0.741 0.028  -0.741 -0.084  -0.741 -0.195  -0.741 -0.307  -0.741 -0.418  -0.741 -0.530  -0.741 -0.641  -0.741 -0.753  -0.652 -0.775  -0.540 -0.775  -0.429 -0.775  -0.317 -0.775  -0.205 -0.775  -0.094 -0.775  0.018 -0.775  0.129 -0.775  0.241 -0.775  0.352 -0.775  0.464 -0.775  0.575 -0.775  0.687 -0.775  0.751 -0.727  0.751 -0.616  0.809 -0.562  0.920 -0.562  1.012 -0.514  1.091 -0.435  1.169 -0.356  1.278 -0.349  1.390 -0.349
2#app#app13#app1315/q  -0.035 1.529  -0.109 1.680  -0.291 1.576  -0.343 1.372  -0.502 1.213  -0.640 1.045  -0.640 0.820  -0.659 0.603  -0.792 0.433  -0.713 0.240  -0.518 0.168  -0.306 0.200  -0.147 0.359  -0.035 0.538  0.106 0.621  0.180 0.773  0.267 0.910  0.267 0.712  0.267 0.487  0.227 0.279  0.116 0.100  0.116 -0.125  -0.035 -0.288  -0.069 -0.505  -0.170 -0.706  -0.203 -0.923  -0.304 -1.125  -0.443 -1.298  -0.489 -1.504  -0.489 -1.729  -0.333 -1.798  -0.151 -1.728  -0.051 -1.527  0.099 -1.361  0.258 -1.202  0.418 -1.043  0.418 -0.818  0.522 -0.636  0.569 -0.430  0.569 -0.205  0.569 0.020  0.569 0.245  0.463 0.426  0.408 0.621  0.182 0.621  0.123 0.470  0.267 0.389  0.271 0.168  0.496 0.168  0.721 0.168
2#app#app13#app1315/u  -0.869 0.705  -0.869 0.604  -0.869 0.503  -0.869 0.402  -0.869 0.301  -0.869 0.200  -0.869 0.099  -0.869 -0.002  -0.869 -0.103  -0.869 -0.204  -0.869 -0.305  -0.869 -0.406  -0.869 -0.508  -0.869 -0.609  -0.869 -0.710  -0.869 -0.811  -0.793 -0.836  -0.692 -0.836  -0.591 -0.836  -0.490 -0.836  -0.389 -0.836  -0.288 -0.836  -0.193 -0.822  -0.121 -0.750  -0.050 -0.679  0.021 -0.607  0.093 -0.536  0.164 -0.464  0.236 -0.393  0.307 -0.321  0.379 -0.250  0.450 -0.178  0.522 -0.107  0.593 -0.035  0.665 0.036  0.673 0.134  0.673 0.235  0.723 0.315  0.795 0.386  0.866 0.458  0.893 0.548  0.893 0.649  0.925 0.737  0.996 0.808  1.068 0.880  1.114 0.962  1.114 1.063  1.114 1.164  1.114 1.265  1.114 1.366
2#app#app13#app1315/i  -0.159 -0.234  -0.159 -0.341  -0.159 -0.449  -0.159 -0.556  -0.159 -0.664  -0.159 -0.771  -0.096 -0.852  -0.020 -0.928  0.027 -1.016  0.027 -1.124  0.027 -1.231  0.027 -1.339  0.027 -1.446  0.027 -1.507  0.027 -1.400  0.027 -1.293  0.027 -1.185  0.027 -1.078  0.027 -0.970  0.027 -0.863  0.027 -0.756  0.027 -0.648  0.027 -0.541  0.027 -0.433  0.027 -0.326  0.027 -0.219  0.027 -0.111  0.027 -0.004  0.027 0.103  0.027 0.211  0.027 0.318  0.027 0.426  0.027 0.533  0.027 0.640  0.027 0.748  0.027 0.855  0.027 0.963  0.027 1.070  0.027 1.177  0.027 1.285  0.027 1.392  0.027 1.366  0.027 1.258  0.027 1.344  0.008 1.433  -0.099 1.433  -0.110 1.433  -0.003 1.433  0.104 1.433  0.212 1.433
2#app#app13#app1315/r  -0.545 0.314  -0.545 0.190  -0.545 0.066  -0.434 0.052  -0.310 0.052  -0.283 -0.045  -0.283 -0.170  -0.283 -0.294  -0.283 -0.418  -0.283 -0.543  -0.283 -0.667  -0.283 -0.791  -0.283 -0.916  -0.283 -1.040  -0.283 -1.164  -0.283 -1.289  -0.283 -1.413  -0.283 -1.504  -0.283 -1.380  -0.283 -1.255  -0.283 -1.131  -0.283 -1.007  -0.283 -0.882  -0.283 -0.758  -0.283 -0.634  -0.283 -0.509  -0.283 -0.385  -0.283 -0.261  -0.230 -0.158  -0.142 -0.070  -0.055 0.018  -0.020 0.128  -0.020 0.253  0.024 0.359  0.112 0.447  0.200 0.534  0.242 0.641  0.242 0.766  0.278 0.875  0.366 0.963  0.454 1.051  0.504 1.155  0.504 1.279  0.544 1.363  0.669 1.363  0.793 1.363  0.917 1.363  1.042 1.363  1.166 1.363  1.290 1.363
2#app#app13#app1315/e  -1.204 -0.338  -1.034 -0.338  -0.864 -0.338  -0.695 -0.338  -0.525 -0.338  -0.355 -0.338  -0.185 -0.338  -0.015 -0.338  0.154 -0.338  0.324 -0.338  0.464 -0.265  0.584 -0.145  0.704 -0.025  0.824 0.095  0.922 0.225  0.922 0.394  0.922 0.564  0.922 0.734  0.922 0.904  0.839 0.991  0.670 0.991  0.656 1.147  0.596 1.257  0.426 1.257  0.256 1.257  0.125 1.218  0.125 1.048  0.013 0.991  -0.153 0.979  -0.273 0.859  -0.393 0.739  -0.474 0.591  -0.550 0.439  -0.626 0.287  -0.673 0.129  -0.673 -0.041  -0.673 -0.211  -0.673 -0.381  -0.673 -0.551  -0.673 -0.720  -0.652 -0.869  -0.482 -0.869  -0.340 -0.936  -0.220 -1.056  -0.083 -1.135  0.087 -1.135  0.218 -1.229  0.338 -1.349  0.486 -1.401  0.656 -1.401
2#app#app13#app1315/2  -0.991 0.963  -0.991 0.854  -0.945 0.963  -0.790 0.963  -0.726 1.055  -0.612 1.096  -0.496 1.193  -0.386 1.302  -0.255 1.361  -0.100 1.361  0.055 1.361  0.077 1.224  0.216 1.155  0.335 1.073  0.335 0.917  0.335 0.762  0.399 0.634  0.467 0.506  0.467 0.351  0.467 0.196  0.467 0.040  0.459 -0.113  0.389 -0.252  0.335 -0.394  0.310 -0.544  0.240 -0.683  0.153 -0.809  0.069 -0.930  0.027 -1.067  -0.083 -1.177  -0.193 -1.287  -0.303 -1.397  -0.413 -1.338  -0.461 -1.202  -0.461 -1.047  -0.461 -0.892  -0.461 -0.736  -0.461 -0.581  -0.392 -0.494  -0.328 -0.403  -0.213 -0.362  -0.058 -0.362  0.097 -0.362  0.253 -0.362  0.408 -0.362  0.563 -0.362  0.719 -0.362  0.832 -0.462  0.974 -0.494  1.130 -0.494
2#app#app13#app1315/%  -0.670 0.984  -0.802 0.772  -0.933 0.560  -0.933 0.294  -0.814 0.077  -0.587 0.148  -0.492 0.375  -0.408 0.606  -0.408 0.873  -0.562 0.984  -0.660 0.828  -0.553 0.584  -0.446 0.340  -0.339 0.096  -0.232 -0.148  -0.126 -0.392  -0.019 -0.636  0.088 -0.880  0.195 -1.124  0.120 -1.249  0.118 -1.514  0.249 -1.638  0.387 -1.505  0.575 -1.317  0.643 -1.079  0.601 -0.855  0.381 -0.901  0.399 -0.806  0.425 -0.541  0.452 -0.276  0.478 -0.011  0.505 0.254  0.531 0.519  0.558 0.784  0.584 1.049  0.611 1.314  0.637 1.579  0.592 1.458  0.512 1.225  0.381 1.090  0.267 0.871  0.249 0.612  0.169 0.379  -0.013 0.188  -0.022 -0.075  -0.174 -0.286  -0.258 -0.538  -0.311 -0.793  -0.408 -1.037  -0.539 -1.249
2#app#app13#app1315/M  -0.794 0.512  -0.916 0.374  -0.794 0.207  -0.794 -0.083  -0.794 -0.373  -0.848 -0.641  -0.932 -0.896  -0.932 -1.186  -0.932 -1.071  -0.794 -0.919  -0.752 -0.639  -0.657 -0.371  -0.520 -0.138  -0.520 0.152  -0.382 0.385  -0.310 0.657  -0.239 0.930  -0.108 1.165  -0.108 1.455  0.030 1.533  0.030 1.243  -0.047 0.985  -0.108 0.720  -0.108 0.430  -0.108 0.140  -0.108 -0.150  -0.108 -0.440  -0.108 -0.730  -0.108 -1.020  -0.072 -0.999  0.030 -0.811  0.121 -0.542  0.202 -0.278  0.304 -0.030  0.417 0.213  0.525 0.458  0.579 0.726  0.671 0.924  0.716 1.168  0.839 1.061  0.854 0.786  0.854 0.496  0.854 0.206  0.854 -0.084  0.854 -0.374  0.854 -0.663  0.854 -0.953  0.854 -1.243  0.854 -1.289  0.854 -0.999
2#app#app13#app1315/I  0.153 1.748  0.153 1.672  0.153 1.596  0.153 1.520  0.153 1.444  0.153 1.368  0.153 1.292  0.153 1.216  0.147 1.143  0.093 1.089  0.040 1.035  0.003 0.975  0.003 0.899  0.003 0.823  0.003 0.747  0.003 0.671  0.003 0.595  0.003 0.519  0.003 0.443  0.003 0.367  0.003 0.291  0.003 0.215  0.003 0.139  0.003 0.063  0.003 -0.013  0.003 -0.089  0.003 -0.165  0.003 -0.241  0.003 -0.317  0.003 -0.393  0.003 -0.469  -0.028 -0.532  -0.082 -0.586  -0.136 -0.640  -0.147 -0.711  -0.147 -0.787  -0.147 -0.863  -0.147 -0.939  -0.147 -1.015  -0.147 -1.091  -0.147 -1.167  -0.147 -1.243  -0.147 -1.319  -0.147 -1.395  -0.077 -1.401  -0.001 -1.401  0.003 -1.329  0.003 -1.253  0.077 -1.251  0.153 -1.251
