1c#app#app18#app1854/v  -0.767 0.576  -0.767 0.719  -0.767 0.863  -0.812 0.961  -0.956 0.961  -1.099 0.961  -1.089 0.898  -0.988 0.796  -0.886 0.694  -0.784 0.593  -0.767 0.456  -0.767 0.313  -0.746 0.190  -0.603 0.190  -0.459 0.190  -0.381 0.124  -0.381 -0.020  -0.381 -0.163  -0.381 -0.307  -0.381 -0.450  -0.369 -0.582  -0.225 -0.582  -0.082 -0.582  0.005 -0.639  0.005 -0.783  0.005 -0.926  0.077 -1.040  0.179 -1.142  0.280 -1.243  0.382 -1.345  0.390 -1.222  0.390 -1.078  0.414 -0.944  0.515 -0.843  0.617 -0.741  0.718 -0.640  0.776 -0.520  0.776 -0.376  0.776 -0.233  0.776 -0.089  0.776 0.054  0.776 0.198  0.776 0.342  0.776 0.485  0.776 0.629  0.776 0.773  0.776 0.916  0.776 1.060  0.776 1.203  0.776 1.347
1c#app#app18#app1854/e  -0.477 0.282  -0.477 0.111  -0.467 -0.050  -0.296 -0.050  -0.131 -0.036  -0.010 0.085  0.110 0.206  0.250 0.282  0.421 0.282  0.518 0.355  0.518 0.526  0.518 0.697  0.518 0.868  0.518 1.039  0.518 1.210  0.414 1.277  0.243 1.277  0.106 1.197  -0.015 1.076  -0.136 0.955  -0.303 0.945  -0.474 0.945  -0.477 0.778  -0.484 0.614  -0.655 0.614  -0.809 0.597  -0.809 0.426  -0.809 0.255  -0.809 0.084  -0.809 -0.087  -0.809 -0.258  -0.809 -0.429  -0.809 -0.600  -0.752 -0.714  -0.581 -0.714  -0.410 -0.714  -0.239 -0.714  -0.145 -0.791  -0.145 -0.962  -0.058 -1.045  0.113 -1.045  0.284 -1.045  0.454 -1.045  0.625 -1.045  0.796 -1.045  0.967 -1.045  1.138 -1.045  1.272 -0.955  1.393 -0.834  1.513 -0.714
1c#app#app18#app1854/r  -0.525 0.476  -0.525 0.341  -0.525 0.206  -0.415 0.181  -0.280 0.181  -0.230 0.096  -0.230 -0.039  -0.230 -0.174  -0.230 -0.309  -0.230 -0.444  -0.230 -0.579  -0.230 -0.714  -0.230 -0.849  -0.230 -0.984  -0.230 -1.119  -0.230 -1.254  -0.230 -1.389  -0.230 -1.523  -0.230 -1.520  -0.230 -1.386  -0.230 -1.251  -0.230 -1.116  -0.230 -0.981  -0.230 -0.846  -0.230 -0.711  -0.230 -0.576  -0.230 -0.441  -0.230 -0.306  -0.230 -0.171  -0.230 -0.036  -0.230 0.099  -0.230 0.234  -0.230 0.369  -0.230 0.504  -0.230 0.639  -0.228 0.773  -0.133 0.868  -0.037 0.964  0.058 1.059  0.190 1.066  0.325 1.066  0.460 1.066  0.595 1.066  0.730 1.066  0.865 1.066  1.000 1.066  1.135 1.066  1.270 1.066  1.405 1.066  1.540 1.066
1c#app#app18#app1854/h  -0.792 1.417  -0.792 1.264  -0.792 1.111  -0.792 0.958  -0.792 0.805  -0.792 0.652  -0.792 0.499  -0.786 0.349  -0.677 0.240  -0.569 0.132  -0.527 -0.003  -0.527 -0.156  -0.527 -0.309  -0.527 -0.462  -0.527 -0.615  -0.527 -0.768  -0.527 -0.921  -0.527 -0.870  -0.527 -0.717  -0.527 -0.564  -0.527 -0.411  -0.527 -0.258  -0.527 -0.105  -0.527 0.048  -0.527 0.201  -0.527 0.354  -0.419 0.462  -0.311 0.571  -0.179 0.621  -0.026 0.621  0.127 0.621  0.280 0.621  0.433 0.621  0.535 0.570  0.535 0.417  0.627 0.355  0.780 0.355  0.894 0.262  1.002 0.154  1.066 0.027  1.066 -0.126  1.066 -0.279  1.066 -0.432  1.066 -0.585  1.066 -0.738  1.066 -0.891  1.066 -1.044  1.066 -1.197  1.066 -1.350  1.066 -1.503
1c#app#app18#app1854/e  -0.860 0.556  -0.752 0.448  -0.643 0.340  -0.496 0.325  -0.343 0.325  -0.190 0.325  -0.037 0.325  0.101 0.362  0.209 0.470  0.327 0.556  0.480 0.556  0.526 0.663  0.505 0.808  0.397 0.916  0.286 1.018  0.133 1.018  -0.020 1.018  -0.172 1.013  -0.280 0.905  -0.388 0.797  -0.537 0.787  -0.629 0.726  -0.629 0.573  -0.726 0.460  -0.834 0.351  -0.860 0.209  -0.860 0.056  -0.860 -0.097  -0.860 -0.250  -0.860 -0.403  -0.860 -0.556  -0.749 -0.598  -0.605 -0.622  -0.497 -0.730  -0.385 -0.829  -0.232 -0.829  -0.079 -0.829  0.074 -0.829  0.227 -0.829  0.380 -0.829  0.533 -0.829  0.686 -0.829  0.839 -0.829  0.992 -0.829  1.146 -0.829  1.299 -0.829  1.449 -0.827  1.449 -0.674  1.527 -0.598  1.680 -0.598
1c#app#app18#app1854/a  -0.076 0.486  -0.076 0.662  -0.157 0.756  -0.333 0.756  -0.508 0.756  -0.684 0.756  -0.860 0.756  -0.887 0.609  -0.940 0.486  -1.116 0.486  -1.158 0.352  -1.158 0.177  -1.158 0.001  -1.158 -0.175  -1.158 -0.350  -1.158 -0.526  -1.051 -0.595  -0.876 -0.595  -0.700 -0.595  -0.525 -0.595  -0.349 -0.595  -0.224 -0.473  -0.100 -0.349  -0.076 -0.183  -0.076 -0.007  -0.076 0.168  -0.076 0.344  -0.076 0.520  -0.076 0.695  -0.076 0.642  -0.057 0.486  0.119 0.486  0.194 0.386  0.194 0.210  0.194 0.034  0.281 -0.055  0.456 -0.055  0.464 -0.222  0.537 -0.325  0.713 -0.325  0.735 -0.478  0.794 -0.595  0.969 -0.595  1.145 -0.595  1.320 -0.595  1.496 -0.595  1.635 -0.506  1.759 -0.382  1.911 -0.325  2.086 -0.325
1c#app#app18#app1854/z  -0.950 0.795  -0.950 0.933  -0.950 1.071  -0.813 1.072  -0.675 1.072  -0.537 1.072  -0.400 1.072  -0.262 1.072  -0.124 1.072  0.013 1.072  0.151 1.072  0.289 1.072  0.426 1.072  0.432 0.940  0.432 0.802  0.339 0.703  0.242 0.605  0.156 0.503  0.156 0.366  0.141 0.243  0.004 0.243  -0.121 0.229  -0.121 0.091  -0.133 -0.034  -0.271 -0.034  -0.397 -0.045  -0.397 -0.183  -0.397 -0.321  -0.397 -0.458  -0.407 -0.586  -0.544 -0.586  -0.673 -0.595  -0.673 -0.733  -0.665 -0.863  -0.528 -0.863  -0.390 -0.863  -0.252 -0.863  -0.115 -0.863  0.023 -0.863  0.161 -0.863  0.298 -0.863  0.436 -0.863  0.574 -0.863  0.711 -0.863  0.849 -0.863  0.987 -0.863  1.124 -0.863  1.262 -0.863  1.400 -0.863  1.537 -0.863
1c#app#app18#app1854/y  -0.843 1.298  -0.843 1.109  -0.843 0.920  -0.725 0.850  -0.619 0.766  -0.585 0.592  -0.452 0.458  -0.395 0.293  -0.322 0.177  -0.171 0.139  -0.169 -0.049  -0.035 -0.182  0.117 -0.271  0.277 -0.299  0.277 -0.488  0.277 -0.677  0.309 -0.576  0.350 -0.392  0.391 -0.207  0.432 -0.023  0.473 0.161  0.514 0.346  0.555 0.530  0.596 0.714  0.637 0.899  0.678 1.083  0.719 1.267  0.568 1.298  0.501 1.175  0.501 0.986  0.449 0.850  0.277 0.833  0.277 0.644  0.277 0.455  0.277 0.266  0.207 0.107  0.073 -0.027  0.053 -0.207  0.053 -0.396  -0.011 -0.559  -0.144 -0.692  -0.171 -0.870  -0.253 -1.025  -0.386 -1.159  -0.395 -1.344  -0.395 -1.533  -0.501 -1.616  -0.619 -1.686  -0.619 -1.875  -0.619 -2.064
1c#app#app18#app1854/l  -0.185 1.248  -0.185 1.321  -0.185 1.395  -0.185 1.469  -0.185 1.454  -0.185 1.380  -0.185 1.307  -0.185 1.233  -0.185 1.160  -0.185 1.086  -0.185 1.012  -0.143 0.956  -0.091 0.904  -0.039 0.852  0.013 0.800  0.065 0.748  0.065 0.675  0.065 0.601  0.065 0.528  0.065 0.454  0.065 0.380  0.065 0.307  0.065 0.233  0.065 0.160  0.065 0.086  0.065 0.013  0.065 -0.061  0.065 -0.134  0.065 -0.208  0.065 -0.282  0.065 -0.355  0.065 -0.429  0.065 -0.502  0.065 -0.576  0.065 -0.649  0.065 -0.723  0.065 -0.796  0.065 -0.870  0.065 -0.944  0.065 -1.017  0.065 -1.091  0.065 -1.164  0.065 -1.238  0.065 -1.311  0.065 -1.385  0.065 -1.458  0.065 -1.532  0.065 -1.606  0.065 -1.679  0.065 -1.753
1c#app#app18#app1854/a  -0.034 0.312  -0.034 0.476  -0.034 0.640  -0.060 0.779  -0.224 0.779  -0.388 0.779  -0.552 0.779  -0.716 0.779  -0.880 0.779  -0.966 0.701  -0.975 0.545  -1.139 0.545  -1.200 0.442  -1.200 0.277  -1.200 0.113  -1.200 -0.051  -1.157 -0.197  -1.041 -0.313  -0.907 -0.387  -0.743 -0.387  -0.579 -0.387  -0.415 -0.387  -0.256 -0.376  -0.140 -0.260  -0.034 -0.140  -0.034 0.024  0.044 0.156  0.160 0.273  0.199 0.420  0.160 0.545  -0.004 0.545  0.100 0.545  0.199 0.480  0.199 0.316  0.199 0.152  0.199 -0.012  0.215 -0.170  0.331 -0.286  0.447 -0.402  0.563 -0.518  0.679 -0.634  0.795 -0.750  0.916 -0.854  1.080 -0.854  1.244 -0.854  1.408 -0.854  1.572 -0.854  1.736 -0.854  1.832 -0.785  1.832 -0.620
1c#app#app18#app1854/c  1.108 0.625  0.989 0.625  0.869 0.625  0.840 0.715  0.840 0.835  0.779 0.893  0.659 0.893  0.539 0.893  0.419 0.893  0.300 0.893  0.180 0.893  0.060 0.893  -0.059 0.893  -0.179 0.893  -0.299 0.893  -0.419 0.893  -0.504 0.859  -0.504 0.739  -0.509 0.625  -0.629 0.625  -0.748 0.625  -0.773 0.529  -0.773 0.409  -0.773 0.290  -0.773 0.170  -0.773 0.050  -0.773 -0.069  -0.773 -0.189  -0.773 -0.309  -0.773 -0.428  -0.703 -0.519  -0.619 -0.604  -0.534 -0.689  -0.427 -0.719  -0.307 -0.719  -0.235 -0.767  -0.235 -0.886  -0.217 -0.988  -0.097 -0.988  0.023 -0.988  0.142 -0.988  0.262 -0.988  0.382 -0.988  0.501 -0.988  0.621 -0.988  0.741 -0.988  0.854 -0.973  0.939 -0.888  1.024 -0.804  1.108 -0.719
