3#apb#apb16#app1618/a  0.426 0.538  0.397 0.572  0.473 0.724  0.518 0.887  0.531 1.056  0.520 1.213  0.383 1.301  0.220 1.260  0.053 1.229  -0.112 1.188  -0.243 1.082  -0.370 0.969  -0.476 0.836  -0.572 0.696  -0.669 0.556  -0.767 0.417  -0.864 0.277  -0.943 0.127  -1.012 -0.028  -1.047 -0.194  -1.078 -0.362  -1.166 -0.491  -1.082 -0.639  -0.943 -0.690  -0.776 -0.660  -0.609 -0.626  -0.455 -0.555  -0.300 -0.484  -0.159 -0.392  -0.033 -0.278  0.093 -0.164  0.214 -0.043  0.334 0.077  0.450 0.202  0.560 0.331  0.610 0.464  0.610 0.293  0.571 0.131  0.507 -0.027  0.454 -0.189  0.405 -0.352  0.395 -0.520  0.395 -0.690  0.429 -0.853  0.505 -1.005  0.563 -1.163  0.596 -1.330  0.690 -1.458  0.829 -1.557  0.949 -1.678
3#apb#apb16#app1618/b  -0.081 1.776  -0.110 1.904  -0.018 1.908  0.002 1.773  -0.070 1.647  -0.104 1.507  -0.130 1.364  -0.156 1.222  -0.173 1.078  -0.190 0.934  -0.210 0.790  -0.243 0.649  -0.277 0.508  -0.310 0.367  -0.345 0.227  -0.381 0.086  -0.416 -0.055  -0.424 -0.199  -0.424 -0.344  -0.456 -0.485  -0.506 -0.620  -0.499 -0.703  -0.467 -0.584  -0.370 -0.477  -0.267 -0.374  -0.155 -0.283  -0.038 -0.197  0.075 -0.107  0.188 -0.016  0.320 0.044  0.452 0.104  0.595 0.124  0.731 0.094  0.825 -0.013  0.843 -0.156  0.824 -0.294  0.770 -0.427  0.741 -0.569  0.685 -0.700  0.608 -0.823  0.506 -0.926  0.385 -1.000  0.249 -1.049  0.114 -1.103  -0.021 -1.152  -0.164 -1.181  -0.302 -1.166  -0.438 -1.115  -0.572 -1.067  -0.596 -0.924
3#apb#apb16#app1618/c  0.944 1.149  0.911 1.097  0.874 1.172  0.810 1.214  0.724 1.214  0.640 1.196  0.556 1.182  0.473 1.172  0.403 1.122  0.332 1.072  0.262 1.022  0.197 0.965  0.133 0.908  0.069 0.850  0.004 0.793  -0.053 0.730  -0.097 0.656  -0.141 0.582  -0.186 0.508  -0.230 0.434  -0.279 0.363  -0.329 0.292  -0.378 0.222  -0.428 0.151  -0.465 0.076  -0.478 -0.009  -0.491 -0.095  -0.504 -0.180  -0.517 -0.265  -0.532 -0.350  -0.549 -0.435  -0.566 -0.519  -0.583 -0.604  -0.567 -0.681  -0.518 -0.752  -0.468 -0.823  -0.419 -0.893  -0.369 -0.964  -0.295 -1.005  -0.217 -1.041  -0.139 -1.077  -0.060 -1.113  0.018 -1.149  0.100 -1.169  0.186 -1.169  0.272 -1.169  0.358 -1.169  0.445 -1.169  0.531 -1.169  0.617 -1.169
3#apb#apb16#app1618/d  0.742 1.447  0.751 1.567  0.753 1.538  0.742 1.427  0.742 1.306  0.742 1.184  0.742 1.063  0.742 0.941  0.726 0.821  0.708 0.701  0.686 0.581  0.658 0.463  0.630 0.345  0.604 0.226  0.597 0.105  0.589 -0.017  0.581 -0.138  0.569 -0.259  0.549 -0.378  0.501 -0.489  0.472 -0.607  0.399 -0.648  0.284 -0.664  0.236 -0.553  0.188 -0.441  0.136 -0.331  0.069 -0.230  -0.001 -0.130  -0.070 -0.031  -0.149 0.061  -0.215 0.162  -0.291 0.245  -0.410 0.257  -0.522 0.209  -0.625 0.146  -0.723 0.074  -0.816 -0.003  -0.872 -0.106  -0.904 -0.223  -0.937 -0.340  -0.972 -0.456  -0.994 -0.575  -1.004 -0.696  -1.002 -0.816  -0.967 -0.932  -0.920 -1.043  -0.847 -1.140  -0.753 -1.198  -0.632 -1.208  -0.510 -1.217
3#apb#apb16#app1618/e  -0.161 -0.015  -0.185 0.069  -0.178 0.026  -0.061 -0.037  0.057 -0.100  0.184 -0.076  0.307 -0.020  0.429 0.041  0.542 0.115  0.642 0.204  0.707 0.322  0.793 0.422  0.895 0.506  0.938 0.635  0.978 0.764  1.007 0.896  1.007 1.032  0.933 1.145  0.815 1.177  0.686 1.137  0.559 1.090  0.432 1.043  0.313 0.983  0.217 0.887  0.121 0.791  0.017 0.704  -0.089 0.620  -0.195 0.535  -0.291 0.441  -0.373 0.333  -0.456 0.225  -0.538 0.117  -0.611 0.003  -0.678 -0.115  -0.745 -0.233  -0.803 -0.355  -0.859 -0.479  -0.901 -0.607  -0.937 -0.738  -0.909 -0.864  -0.853 -0.988  -0.777 -1.098  -0.686 -1.199  -0.587 -1.285  -0.454 -1.311  -0.321 -1.338  -0.187 -1.351  -0.051 -1.351  0.085 -1.351  0.220 -1.351
3#apb#apb16#app1618/f  0.883 0.938  0.912 1.073  0.852 1.206  0.800 1.343  0.715 1.463  0.620 1.576  0.483 1.595  0.369 1.524  0.297 1.395  0.238 1.261  0.179 1.125  0.130 0.987  0.086 0.846  0.042 0.705  0.005 0.562  -0.032 0.420  -0.069 0.277  -0.099 0.133  -0.124 -0.013  -0.148 -0.158  -0.172 -0.303  -0.189 -0.450  -0.205 -0.596  -0.219 -0.743  -0.219 -0.890  -0.219 -1.038  -0.197 -1.182  -0.154 -1.323  -0.109 -1.463  -0.044 -1.594  -0.096 -1.462  -0.152 -1.325  -0.207 -1.188  -0.262 -1.052  -0.317 -0.915  -0.372 -0.778  -0.427 -0.641  -0.482 -0.505  -0.537 -0.368  -0.592 -0.231  -0.647 -0.094  -0.626 -0.009  -0.478 -0.009  -0.331 -0.009  -0.183 -0.009  -0.036 -0.009  0.112 -0.009  0.259 -0.009  0.406 -0.018  0.553 -0.031
3#apb#apb16#app1618/g  0.366 0.753  0.366 0.881  0.290 0.962  0.197 1.050  0.071 1.038  -0.057 1.031  -0.184 1.024  -0.310 0.996  -0.429 0.950  -0.545 0.896  -0.646 0.817  -0.745 0.736  -0.836 0.645  -0.896 0.534  -0.941 0.414  -0.855 0.323  -0.735 0.278  -0.611 0.266  -0.483 0.276  -0.356 0.292  -0.229 0.311  -0.104 0.340  0.016 0.384  0.135 0.431  0.252 0.484  0.371 0.531  0.480 0.581  0.442 0.585  0.443 0.460  0.462 0.333  0.479 0.206  0.493 0.078  0.508 -0.049  0.523 -0.176  0.536 -0.304  0.521 -0.431  0.507 -0.559  0.487 -0.685  0.446 -0.806  0.406 -0.928  0.355 -1.045  0.294 -1.158  0.234 -1.272  0.165 -1.379  0.092 -1.485  0.018 -1.589  -0.082 -1.669  -0.183 -1.749  -0.300 -1.800  -0.428 -1.800
3#apb#apb16#app1618/h  -0.138 1.578  -0.083 1.638  -0.011 1.694  -0.027 1.655  0.009 1.511  0.002 1.369  -0.045 1.228  -0.081 1.084  -0.115 0.940  -0.155 0.797  -0.208 0.659  -0.262 0.520  -0.316 0.382  -0.365 0.242  -0.411 0.101  -0.458 -0.040  -0.508 -0.180  -0.564 -0.317  -0.621 -0.454  -0.677 -0.592  -0.733 -0.729  -0.788 -0.867  -0.868 -0.992  -0.884 -1.008  -0.773 -0.910  -0.678 -0.796  -0.580 -0.685  -0.481 -0.574  -0.385 -0.460  -0.291 -0.346  -0.197 -0.231  -0.083 -0.136  0.032 -0.042  0.145 0.054  0.256 0.153  0.371 0.244  0.515 0.280  0.651 0.307  0.766 0.223  0.787 0.076  0.791 -0.072  0.791 -0.221  0.802 -0.369  0.814 -0.517  0.818 -0.665  0.818 -0.814  0.834 -0.960  0.864 -1.106  0.873 -1.253  0.846 -1.399
3#apb#apb16#app1618/i  -0.006 0.314  -0.006 0.388  0.018 0.400  0.044 0.341  0.013 0.222  -0.020 0.104  -0.048 -0.016  -0.075 -0.136  -0.092 -0.258  -0.106 -0.381  -0.121 -0.503  -0.141 -0.624  -0.169 -0.744  -0.197 -0.864  -0.225 -0.984  -0.264 -1.101  -0.303 -1.218  -0.332 -1.337  -0.347 -1.460  -0.346 -1.539  -0.318 -1.419  -0.289 -1.299  -0.261 -1.179  -0.233 -1.059  -0.205 -0.939  -0.176 -0.819  -0.148 -0.699  -0.120 -0.579  -0.092 -0.459  -0.064 -0.339  -0.035 -0.219  -0.007 -0.099  0.021 0.020  0.049 0.140  0.078 0.260  0.106 0.380  0.134 0.500  0.162 0.620  0.190 0.740  0.219 0.860  0.247 0.980  0.275 1.100  0.303 1.220  0.332 1.340  0.360 1.460  0.388 1.580  0.416 1.700  0.438 1.820  0.487 1.894  0.463 1.893
3#apb#apb16#app1618/j  0.452 0.465  0.467 0.597  0.527 0.704  0.513 0.708  0.553 0.585  0.553 0.450  0.553 0.314  0.553 0.179  0.553 0.043  0.553 -0.092  0.553 -0.228  0.547 -0.363  0.532 -0.498  0.517 -0.632  0.500 -0.767  0.482 -0.901  0.435 -1.022  0.353 -1.130  0.283 -1.244  0.159 -1.298  0.030 -1.264  -0.091 -1.206  -0.206 -1.134  -0.315 -1.054  -0.420 -0.968  -0.534 -0.898  -0.661 -0.852  -0.772 -0.778  -0.873 -0.688  -0.903 -0.582  -0.841 -0.462  -0.778 -0.342  -0.716 -0.222  -0.653 -0.102  -0.590 0.019  -0.528 0.139  -0.465 0.259  -0.403 0.379  -0.340 0.499  -0.277 0.619  -0.215 0.740  -0.152 0.860  -0.089 0.980  -0.027 1.100  0.036 1.220  0.098 1.340  0.161 1.461  0.224 1.581  0.286 1.701  0.371 1.785
3#apb#apb16#app1618/k  -0.377 1.378  -0.326 1.410  -0.373 1.202  -0.420 0.995  -0.472 0.788  -0.543 0.587  -0.614 0.386  -0.679 0.183  -0.742 -0.020  -0.796 -0.226  -0.845 -0.433  -0.894 -0.641  -0.942 -0.848  -0.978 -1.058  -0.958 -1.263  -0.882 -1.179  -0.735 -1.025  -0.588 -0.870  -0.441 -0.716  -0.294 -0.562  -0.147 -0.408  -0.000 -0.253  0.147 -0.099  0.293 0.055  0.440 0.209  0.587 0.364  0.734 0.518  0.881 0.672  1.028 0.827  1.175 0.981  1.274 1.087  1.154 0.971  0.964 0.882  0.816 0.729  0.663 0.591  0.455 0.545  0.296 0.403  0.127 0.275  -0.056 0.166  -0.180 -0.006  -0.352 -0.096  -0.340 -0.177  -0.209 -0.345  -0.061 -0.497  0.063 -0.671  0.245 -0.780  0.432 -0.882  0.632 -0.955  0.824 -1.046  1.011 -1.148
