2#app#app41#app4145/A  -0.058 0.284  -0.058 0.014  -0.118 -0.196  -0.298 -0.286  -0.298 -0.556  -0.298 -0.826  -0.298 -1.096  -0.298 -0.945  -0.298 -0.675  -0.298 -0.405  -0.298 -0.135  -0.298 0.135  -0.384 0.370  -0.538 0.576  -0.538 0.846  -0.538 1.116  -0.602 1.371  -0.723 1.613  -0.778 1.870  -0.654 1.840  -0.463 1.649  -0.298 1.447  -0.298 1.177  -0.201 1.004  -0.058 0.877  0.053 0.653  0.182 0.436  0.182 0.166  0.248 -0.089  0.369 -0.330  0.529 -0.543  0.662 -0.758  0.662 -1.028  0.805 -1.156  0.902 -1.329  1.105 -1.396  1.142 -1.162  0.927 -1.003  0.708 -0.846  0.488 -0.689  0.268 -0.532  0.048 -0.375  -0.172 -0.218  -0.391 -0.061  -0.449 0.044  -0.298 -0.075  -0.149 -0.196  0.121 -0.196  0.392 -0.196  0.662 -0.196
2#app#app41#app4145/s  0.941 1.243  0.819 1.243  0.696 1.243  0.573 1.243  0.450 1.243  0.327 1.243  0.222 1.200  0.135 1.113  0.048 1.026  -0.039 0.939  -0.148 0.906  -0.271 0.906  -0.394 0.906  -0.410 0.799  -0.410 0.676  -0.425 0.568  -0.548 0.568  -0.671 0.568  -0.748 0.522  -0.748 0.399  -0.748 0.276  -0.748 0.153  -0.748 0.030  -0.748 -0.093  -0.641 -0.108  -0.518 -0.108  -0.395 -0.108  -0.272 -0.108  -0.149 -0.108  -0.072 -0.155  -0.072 -0.277  -0.072 -0.400  0.005 -0.446  0.128 -0.446  0.251 -0.446  0.342 -0.523  0.429 -0.610  0.516 -0.696  0.603 -0.783  0.604 -0.906  0.604 -1.029  0.573 -1.122  0.450 -1.122  0.328 -1.122  0.266 -1.183  0.266 -1.306  0.266 -1.429  0.174 -1.460  0.051 -1.460  -0.072 -1.460
2#app#app41#app4145/m  -1.203 0.721  -1.203 0.529  -1.203 0.338  -1.203 0.146  -1.203 -0.045  -1.203 -0.237  -1.203 -0.428  -1.203 -0.620  -1.083 -0.691  -0.921 -0.721  -0.921 -0.912  -0.921 -0.842  -0.881 -0.691  -0.690 -0.691  -0.639 -0.550  -0.639 -0.359  -0.639 -0.167  -0.532 -0.020  -0.397 0.116  -0.356 0.291  -0.356 0.482  -0.356 0.674  -0.212 0.721  -0.074 0.667  -0.074 0.476  -0.074 0.284  -0.074 0.093  -0.074 -0.099  0.090 -0.126  0.208 -0.200  0.208 -0.391  0.382 -0.408  0.574 -0.408  0.765 -0.408  0.773 -0.224  0.773 -0.033  0.775 0.156  0.967 0.156  1.055 0.259  1.055 0.451  1.055 0.643  1.168 0.721  1.322 0.705  1.186 0.570  1.055 0.432  1.055 0.241  1.131 0.081  1.266 -0.055  1.338 -0.217  1.338 -0.408
2#app#app41#app4145/a  0.729 1.294  0.559 1.294  0.389 1.294  0.219 1.294  0.049 1.294  -0.020 1.193  -0.020 1.023  -0.087 0.919  -0.257 0.919  -0.395 0.887  -0.395 0.717  -0.395 0.547  -0.513 0.426  -0.634 0.306  -0.754 0.186  -0.874 0.066  -0.994 -0.055  -1.114 -0.175  -1.144 -0.333  -1.144 -0.503  -1.144 -0.673  -1.144 -0.843  -1.085 -0.953  -0.915 -0.953  -0.745 -0.953  -0.575 -0.953  -0.405 -0.953  -0.235 -0.953  -0.065 -0.953  0.068 -0.865  0.189 -0.744  0.309 -0.624  0.354 -0.473  0.354 -0.303  0.426 -0.204  0.596 -0.204  0.729 -0.167  0.729 0.003  0.729 0.173  0.729 0.343  0.729 0.513  0.729 0.407  0.729 0.237  0.729 0.067  0.729 -0.103  0.729 -0.273  0.729 -0.443  0.763 -0.579  0.933 -0.579  1.103 -0.579
2#app#app41#app4145/l  -0.065 1.765  -0.065 1.690  -0.065 1.616  -0.065 1.541  -0.065 1.466  -0.065 1.391  -0.065 1.317  -0.065 1.242  -0.065 1.167  -0.065 1.093  -0.065 1.018  -0.065 0.943  -0.065 0.869  -0.065 0.794  -0.065 0.719  -0.065 0.644  -0.065 0.570  -0.065 0.495  -0.065 0.420  -0.065 0.346  -0.065 0.271  -0.065 0.196  -0.065 0.121  -0.065 0.047  -0.065 -0.028  -0.065 -0.103  -0.065 -0.177  -0.065 -0.252  -0.065 -0.327  -0.065 -0.402  -0.065 -0.476  -0.065 -0.551  -0.065 -0.626  -0.065 -0.700  -0.065 -0.775  -0.065 -0.850  -0.065 -0.925  -0.047 -0.981  0.028 -0.981  0.103 -0.981  0.177 -0.981  0.240 -0.993  0.240 -1.068  0.240 -1.142  0.240 -1.217  0.240 -1.292  0.240 -1.367  0.240 -1.441  0.240 -1.516  0.240 -1.591
2#app#app41#app4145/l  -0.120 1.739  -0.120 1.665  -0.120 1.592  -0.120 1.519  -0.120 1.445  -0.120 1.372  -0.120 1.298  -0.120 1.225  -0.120 1.152  -0.120 1.078  -0.120 1.005  -0.120 0.931  -0.120 0.858  -0.120 0.784  -0.120 0.711  -0.120 0.638  -0.120 0.564  -0.120 0.491  -0.120 0.417  -0.120 0.344  -0.120 0.271  -0.120 0.197  -0.120 0.124  -0.120 0.050  -0.120 -0.023  -0.120 -0.096  -0.120 -0.170  -0.120 -0.243  -0.120 -0.317  -0.120 -0.390  -0.120 -0.463  -0.071 -0.516  -0.019 -0.568  0.033 -0.620  0.085 -0.672  0.137 -0.724  0.189 -0.776  0.195 -0.847  0.195 -0.920  0.195 -0.994  0.195 -1.067  0.195 -1.140  0.195 -1.214  0.195 -1.287  0.195 -1.361  0.216 -1.412  0.290 -1.412  0.363 -1.412  0.437 -1.412  0.510 -1.412
2#app#app41#app4145/,  -1.600 0.548  -1.512 0.548  -1.425 0.548  -1.337 0.548  -1.249 0.548  -1.162 0.548  -1.074 0.548  -0.986 0.548  -0.899 0.548  -0.811 0.548  -0.723 0.548  -0.636 0.548  -0.548 0.548  -0.460 0.548  -0.373 0.548  -0.285 0.548  -0.197 0.548  -0.110 0.548  -0.022 0.548  0.066 0.548  0.153 0.548  0.241 0.548  0.329 0.548  0.416 0.548  0.504 0.548  0.548 0.504  0.548 0.416  0.548 0.329  0.548 0.241  0.548 0.153  0.548 0.066  0.548 -0.022  0.548 -0.110  0.548 -0.197  0.548 -0.285  0.548 -0.373  0.548 -0.460  0.548 -0.548  0.548 -0.636  0.548 -0.723  0.548 -0.811  0.548 -0.899  0.548 -0.986  0.548 -1.074  0.548 -1.162  0.548 -1.249  0.548 -1.337  0.548 -1.425  0.548 -1.512  0.548 -1.600
2#app#app41#app4145/g  0.241 0.651  0.241 0.827  0.241 1.003  0.078 1.016  0.059 1.173  -0.092 1.198  -0.268 1.198  -0.306 1.060  -0.438 1.016  -0.488 0.890  -0.607 0.833  -0.670 0.720  -0.670 0.544  -0.741 0.398  -0.840 0.273  -0.715 0.149  -0.558 0.104  -0.381 0.104  -0.306 0.204  -0.212 0.286  -0.123 0.374  -0.123 0.550  -0.123 0.726  -0.123 0.902  -0.123 0.953  -0.084 0.794  0.041 0.669  0.059 0.501  0.059 0.325  0.197 0.286  0.241 0.155  0.241 -0.021  0.241 -0.197  0.321 -0.340  0.438 -0.471  0.516 -0.628  0.595 -0.786  0.606 -0.959  0.606 -1.135  0.606 -1.311  0.606 -1.487  0.606 -1.663  0.487 -1.720  0.344 -1.640  0.241 -1.506  0.216 -1.355  0.059 -1.336  0.047 -1.173  -0.123 -1.166  -0.123 -0.990
2#app#app41#app4145/r  -0.276 0.467  -0.276 0.347  -0.276 0.227  -0.276 0.107  -0.276 -0.013  -0.276 -0.133  -0.276 -0.254  -0.276 -0.374  -0.276 -0.494  -0.276 -0.614  -0.276 -0.734  -0.276 -0.854  -0.276 -0.974  -0.276 -1.094  -0.276 -1.214  -0.276 -1.334  -0.276 -1.455  -0.276 -1.471  -0.276 -1.351  -0.276 -1.231  -0.276 -1.111  -0.276 -0.991  -0.276 -0.871  -0.276 -0.751  -0.276 -0.631  -0.276 -0.511  -0.276 -0.391  -0.276 -0.270  -0.276 -0.150  -0.276 -0.030  -0.191 0.055  -0.106 0.140  -0.021 0.225  0.064 0.309  0.149 0.394  0.222 0.484  0.222 0.604  0.222 0.725  0.222 0.845  0.222 0.965  0.307 1.050  0.392 1.135  0.477 1.220  0.562 1.304  0.647 1.389  0.736 1.462  0.857 1.462  0.977 1.462  1.097 1.462  1.217 1.462
2#app#app41#app4145/e  -0.721 -0.218  -0.560 -0.218  -0.399 -0.218  -0.237 -0.218  -0.076 -0.218  0.085 -0.218  0.246 -0.218  0.408 -0.218  0.566 -0.215  0.566 -0.054  0.566 0.108  0.624 0.211  0.785 0.211  0.946 0.211  0.995 0.324  0.995 0.485  0.995 0.646  0.995 0.807  0.995 0.969  0.935 1.070  0.774 1.070  0.613 1.070  0.451 1.070  0.290 1.070  0.129 1.070  -0.032 1.070  -0.194 1.070  -0.292 1.007  -0.292 0.846  -0.292 0.684  -0.375 0.557  -0.489 0.443  -0.603 0.329  -0.717 0.215  -0.721 0.056  -0.721 -0.106  -0.721 -0.267  -0.721 -0.428  -0.721 -0.589  -0.721 -0.751  -0.721 -0.912  -0.721 -1.073  -0.563 -1.076  -0.401 -1.076  -0.292 -1.128  -0.292 -1.289  -0.292 -1.450  -0.185 -1.505  -0.024 -1.505  0.137 -1.505
2#app#app41#app4145/e  -0.409 -0.098  -0.274 -0.098  -0.139 -0.098  -0.004 -0.098  0.131 -0.098  0.267 -0.098  0.402 -0.098  0.537 -0.098  0.667 -0.086  0.763 0.009  0.859 0.105  0.954 0.201  1.011 0.312  1.011 0.448  1.011 0.583  1.011 0.718  1.011 0.853  0.990 0.968  0.855 0.968  0.720 0.968  0.585 0.968  0.449 0.968  0.314 0.968  0.179 0.968  0.044 0.968  -0.081 0.941  -0.176 0.846  -0.272 0.750  -0.367 0.654  -0.409 0.537  -0.409 0.401  -0.409 0.266  -0.499 0.168  -0.594 0.072  -0.690 -0.023  -0.764 -0.127  -0.764 -0.263  -0.764 -0.398  -0.764 -0.533  -0.764 -0.668  -0.764 -0.803  -0.764 -0.939  -0.764 -1.074  -0.732 -1.195  -0.636 -1.291  -0.541 -1.387  -0.445 -1.482  -0.325 -1.518  -0.189 -1.518  -0.054 -1.518
