1c#app#app06#app0666/p  -0.275 0.812  -0.244 0.621  -0.190 0.434  -0.112 0.255  -0.067 0.067  -0.049 -0.124  0.028 -0.303  0.096 -0.485  0.171 -0.665  0.242 -0.846  0.280 -1.033  0.333 -1.219  0.418 -1.383  0.418 -1.578  0.482 -1.747  0.418 -1.773  0.295 -1.629  0.202 -1.459  0.099 -1.295  0.002 -1.128  -0.085 -0.953  -0.136 -0.770  -0.218 -0.605  -0.286 -0.424  -0.344 -0.253  -0.344 -0.057  -0.344 0.138  -0.344 0.333  -0.344 0.528  -0.344 0.724  -0.310 0.913  -0.275 1.103  -0.231 1.291  -0.128 1.452  -0.026 1.615  0.088 1.713  0.193 1.592  0.255 1.415  0.280 1.226  0.280 1.030  0.280 0.835  0.280 0.640  0.241 0.449  0.180 0.265  0.072 0.108  0.024 -0.068  -0.134 -0.158  -0.275 -0.064  -0.275 0.132  -0.275 0.327
1c#app#app06#app0666/a  -0.590 0.918  -0.463 0.991  -0.443 1.171  -0.242 1.171  -0.041 1.171  0.108 1.075  0.219 0.908  0.324 0.737  0.414 0.558  0.424 0.359  0.424 0.159  0.424 -0.042  0.424 -0.243  0.424 -0.443  0.307 -0.595  0.297 -0.792  0.165 -0.863  0.023 -1.005  -0.119 -1.147  -0.282 -1.238  -0.483 -1.238  -0.656 -1.172  -0.717 -0.997  -0.844 -0.849  -0.844 -0.648  -0.844 -0.448  -0.844 -0.247  -0.844 -0.046  -0.844 0.154  -0.844 0.355  -0.741 0.513  -0.717 0.704  -0.637 0.871  -0.495 1.013  -0.307 1.044  -0.137 0.971  0.042 0.918  0.154 0.752  0.265 0.585  0.361 0.409  0.467 0.241  0.587 0.084  0.677 -0.096  0.710 -0.288  0.800 -0.468  0.931 -0.615  0.931 -0.816  0.954 -1.007  1.058 -1.164  1.058 -1.365
1c#app#app06#app0666/s  -0.275 1.672  -0.176 1.672  -0.092 1.657  -0.092 1.559  -0.092 1.460  -0.092 1.362  -0.092 1.263  -0.115 1.170  -0.159 1.082  -0.183 0.989  -0.200 0.893  -0.231 0.800  -0.262 0.706  -0.317 0.627  -0.386 0.558  -0.456 0.488  -0.460 0.391  -0.504 0.302  -0.548 0.214  -0.548 0.116  -0.534 0.031  -0.435 0.031  -0.366 0.003  -0.330 -0.060  -0.231 -0.060  -0.133 -0.060  -0.092 -0.118  -0.027 -0.151  0.072 -0.151  0.170 -0.151  0.243 -0.213  0.330 -0.242  0.409 -0.288  0.479 -0.357  0.546 -0.428  0.546 -0.527  0.546 -0.625  0.546 -0.724  0.546 -0.822  0.527 -0.916  0.483 -1.005  0.421 -1.062  0.363 -1.104  0.336 -1.194  0.282 -1.276  0.227 -1.358  0.170 -1.438  0.100 -1.508  0.090 -1.602  -0.001 -1.609
1c#app#app06#app0666/s  0.058 1.481  0.144 1.494  0.126 1.548  0.058 1.477  0.047 1.383  -0.024 1.312  -0.114 1.301  -0.114 1.202  -0.129 1.106  -0.173 1.017  -0.228 0.936  -0.286 0.861  -0.286 0.762  -0.317 0.675  -0.387 0.605  -0.457 0.535  -0.459 0.436  -0.469 0.339  -0.514 0.251  -0.545 0.159  -0.545 0.060  -0.545 -0.040  -0.476 -0.070  -0.377 -0.070  -0.280 -0.064  -0.210 0.006  -0.115 0.016  -0.015 0.016  0.084 0.016  0.172 -0.011  0.242 -0.081  0.312 -0.152  0.321 -0.247  0.391 -0.317  0.403 -0.412  0.403 -0.511  0.403 -0.610  0.403 -0.709  0.403 -0.809  0.403 -0.908  0.403 -1.007  0.401 -1.106  0.331 -1.176  0.317 -1.269  0.313 -1.367  0.242 -1.437  0.231 -1.531  0.163 -1.602  0.144 -1.694  0.144 -1.793
1c#app#app06#app0666/e  -0.369 -0.162  -0.241 -0.162  -0.162 -0.113  -0.096 -0.025  0.019 0.032  0.115 0.115  0.149 0.228  0.223 0.326  0.314 0.417  0.424 0.460  0.460 0.551  0.542 0.646  0.564 0.765  0.650 0.857  0.668 0.978  0.668 1.106  0.668 1.234  0.594 1.289  0.466 1.289  0.344 1.276  0.253 1.186  0.138 1.128  0.035 1.060  -0.023 0.945  -0.080 0.831  -0.137 0.716  -0.202 0.606  -0.274 0.499  -0.345 0.393  -0.369 0.272  -0.369 0.144  -0.382 0.019  -0.439 -0.096  -0.473 -0.216  -0.473 -0.344  -0.473 -0.472  -0.473 -0.601  -0.473 -0.729  -0.473 -0.857  -0.473 -0.985  -0.418 -1.100  -0.369 -1.217  -0.339 -1.332  -0.248 -1.423  -0.156 -1.512  -0.042 -1.569  0.076 -1.613  0.204 -1.613  0.332 -1.613  0.460 -1.613
1c#app#app06#app0666/d  -0.159 1.904  -0.069 1.986  0.004 1.936  0.004 1.812  0.004 1.688  0.004 1.564  0.004 1.440  0.028 1.319  0.058 1.199  0.086 1.078  0.086 0.954  0.086 0.830  0.086 0.706  0.086 0.582  0.086 0.458  0.097 0.338  0.168 0.244  0.168 0.120  0.168 -0.004  0.216 -0.108  0.250 -0.218  0.333 -0.308  0.388 -0.419  0.414 -0.537  0.468 -0.552  0.365 -0.503  0.277 -0.415  0.246 -0.306  0.122 -0.306  -0.002 -0.306  -0.126 -0.306  -0.250 -0.306  -0.369 -0.329  -0.480 -0.384  -0.487 -0.504  -0.563 -0.552  -0.569 -0.670  -0.569 -0.794  -0.541 -0.907  -0.487 -1.008  -0.424 -1.106  -0.336 -1.194  -0.217 -1.207  -0.113 -1.160  -0.003 -1.125  0.087 -1.043  0.177 -0.961  0.295 -0.938  0.406 -0.883  0.496 -0.797
1c#app#app06#app0666/t  -0.351 1.421  -0.285 1.531  -0.148 1.438  -0.024 1.314  -0.020 1.139  -0.020 0.964  0.038 0.812  0.122 0.663  0.178 0.496  0.200 0.324  0.200 0.148  0.207 -0.026  0.286 -0.183  0.310 -0.353  0.345 -0.521  0.420 -0.679  0.420 -0.855  0.518 -0.990  0.531 -1.161  0.531 -1.337  0.579 -1.492  0.574 -1.495  0.442 -1.380  0.309 -1.264  0.177 -1.148  0.045 -1.032  -0.088 -0.916  -0.220 -0.801  -0.352 -0.685  -0.485 -0.569  -0.617 -0.453  -0.749 -0.338  -0.882 -0.222  -1.014 -0.106  -1.122 0.021  -1.122 0.196  -0.974 0.247  -0.829 0.319  -0.693 0.417  -0.523 0.429  -0.353 0.465  -0.186 0.521  -0.025 0.592  0.137 0.650  0.313 0.650  0.488 0.650  0.664 0.650  0.840 0.650  1.016 0.650  1.192 0.650
1c#app#app06#app0666/h  -0.797 2.096  -0.777 1.932  -0.701 1.782  -0.675 1.620  -0.606 1.468  -0.553 1.312  -0.553 1.144  -0.544 0.978  -0.468 0.827  -0.393 0.677  -0.318 0.526  -0.309 0.360  -0.309 0.192  -0.309 0.024  -0.290 -0.140  -0.215 -0.290  -0.187 -0.452  -0.119 -0.604  -0.065 -0.760  -0.065 -0.928  -0.046 -1.078  0.057 -1.142  0.057 -1.311  0.057 -1.164  0.057 -0.996  0.057 -0.828  0.057 -0.660  0.057 -0.491  0.057 -0.323  0.057 -0.155  0.057 0.013  0.057 0.181  0.057 0.350  0.057 0.518  0.096 0.670  0.215 0.717  0.301 0.585  0.367 0.444  0.423 0.299  0.423 0.130  0.423 -0.038  0.423 -0.206  0.491 -0.358  0.545 -0.514  0.545 -0.682  0.545 -0.850  0.590 -1.000  0.667 -1.136  0.714 -1.293  0.789 -1.444
1c#app#app06#app0666/r  -0.167 -0.239  -0.062 -0.239  -0.061 -0.344  -0.061 -0.448  -0.061 -0.553  0.012 -0.628  0.044 -0.720  0.085 -0.808  0.156 -0.884  0.203 -0.978  0.250 -1.072  0.255 -1.176  0.255 -1.281  0.255 -1.386  0.190 -1.334  0.150 -1.246  0.102 -1.188  0.044 -1.141  0.044 -1.036  0.024 -0.936  -0.023 -0.842  -0.061 -0.746  -0.061 -0.641  -0.070 -0.538  -0.117 -0.444  -0.164 -0.350  -0.167 -0.246  -0.167 -0.141  -0.167 -0.036  -0.167 0.069  -0.167 0.174  -0.167 0.279  -0.167 0.384  -0.167 0.489  -0.167 0.593  -0.167 0.698  -0.167 0.803  -0.167 0.908  -0.167 1.013  -0.167 1.118  -0.102 1.196  -0.061 1.285  -0.061 1.390  -0.028 1.481  0.046 1.553  0.150 1.555  0.151 1.659  0.256 1.659  0.361 1.659  0.466 1.659
1c#app#app06#app0666/o  -0.733 0.197  -0.733 0.324  -0.680 0.438  -0.623 0.552  -0.547 0.652  -0.457 0.742  -0.367 0.832  -0.256 0.870  -0.148 0.916  -0.058 1.005  0.069 1.005  0.196 1.005  0.323 1.005  0.450 1.005  0.577 1.005  0.704 1.005  0.807 0.947  0.884 0.852  0.884 0.725  0.884 0.598  0.884 0.471  0.884 0.344  0.884 0.217  0.884 0.089  0.814 -0.008  0.749 -0.109  0.749 -0.236  0.735 -0.357  0.645 -0.447  0.555 -0.537  0.465 -0.626  0.375 -0.716  0.285 -0.806  0.195 -0.896  0.106 -0.986  -0.009 -1.016  -0.136 -1.016  -0.263 -1.016  -0.390 -1.016  -0.517 -1.016  -0.644 -1.016  -0.760 -0.989  -0.850 -0.899  -0.868 -0.779  -0.934 -0.680  -1.002 -0.581  -1.002 -0.454  -1.002 -0.327  -1.002 -0.200  -1.002 -0.073
1c#app#app06#app0666/u  -0.747 1.283  -0.747 1.100  -0.747 0.918  -0.747 0.735  -0.747 0.553  -0.747 0.370  -0.747 0.188  -0.747 0.005  -0.747 -0.177  -0.747 -0.360  -0.747 -0.542  -0.747 -0.725  -0.747 -0.907  -0.689 -1.032  -0.593 -1.118  -0.593 -1.300  -0.450 -1.340  -0.318 -1.220  -0.284 -1.051  -0.278 -0.871  -0.149 -0.742  -0.080 -0.576  -0.023 -0.403  0.025 -0.228  0.025 -0.045  0.087 0.111  0.179 0.256  0.179 0.438  0.228 0.609  0.310 0.772  0.425 0.911  0.488 1.068  0.488 1.250  0.594 1.389  0.642 1.323  0.642 1.141  0.642 0.958  0.611 0.789  0.488 0.657  0.488 0.475  0.488 0.292  0.488 0.110  0.488 -0.073  0.593 -0.212  0.642 -0.374  0.642 -0.557  0.718 -0.721  0.796 -0.885  0.822 -1.057  0.951 -1.186
