3#apa#apa13#app1327/B  -0.710 1.141  -0.532 1.039  -0.443 0.795  -0.443 0.515  -0.443 0.235  -0.443 -0.046  -0.384 -0.312  -0.354 -0.585  -0.265 -0.829  -0.265 -1.109  -0.322 -0.963  -0.394 -0.692  -0.467 -0.421  -0.540 -0.151  -0.613 0.120  -0.686 0.391  -0.759 0.661  -0.832 0.932  -0.824 1.141  -0.544 1.141  -0.263 1.141  0.017 1.141  0.297 1.141  0.539 1.048  0.763 0.913  0.802 0.649  0.634 0.438  0.400 0.317  0.140 0.231  -0.124 0.162  -0.368 0.073  -0.640 0.054  -0.706 -0.016  -0.463 0.073  -0.183 0.073  0.098 0.073  0.378 0.073  0.658 0.073  0.902 -0.016  1.123 -0.158  1.271 -0.329  1.336 -0.594  1.295 -0.857  1.097 -1.056  0.877 -1.224  0.611 -1.295  0.340 -1.350  0.060 -1.350  -0.184 -1.261  -0.443 -1.172
3#apa#apa13#app1327/Y  1.531 1.371  1.489 1.252  1.352 1.193  1.238 1.079  1.124 0.965  1.010 0.851  0.896 0.736  0.788 0.617  0.699 0.483  0.609 0.348  0.505 0.226  0.414 0.095  0.342 -0.049  0.270 -0.193  0.188 -0.330  0.082 -0.450  0.010 -0.594  -0.063 -0.739  -0.135 -0.883  -0.244 -1.001  -0.273 -1.150  -0.383 -1.266  -0.417 -1.413  -0.507 -1.459  -0.523 -1.299  -0.539 -1.138  -0.555 -0.978  -0.571 -0.817  -0.587 -0.657  -0.603 -0.496  -0.619 -0.336  -0.635 -0.175  -0.651 -0.014  -0.667 0.146  -0.683 0.307  -0.699 0.467  -0.715 0.628  -0.731 0.788  -0.686 0.893  -0.524 0.893  -0.404 0.794  -0.290 0.680  -0.176 0.566  -0.144 0.418  -0.127 0.261  -0.055 0.116  0.042 -0.010  0.095 -0.149  0.186 -0.274  0.335 -0.303
3#apa#apa13#app1327/T  0.115 0.772  0.115 0.608  0.117 0.445  0.190 0.299  0.223 0.143  0.223 -0.020  0.223 -0.184  0.223 -0.348  0.223 -0.511  0.223 -0.675  0.223 -0.838  0.223 -1.002  0.223 -1.165  0.223 -1.329  0.223 -1.492  0.193 -1.546  0.110 -1.405  0.026 -1.264  -0.057 -1.123  -0.140 -0.982  -0.223 -0.841  -0.307 -0.701  -0.390 -0.560  -0.473 -0.419  -0.556 -0.278  -0.639 -0.137  -0.723 0.003  -0.806 0.144  -0.889 0.285  -0.972 0.426  -1.055 0.567  -1.139 0.707  -1.088 0.772  -0.924 0.772  -0.761 0.772  -0.597 0.772  -0.434 0.772  -0.270 0.772  -0.117 0.727  0.032 0.664  0.195 0.664  0.359 0.664  0.522 0.664  0.686 0.664  0.849 0.664  1.013 0.664  1.176 0.664  1.328 0.636  1.459 0.557  1.623 0.557
3#apa#apa13#app1327/H  -0.812 1.434  -0.675 1.212  -0.675 0.933  -0.675 0.655  -0.675 0.376  -0.675 0.097  -0.675 -0.182  -0.597 -0.429  -0.537 -0.683  -0.537 -0.961  -0.537 -1.240  -0.445 -1.497  -0.391 -1.686  -0.328 -1.414  -0.265 -1.142  -0.203 -0.871  -0.140 -0.599  -0.077 -0.327  -0.015 -0.056  0.048 0.216  0.111 0.488  0.173 0.759  0.236 1.031  0.299 1.303  0.361 1.574  0.424 1.846  0.424 1.567  0.424 1.289  0.424 1.010  0.424 0.731  0.424 0.452  0.538 0.221  0.610 -0.037  0.699 -0.295  0.759 -0.549  0.836 -0.795  0.676 -0.834  0.419 -0.727  0.161 -0.620  -0.096 -0.512  -0.353 -0.405  -0.611 -0.298  -0.751 -0.214  -0.479 -0.185  -0.226 -0.077  0.053 -0.077  0.331 -0.077  0.610 -0.077  0.873 -0.114  1.111 -0.214
3#apa#apa13#app1327/E  -0.836 0.935  -0.836 0.712  -0.836 0.489  -0.836 0.266  -0.836 0.043  -0.836 -0.180  -0.836 -0.402  -0.836 -0.625  -0.807 -0.819  -0.700 -0.955  -0.543 -1.112  -0.327 -1.129  -0.104 -1.129  0.111 -1.111  0.299 -1.026  0.522 -1.026  0.705 -1.122  0.925 -1.129  1.125 -1.152  1.036 -1.121  0.897 -0.947  0.758 -0.773  0.618 -0.599  0.479 -0.425  0.340 -0.251  0.201 -0.077  0.062 0.097  -0.078 0.271  0.053 0.316  0.253 0.260  0.440 0.175  0.628 0.090  0.815 0.006  0.623 0.119  0.431 0.232  0.239 0.345  0.047 0.458  -0.145 0.571  -0.338 0.684  -0.530 0.797  -0.722 0.910  -0.914 1.023  -0.745 1.038  -0.522 1.038  -0.299 1.038  -0.076 1.038  0.147 1.038  0.370 1.038  0.593 1.038  0.816 1.038
3#apa#apa13#app1327/F  -0.576 0.712  -0.469 0.571  -0.469 0.321  -0.423 0.083  -0.361 -0.152  -0.361 -0.401  -0.361 -0.651  -0.361 -0.900  -0.361 -1.149  -0.361 -1.399  -0.361 -1.648  -0.443 -1.437  -0.529 -1.203  -0.615 -0.969  -0.702 -0.735  -0.788 -0.501  -0.874 -0.267  -0.960 -0.033  -1.046 0.201  -1.081 0.423  -0.862 0.496  -0.634 0.547  -0.408 0.604  -0.168 0.646  0.065 0.712  0.300 0.773  0.539 0.820  0.788 0.820  1.015 0.915  1.261 0.928  1.511 0.928  1.624 0.893  1.405 0.774  1.187 0.654  0.968 0.535  0.749 0.416  0.530 0.296  0.311 0.177  0.092 0.057  -0.127 -0.062  -0.346 -0.181  -0.565 -0.301  -0.571 -0.366  -0.322 -0.366  -0.092 -0.285  0.151 -0.258  0.401 -0.258  0.650 -0.258  0.899 -0.258  1.149 -0.258
3#apa#apa13#app1327/L  -0.396 1.792  -0.396 1.684  -0.293 1.681  -0.285 1.581  -0.285 1.474  -0.220 1.393  -0.174 1.305  -0.174 1.198  -0.174 1.091  -0.174 0.983  -0.174 0.876  -0.190 0.775  -0.266 0.700  -0.285 0.600  -0.285 0.493  -0.285 0.386  -0.285 0.278  -0.314 0.178  -0.362 0.082  -0.396 -0.017  -0.396 -0.125  -0.413 -0.225  -0.489 -0.301  -0.508 -0.400  -0.508 -0.508  -0.508 -0.615  -0.508 -0.722  -0.508 -0.829  -0.446 -0.875  -0.339 -0.875  -0.285 -0.821  -0.235 -0.764  -0.128 -0.764  -0.063 -0.722  -0.025 -0.653  0.083 -0.653  0.190 -0.653  0.270 -0.626  0.293 -0.542  0.401 -0.542  0.508 -0.542  0.615 -0.542  0.723 -0.542  0.829 -0.545  0.905 -0.621  0.998 -0.653  1.106 -0.653  1.197 -0.691  1.274 -0.764  1.382 -0.764
3#apa#apa13#app1327/A  0.066 1.393  0.066 1.125  -0.041 0.901  -0.141 0.657  -0.213 0.406  -0.333 0.166  -0.426 -0.085  -0.528 -0.332  -0.648 -0.572  -0.729 -0.826  -0.802 -1.082  -0.898 -1.310  -0.898 -1.578  -0.838 -1.374  -0.771 -1.114  -0.704 -0.855  -0.637 -0.595  -0.570 -0.336  -0.503 -0.076  -0.436 0.184  -0.369 0.443  -0.302 0.703  -0.235 0.962  -0.168 1.222  -0.101 1.482  -0.041 1.687  -0.041 1.419  0.131 1.221  0.218 0.982  0.281 0.728  0.382 0.491  0.524 0.264  0.602 0.014  0.706 -0.211  0.866 -0.421  1.023 -0.635  1.212 -0.824  1.345 -0.959  1.117 -0.817  0.890 -0.675  0.663 -0.533  0.435 -0.391  0.208 -0.249  -0.019 -0.107  -0.247 0.035  -0.230 0.108  -0.006 0.000  0.154 -0.107  0.381 -0.207  0.602 -0.321
3#apa#apa13#app1327/V  -1.484 1.132  -1.364 1.072  -1.278 0.927  -1.151 0.799  -1.060 0.645  -1.003 0.478  -1.003 0.297  -0.881 0.167  -0.800 0.005  -0.762 -0.166  -0.652 -0.301  -0.589 -0.469  -0.532 -0.640  -0.494 -0.792  -0.401 -0.880  -0.297 -1.017  -0.169 -1.145  -0.140 -1.230  -0.062 -1.066  0.015 -0.903  0.093 -0.740  0.171 -0.577  0.248 -0.414  0.326 -0.251  0.404 -0.088  0.481 0.075  0.559 0.238  0.636 0.401  0.714 0.564  0.792 0.727  0.869 0.890  0.947 1.053  1.025 1.216  1.042 1.112  0.985 0.955  0.922 0.801  0.815 0.665  0.687 0.537  0.681 0.359  0.581 0.240  0.441 0.147  0.441 -0.034  0.312 -0.135  0.200 -0.247  0.200 -0.427  0.042 -0.510  -0.040 -0.640  -0.053 -0.817  -0.134 -0.979  -0.281 -1.033
3#apa#apa13#app1327/O  -0.236 1.109  -0.352 1.095  -0.439 1.008  -0.453 0.892  -0.540 0.806  -0.554 0.689  -0.641 0.603  -0.655 0.487  -0.742 0.400  -0.797 0.292  -0.846 0.181  -0.846 0.059  -0.846 -0.064  -0.846 -0.186  -0.846 -0.308  -0.846 -0.430  -0.846 -0.553  -0.846 -0.675  -0.792 -0.775  -0.705 -0.861  -0.609 -0.924  -0.503 -0.962  -0.406 -1.025  -0.284 -1.025  -0.162 -1.025  -0.040 -1.025  0.070 -0.974  0.179 -0.918  0.281 -0.850  0.382 -0.782  0.483 -0.713  0.569 -0.626  0.656 -0.540  0.742 -0.453  0.811 -0.354  0.866 -0.245  0.882 -0.126  0.882 -0.004  0.882 0.118  0.882 0.240  0.882 0.363  0.882 0.485  0.882 0.607  0.863 0.722  0.778 0.809  0.723 0.918  0.663 1.023  0.576 1.110  0.490 1.196  0.374 1.211
3#apa#apa13#app1327/R  -0.445 0.570  -0.445 0.303  -0.346 0.061  -0.346 -0.206  -0.346 -0.472  -0.346 -0.738  -0.283 -0.978  -0.164 -1.195  -0.225 -0.980  -0.309 -0.727  -0.394 -0.475  -0.478 -0.223  -0.562 0.030  -0.646 0.282  -0.730 0.535  -0.814 0.787  -0.899 1.040  -0.803 1.163  -0.578 1.262  -0.335 1.361  -0.069 1.361  0.197 1.361  0.452 1.293  0.695 1.186  0.893 1.012  1.039 0.806  1.039 0.539  1.039 0.273  0.940 0.048  0.802 -0.161  0.660 -0.321  0.435 -0.420  0.192 -0.364  -0.025 -0.246  -0.242 -0.128  -0.431 0.060  -0.619 0.249  -0.742 0.338  -0.685 0.089  -0.535 -0.114  -0.307 -0.024  -0.082 -0.123  0.046 -0.317  0.234 -0.505  0.350 -0.724  0.483 -0.952  0.671 -1.140  0.816 -1.360  1.011 -1.508  1.236 -1.607
