2#apa#apa19#app1982/Q  0.372 1.024  0.228 1.096  0.028 1.160  -0.186 1.167  -0.386 1.129  -0.538 0.976  -0.691 0.824  -0.814 0.647  -0.917 0.459  -0.994 0.261  -1.031 0.052  -1.066 -0.158  -1.066 -0.374  -0.994 -0.573  -0.933 -0.763  -0.781 -0.915  -0.625 -1.061  -0.410 -1.061  -0.194 -1.061  0.005 -0.993  0.209 -0.924  0.397 -0.821  0.537 -0.659  0.679 -0.512  0.801 -0.346  0.803 -0.130  0.803 0.085  0.803 0.301  0.708 0.494  0.612 0.687  0.474 0.850  0.308 0.984  0.132 1.096  -0.056 1.164  -0.203 1.101  -0.152 0.892  -0.100 0.683  -0.048 0.473  0.004 0.264  0.057 0.055  0.109 -0.154  0.156 -0.321  0.178 -0.270  0.294 -0.408  0.360 -0.607  0.425 -0.808  0.538 -0.985  0.630 -1.175  0.731 -1.349  0.803 -1.493
2#apa#apa19#app1982/U  -0.539 1.052  -0.573 1.145  -0.632 1.213  -0.704 1.167  -0.725 1.049  -0.725 0.922  -0.693 0.802  -0.636 0.689  -0.632 0.563  -0.632 0.436  -0.632 0.309  -0.632 0.182  -0.602 0.063  -0.546 -0.051  -0.539 -0.176  -0.539 -0.303  -0.539 -0.430  -0.485 -0.544  -0.446 -0.662  -0.446 -0.789  -0.386 -0.897  -0.316 -1.003  -0.242 -1.105  -0.167 -1.201  -0.112 -1.273  0.015 -1.273  0.142 -1.273  0.205 -1.209  0.274 -1.111  0.364 -1.021  0.430 -0.915  0.486 -0.801  0.526 -0.680  0.566 -0.560  0.619 -0.445  0.670 -0.330  0.670 -0.203  0.670 -0.076  0.670 0.051  0.670 0.178  0.670 0.305  0.670 0.431  0.670 0.558  0.670 0.685  0.670 0.812  0.637 0.931  0.581 1.045  0.577 1.171  0.518 1.238  0.484 1.331
2#apa#apa19#app1982/I  0.139 1.215  0.064 1.215  0.018 1.245  0.018 1.320  -0.024 1.379  -0.078 1.432  -0.104 1.420  -0.104 1.344  -0.104 1.268  -0.104 1.193  -0.104 1.117  -0.104 1.041  -0.104 0.965  -0.104 0.890  -0.104 0.814  -0.104 0.738  -0.104 0.662  -0.104 0.587  -0.104 0.511  -0.104 0.435  -0.104 0.359  -0.104 0.284  -0.104 0.208  -0.104 0.132  -0.104 0.056  -0.104 -0.019  -0.104 -0.095  -0.083 -0.166  -0.050 -0.234  -0.016 -0.301  0.018 -0.369  0.018 -0.445  0.018 -0.521  0.018 -0.597  0.018 -0.672  0.018 -0.748  0.018 -0.824  0.049 -0.887  0.103 -0.940  0.139 -1.001  0.139 -1.076  0.139 -1.152  0.139 -1.228  0.139 -1.304  0.139 -1.379  0.139 -1.455  0.187 -1.511  0.240 -1.565  0.261 -1.632  0.261 -1.708
2#apa#apa19#app1982/C  0.872 0.270  0.872 0.371  0.872 0.472  0.872 0.573  0.816 0.650  0.764 0.729  0.750 0.825  0.679 0.896  0.588 0.920  0.547 0.980  0.495 1.028  0.394 1.028  0.293 1.028  0.192 1.028  0.091 1.028  -0.005 1.017  -0.077 0.946  -0.148 0.875  -0.219 0.803  -0.291 0.732  -0.362 0.661  -0.433 0.589  -0.504 0.518  -0.536 0.430  -0.558 0.335  -0.603 0.244  -0.644 0.153  -0.644 0.052  -0.644 -0.049  -0.644 -0.149  -0.644 -0.250  -0.644 -0.351  -0.644 -0.452  -0.644 -0.553  -0.604 -0.637  -0.532 -0.708  -0.461 -0.780  -0.390 -0.851  -0.318 -0.922  -0.234 -0.978  -0.150 -1.034  -0.067 -1.090  0.016 -1.148  0.087 -1.219  0.170 -1.274  0.260 -1.319  0.353 -1.354  0.454 -1.354  0.554 -1.354  0.655 -1.354
2#apa#apa19#app1982/K  -0.650 1.546  -0.753 1.662  -0.753 1.621  -0.753 1.402  -0.682 1.200  -0.650 0.989  -0.650 0.770  -0.650 0.551  -0.566 0.353  -0.548 0.138  -0.548 -0.080  -0.548 -0.299  -0.548 -0.518  -0.548 -0.736  -0.518 -0.943  -0.445 -1.131  -0.445 -1.350  -0.404 -1.527  -0.268 -1.388  -0.164 -1.196  -0.059 -1.004  0.045 -0.811  0.149 -0.619  0.253 -0.427  0.357 -0.235  0.461 -0.042  0.565 0.150  0.670 0.342  0.774 0.534  0.878 0.727  0.982 0.919  0.844 0.786  0.659 0.704  0.505 0.550  0.320 0.467  0.126 0.398  -0.073 0.317  -0.277 0.280  -0.468 0.214  -0.522 0.086  -0.337 0.004  -0.183 -0.151  0.001 -0.265  0.212 -0.298  0.387 -0.407  0.583 -0.504  0.790 -0.573  0.969 -0.688  1.180 -0.708  1.296 -0.810
2#apa#apa19#app1982/L  -0.389 1.212  -0.389 1.303  -0.389 1.393  -0.389 1.483  -0.389 1.539  -0.373 1.455  -0.309 1.391  -0.303 1.303  -0.303 1.213  -0.303 1.123  -0.297 1.034  -0.233 0.970  -0.217 0.887  -0.217 0.797  -0.217 0.706  -0.217 0.616  -0.217 0.525  -0.217 0.435  -0.217 0.344  -0.217 0.254  -0.217 0.164  -0.217 0.073  -0.217 -0.017  -0.217 -0.108  -0.217 -0.198  -0.217 -0.288  -0.217 -0.379  -0.217 -0.469  -0.217 -0.560  -0.255 -0.634  -0.303 -0.705  -0.303 -0.795  -0.270 -0.853  -0.180 -0.853  -0.090 -0.853  0.001 -0.853  0.091 -0.853  0.182 -0.853  0.272 -0.853  0.363 -0.853  0.453 -0.853  0.543 -0.853  0.634 -0.853  0.724 -0.853  0.806 -0.891  0.887 -0.932  0.975 -0.939  0.988 -1.017  1.070 -1.025  1.160 -1.025
2#apa#apa19#app1982/Y  -1.065 0.558  -1.161 0.689  -1.151 0.836  -1.030 0.715  -0.909 0.594  -0.788 0.473  -0.735 0.324  -0.614 0.203  -0.493 0.082  -0.372 -0.039  -0.268 -0.173  -0.186 -0.322  -0.065 -0.443  0.056 -0.564  0.098 -0.661  0.157 -0.500  0.217 -0.340  0.276 -0.179  0.335 -0.018  0.394 0.142  0.453 0.303  0.512 0.463  0.572 0.624  0.631 0.785  0.690 0.945  0.749 1.106  0.715 1.230  0.639 1.326  0.471 1.323  0.416 1.175  0.375 1.021  0.375 0.850  0.300 0.696  0.224 0.543  0.183 0.381  0.183 0.210  0.183 0.039  0.132 -0.120  0.087 -0.281  0.087 -0.452  0.032 -0.610  -0.025 -0.770  -0.058 -0.938  -0.092 -1.105  -0.105 -1.275  -0.105 -1.447  -0.105 -1.618  -0.105 -1.789  -0.105 -1.960  -0.009 -2.035
2#apa#apa19#app1982/F  -0.519 0.582  -0.519 0.367  -0.519 0.152  -0.519 -0.062  -0.519 -0.277  -0.505 -0.488  -0.433 -0.686  -0.433 -0.901  -0.417 -1.113  -0.349 -1.317  -0.324 -1.522  -0.222 -1.674  -0.172 -1.838  -0.208 -1.644  -0.246 -1.433  -0.284 -1.222  -0.322 -1.010  -0.360 -0.799  -0.397 -0.587  -0.435 -0.376  -0.473 -0.164  -0.511 0.047  -0.548 0.259  -0.586 0.470  -0.606 0.683  -0.502 0.851  -0.305 0.929  -0.091 0.929  0.124 0.929  0.339 0.929  0.554 0.929  0.769 0.929  0.983 0.929  1.198 0.929  1.367 0.921  1.165 0.847  0.964 0.772  0.762 0.698  0.561 0.624  0.359 0.550  0.158 0.475  -0.044 0.401  -0.245 0.327  -0.259 0.122  -0.104 0.061  0.110 0.061  0.325 0.061  0.539 0.067  0.743 0.135  0.955 0.148
2#apa#apa19#app1982/O  0.427 0.723  0.362 0.853  0.246 0.904  0.131 0.976  -0.015 0.976  -0.160 0.976  -0.305 0.976  -0.447 0.962  -0.576 0.897  -0.681 0.797  -0.773 0.686  -0.838 0.557  -0.903 0.427  -0.968 0.297  -1.008 0.161  -1.008 0.016  -1.008 -0.129  -0.977 -0.267  -0.912 -0.397  -0.847 -0.527  -0.782 -0.657  -0.675 -0.738  -0.537 -0.784  -0.454 -0.892  -0.353 -0.965  -0.208 -0.965  -0.074 -1.010  0.062 -1.049  0.207 -1.049  0.353 -1.049  0.498 -1.049  0.643 -1.049  0.756 -0.973  0.884 -0.905  0.933 -0.790  0.933 -0.645  0.933 -0.499  0.933 -0.354  0.908 -0.213  0.862 -0.076  0.802 0.057  0.745 0.190  0.699 0.327  0.621 0.445  0.518 0.548  0.415 0.650  0.313 0.753  0.210 0.855  0.108 0.958  0.005 1.061
2#apa#apa19#app1982/R  -0.332 0.387  -0.556 0.387  -0.760 0.337  -0.804 0.131  -0.804 -0.094  -0.742 -0.303  -0.709 -0.520  -0.542 -0.641  -0.431 -0.831  -0.330 -1.031  -0.172 -1.190  -0.143 -1.224  -0.237 -1.039  -0.291 -0.827  -0.332 -0.612  -0.407 -0.406  -0.484 -0.195  -0.520 0.023  -0.520 0.247  -0.520 0.472  -0.520 0.696  -0.520 0.921  -0.520 1.145  -0.427 1.331  -0.242 1.426  -0.018 1.426  0.207 1.426  0.398 1.317  0.590 1.202  0.773 1.077  0.932 0.918  1.085 0.758  1.085 0.533  1.085 0.309  0.910 0.212  0.702 0.133  0.521 0.012  0.298 0.009  0.073 0.009  -0.121 -0.064  -0.307 -0.155  -0.264 -0.342  -0.172 -0.528  -0.004 -0.674  0.196 -0.774  0.397 -0.875  0.581 -0.998  0.773 -1.110  0.966 -1.194  1.180 -1.219
2#apa#apa19#app1982/G  0.449 0.787  0.449 0.922  0.374 1.026  0.302 1.088  0.199 1.164  0.089 1.223  -0.040 1.239  -0.174 1.239  -0.285 1.182  -0.413 1.164  -0.467 1.076  -0.562 0.980  -0.657 0.885  -0.753 0.790  -0.814 0.670  -0.830 0.539  -0.830 0.404  -0.830 0.270  -0.830 0.135  -0.830 0.000  -0.830 -0.134  -0.829 -0.269  -0.769 -0.389  -0.682 -0.491  -0.587 -0.586  -0.505 -0.691  -0.436 -0.803  -0.316 -0.863  -0.195 -0.923  -0.091 -1.006  0.026 -1.071  0.155 -1.095  0.290 -1.095  0.425 -1.095  0.559 -1.095  0.675 -1.076  0.731 -0.964  0.826 -0.869  0.901 -0.765  0.901 -0.630  0.901 -0.496  0.901 -0.361  0.849 -0.238  0.768 -0.133  0.726 -0.016  0.612 0.034  0.525 0.082  0.418 0.110  0.283 0.110  0.224 0.034
