1c#apb#apb15#app1581/e  -1.072 0.305  -0.932 0.256  -0.824 0.148  -0.700 0.057  -0.576 -0.033  -0.460 -0.133  -0.324 -0.190  -0.171 -0.207  -0.018 -0.204  0.136 -0.193  0.289 -0.183  0.438 -0.148  0.586 -0.106  0.734 -0.064  0.885 -0.037  1.036 -0.012  1.176 0.044  1.301 0.132  1.355 0.269  1.338 0.417  1.239 0.535  1.139 0.651  1.038 0.767  0.917 0.857  0.780 0.926  0.630 0.953  0.477 0.969  0.329 0.937  0.181 0.893  0.048 0.819  -0.080 0.733  -0.208 0.648  -0.335 0.563  -0.454 0.467  -0.563 0.358  -0.672 0.249  -0.754 0.125  -0.797 -0.023  -0.799 -0.176  -0.799 -0.330  -0.799 -0.483  -0.762 -0.633  -0.726 -0.782  -0.692 -0.932  -0.651 -1.080  -0.602 -1.226  -0.506 -1.340  -0.387 -1.436  -0.259 -1.521  -0.131 -1.607
1c#apb#apb15#app1581/i  0.064 0.094  0.025 0.037  -0.027 -0.056  -0.078 -0.149  -0.118 -0.248  -0.157 -0.347  -0.193 -0.447  -0.229 -0.547  -0.265 -0.647  -0.305 -0.746  -0.344 -0.845  -0.384 -0.944  -0.422 -1.043  -0.445 -1.147  -0.469 -1.251  -0.453 -1.350  -0.410 -1.386  -0.377 -1.285  -0.344 -1.184  -0.312 -1.083  -0.279 -0.981  -0.246 -0.880  -0.213 -0.779  -0.180 -0.677  -0.147 -0.576  -0.114 -0.475  -0.082 -0.374  -0.049 -0.272  -0.016 -0.171  0.017 -0.070  0.050 0.032  0.083 0.133  0.115 0.234  0.148 0.335  0.181 0.437  0.214 0.538  0.247 0.639  0.280 0.741  0.313 0.842  0.345 0.943  0.378 1.044  0.411 1.146  0.444 1.247  0.477 1.348  0.510 1.450  0.543 1.551  0.496 1.641  0.456 1.738  0.435 1.842  0.426 1.948
1c#apb#apb15#app1581/k  0.085 2.083  0.173 2.034  0.186 1.847  0.171 1.661  0.129 1.478  0.087 1.294  0.029 1.115  -0.031 0.937  -0.090 0.758  -0.156 0.582  -0.225 0.407  -0.294 0.232  -0.363 0.057  -0.441 -0.114  -0.525 -0.283  -0.609 -0.451  -0.688 -0.622  -0.750 -0.799  -0.812 -0.977  -0.886 -1.150  -0.853 -1.250  -0.732 -1.107  -0.605 -0.968  -0.479 -0.828  -0.356 -0.686  -0.231 -0.545  -0.102 -0.408  0.028 -0.272  0.158 -0.136  0.302 -0.015  0.445 0.107  0.588 0.229  0.730 0.352  0.873 0.476  1.002 0.611  0.876 0.550  0.724 0.444  0.606 0.297  0.486 0.152  0.366 0.008  0.222 -0.114  0.080 -0.237  -0.035 -0.386  -0.145 -0.538  -0.192 -0.713  -0.070 -0.854  0.068 -0.974  0.239 -1.053  0.415 -1.117  0.603 -1.117
1c#apb#apb15#app1581/o  0.711 1.015  0.589 1.071  0.466 1.106  0.343 1.052  0.218 1.005  0.088 0.972  -0.022 0.899  -0.126 0.815  -0.230 0.730  -0.331 0.643  -0.433 0.556  -0.535 0.468  -0.634 0.378  -0.733 0.287  -0.831 0.197  -0.921 0.097  -1.010 -0.003  -1.062 -0.123  -1.099 -0.252  -1.136 -0.381  -1.108 -0.512  -1.069 -0.639  -1.002 -0.755  -0.914 -0.855  -0.812 -0.933  -0.678 -0.943  -0.544 -0.953  -0.412 -0.942  -0.281 -0.915  -0.149 -0.889  -0.018 -0.863  0.111 -0.827  0.240 -0.788  0.368 -0.750  0.496 -0.711  0.602 -0.630  0.704 -0.544  0.806 -0.457  0.894 -0.357  0.976 -0.251  1.022 -0.130  1.043 0.003  1.052 0.134  0.997 0.256  0.941 0.378  0.867 0.489  0.791 0.599  0.715 0.710  0.589 0.752  0.461 0.791
1c#apb#apb15#app1581/a  0.431 0.234  0.342 0.373  0.233 0.492  0.099 0.588  -0.050 0.651  -0.211 0.682  -0.376 0.682  -0.540 0.667  -0.699 0.629  -0.855 0.577  -0.997 0.497  -1.130 0.400  -1.242 0.282  -1.339 0.149  -1.406 0.002  -1.436 -0.159  -1.436 -0.323  -1.346 -0.458  -1.236 -0.580  -1.111 -0.686  -0.946 -0.686  -0.782 -0.686  -0.617 -0.686  -0.481 -0.594  -0.346 -0.501  -0.206 -0.415  -0.062 -0.335  0.082 -0.255  0.218 -0.163  0.345 -0.059  0.472 0.046  0.598 0.152  0.714 0.269  0.830 0.385  0.947 0.502  1.069 0.611  1.177 0.732  1.196 0.675  1.096 0.544  1.028 0.395  0.972 0.241  0.946 0.079  0.908 -0.080  0.835 -0.227  0.773 -0.379  0.721 -0.536  0.685 -0.696  0.655 -0.858  0.699 -1.016  0.779 -1.159
1c#apb#apb15#app1581/u  -0.730 1.056  -0.756 0.981  -0.756 0.830  -0.787 0.682  -0.818 0.533  -0.871 0.393  -0.943 0.260  -1.015 0.126  -1.059 -0.019  -1.104 -0.164  -1.133 -0.312  -1.156 -0.462  -1.168 -0.613  -1.168 -0.764  -1.065 -0.873  -0.934 -0.949  -0.797 -0.941  -0.656 -0.885  -0.515 -0.829  -0.374 -0.773  -0.236 -0.713  -0.133 -0.602  -0.030 -0.491  0.073 -0.379  0.176 -0.268  0.279 -0.157  0.382 -0.046  0.472 0.075  0.560 0.199  0.647 0.323  0.726 0.452  0.781 0.593  0.835 0.734  0.890 0.875  0.974 1.001  0.995 1.050  0.917 0.921  0.855 0.783  0.814 0.637  0.780 0.490  0.739 0.344  0.691 0.200  0.646 0.056  0.606 -0.091  0.587 -0.239  0.601 -0.390  0.632 -0.537  0.712 -0.659  0.842 -0.719  0.993 -0.719
1c#apb#apb15#app1581/r  0.090 1.938  0.058 1.807  0.011 1.680  -0.039 1.555  -0.090 1.429  -0.106 1.297  -0.106 1.161  -0.106 1.026  -0.106 0.891  -0.106 0.755  -0.106 0.620  -0.106 0.485  -0.106 0.349  -0.106 0.214  -0.106 0.079  -0.106 -0.057  -0.106 -0.192  -0.106 -0.328  -0.106 -0.463  -0.106 -0.598  -0.106 -0.734  -0.106 -0.869  -0.106 -1.004  -0.106 -1.140  -0.106 -1.275  -0.106 -1.410  -0.106 -1.546  -0.106 -1.681  -0.106 -1.551  -0.106 -1.416  -0.106 -1.281  -0.104 -1.145  -0.093 -1.010  -0.082 -0.875  -0.070 -0.741  -0.049 -0.607  -0.022 -0.474  0.004 -0.342  0.031 -0.209  0.058 -0.076  0.084 0.056  0.112 0.189  0.140 0.321  0.169 0.454  0.197 0.586  0.260 0.701  0.347 0.805  0.450 0.875  0.585 0.875  0.720 0.875
1c#apb#apb15#app1581/a  0.636 0.608  0.600 0.769  0.532 0.911  0.408 1.020  0.272 1.111  0.125 1.139  -0.020 1.060  -0.165 0.982  -0.316 0.916  -0.467 0.850  -0.619 0.784  -0.736 0.667  -0.852 0.551  -0.969 0.434  -1.086 0.317  -1.202 0.200  -1.277 0.061  -1.306 -0.101  -1.302 -0.263  -1.266 -0.424  -1.154 -0.540  -1.030 -0.649  -0.878 -0.699  -0.715 -0.729  -0.551 -0.747  -0.387 -0.762  -0.238 -0.701  -0.093 -0.622  0.053 -0.545  0.201 -0.471  0.348 -0.397  0.464 -0.282  0.574 -0.159  0.665 -0.022  0.748 0.120  0.836 0.260  0.937 0.390  1.010 0.516  0.881 0.412  0.836 0.257  0.799 0.096  0.748 -0.061  0.687 -0.214  0.658 -0.375  0.646 -0.539  0.630 -0.703  0.593 -0.864  0.556 -1.025  0.575 -1.187  0.607 -1.349
1c#apb#apb15#app1581/o  0.754 0.646  0.646 0.732  0.514 0.764  0.378 0.786  0.241 0.793  0.103 0.793  -0.034 0.775  -0.169 0.750  -0.301 0.708  -0.430 0.661  -0.548 0.591  -0.660 0.511  -0.773 0.431  -0.868 0.333  -0.955 0.225  -1.024 0.109  -1.064 -0.023  -1.089 -0.158  -1.101 -0.296  -1.099 -0.433  -1.075 -0.568  -1.027 -0.694  -0.942 -0.803  -0.846 -0.899  -0.728 -0.970  -0.604 -1.020  -0.466 -1.020  -0.328 -1.020  -0.191 -1.000  -0.055 -0.979  0.074 -0.934  0.199 -0.876  0.324 -0.818  0.433 -0.734  0.534 -0.640  0.634 -0.546  0.734 -0.450  0.806 -0.333  0.878 -0.215  0.936 -0.092  0.965 0.043  0.994 0.178  0.978 0.313  0.951 0.449  0.921 0.583  0.863 0.708  0.805 0.834  0.706 0.907  0.571 0.936  0.436 0.965
1c#apb#apb15#app1581/a  0.052 -0.609  0.180 -0.429  0.320 -0.258  0.417 -0.060  0.472 0.152  0.503 0.371  0.477 0.588  0.417 0.799  0.332 1.002  0.175 1.159  -0.006 1.266  -0.220 1.249  -0.422 1.164  -0.601 1.034  -0.754 0.879  -0.881 0.698  -0.998 0.511  -1.114 0.322  -1.191 0.116  -1.265 -0.092  -1.284 -0.312  -1.264 -0.528  -1.176 -0.727  -1.020 -0.883  -0.804 -0.894  -0.599 -0.812  -0.406 -0.707  -0.220 -0.587  -0.050 -0.448  0.100 -0.286  0.250 -0.124  0.406 0.032  0.563 0.189  0.687 0.370  0.803 0.558  0.928 0.740  1.014 0.892  0.897 0.706  0.805 0.504  0.722 0.300  0.645 0.093  0.555 -0.109  0.447 -0.301  0.339 -0.494  0.279 -0.707  0.220 -0.920  0.168 -1.134  0.185 -1.338  0.347 -1.468  0.568 -1.468
1c#apb#apb15#app1581/n  -0.568 1.182  -0.547 1.050  -0.583 0.892  -0.620 0.733  -0.675 0.580  -0.735 0.428  -0.796 0.277  -0.852 0.124  -0.907 -0.030  -0.962 -0.183  -0.992 -0.343  -1.021 -0.504  -1.025 -0.667  -1.025 -0.830  -1.025 -0.993  -0.892 -0.971  -0.751 -0.890  -0.657 -0.756  -0.564 -0.623  -0.454 -0.502  -0.339 -0.387  -0.225 -0.271  -0.123 -0.144  -0.021 -0.016  0.081 0.111  0.177 0.242  0.268 0.378  0.358 0.514  0.448 0.649  0.539 0.785  0.638 0.914  0.740 1.042  0.838 1.172  0.848 1.099  0.816 0.940  0.786 0.779  0.757 0.619  0.735 0.458  0.720 0.295  0.706 0.133  0.694 -0.030  0.682 -0.192  0.682 -0.356  0.662 -0.515  0.605 -0.668  0.590 -0.828  0.618 -0.987  0.670 -1.141  0.775 -1.253  0.925 -1.317
