1c#apb#apb05#app0566/u  -0.244 1.112  -0.339 0.976  -0.433 0.839  -0.521 0.698  -0.598 0.552  -0.676 0.405  -0.752 0.257  -0.823 0.107  -0.894 -0.043  -0.965 -0.193  -1.032 -0.345  -1.097 -0.497  -1.147 -0.654  -1.159 -0.819  -1.155 -0.980  -1.063 -1.118  -0.899 -1.141  -0.748 -1.094  -0.604 -1.011  -0.460 -0.929  -0.316 -0.847  -0.171 -0.764  -0.043 -0.663  0.057 -0.532  0.158 -0.400  0.259 -0.268  0.346 -0.126  0.430 0.017  0.514 0.160  0.594 0.306  0.670 0.453  0.747 0.600  0.824 0.747  0.911 0.888  1.014 1.017  1.090 1.157  1.045 1.130  0.970 0.981  0.896 0.833  0.816 0.688  0.736 0.542  0.656 0.397  0.581 0.249  0.518 0.095  0.454 -0.058  0.403 -0.215  0.381 -0.379  0.359 -0.544  0.355 -0.710  0.355 -0.876
1c#apb#apb05#app0566/s  0.913 0.873  0.960 0.967  0.989 1.063  0.930 1.128  0.826 1.144  0.722 1.160  0.620 1.138  0.519 1.108  0.418 1.078  0.317 1.050  0.215 1.025  0.113 0.999  0.012 0.970  -0.081 0.920  -0.173 0.870  -0.236 0.790  -0.257 0.694  -0.230 0.592  -0.199 0.492  -0.135 0.408  -0.072 0.324  -0.008 0.240  0.060 0.160  0.128 0.079  0.196 -0.001  0.243 -0.094  0.285 -0.191  0.327 -0.287  0.351 -0.387  0.344 -0.492  0.337 -0.597  0.309 -0.695  0.251 -0.782  0.192 -0.870  0.117 -0.940  0.029 -0.999  -0.058 -1.057  -0.158 -1.082  -0.263 -1.096  -0.367 -1.110  -0.466 -1.081  -0.562 -1.040  -0.659 -0.999  -0.755 -0.955  -0.851 -0.911  -0.946 -0.867  -1.016 -0.788  -1.081 -0.706  -1.115 -0.609  -1.033 -0.638
1c#apb#apb05#app0566/t  1.289 1.529  1.180 1.428  1.070 1.327  0.967 1.220  0.878 1.101  0.788 0.982  0.699 0.863  0.610 0.744  0.515 0.629  0.419 0.516  0.322 0.402  0.225 0.289  0.129 0.176  0.039 0.057  -0.036 -0.071  -0.111 -0.199  -0.187 -0.328  -0.262 -0.456  -0.339 -0.584  -0.421 -0.708  -0.504 -0.832  -0.586 -0.956  -0.662 -1.083  -0.724 -1.219  -0.784 -1.355  -0.794 -1.460  -0.708 -1.339  -0.676 -1.198  -0.664 -1.049  -0.653 -0.901  -0.641 -0.753  -0.629 -0.604  -0.617 -0.456  -0.605 -0.307  -0.593 -0.159  -0.581 -0.011  -0.595 0.130  -0.625 0.194  -0.478 0.208  -0.331 0.228  -0.186 0.261  -0.042 0.301  0.101 0.341  0.244 0.381  0.390 0.409  0.538 0.431  0.685 0.453  0.833 0.467  0.982 0.476  1.130 0.485
1c#apb#apb05#app0566/r  0.499 0.610  0.413 0.516  0.327 0.422  0.241 0.328  0.158 0.231  0.085 0.127  0.012 0.022  -0.061 -0.082  -0.134 -0.186  -0.207 -0.291  -0.290 -0.388  -0.376 -0.481  -0.463 -0.575  -0.550 -0.668  -0.633 -0.764  -0.710 -0.866  -0.786 -0.968  -0.863 -1.070  -0.943 -1.168  -1.019 -1.249  -0.979 -1.129  -0.932 -1.011  -0.879 -0.895  -0.819 -0.783  -0.759 -0.671  -0.698 -0.559  -0.617 -0.460  -0.536 -0.362  -0.455 -0.263  -0.374 -0.165  -0.293 -0.067  -0.211 0.030  -0.128 0.128  -0.046 0.225  0.037 0.322  0.119 0.419  0.202 0.516  0.304 0.591  0.408 0.665  0.512 0.740  0.615 0.814  0.731 0.868  0.846 0.921  0.962 0.975  1.079 1.016  1.206 1.004  1.333 0.993  1.448 0.945  1.557 0.880  1.667 0.814
1c#apb#apb05#app0566/a  1.295 0.873  1.212 1.010  1.068 1.096  0.913 1.096  0.752 1.051  0.592 1.006  0.432 0.958  0.287 0.875  0.142 0.792  -0.003 0.709  -0.148 0.626  -0.290 0.538  -0.430 0.446  -0.570 0.355  -0.710 0.263  -0.841 0.162  -0.960 0.044  -1.078 -0.074  -1.183 -0.202  -1.254 -0.353  -1.326 -0.504  -1.370 -0.664  -1.354 -0.806  -1.212 -0.895  -1.045 -0.896  -0.878 -0.896  -0.717 -0.862  -0.558 -0.809  -0.400 -0.755  -0.256 -0.670  -0.112 -0.586  0.025 -0.491  0.146 -0.377  0.268 -0.262  0.388 -0.146  0.494 -0.017  0.600 0.112  0.706 0.242  0.806 0.375  0.904 0.510  0.824 0.404  0.736 0.261  0.656 0.115  0.596 -0.041  0.535 -0.196  0.491 -0.357  0.457 -0.521  0.423 -0.684  0.455 -0.848  0.490 -1.011
1c#apb#apb05#app0566/l  0.915 1.430  0.880 1.370  0.846 1.310  0.811 1.249  0.777 1.189  0.742 1.129  0.707 1.069  0.672 1.009  0.636 0.950  0.601 0.890  0.566 0.830  0.530 0.770  0.495 0.711  0.454 0.655  0.412 0.600  0.369 0.545  0.327 0.490  0.285 0.435  0.243 0.380  0.200 0.325  0.158 0.269  0.116 0.214  0.074 0.159  0.031 0.104  -0.006 0.046  -0.044 -0.013  -0.081 -0.071  -0.118 -0.130  -0.155 -0.188  -0.192 -0.247  -0.229 -0.306  -0.266 -0.364  -0.303 -0.423  -0.341 -0.482  -0.377 -0.541  -0.412 -0.601  -0.448 -0.660  -0.483 -0.720  -0.518 -0.780  -0.554 -0.839  -0.589 -0.899  -0.625 -0.959  -0.660 -1.019  -0.693 -1.080  -0.721 -1.143  -0.750 -1.206  -0.778 -1.269  -0.807 -1.333  -0.835 -1.396  -0.863 -1.459
1c#apb#apb05#app0566/i  -0.058 0.200  -0.103 0.103  -0.148 0.007  -0.185 -0.093  -0.221 -0.193  -0.259 -0.293  -0.308 -0.387  -0.358 -0.481  -0.407 -0.576  -0.462 -0.666  -0.526 -0.751  -0.591 -0.835  -0.656 -0.920  -0.721 -1.004  -0.786 -1.089  -0.849 -1.174  -0.843 -1.164  -0.780 -1.078  -0.718 -0.992  -0.655 -0.907  -0.592 -0.821  -0.529 -0.735  -0.466 -0.649  -0.403 -0.563  -0.340 -0.477  -0.278 -0.391  -0.215 -0.305  -0.152 -0.220  -0.089 -0.134  -0.026 -0.048  0.037 0.038  0.100 0.124  0.162 0.210  0.225 0.296  0.288 0.382  0.351 0.468  0.414 0.553  0.477 0.639  0.540 0.725  0.602 0.811  0.665 0.897  0.728 0.983  0.791 1.069  0.854 1.155  0.917 1.241  0.980 1.326  1.042 1.412  1.105 1.498  1.183 1.440  1.262 1.369
1c#apb#apb05#app0566/a  0.639 0.851  0.485 0.802  0.330 0.754  0.174 0.710  0.018 0.666  -0.139 0.623  -0.295 0.579  -0.451 0.535  -0.608 0.491  -0.762 0.443  -0.915 0.389  -1.068 0.335  -1.202 0.243  -1.327 0.141  -1.412 0.010  -1.388 -0.142  -1.272 -0.255  -1.123 -0.321  -0.967 -0.325  -0.807 -0.299  -0.664 -0.222  -0.526 -0.138  -0.400 -0.036  -0.277 0.070  -0.163 0.185  -0.059 0.308  0.019 0.451  0.110 0.584  0.072 0.543  -0.025 0.413  -0.106 0.272  -0.172 0.125  -0.220 -0.030  -0.232 -0.189  -0.213 -0.349  -0.105 -0.470  0.023 -0.551  0.185 -0.564  0.346 -0.577  0.508 -0.590  0.670 -0.587  0.833 -0.583  0.995 -0.578  1.157 -0.574  1.319 -0.569  1.481 -0.552  1.642 -0.534  1.803 -0.515  1.964 -0.497  2.126 -0.478
1c#apb#apb05#app0566/a  0.752 0.803  0.750 0.974  0.653 1.090  0.492 1.031  0.331 0.972  0.181 0.889  0.031 0.806  -0.119 0.723  -0.257 0.623  -0.389 0.512  -0.520 0.402  -0.651 0.292  -0.780 0.179  -0.902 0.058  -1.023 -0.064  -1.144 -0.185  -1.243 -0.323  -1.325 -0.474  -1.399 -0.626  -1.413 -0.797  -1.324 -0.927  -1.172 -0.966  -1.001 -0.947  -0.831 -0.928  -0.667 -0.881  -0.508 -0.819  -0.348 -0.756  -0.193 -0.683  -0.047 -0.593  0.099 -0.503  0.243 -0.412  0.374 -0.300  0.504 -0.188  0.631 -0.074  0.728 0.068  0.824 0.209  0.920 0.352  1.011 0.497  1.090 0.647  1.066 0.769  0.932 0.663  0.845 0.516  0.758 0.368  0.694 0.209  0.631 0.049  0.577 -0.113  0.547 -0.282  0.516 -0.450  0.528 -0.621  0.548 -0.791
1c#apb#apb05#app0566/n  -0.547 0.374  -0.539 0.234  -0.601 0.103  -0.662 -0.028  -0.728 -0.157  -0.796 -0.285  -0.862 -0.414  -0.924 -0.545  -0.985 -0.675  -1.049 -0.805  -1.114 -0.935  -1.159 -0.993  -1.077 -0.875  -0.988 -0.761  -0.905 -0.643  -0.830 -0.519  -0.756 -0.395  -0.677 -0.274  -0.588 -0.160  -0.499 -0.046  -0.410 0.068  -0.320 0.182  -0.230 0.295  -0.140 0.408  -0.050 0.522  0.039 0.635  0.139 0.739  0.254 0.826  0.369 0.914  0.484 1.002  0.611 1.070  0.741 1.135  0.868 1.102  0.992 1.030  1.035 0.892  1.078 0.754  1.072 0.611  1.054 0.468  1.035 0.324  0.995 0.186  0.944 0.051  0.893 -0.085  0.840 -0.219  0.777 -0.350  0.715 -0.480  0.653 -0.611  0.581 -0.737  0.508 -0.861  0.431 -0.983  0.328 -1.085
1c#apb#apb05#app0566/a  0.920 0.855  0.922 1.026  0.750 0.985  0.576 0.938  0.410 0.872  0.254 0.782  0.097 0.693  -0.059 0.604  -0.214 0.510  -0.366 0.413  -0.518 0.317  -0.670 0.220  -0.817 0.116  -0.953 -0.002  -1.089 -0.120  -1.221 -0.242  -1.315 -0.395  -1.410 -0.549  -1.461 -0.718  -1.403 -0.862  -1.234 -0.897  -1.055 -0.892  -0.891 -0.817  -0.727 -0.741  -0.577 -0.642  -0.432 -0.536  -0.287 -0.429  -0.157 -0.304  -0.034 -0.173  0.089 -0.041  0.211 0.092  0.326 0.231  0.440 0.370  0.555 0.509  0.673 0.645  0.795 0.778  0.924 0.901  0.906 0.768  0.854 0.595  0.805 0.422  0.755 0.248  0.706 0.075  0.654 -0.098  0.600 -0.270  0.546 -0.442  0.541 -0.621  0.541 -0.802  0.585 -0.969  0.680 -1.123  0.774 -1.276
