1c#apa#apa09#app0955/t  0.074 1.970  0.021 1.810  -0.033 1.650  -0.085 1.490  -0.126 1.326  -0.167 1.162  -0.208 0.999  -0.249 0.835  -0.290 0.672  -0.330 0.508  -0.371 0.344  -0.396 0.179  -0.396 0.010  -0.414 -0.157  -0.447 -0.322  -0.480 -0.487  -0.513 -0.653  -0.546 -0.818  -0.511 -0.979  -0.458 -1.139  -0.404 -1.299  -0.253 -1.323  -0.084 -1.323  0.084 -1.323  0.249 -1.311  0.390 -1.217  0.530 -1.124  0.670 -1.030  0.774 -0.900  0.868 -0.760  0.961 -0.620  0.951 -0.507  0.800 -0.432  0.649 -0.356  0.498 -0.281  0.348 -0.205  0.197 -0.130  0.046 -0.055  -0.105 0.021  -0.256 0.096  -0.407 0.172  -0.553 0.250  -0.538 0.409  -0.387 0.485  -0.236 0.560  -0.086 0.635  0.065 0.711  0.225 0.766  0.385 0.819  0.545 0.872
1c#apa#apa09#app0955/h  -0.137 1.702  -0.137 1.818  -0.137 1.838  -0.137 1.721  -0.137 1.605  -0.142 1.488  -0.161 1.373  -0.180 1.258  -0.200 1.142  -0.219 1.027  -0.238 0.912  -0.257 0.796  -0.276 0.681  -0.296 0.566  -0.315 0.451  -0.322 0.334  -0.322 0.217  -0.322 0.101  -0.332 -0.015  -0.355 -0.130  -0.378 -0.245  -0.401 -0.359  -0.424 -0.474  -0.447 -0.588  -0.470 -0.703  -0.493 -0.818  -0.508 -0.933  -0.508 -1.050  -0.434 -1.028  -0.336 -0.963  -0.239 -0.899  -0.142 -0.834  -0.045 -0.769  0.051 -0.702  0.103 -0.598  0.155 -0.493  0.207 -0.389  0.286 -0.310  0.390 -0.258  0.495 -0.206  0.599 -0.153  0.654 -0.251  0.706 -0.356  0.759 -0.460  0.789 -0.570  0.789 -0.687  0.789 -0.804  0.809 -0.912  0.892 -0.995  0.974 -1.078
1c#apa#apa09#app0955/e  -0.275 0.297  -0.275 0.149  -0.201 0.075  -0.053 0.075  0.095 0.075  0.242 0.075  0.390 0.075  0.538 0.075  0.685 0.075  0.833 0.075  0.981 0.075  1.056 0.148  1.056 0.296  1.056 0.444  1.056 0.591  1.056 0.739  0.952 0.844  0.847 0.948  0.705 0.962  0.558 0.962  0.410 0.962  0.266 0.931  0.123 0.895  -0.021 0.859  -0.164 0.823  -0.307 0.788  -0.451 0.752  -0.568 0.669  -0.672 0.565  -0.776 0.460  -0.881 0.356  -0.940 0.232  -0.940 0.085  -0.940 -0.063  -0.924 -0.209  -0.888 -0.352  -0.853 -0.496  -0.817 -0.639  -0.781 -0.782  -0.745 -0.926  -0.683 -1.045  -0.543 -1.092  -0.403 -1.138  -0.263 -1.185  -0.123 -1.232  0.021 -1.255  0.169 -1.255  0.317 -1.255  0.464 -1.255  0.612 -1.255
1c#apa#apa09#app0955/m  -0.961 0.690  -0.961 0.508  -0.961 0.326  -0.998 0.150  -1.056 -0.023  -1.113 -0.196  -1.171 -0.369  -1.175 -0.551  -1.175 -0.733  -1.175 -0.706  -1.175 -0.524  -1.153 -0.349  -1.052 -0.197  -0.951 -0.045  -0.850 0.107  -0.748 0.258  -0.620 0.388  -0.491 0.517  -0.362 0.645  -0.199 0.690  -0.042 0.629  0.087 0.500  0.112 0.328  0.112 0.146  0.085 -0.032  0.028 -0.205  -0.030 -0.378  -0.088 -0.551  -0.103 -0.731  -0.057 -0.720  0.024 -0.557  0.106 -0.393  0.188 -0.230  0.269 -0.067  0.372 0.077  0.523 0.178  0.675 0.279  0.827 0.381  0.979 0.481  1.142 0.562  1.305 0.644  1.399 0.613  1.399 0.430  1.399 0.248  1.399 0.066  1.347 -0.108  1.289 -0.281  1.232 -0.454  1.184 -0.629  1.184 -0.811
1c#apa#apa09#app0955/o  0.508 0.050  0.427 0.212  0.346 0.374  0.265 0.536  0.096 0.555  -0.085 0.555  -0.266 0.555  -0.448 0.555  -0.542 0.434  -0.599 0.263  -0.656 0.091  -0.714 -0.081  -0.792 -0.240  -0.920 -0.368  -0.981 -0.507  -0.900 -0.669  -0.819 -0.831  -0.721 -0.977  -0.559 -1.058  -0.397 -1.139  -0.233 -1.213  -0.052 -1.213  0.129 -1.213  0.294 -1.174  0.422 -1.046  0.551 -0.918  0.679 -0.790  0.797 -0.654  0.897 -0.503  0.998 -0.352  1.098 -0.202  1.199 -0.051  1.266 0.110  1.266 0.291  1.125 0.397  0.974 0.497  0.823 0.598  0.672 0.698  0.522 0.799  0.343 0.807  0.162 0.807  -0.019 0.807  -0.200 0.807  -0.382 0.807  -0.563 0.807  -0.744 0.807  -0.875 0.687  -1.003 0.559  -1.131 0.431  -1.259 0.302
1c#apa#apa09#app0955/c  0.972 0.729  0.972 0.828  0.972 0.928  0.933 0.987  0.834 0.987  0.734 0.987  0.635 0.987  0.536 0.987  0.437 0.981  0.343 0.950  0.249 0.918  0.154 0.887  0.060 0.856  -0.034 0.824  -0.128 0.793  -0.223 0.761  -0.317 0.730  -0.388 0.661  -0.458 0.591  -0.528 0.520  -0.599 0.450  -0.669 0.380  -0.739 0.310  -0.809 0.240  -0.837 0.152  -0.837 0.052  -0.837 -0.047  -0.792 -0.136  -0.748 -0.225  -0.703 -0.314  -0.659 -0.402  -0.615 -0.491  -0.563 -0.574  -0.480 -0.629  -0.398 -0.684  -0.315 -0.739  -0.232 -0.794  -0.150 -0.849  -0.067 -0.904  0.016 -0.960  0.098 -1.015  0.181 -1.070  0.277 -1.080  0.376 -1.080  0.476 -1.080  0.575 -1.080  0.674 -1.080  0.774 -1.080  0.873 -1.080  0.972 -1.080
1c#apa#apa09#app0955/k  -0.095 1.089  -0.169 1.237  -0.243 1.385  -0.247 1.549  -0.247 1.681  -0.254 1.517  -0.295 1.356  -0.335 1.196  -0.375 1.035  -0.400 0.873  -0.400 0.707  -0.433 0.548  -0.494 0.395  -0.556 0.241  -0.617 0.088  -0.679 -0.066  -0.704 -0.227  -0.704 -0.392  -0.704 -0.557  -0.704 -0.723  -0.637 -0.605  -0.563 -0.457  -0.489 -0.309  -0.415 -0.161  -0.283 -0.072  -0.135 0.002  0.005 0.089  0.143 0.181  0.280 0.273  0.422 0.357  0.570 0.431  0.707 0.439  0.824 0.322  0.941 0.205  0.903 0.072  0.811 -0.065  0.719 -0.203  0.617 -0.332  0.500 -0.449  0.383 -0.566  0.266 -0.683  0.149 -0.800  0.057 -0.927  0.057 -1.093  0.113 -1.224  0.261 -1.298  0.406 -1.377  0.544 -1.469  0.681 -1.561  0.819 -1.653
1c#apa#apa09#app0955/j  0.238 0.534  0.147 0.625  0.231 0.644  0.292 0.536  0.349 0.421  0.389 0.299  0.430 0.178  0.470 0.056  0.511 -0.065  0.551 -0.187  0.603 -0.304  0.660 -0.418  0.675 -0.543  0.675 -0.671  0.675 -0.799  0.675 -0.927  0.623 -1.028  0.517 -1.099  0.410 -1.170  0.295 -1.212  0.167 -1.212  0.038 -1.212  -0.090 -1.212  -0.207 -1.195  -0.265 -1.081  -0.322 -0.966  -0.379 -0.851  -0.460 -0.775  -0.526 -0.713  -0.526 -0.585  -0.512 -0.458  -0.494 -0.331  -0.476 -0.204  -0.458 -0.078  -0.440 0.049  -0.421 0.176  -0.403 0.303  -0.385 0.430  -0.367 0.556  -0.349 0.683  -0.331 0.810  -0.313 0.937  -0.295 1.064  -0.277 1.190  -0.258 1.317  -0.240 1.444  -0.222 1.571  -0.204 1.698  -0.199 1.825  -0.199 1.954
1c#apa#apa09#app0955/u  -0.744 0.893  -0.744 0.997  -0.744 1.101  -0.744 1.045  -0.744 0.941  -0.769 0.842  -0.816 0.749  -0.863 0.656  -0.910 0.562  -0.956 0.469  -0.959 0.372  -0.926 0.273  -0.893 0.174  -0.860 0.075  -0.827 -0.024  -0.794 -0.123  -0.761 -0.222  -0.744 -0.324  -0.744 -0.428  -0.719 -0.514  -0.620 -0.547  -0.521 -0.580  -0.421 -0.613  -0.322 -0.646  -0.223 -0.679  -0.124 -0.712  -0.024 -0.739  0.080 -0.739  0.185 -0.739  0.289 -0.739  0.394 -0.739  0.498 -0.739  0.602 -0.739  0.677 -0.691  0.724 -0.598  0.771 -0.504  0.818 -0.411  0.864 -0.317  0.904 -0.221  0.937 -0.122  0.970 -0.023  1.003 0.076  1.036 0.175  1.069 0.274  1.102 0.373  1.120 0.475  1.120 0.579  1.120 0.684  1.120 0.788  1.120 0.893
1c#apa#apa09#app0955/r  0.045 0.874  -0.047 0.781  -0.139 0.689  -0.231 0.597  -0.305 0.497  -0.305 0.366  -0.305 0.236  -0.305 0.105  -0.305 -0.025  -0.305 -0.156  -0.305 -0.286  -0.305 -0.417  -0.305 -0.547  -0.305 -0.678  -0.305 -0.809  -0.305 -0.939  -0.305 -1.070  -0.305 -1.200  -0.305 -1.331  -0.305 -1.461  -0.305 -1.574  -0.305 -1.443  -0.305 -1.313  -0.305 -1.182  -0.305 -1.052  -0.305 -0.921  -0.305 -0.791  -0.305 -0.660  -0.305 -0.530  -0.213 -0.438  -0.121 -0.345  -0.028 -0.253  0.054 -0.154  0.095 -0.030  0.136 0.093  0.178 0.217  0.219 0.341  0.260 0.465  0.301 0.589  0.343 0.713  0.384 0.836  0.437 0.955  0.496 1.072  0.554 1.189  0.612 1.305  0.671 1.422  0.729 1.539  0.837 1.575  0.968 1.575  1.098 1.575
1c#apa#apa09#app0955/y  -0.825 1.058  -0.911 0.972  -0.898 0.870  -0.844 0.761  -0.754 0.688  -0.645 0.633  -0.528 0.612  -0.431 0.671  -0.352 0.763  -0.284 0.864  -0.217 0.966  -0.148 1.066  -0.062 1.152  0.025 1.238  0.111 1.239  0.197 1.153  0.283 1.067  0.322 0.953  0.355 0.836  0.389 0.718  0.422 0.601  0.456 0.484  0.489 0.367  0.519 0.249  0.536 0.129  0.553 0.008  0.570 -0.113  0.588 -0.233  0.605 -0.354  0.622 -0.474  0.626 -0.596  0.626 -0.718  0.626 -0.840  0.541 -0.926  0.454 -1.012  0.368 -1.098  0.282 -1.184  0.196 -1.270  0.081 -1.287  -0.041 -1.287  -0.163 -1.287  -0.275 -1.271  -0.329 -1.162  -0.384 -1.053  -0.438 -0.944  -0.490 -0.834  -0.490 -0.712  -0.490 -0.591  -0.465 -0.479  -0.378 -0.393
