1c#apb#apb05#app0512/e  -0.706 0.026  -0.592 -0.059  -0.462 -0.123  -0.318 -0.138  -0.171 -0.119  -0.022 -0.119  0.124 -0.100  0.268 -0.064  0.387 0.023  0.505 0.114  0.630 0.193  0.753 0.273  0.836 0.396  0.917 0.520  0.944 0.666  0.971 0.812  0.975 0.960  0.918 1.095  0.787 1.163  0.644 1.195  0.496 1.210  0.354 1.178  0.214 1.127  0.090 1.053  -0.015 0.948  -0.120 0.843  -0.236 0.749  -0.352 0.656  -0.453 0.550  -0.535 0.426  -0.618 0.303  -0.690 0.173  -0.756 0.040  -0.798 -0.099  -0.809 -0.248  -0.820 -0.396  -0.821 -0.544  -0.821 -0.693  -0.728 -0.806  -0.630 -0.918  -0.532 -1.029  -0.434 -1.141  -0.303 -1.204  -0.163 -1.254  -0.019 -1.284  0.129 -1.296  0.277 -1.307  0.423 -1.279  0.569 -1.249  0.714 -1.220
1c#apb#apb05#app0512/i  0.122 0.339  0.081 0.406  0.005 0.316  -0.065 0.222  -0.130 0.124  -0.181 0.020  -0.221 -0.091  -0.260 -0.202  -0.310 -0.308  -0.363 -0.413  -0.402 -0.523  -0.437 -0.636  -0.468 -0.749  -0.486 -0.865  -0.504 -0.981  -0.508 -1.098  -0.508 -1.216  -0.474 -1.326  -0.398 -1.415  -0.340 -1.414  -0.306 -1.301  -0.271 -1.189  -0.237 -1.077  -0.202 -0.964  -0.168 -0.852  -0.133 -0.740  -0.099 -0.627  -0.064 -0.515  -0.030 -0.403  0.005 -0.290  0.039 -0.178  0.074 -0.066  0.108 0.046  0.143 0.159  0.177 0.271  0.212 0.383  0.246 0.496  0.281 0.608  0.315 0.720  0.350 0.833  0.384 0.945  0.419 1.057  0.453 1.170  0.488 1.282  0.522 1.394  0.557 1.506  0.591 1.619  0.626 1.731  0.660 1.843  0.709 1.947
1c#apb#apb05#app0512/k  0.113 1.677  0.038 1.516  -0.047 1.313  -0.107 1.100  -0.152 0.883  -0.198 0.667  -0.268 0.457  -0.334 0.245  -0.381 0.029  -0.430 -0.187  -0.488 -0.401  -0.549 -0.614  -0.619 -0.824  -0.688 -1.034  -0.754 -1.246  -0.839 -1.450  -0.880 -1.399  -0.771 -1.219  -0.633 -1.046  -0.503 -0.867  -0.372 -0.688  -0.242 -0.509  -0.112 -0.330  0.019 -0.151  0.149 0.028  0.280 0.207  0.410 0.386  0.541 0.565  0.671 0.744  0.802 0.923  0.932 1.102  1.062 1.281  1.023 1.147  0.895 0.970  0.741 0.811  0.591 0.648  0.427 0.499  0.234 0.392  0.035 0.296  -0.177 0.259  -0.364 0.226  -0.340 0.008  -0.282 -0.206  -0.206 -0.414  -0.094 -0.605  0.049 -0.773  0.203 -0.933  0.389 -1.050  0.580 -1.149  0.648 -1.282
1c#apb#apb05#app0512/o  0.126 0.975  0.016 1.042  -0.097 1.001  -0.208 0.935  -0.316 0.863  -0.423 0.791  -0.515 0.699  -0.606 0.608  -0.695 0.514  -0.768 0.407  -0.842 0.301  -0.916 0.195  -0.953 0.071  -0.991 -0.053  -0.995 -0.182  -0.995 -0.311  -0.980 -0.437  -0.922 -0.553  -0.864 -0.669  -0.777 -0.765  -0.691 -0.861  -0.593 -0.939  -0.468 -0.973  -0.343 -1.007  -0.214 -1.007  -0.084 -1.007  0.045 -1.002  0.171 -0.972  0.297 -0.943  0.415 -0.895  0.524 -0.825  0.633 -0.756  0.708 -0.652  0.778 -0.543  0.845 -0.432  0.907 -0.319  0.969 -0.205  0.974 -0.081  0.956 0.047  0.938 0.175  0.902 0.299  0.864 0.423  0.821 0.544  0.742 0.647  0.663 0.749  0.585 0.852  0.495 0.946  0.404 1.037  0.298 1.107  0.179 1.158
1c#apb#apb05#app0512/a  0.709 0.856  0.662 1.042  0.581 1.214  0.425 1.311  0.244 1.373  0.074 1.304  -0.073 1.185  -0.202 1.043  -0.332 0.902  -0.443 0.746  -0.552 0.588  -0.661 0.431  -0.771 0.273  -0.880 0.115  -0.921 -0.068  -0.944 -0.258  -0.966 -0.449  -1.000 -0.637  -1.020 -0.826  -0.982 -1.014  -0.890 -1.173  -0.735 -1.227  -0.553 -1.167  -0.370 -1.111  -0.199 -1.037  -0.082 -0.885  0.035 -0.733  0.138 -0.572  0.229 -0.403  0.314 -0.232  0.372 -0.049  0.429 0.134  0.479 0.319  0.519 0.507  0.561 0.694  0.616 0.877  0.611 0.972  0.504 0.813  0.461 0.628  0.428 0.439  0.406 0.248  0.383 0.058  0.363 -0.133  0.349 -0.324  0.349 -0.513  0.409 -0.695  0.419 -0.883  0.403 -1.075  0.490 -1.232  0.616 -1.376
1c#apb#apb05#app0512/u  -0.374 1.451  -0.453 1.307  -0.564 1.181  -0.660 1.047  -0.709 0.886  -0.759 0.726  -0.817 0.568  -0.877 0.411  -0.926 0.252  -0.947 0.085  -0.968 -0.081  -0.992 -0.247  -1.022 -0.413  -1.036 -0.579  -1.019 -0.746  -0.978 -0.907  -0.858 -0.989  -0.699 -0.981  -0.557 -0.891  -0.416 -0.801  -0.277 -0.706  -0.139 -0.610  -0.003 -0.512  0.100 -0.380  0.204 -0.248  0.308 -0.116  0.408 0.019  0.507 0.155  0.606 0.290  0.668 0.441  0.690 0.607  0.712 0.773  0.794 0.916  0.809 1.079  0.710 0.978  0.642 0.825  0.588 0.667  0.562 0.501  0.537 0.335  0.525 0.168  0.514 0.000  0.505 -0.167  0.505 -0.335  0.505 -0.503  0.505 -0.671  0.555 -0.820  0.666 -0.947  0.807 -1.006  0.975 -1.006  1.143 -1.006
1c#apb#apb05#app0512/r  -0.017 1.136  -0.074 1.021  -0.129 0.906  -0.170 0.785  -0.210 0.664  -0.248 0.541  -0.281 0.418  -0.315 0.294  -0.351 0.172  -0.394 0.051  -0.437 -0.069  -0.480 -0.190  -0.521 -0.311  -0.531 -0.438  -0.542 -0.565  -0.553 -0.693  -0.556 -0.821  -0.556 -0.949  -0.556 -1.076  -0.557 -1.204  -0.578 -1.330  -0.592 -1.443  -0.586 -1.316  -0.561 -1.191  -0.536 -1.065  -0.498 -0.945  -0.434 -0.834  -0.371 -0.723  -0.307 -0.612  -0.244 -0.501  -0.172 -0.395  -0.099 -0.290  -0.026 -0.185  0.049 -0.082  0.127 0.020  0.205 0.121  0.283 0.223  0.361 0.324  0.438 0.426  0.515 0.528  0.592 0.631  0.669 0.733  0.764 0.815  0.873 0.882  0.982 0.949  1.091 1.016  1.203 1.077  1.323 1.120  1.443 1.164  1.563 1.208
1c#apb#apb05#app0512/a  0.587 0.628  0.622 0.803  0.642 0.980  0.604 1.149  0.516 1.301  0.356 1.373  0.189 1.310  0.029 1.231  -0.128 1.147  -0.273 1.046  -0.404 0.925  -0.536 0.804  -0.648 0.667  -0.751 0.522  -0.855 0.376  -0.935 0.217  -1.014 0.057  -1.068 -0.111  -1.103 -0.286  -1.085 -0.464  -1.040 -0.633  -0.957 -0.791  -0.820 -0.905  -0.653 -0.887  -0.480 -0.843  -0.316 -0.773  -0.161 -0.686  -0.021 -0.577  0.094 -0.443  0.193 -0.295  0.274 -0.136  0.354 0.024  0.434 0.183  0.514 0.343  0.575 0.510  0.587 0.602  0.494 0.456  0.418 0.296  0.350 0.131  0.295 -0.039  0.255 -0.211  0.255 -0.389  0.256 -0.568  0.307 -0.738  0.373 -0.903  0.459 -1.059  0.585 -1.184  0.722 -1.297  0.876 -1.387  1.030 -1.477
1c#apb#apb05#app0512/o  0.096 0.864  -0.014 0.930  -0.138 0.948  -0.256 0.915  -0.357 0.836  -0.459 0.757  -0.539 0.656  -0.618 0.554  -0.696 0.452  -0.767 0.345  -0.825 0.230  -0.883 0.115  -0.925 -0.005  -0.948 -0.132  -0.971 -0.259  -0.971 -0.388  -0.971 -0.517  -0.957 -0.639  -0.866 -0.731  -0.770 -0.816  -0.662 -0.887  -0.555 -0.959  -0.444 -1.018  -0.315 -1.018  -0.187 -1.018  -0.058 -1.018  0.068 -0.996  0.193 -0.962  0.317 -0.929  0.430 -0.878  0.517 -0.782  0.603 -0.686  0.686 -0.588  0.766 -0.486  0.845 -0.385  0.884 -0.263  0.918 -0.139  0.936 -0.013  0.927 0.115  0.918 0.244  0.904 0.371  0.847 0.486  0.789 0.602  0.732 0.717  0.666 0.827  0.596 0.936  0.526 1.044  0.453 1.148  0.331 1.189  0.208 1.229
1c#apb#apb05#app0512/a  0.529 0.902  0.395 1.034  0.197 1.107  -0.015 1.056  -0.205 0.945  -0.385 0.816  -0.567 0.689  -0.749 0.563  -0.925 0.427  -1.099 0.290  -1.253 0.131  -1.385 -0.043  -1.467 -0.249  -1.467 -0.471  -1.381 -0.674  -1.236 -0.839  -1.048 -0.951  -0.838 -0.967  -0.621 -0.920  -0.410 -0.853  -0.243 -0.714  -0.086 -0.557  0.030 -0.368  0.137 -0.175  0.211 0.034  0.279 0.245  0.340 0.458  0.383 0.675  0.386 0.888  0.366 0.704  0.349 0.484  0.349 0.262  0.320 0.042  0.295 -0.178  0.282 -0.399  0.299 -0.615  0.391 -0.817  0.524 -0.993  0.697 -1.087  0.918 -1.070  0.910 -0.869  0.879 -0.649  0.848 -0.430  0.817 -0.210  0.786 0.009  0.755 0.229  0.724 0.448  0.693 0.668  0.662 0.887  0.631 1.107
1c#apb#apb05#app0512/n  -0.447 1.282  -0.478 1.127  -0.507 0.972  -0.533 0.817  -0.561 0.662  -0.595 0.508  -0.630 0.355  -0.661 0.200  -0.682 0.044  -0.702 -0.112  -0.732 -0.267  -0.765 -0.421  -0.795 -0.575  -0.819 -0.731  -0.839 -0.887  -0.839 -1.044  -0.827 -0.919  -0.781 -0.768  -0.727 -0.620  -0.672 -0.473  -0.618 -0.325  -0.554 -0.181  -0.488 -0.038  -0.421 0.105  -0.318 0.224  -0.215 0.343  -0.112 0.462  -0.003 0.576  0.109 0.687  0.220 0.798  0.346 0.888  0.492 0.946  0.645 0.957  0.793 0.926  0.885 0.798  0.944 0.654  0.989 0.503  1.000 0.346  1.010 0.188  1.003 0.033  0.956 -0.117  0.911 -0.268  0.884 -0.423  0.856 -0.578  0.825 -0.733  0.779 -0.883  0.733 -1.034  0.683 -1.183  0.633 -1.333  0.625 -1.489
