2#tos#f1#f1020059/#  -0.760 0.880  -1.123 0.684  -1.280 0.631  -0.857 0.631  -0.435 0.631  -0.017 0.672  0.405 0.681  0.827 0.681  1.249 0.681  1.031 0.533  0.652 0.348  0.273 0.163  -0.107 -0.023  -0.486 -0.208  -0.810 -0.427  -1.162 -0.617  -1.156 -0.715  -0.734 -0.715  -0.312 -0.715  0.091 -0.616  0.513 -0.616  0.927 -0.665  1.245 -0.613  0.992 -0.276  0.739 0.062  0.485 0.400  0.232 0.738  -0.021 1.075  -0.354 1.230  -0.511 1.163  -0.511 0.741  -0.511 0.319  -0.511 -0.103  -0.511 -0.525  -0.511 -0.947  -0.490 -1.262  -0.335 -0.869  -0.180 -0.477  -0.024 -0.085  0.131 0.308  0.286 0.700  0.437 1.094  0.387 0.893  0.387 0.471  0.387 0.049  0.387 -0.373  0.387 -0.795  0.387 -1.217  0.387 -1.640  0.486 -1.962
2#tos#f1#f1020059/&  1.378 -0.827  1.180 -0.897  1.078 -1.026  0.848 -1.026  0.618 -1.026  0.518 -0.896  0.428 -0.731  0.216 -0.643  0.187 -0.431  -0.022 -0.402  -0.129 -0.231  -0.293 -0.165  -0.410 0.002  -0.513 0.203  -0.542 0.422  -0.542 0.652  -0.542 0.882  -0.542 1.112  -0.409 1.260  -0.343 1.424  -0.131 1.452  0.035 1.556  0.261 1.548  0.319 1.342  0.319 1.112  0.197 0.971  0.104 0.828  -0.012 0.714  -0.149 0.594  -0.238 0.422  -0.431 0.320  -0.578 0.178  -0.714 -0.006  -0.873 -0.171  -0.992 -0.351  -1.005 -0.576  -0.939 -0.778  -0.824 -0.893  -0.602 -0.929  -0.380 -0.960  -0.150 -0.960  0.073 -0.941  0.248 -0.796  0.356 -0.615  0.427 -0.430  0.584 -0.357  0.584 -0.127  0.650 0.037  0.782 0.065  0.915 0.100
2#tos#f1#f1020059/'  -0.516 1.401  -0.443 1.401  -0.369 1.401  -0.296 1.401  -0.223 1.401  -0.193 1.358  -0.193 1.284  -0.173 1.219  -0.121 1.168  -0.069 1.116  -0.032 1.058  -0.032 0.985  -0.032 0.911  -0.032 0.838  -0.032 0.765  -0.003 0.698  0.030 0.633  0.062 0.567  0.095 0.502  0.128 0.436  0.130 0.363  0.130 0.290  0.130 0.217  0.130 0.143  0.130 0.070  0.130 -0.003  0.130 -0.076  0.130 -0.150  0.130 -0.223  0.130 -0.296  0.130 -0.370  0.130 -0.443  0.130 -0.516  0.130 -0.589  0.130 -0.663  0.130 -0.736  0.130 -0.809  0.130 -0.883  0.130 -0.956  0.130 -1.029  0.130 -1.102  0.130 -1.176  0.091 -1.237  0.051 -1.298  0.010 -1.359  -0.031 -1.420  -0.071 -1.481  -0.112 -1.542  -0.153 -1.603  -0.193 -1.664
2#tos#f1#f1020059/)  -0.110 1.491  -0.167 1.434  -0.224 1.377  -0.284 1.327  -0.364 1.327  -0.323 1.307  -0.246 1.282  -0.182 1.236  -0.125 1.179  -0.110 1.105  -0.088 1.033  -0.031 0.976  0.026 0.919  0.067 0.852  0.093 0.776  0.122 0.701  0.158 0.628  0.212 0.569  0.269 0.512  0.291 0.435  0.311 0.357  0.327 0.278  0.327 0.197  0.327 0.117  0.327 0.036  0.327 -0.045  0.327 -0.125  0.327 -0.206  0.311 -0.282  0.270 -0.352  0.228 -0.421  0.187 -0.490  0.163 -0.564  0.163 -0.645  0.163 -0.726  0.108 -0.766  0.031 -0.792  -0.012 -0.848  -0.031 -0.927  -0.051 -1.005  -0.101 -1.066  -0.158 -1.123  -0.215 -1.180  -0.272 -1.237  -0.273 -1.317  -0.309 -1.383  -0.366 -1.440  -0.439 -1.457  -0.492 -1.486  -0.492 -1.566
2#tos#f1#f1020059/  -1.226 0.115  -1.299 0.114  -1.365 0.081  -1.430 0.049  -1.439 -0.019  -1.373 -0.027  -1.368 -0.094  -1.298 -0.097  -1.225 -0.097  -1.152 -0.097  -1.079 -0.097  -1.005 -0.097  -0.932 -0.097  -0.859 -0.097  -0.786 -0.097  -0.715 -0.090  -0.649 -0.057  -0.583 -0.027  -0.510 -0.027  -0.437 -0.027  -0.364 -0.027  -0.291 -0.027  -0.218 -0.027  -0.145 -0.027  -0.072 -0.027  0.001 -0.022  0.073 -0.008  0.145 0.007  0.216 0.021  0.288 0.035  0.360 0.044  0.433 0.044  0.506 0.044  0.580 0.044  0.653 0.044  0.726 0.044  0.799 0.044  0.872 0.044  0.945 0.044  1.018 0.044  1.091 0.044  1.165 0.044  1.238 0.044  1.311 0.044  1.384 0.044  1.457 0.044  1.530 0.044  1.603 0.044  1.676 0.044  1.750 0.044
2#tos#f1#f1020059/.  1.363 1.204  1.302 1.143  1.242 1.083  1.181 1.022  1.120 0.961  1.060 0.901  0.999 0.840  0.938 0.779  0.878 0.719  0.817 0.658  0.756 0.597  0.696 0.537  0.635 0.476  0.574 0.415  0.514 0.355  0.453 0.294  0.385 0.252  0.299 0.252  0.213 0.252  0.127 0.252  0.041 0.252  -0.044 0.252  -0.130 0.252  -0.216 0.252  -0.302 0.252  -0.388 0.252  -0.474 0.252  -0.542 0.234  -0.542 0.148  -0.542 0.063  -0.542 -0.023  -0.542 -0.109  -0.542 -0.195  -0.542 -0.281  -0.542 -0.366  -0.542 -0.452  -0.542 -0.538  -0.542 -0.624  -0.542 -0.710  -0.542 -0.795  -0.542 -0.881  -0.542 -0.967  -0.542 -1.053  -0.542 -1.139  -0.589 -1.177  -0.675 -1.177  -0.761 -1.177  -0.847 -1.177  -0.933 -1.177  -1.018 -1.177
2#tos#f1#f1020059/  1.006 1.272  0.931 1.272  0.855 1.272  0.812 1.241  0.812 1.166  0.775 1.127  0.704 1.117  0.651 1.063  0.617 1.002  0.614 0.928  0.573 0.865  0.531 0.803  0.481 0.747  0.420 0.703  0.357 0.662  0.305 0.609  0.263 0.547  0.224 0.483  0.201 0.411  0.177 0.340  0.153 0.269  0.126 0.199  0.067 0.152  0.009 0.105  -0.050 0.058  -0.109 0.011  -0.112 -0.063  -0.139 -0.129  -0.181 -0.192  -0.209 -0.259  -0.209 -0.334  -0.209 -0.409  -0.243 -0.473  -0.288 -0.534  -0.333 -0.594  -0.355 -0.662  -0.401 -0.718  -0.454 -0.771  -0.503 -0.827  -0.521 -0.900  -0.539 -0.973  -0.584 -1.020  -0.657 -1.038  -0.730 -1.056  -0.743 -1.121  -0.782 -1.157  -0.792 -1.223  -0.792 -1.298  -0.840 -1.325  -0.889 -1.351
2#tos#f1#f1020059/<  0.806 1.360  0.713 1.314  0.672 1.234  0.643 1.159  0.538 1.159  0.445 1.113  0.355 1.060  0.269 1.002  0.203 0.933  0.142 0.876  0.041 0.851  -0.060 0.826  -0.135 0.754  -0.209 0.680  -0.290 0.624  -0.376 0.580  -0.450 0.506  -0.524 0.432  -0.597 0.359  -0.690 0.311  -0.734 0.234  -0.817 0.181  -0.868 0.108  -0.885 0.021  -0.935 -0.033  -0.911 -0.119  -0.810 -0.144  -0.709 -0.170  -0.609 -0.199  -0.510 -0.232  -0.466 -0.305  -0.381 -0.357  -0.287 -0.403  -0.196 -0.452  -0.150 -0.546  -0.079 -0.617  0.008 -0.675  0.091 -0.738  0.165 -0.811  0.251 -0.866  0.350 -0.899  0.437 -0.950  0.511 -1.024  0.603 -1.064  0.705 -1.084  0.808 -1.105  0.873 -1.155  0.948 -1.185  1.027 -1.225  1.074 -1.319
2#tos#f1#f1020059/>  -0.388 1.330  -0.433 1.254  -0.533 1.217  -0.634 1.179  -0.734 1.141  -0.835 1.104  -0.917 1.038  -0.846 0.962  -0.765 0.893  -0.676 0.833  -0.581 0.784  -0.480 0.750  -0.382 0.707  -0.286 0.659  -0.187 0.621  -0.086 0.611  -0.026 0.522  0.037 0.437  0.127 0.377  0.218 0.322  0.322 0.296  0.426 0.270  0.506 0.201  0.591 0.149  0.699 0.149  0.799 0.138  0.847 0.042  0.937 -0.012  0.963 -0.093  0.874 -0.153  0.788 -0.216  0.728 -0.305  0.665 -0.390  0.573 -0.445  0.481 -0.500  0.389 -0.556  0.330 -0.644  0.275 -0.736  0.220 -0.828  0.134 -0.884  0.034 -0.924  -0.066 -0.963  -0.158 -1.018  -0.247 -1.077  -0.326 -1.149  -0.399 -1.227  -0.459 -1.317  -0.506 -1.410  -0.506 -1.517  -0.506 -1.624
2#tos#f1#f1020059/?  0.006 0.541  -0.055 0.488  -0.170 0.488  -0.285 0.488  -0.399 0.488  -0.472 0.530  -0.472 0.644  -0.572 0.697  -0.578 0.808  -0.578 0.923  -0.559 1.018  -0.453 1.054  -0.342 1.071  -0.228 1.071  -0.113 1.071  0.002 1.071  0.116 1.071  0.227 1.063  0.308 0.982  0.394 0.912  0.486 0.857  0.537 0.764  0.537 0.649  0.537 0.535  0.529 0.423  0.465 0.327  0.379 0.275  0.325 0.215  0.313 0.105  0.232 0.024  0.165 -0.063  0.108 -0.154  0.059 -0.248  0.063 -0.363  0.071 -0.477  0.078 -0.592  0.086 -0.706  0.093 -0.820  0.101 -0.935  0.109 -1.049  0.086 -1.157  0.010 -1.235  -0.092 -1.286  -0.153 -1.363  -0.153 -1.478  -0.163 -1.582  -0.206 -1.654  -0.206 -1.769  -0.128 -1.820  -0.047 -1.901
2#tos#f1#f1020059/@  0.879 -0.741  0.879 -0.952  0.827 -1.111  0.663 -1.157  0.464 -1.209  0.253 -1.209  0.043 -1.209  -0.162 -1.203  -0.327 -1.157  -0.482 -1.085  -0.619 -0.960  -0.734 -0.797  -0.734 -0.586  -0.785 -0.412  -0.890 -0.277  -0.890 -0.066  -0.890 0.145  -0.890 0.355  -0.839 0.558  -0.838 0.768  -0.715 0.910  -0.618 1.080  -0.487 1.222  -0.288 1.282  -0.078 1.288  0.029 1.392  0.234 1.371  0.413 1.261  0.514 1.132  0.567 0.974  0.671 0.867  0.671 0.657  0.723 0.498  0.775 0.339  0.775 0.128  0.723 -0.030  0.650 -0.169  0.595 -0.325  0.444 -0.395  0.300 -0.481  0.141 -0.533  -0.070 -0.533  -0.172 -0.418  -0.314 -0.325  -0.318 -0.118  -0.318 0.093  -0.169 0.192  -0.058 0.294  0.148 0.299  0.306 0.351
