1d#tos#t1#t1041065/!  0.043 1.707  -0.028 1.672  -0.057 1.611  -0.057 1.532  -0.057 1.453  -0.057 1.374  -0.057 1.295  -0.057 1.216  -0.057 1.137  -0.057 1.057  -0.007 1.028  -0.007 0.949  -0.007 0.870  -0.007 0.791  -0.007 0.712  -0.007 0.633  -0.007 0.554  -0.057 0.525  -0.017 0.463  0.008 0.403  0.043 0.358  0.043 0.279  0.043 0.200  0.043 0.121  0.043 0.042  0.043 -0.037  0.043 -0.116  0.043 -0.195  0.043 -0.275  0.043 -0.354  0.043 -0.433  0.043 -0.512  0.043 -0.591  0.043 -0.670  0.043 -0.749  0.043 -0.828  0.043 -0.907  0.043 -0.987  0.043 -1.066  0.043 -1.145  0.004 -1.212  -0.040 -1.278  -0.057 -1.352  -0.030 -1.404  -0.007 -1.348  -0.007 -1.269  -0.007 -1.317  -0.049 -1.354  -0.057 -1.282  -0.057 -1.303
1d#tos#t1#t1041065/#  -0.902 0.502  -1.325 0.438  -0.946 0.438  -0.515 0.438  -0.085 0.438  0.336 0.480  0.762 0.502  1.140 0.630  0.941 0.459  0.540 0.300  0.139 0.142  -0.261 -0.016  -0.662 -0.174  -1.063 -0.332  -1.443 -0.488  -1.100 -0.524  -0.669 -0.524  -0.238 -0.524  0.189 -0.502  0.613 -0.460  0.980 -0.395  0.883 -0.140  0.615 0.198  0.348 0.535  0.081 0.873  -0.219 1.143  -0.518 1.276  -0.582 1.029  -0.582 0.598  -0.557 0.171  -0.518 -0.253  -0.518 -0.684  -0.518 -1.115  -0.454 -1.531  -0.256 -1.790  -0.125 -1.379  0.006 -0.969  0.138 -0.559  0.269 -0.149  0.400 0.262  0.532 0.672  0.663 1.082  0.667 1.400  0.572 1.064  0.508 0.643  0.508 0.212  0.508 -0.218  0.508 -0.649  0.572 -1.065  0.636 -1.485
1d#tos#t1#t1041065/$  0.672 0.527  0.570 0.604  0.315 0.629  0.238 0.833  0.008 0.884  -0.272 0.884  -0.501 0.803  -0.638 0.629  -0.654 0.364  -0.527 0.196  -0.351 0.017  -0.070 0.017  0.211 0.017  0.441 -0.034  0.568 -0.187  0.726 -0.340  0.825 -0.521  0.825 -0.802  0.746 -1.003  0.621 -1.159  0.451 -1.309  0.171 -1.309  -0.110 -1.309  -0.340 -1.258  -0.515 -1.135  -0.654 -0.969  -0.579 -0.699  -0.499 -0.430  -0.420 -0.161  -0.340 0.108  -0.260 0.378  -0.180 0.647  -0.101 0.916  -0.021 1.185  0.059 1.454  0.139 1.723  0.009 1.757  0.009 1.477  0.009 1.196  0.009 0.915  0.009 0.635  -0.011 0.374  -0.042 0.124  -0.042 -0.156  -0.088 -0.391  -0.093 -0.667  -0.093 -0.947  -0.093 -1.228  -0.093 -1.509  -0.042 -1.768
1d#tos#t1#t1041065/%  -0.409 0.985  -0.643 0.943  -0.892 0.872  -1.048 0.705  -1.016 0.442  -0.779 0.346  -0.588 0.261  -0.396 0.346  -0.211 0.469  -0.239 0.692  -0.409 0.823  -0.609 0.900  -0.835 0.850  -0.680 0.748  -0.405 0.780  -0.131 0.811  0.144 0.843  0.418 0.875  0.693 0.907  0.968 0.939  0.775 0.857  0.587 0.704  0.463 0.484  0.336 0.261  0.230 0.024  0.101 -0.133  -0.106 -0.286  -0.313 -0.436  -0.439 -0.658  -0.664 -0.814  -0.774 -1.041  -0.920 -1.242  -0.959 -1.414  -0.725 -1.266  -0.491 -1.119  -0.258 -0.971  -0.024 -0.824  0.210 -0.677  0.444 -0.529  0.678 -0.382  0.912 -0.234  0.770 -0.250  0.656 -0.413  0.613 -0.671  0.757 -0.804  1.034 -0.804  1.210 -0.679  1.209 -0.463  1.017 -0.378  0.741 -0.378
1d#tos#t1#t1041065/&  1.399 -0.928  1.295 -1.041  1.120 -1.083  0.978 -0.975  0.809 -0.858  0.630 -0.758  0.464 -0.675  0.308 -0.570  0.168 -0.436  0.049 -0.283  -0.055 -0.130  -0.159 -0.016  -0.259 0.159  -0.314 0.354  -0.470 0.459  -0.470 0.676  -0.472 0.893  -0.522 1.098  -0.522 1.315  -0.389 1.460  -0.193 1.512  0.024 1.512  0.207 1.408  0.412 1.396  0.412 1.179  0.412 0.962  0.332 0.785  0.200 0.630  0.047 0.526  -0.065 0.417  -0.254 0.327  -0.342 0.162  -0.522 0.126  -0.626 0.012  -0.734 -0.097  -0.834 -0.215  -0.901 -0.390  -0.989 -0.533  -0.959 -0.720  -0.836 -0.873  -0.641 -0.928  -0.424 -0.928  -0.207 -0.928  -0.003 -0.914  0.116 -0.790  0.308 -0.721  0.439 -0.614  0.568 -0.476  0.637 -0.288  0.828 -0.201
1d#tos#t1#t1041065/*  0.808 0.733  0.570 0.622  0.425 0.436  0.233 0.306  0.078 0.081  -0.214 -0.036  -0.396 -0.220  -0.572 -0.392  -0.826 -0.582  -0.980 -0.814  -1.008 -0.788  -0.927 -0.477  -0.847 -0.165  -0.767 0.146  -0.686 0.457  -0.606 0.768  -0.561 1.052  -0.852 1.022  -0.766 0.733  -0.597 0.532  -0.338 0.414  -0.229 0.173  -0.082 -0.101  0.111 -0.335  0.358 -0.508  0.612 -0.669  0.808 -0.909  1.058 -1.055  1.255 -1.217  1.412 -1.245  1.264 -0.960  1.115 -0.676  0.966 -0.391  0.817 -0.106  0.668 0.179  0.519 0.464  0.370 0.748  0.222 1.033  0.073 1.318  -0.139 1.499  -0.277 1.316  -0.277 0.995  -0.277 0.673  -0.277 0.352  -0.277 0.031  -0.277 -0.291  -0.236 -0.605  -0.150 -0.859  -0.150 -1.180  -0.150 -1.502
1d#tos#t1#t1041065/  0.751 1.480  0.693 1.456  0.693 1.374  0.622 1.362  0.575 1.327  0.575 1.245  0.517 1.187  0.517 1.105  0.517 1.023  0.447 1.011  0.399 0.976  0.399 0.894  0.374 0.816  0.348 0.738  0.298 0.675  0.240 0.617  0.197 0.548  0.165 0.474  0.165 0.391  0.165 0.309  0.165 0.227  0.165 0.145  0.098 0.127  0.024 0.090  -0.011 0.030  -0.011 -0.052  -0.011 -0.134  -0.049 -0.201  -0.070 -0.274  -0.129 -0.298  -0.170 -0.338  -0.246 -0.344  -0.246 -0.427  -0.246 -0.509  -0.280 -0.583  -0.305 -0.659  -0.305 -0.741  -0.338 -0.815  -0.388 -0.866  -0.456 -0.901  -0.480 -0.973  -0.480 -1.055  -0.480 -1.137  -0.539 -1.160  -0.563 -1.218  -0.598 -1.266  -0.607 -1.344  -0.668 -1.394  -0.715 -1.429  -0.715 -1.511
1d#tos#t1#t1041065/:  0.264 1.664  0.210 1.610  0.152 1.565  0.076 1.565  0.066 1.498  0.066 1.422  0.066 1.345  0.066 1.268  0.066 1.192  0.066 1.115  0.066 1.039  0.066 0.962  0.066 0.886  0.066 0.809  0.066 0.733  0.066 0.656  0.066 0.580  0.066 0.503  0.066 0.426  0.066 0.350  0.066 0.273  0.066 0.197  0.066 0.120  0.066 0.044  0.066 -0.033  0.066 -0.109  0.066 -0.186  0.066 -0.262  0.066 -0.339  0.066 -0.416  0.066 -0.492  0.066 -0.569  0.066 -0.645  0.066 -0.722  0.066 -0.798  0.066 -0.875  0.028 -0.914  -0.033 -0.929  -0.033 -1.005  -0.102 -1.013  -0.179 -1.013  -0.232 -1.037  -0.232 -1.113  -0.232 -1.190  -0.270 -1.250  -0.325 -1.304  -0.331 -1.378  -0.286 -1.410  -0.254 -1.410  -0.331 -1.410
1d#tos#t1#t1041065/;  -0.098 1.689  -0.187 1.689  -0.245 1.659  -0.245 1.570  -0.245 1.482  -0.241 1.397  -0.153 1.397  -0.094 1.363  -0.082 1.275  -0.070 1.187  -0.059 1.100  -0.047 1.012  -0.035 0.924  -0.024 0.837  -0.012 0.749  -0.000 0.661  0.011 0.573  0.023 0.486  0.035 0.398  0.046 0.310  0.058 0.223  0.070 0.135  0.082 0.047  0.093 -0.041  0.105 -0.128  0.117 -0.216  0.128 -0.304  0.140 -0.391  0.152 -0.479  0.163 -0.567  0.175 -0.654  0.187 -0.742  0.194 -0.830  0.147 -0.871  0.121 -0.934  0.116 -1.018  0.028 -1.018  -0.025 -0.982  -0.025 -0.894  -0.025 -0.805  0.048 -0.806  0.048 -0.895  0.048 -0.983  0.048 -1.072  0.048 -1.160  -0.025 -1.176  -0.025 -1.264  -0.068 -1.310  -0.156 -1.310  -0.245 -1.310
1d#tos#t1#t1041065/<  0.859 1.440  0.766 1.393  0.727 1.313  0.628 1.308  0.525 1.304  0.451 1.230  0.396 1.149  0.396 1.044  0.293 1.043  0.195 1.034  0.162 0.935  0.127 0.837  0.069 0.750  0.011 0.664  -0.084 0.646  -0.172 0.607  -0.246 0.533  -0.320 0.459  -0.394 0.385  -0.466 0.311  -0.513 0.217  -0.530 0.117  -0.634 0.117  -0.672 0.051  -0.777 0.051  -0.774 -0.016  -0.670 -0.016  -0.662 -0.112  -0.597 -0.170  -0.498 -0.203  -0.464 -0.283  -0.428 -0.365  -0.334 -0.411  -0.275 -0.497  -0.217 -0.584  -0.194 -0.679  -0.093 -0.704  0.009 -0.729  0.065 -0.789  0.078 -0.888  0.159 -0.951  0.258 -0.984  0.343 -1.033  0.389 -1.127  0.396 -1.229  0.457 -1.273  0.507 -1.362  0.529 -1.461  0.557 -1.537  0.661 -1.537
1d#tos#t1#t1041065/=  -0.780 0.902  -0.869 0.822  -1.008 0.809  -0.866 0.742  -0.697 0.742  -0.528 0.742  -0.358 0.742  -0.189 0.742  -0.020 0.742  0.150 0.742  0.312 0.699  0.476 0.662  0.645 0.662  0.814 0.662  0.904 0.742  1.073 0.742  1.208 0.733  1.060 0.651  0.911 0.570  0.763 0.488  0.615 0.406  0.467 0.324  0.318 0.242  0.170 0.160  0.022 0.079  -0.127 -0.003  -0.275 -0.085  -0.423 -0.167  -0.572 -0.249  -0.720 -0.331  -0.868 -0.412  -1.017 -0.494  -1.153 -0.592  -1.261 -0.717  -1.156 -0.781  -0.987 -0.781  -0.818 -0.781  -0.648 -0.781  -0.479 -0.781  -0.309 -0.781  -0.140 -0.781  0.029 -0.781  0.199 -0.781  0.368 -0.781  0.537 -0.781  0.707 -0.781  0.876 -0.781  1.046 -0.781  1.215 -0.781  1.384 -0.781
