3#apb#apb40#app4052/O  -0.020 0.838  -0.134 0.755  -0.247 0.671  -0.309 0.545  -0.371 0.418  -0.433 0.292  -0.494 0.165  -0.557 0.039  -0.619 -0.087  -0.682 -0.213  -0.745 -0.339  -0.808 -0.465  -0.861 -0.594  -0.882 -0.733  -0.903 -0.873  -0.924 -1.012  -0.859 -1.117  -0.748 -1.204  -0.618 -1.205  -0.480 -1.176  -0.342 -1.147  -0.207 -1.113  -0.093 -1.030  0.021 -0.947  0.134 -0.864  0.248 -0.781  0.359 -0.694  0.452 -0.588  0.545 -0.483  0.638 -0.377  0.731 -0.272  0.815 -0.160  0.875 -0.033  0.935 0.095  0.994 0.223  0.996 0.358  0.974 0.497  0.952 0.636  0.866 0.747  0.778 0.857  0.682 0.956  0.553 1.014  0.425 1.071  0.296 1.129  0.158 1.137  0.018 1.132  -0.123 1.126  -0.226 1.032  -0.328 0.935  -0.430 0.838
3#apb#apb40#app4052/n  -0.167 0.783  -0.156 0.697  -0.185 0.527  -0.244 0.359  -0.319 0.197  -0.406 0.042  -0.494 -0.113  -0.593 -0.261  -0.705 -0.399  -0.817 -0.538  -0.929 -0.677  -1.039 -0.817  -1.147 -0.959  -1.209 -1.021  -1.126 -0.864  -1.046 -0.704  -0.961 -0.548  -0.876 -0.391  -0.791 -0.234  -0.685 -0.092  -0.572 0.046  -0.459 0.184  -0.345 0.321  -0.229 0.456  -0.095 0.553  -0.024 0.430  -0.001 0.254  -0.033 0.078  -0.065 -0.097  -0.100 -0.272  -0.141 -0.445  -0.137 -0.614  -0.026 -0.730  0.151 -0.757  0.305 -0.685  0.453 -0.586  0.596 -0.481  0.722 -0.355  0.848 -0.229  0.974 -0.103  1.065 0.050  1.153 0.205  1.236 0.362  1.267 0.537  1.294 0.713  1.271 0.890  1.248 1.067  1.225 1.243  1.201 1.420  1.108 1.556
3#apb#apb40#app4052/e  -0.578 0.050  -0.686 -0.074  -0.793 -0.198  -0.820 -0.334  -0.679 -0.377  -0.515 -0.377  -0.364 -0.335  -0.228 -0.242  -0.093 -0.150  0.043 -0.057  0.179 0.034  0.320 0.117  0.462 0.201  0.603 0.284  0.744 0.368  0.874 0.465  0.990 0.581  1.106 0.697  1.160 0.839  1.160 1.003  1.092 1.131  0.955 1.222  0.811 1.240  0.658 1.180  0.505 1.121  0.352 1.061  0.230 0.953  0.112 0.840  -0.007 0.726  -0.125 0.613  -0.244 0.499  -0.362 0.386  -0.466 0.259  -0.565 0.128  -0.663 -0.003  -0.762 -0.134  -0.852 -0.268  -0.852 -0.432  -0.852 -0.596  -0.852 -0.761  -0.738 -0.873  -0.615 -0.981  -0.491 -1.089  -0.368 -1.197  -0.206 -1.215  -0.042 -1.230  0.121 -1.246  0.284 -1.261  0.448 -1.276  0.611 -1.292
3#apb#apb40#app4052/1  0.664 1.559  0.625 1.501  0.587 1.443  0.555 1.382  0.534 1.316  0.513 1.250  0.491 1.184  0.470 1.118  0.448 1.052  0.427 0.986  0.406 0.920  0.384 0.853  0.360 0.788  0.336 0.724  0.311 0.659  0.286 0.594  0.262 0.529  0.237 0.464  0.213 0.399  0.188 0.334  0.164 0.269  0.139 0.204  0.115 0.139  0.086 0.076  0.053 0.015  0.021 -0.047  -0.012 -0.108  -0.045 -0.169  -0.078 -0.230  -0.110 -0.291  -0.143 -0.353  -0.176 -0.414  -0.209 -0.475  -0.241 -0.536  -0.274 -0.598  -0.303 -0.660  -0.332 -0.724  -0.361 -0.787  -0.390 -0.850  -0.419 -0.913  -0.448 -0.976  -0.477 -1.039  -0.506 -1.102  -0.535 -1.165  -0.564 -1.228  -0.593 -1.292  -0.621 -1.355  -0.650 -1.418  -0.678 -1.481  -0.707 -1.545
3#apb#apb40#app4052/P  0.175 0.887  0.053 0.758  -0.061 0.624  -0.132 0.462  -0.204 0.300  -0.276 0.138  -0.348 -0.024  -0.421 -0.186  -0.494 -0.347  -0.573 -0.506  -0.669 -0.654  -0.766 -0.803  -0.862 -0.952  -0.955 -1.103  -1.047 -1.255  -1.137 -1.407  -1.063 -1.332  -0.953 -1.193  -0.843 -1.054  -0.737 -0.911  -0.633 -0.768  -0.529 -0.624  -0.428 -0.479  -0.337 -0.327  -0.245 -0.175  -0.153 -0.024  -0.063 0.129  0.027 0.282  0.116 0.435  0.205 0.589  0.298 0.739  0.400 0.884  0.503 1.029  0.605 1.174  0.759 1.250  0.926 1.308  1.063 1.203  1.084 1.027  1.105 0.851  1.072 0.678  1.035 0.504  0.993 0.333  0.896 0.185  0.799 0.036  0.677 -0.092  0.548 -0.213  0.394 -0.300  0.231 -0.365  0.060 -0.400  -0.096 -0.315
3#apb#apb40#app4052/l  -1.002 -1.032  -0.983 -0.964  -0.875 -0.860  -0.759 -0.764  -0.645 -0.667  -0.532 -0.567  -0.418 -0.468  -0.305 -0.369  -0.194 -0.267  -0.083 -0.166  0.028 -0.064  0.139 0.038  0.231 0.157  0.324 0.276  0.416 0.394  0.500 0.518  0.573 0.650  0.646 0.782  0.719 0.914  0.777 1.052  0.835 1.191  0.893 1.330  0.946 1.471  0.824 1.429  0.715 1.325  0.607 1.220  0.501 1.113  0.407 0.996  0.314 0.878  0.220 0.760  0.126 0.642  0.036 0.522  -0.040 0.392  -0.115 0.262  -0.191 0.132  -0.267 0.002  -0.343 -0.128  -0.409 -0.263  -0.470 -0.401  -0.532 -0.538  -0.593 -0.675  -0.606 -0.820  -0.584 -0.968  -0.524 -1.097  -0.411 -1.197  -0.276 -1.245  -0.126 -1.262  0.022 -1.256  0.168 -1.222  0.315 -1.187
3#apb#apb40#app4052/.  0.950 1.407  0.912 1.350  0.873 1.292  0.835 1.234  0.796 1.177  0.758 1.119  0.719 1.061  0.681 1.004  0.642 0.946  0.604 0.888  0.566 0.831  0.527 0.773  0.489 0.715  0.450 0.658  0.412 0.600  0.373 0.542  0.335 0.485  0.296 0.427  0.258 0.369  0.219 0.312  0.181 0.254  0.143 0.196  0.104 0.138  0.066 0.081  0.027 0.023  -0.011 -0.035  -0.050 -0.092  -0.088 -0.150  -0.127 -0.208  -0.165 -0.265  -0.203 -0.323  -0.242 -0.381  -0.280 -0.438  -0.319 -0.496  -0.359 -0.552  -0.400 -0.608  -0.442 -0.663  -0.484 -0.719  -0.525 -0.774  -0.567 -0.830  -0.608 -0.885  -0.650 -0.941  -0.691 -0.996  -0.733 -1.052  -0.775 -1.107  -0.816 -1.162  -0.858 -1.218  -0.899 -1.273  -0.941 -1.329  -0.983 -1.384
3#apb#apb40#app4052/1  0.880 1.448  0.841 1.390  0.801 1.333  0.762 1.276  0.723 1.218  0.686 1.160  0.660 1.095  0.633 1.031  0.607 0.967  0.580 0.902  0.554 0.838  0.527 0.774  0.501 0.709  0.474 0.645  0.446 0.582  0.408 0.523  0.371 0.465  0.333 0.406  0.296 0.348  0.258 0.289  0.221 0.230  0.183 0.172  0.145 0.113  0.108 0.055  0.070 -0.004  0.033 -0.062  -0.009 -0.118  -0.051 -0.173  -0.094 -0.228  -0.136 -0.283  -0.179 -0.338  -0.221 -0.394  -0.264 -0.449  -0.306 -0.504  -0.349 -0.559  -0.391 -0.614  -0.434 -0.669  -0.478 -0.722  -0.523 -0.776  -0.568 -0.829  -0.612 -0.882  -0.657 -0.935  -0.702 -0.989  -0.747 -1.042  -0.791 -1.095  -0.834 -1.150  -0.876 -1.205  -0.919 -1.260  -0.961 -1.315  -1.000 -1.373
3#apb#apb40#app4052/0  0.403 1.092  0.315 0.959  0.226 0.827  0.138 0.695  0.056 0.559  -0.027 0.423  -0.109 0.287  -0.192 0.151  -0.292 0.027  -0.393 -0.095  -0.494 -0.218  -0.595 -0.341  -0.692 -0.467  -0.780 -0.599  -0.868 -0.732  -0.956 -0.864  -1.014 -1.010  -1.051 -1.164  -0.961 -1.271  -0.818 -1.304  -0.661 -1.276  -0.508 -1.239  -0.375 -1.152  -0.242 -1.064  -0.109 -0.977  0.019 -0.883  0.142 -0.782  0.265 -0.682  0.388 -0.581  0.509 -0.478  0.601 -0.348  0.693 -0.219  0.785 -0.089  0.871 0.043  0.906 0.198  0.940 0.354  0.960 0.509  0.921 0.663  0.883 0.817  0.796 0.943  0.680 1.052  0.543 1.108  0.384 1.108  0.226 1.103  0.086 1.027  -0.054 0.952  -0.194 0.877  -0.322 0.782  -0.450 0.688  -0.578 0.593
3#apb#apb40#app4052/5  0.147 1.152  0.033 1.027  -0.069 0.892  -0.167 0.754  -0.249 0.608  -0.286 0.443  -0.214 0.290  -0.114 0.159  0.020 0.056  0.161 -0.038  0.310 -0.119  0.459 -0.200  0.604 -0.287  0.749 -0.375  0.873 -0.489  0.918 -0.640  0.794 -0.752  0.655 -0.847  0.499 -0.913  0.343 -0.979  0.181 -1.028  0.017 -1.069  -0.147 -1.110  -0.315 -1.129  -0.484 -1.129  -0.654 -1.129  -0.820 -1.104  -0.982 -1.055  -1.022 -0.950  -0.954 -0.795  -0.886 -0.639  -0.818 -0.484  -0.750 -0.329  -0.682 -0.174  -0.614 -0.018  -0.546 0.137  -0.478 0.292  -0.410 0.447  -0.342 0.603  -0.274 0.758  -0.204 0.911  -0.035 0.927  0.132 0.954  0.299 0.982  0.467 1.004  0.635 1.024  0.803 1.045  0.970 1.075  1.137 1.106  1.304 1.136
3#apb#apb40#app4052/E  0.324 1.159  0.174 1.004  0.051 0.824  -0.074 0.646  -0.212 0.477  -0.349 0.308  -0.487 0.140  -0.629 -0.026  -0.770 -0.191  -0.909 -0.359  -1.025 -0.543  -1.141 -0.727  -1.198 -0.936  -1.092 -1.100  -0.887 -1.116  -0.679 -1.050  -0.472 -0.983  -0.264 -0.917  -0.049 -0.886  0.167 -0.857  0.382 -0.826  0.599 -0.836  0.815 -0.862  1.029 -0.901  1.033 -0.844  0.844 -0.735  0.655 -0.626  0.467 -0.518  0.278 -0.409  0.089 -0.300  -0.099 -0.191  -0.288 -0.083  -0.477 0.026  -0.665 0.135  -0.760 0.263  -0.542 0.263  -0.325 0.269  -0.107 0.278  0.105 0.326  0.317 0.377  0.523 0.445  0.727 0.524  0.827 0.641  0.702 0.819  0.577 0.997  0.452 1.176  0.310 1.329  0.472 1.414  0.684 1.466  0.896 1.515
