1c#apa#apa12#app1298/a  0.148 0.925  0.071 0.802  -0.007 0.925  -0.176 0.848  -0.358 0.802  -0.532 0.738  -0.675 0.596  -0.838 0.535  -0.937 0.432  -0.999 0.271  -1.164 0.185  -1.208 0.028  -1.287 -0.140  -1.332 -0.323  -1.267 -0.497  -1.208 -0.674  -1.085 -0.751  -0.978 -0.908  -0.784 -0.925  -0.622 -1.018  -0.433 -1.048  -0.232 -1.048  -0.155 -0.925  0.004 -0.823  0.146 -0.680  0.288 -0.538  0.395 -0.381  0.400 -0.185  0.519 -0.103  0.544 0.088  0.642 0.248  0.741 0.408  0.765 0.599  0.765 0.800  0.642 0.878  0.519 0.956  0.410 1.049  0.395 0.863  0.395 0.662  0.395 0.461  0.519 0.383  0.519 0.182  0.599 0.062  0.642 -0.097  0.722 -0.265  0.889 -0.324  0.955 -0.498  1.012 -0.675  1.101 -0.855  1.135 -1.048
1c#apa#apa12#app1298/b  -0.483 2.074  -0.371 1.977  -0.371 1.769  -0.371 1.560  -0.371 1.351  -0.371 1.142  -0.371 0.933  -0.371 0.724  -0.371 0.515  -0.371 0.307  -0.371 0.098  -0.259 0.001  -0.259 -0.208  -0.259 -0.417  -0.259 -0.625  -0.259 -0.834  -0.259 -1.043  -0.187 -1.180  -0.179 -1.016  -0.220 -0.811  -0.261 -0.606  -0.302 -0.401  -0.343 -0.196  -0.384 0.008  -0.425 0.213  -0.466 0.418  -0.361 0.503  -0.259 0.610  -0.055 0.615  0.041 0.727  0.250 0.727  0.347 0.615  0.443 0.503  0.540 0.391  0.639 0.281  0.751 0.184  0.864 0.022  0.976 -0.075  0.976 -0.283  0.976 -0.492  0.864 -0.589  0.797 -0.732  0.701 -0.844  0.535 -0.948  0.330 -0.956  0.128 -0.987  -0.034 -1.096  -0.155 -1.189  -0.302 -1.337  -0.483 -1.405
1c#apa#apa12#app1298/c  0.065 1.063  0.130 0.957  0.170 0.827  0.170 0.656  0.170 0.486  0.275 0.420  0.275 0.250  0.275 0.079  0.275 -0.091  0.275 -0.140  0.275 0.031  0.275 0.201  0.275 0.372  0.275 0.543  0.275 0.713  0.170 0.779  0.073 0.852  0.008 0.957  -0.058 1.063  -0.204 1.121  -0.355 1.168  -0.507 1.123  -0.567 0.977  -0.674 0.851  -0.778 0.723  -0.841 0.579  -0.883 0.425  -0.883 0.255  -0.883 0.084  -0.883 -0.086  -0.883 -0.257  -0.797 -0.392  -0.778 -0.554  -0.675 -0.622  -0.628 -0.772  -0.483 -0.833  -0.356 -0.939  -0.229 -1.043  -0.058 -1.043  0.007 -1.148  0.178 -1.148  0.348 -1.148  0.519 -1.148  0.661 -1.079  0.812 -1.033  0.944 -0.938  1.084 -0.866  1.236 -0.820  1.368 -0.727  1.539 -0.727
1c#apa#apa12#app1298/d  0.040 2.205  0.154 2.045  0.154 1.837  0.239 1.665  0.268 1.469  0.268 1.262  0.268 1.054  0.268 0.847  0.268 0.639  0.268 0.432  0.268 0.225  0.268 0.017  0.268 -0.190  0.268 -0.398  0.268 -0.605  0.268 -0.813  0.268 -1.020  0.381 -1.114  0.381 -1.321  0.381 -1.113  0.381 -0.906  0.381 -0.698  0.357 -0.501  0.268 -0.330  0.268 -0.123  0.158 0.039  0.154 0.245  0.040 0.405  -0.041 0.579  -0.187 0.660  -0.328 0.726  -0.534 0.722  -0.642 0.559  -0.756 0.465  -0.870 0.372  -0.870 0.164  -0.870 -0.043  -0.870 -0.251  -0.870 -0.458  -0.756 -0.552  -0.637 -0.644  -0.529 -0.806  -0.415 -0.900  -0.288 -0.980  -0.080 -0.980  0.102 -0.918  0.288 -0.866  0.462 -0.786  0.639 -0.681  0.836 -0.639
1c#apa#apa12#app1298/e  0.311 0.120  0.407 0.216  0.410 0.349  0.410 0.484  0.410 0.619  0.410 0.754  0.335 0.813  0.303 0.921  0.205 1.011  0.070 1.011  -0.065 1.011  -0.200 1.011  -0.282 0.958  -0.370 0.912  -0.480 0.886  -0.541 0.813  -0.647 0.744  -0.678 0.622  -0.777 0.586  -0.842 0.516  -0.877 0.417  -0.974 0.379  -0.974 0.244  -0.974 0.110  -0.974 -0.025  -0.974 -0.160  -0.961 -0.289  -0.861 -0.374  -0.777 -0.425  -0.716 -0.534  -0.596 -0.572  -0.496 -0.655  -0.369 -0.677  -0.248 -0.737  -0.121 -0.770  0.013 -0.770  0.109 -0.864  0.242 -0.869  0.377 -0.869  0.512 -0.869  0.647 -0.869  0.782 -0.869  0.884 -0.791  0.979 -0.696  1.104 -0.670  1.199 -0.575  1.294 -0.479  1.400 -0.446  1.463 -0.374  1.498 -0.275
1c#apa#apa12#app1298/f  -0.067 -0.268  0.073 -0.366  0.227 -0.282  0.415 -0.179  0.612 -0.080  0.711 0.118  0.817 0.312  0.915 0.510  1.014 0.650  1.014 0.888  0.995 1.108  0.872 1.249  0.657 1.305  0.459 1.403  0.221 1.403  0.081 1.305  -0.103 1.171  -0.202 0.974  -0.264 0.761  -0.362 0.563  -0.430 0.353  -0.461 0.127  -0.461 -0.111  -0.424 -0.341  -0.362 -0.565  -0.264 -0.763  -0.264 -1.001  -0.166 -1.199  -0.166 -1.437  -0.087 -1.520  -0.236 -1.334  -0.385 -1.148  -0.534 -0.962  -0.683 -0.776  -0.832 -0.589  -0.981 -0.403  -1.130 -0.217  -1.247 -0.123  -1.153 -0.268  -0.915 -0.268  -0.717 -0.170  -0.497 -0.090  -0.263 -0.071  -0.037 0.004  0.198 0.027  0.436 0.027  0.675 0.027  0.885 0.095  1.111 0.125  1.308 0.027
1c#apa#apa12#app1298/g  0.685 1.080  0.598 1.171  0.511 1.261  0.333 1.261  0.156 1.261  -0.022 1.261  -0.108 1.171  -0.241 1.062  -0.366 0.936  -0.492 0.811  -0.617 0.685  -0.676 0.532  -0.767 0.445  -0.767 0.268  -0.709 0.115  -0.636 -0.009  -0.496 -0.099  -0.356 -0.190  -0.178 -0.190  -0.001 -0.190  0.166 -0.164  0.317 -0.100  0.379 0.049  0.505 0.175  0.594 0.315  0.594 0.493  0.594 0.670  0.554 0.808  0.412 0.772  0.412 0.594  0.412 0.417  0.430 0.246  0.503 0.099  0.503 -0.078  0.503 -0.256  0.412 -0.396  0.412 -0.573  0.401 -0.746  0.322 -0.891  0.322 -1.068  0.211 -1.188  0.065 -1.264  -0.016 -1.370  -0.193 -1.370  -0.371 -1.370  -0.548 -1.370  -0.711 -1.335  -0.866 -1.279  -1.039 -1.275  -1.130 -1.188
1c#apa#apa12#app1298/h  -0.336 2.072  -0.336 1.911  -0.351 1.756  -0.436 1.631  -0.436 1.470  -0.436 1.309  -0.436 1.148  -0.436 0.987  -0.436 0.826  -0.362 0.696  -0.336 0.545  -0.336 0.384  -0.336 0.223  -0.336 0.063  -0.336 -0.098  -0.336 -0.259  -0.336 -0.420  -0.402 -0.566  -0.436 -0.719  -0.436 -0.880  -0.429 -1.034  -0.336 -1.101  -0.364 -1.034  -0.436 -0.945  -0.436 -0.784  -0.336 -0.723  -0.336 -0.562  -0.314 -0.411  -0.236 -0.282  -0.224 -0.132  -0.135 -0.060  -0.112 0.091  -0.035 0.220  0.065 0.281  0.138 0.369  0.299 0.369  0.460 0.369  0.566 0.314  0.648 0.187  0.666 0.033  0.734 -0.100  0.766 -0.247  0.842 -0.333  0.867 -0.469  0.867 -0.630  0.867 -0.791  0.867 -0.952  0.867 -1.113  0.867 -1.274  0.967 -1.334
1c#apa#apa12#app1298/i  -0.160 0.541  -0.160 0.421  -0.160 0.301  -0.160 0.181  -0.160 0.061  -0.160 -0.059  -0.160 -0.179  -0.160 -0.299  -0.160 -0.419  -0.160 -0.539  -0.111 -0.639  -0.026 -0.724  -0.019 -0.841  -0.019 -0.961  -0.019 -1.081  -0.019 -1.201  0.005 -1.297  0.123 -1.300  0.123 -1.420  0.224 -1.439  0.254 -1.359  0.239 -1.240  0.225 -1.121  0.210 -1.002  0.195 -0.883  0.180 -0.763  0.165 -0.644  0.150 -0.525  0.135 -0.406  0.120 -0.287  0.105 -0.168  0.091 -0.049  0.076 0.071  0.061 0.190  0.046 0.309  0.031 0.428  0.016 0.547  0.001 0.666  -0.014 0.785  -0.029 0.905  -0.043 1.024  -0.058 1.143  -0.073 1.262  -0.088 1.381  -0.103 1.500  -0.118 1.619  -0.133 1.739  -0.148 1.858  -0.139 1.956  -0.019 1.956
1c#apa#apa12#app1298/j  0.428 1.169  0.428 1.025  0.428 0.881  0.428 0.736  0.428 0.592  0.428 0.447  0.452 0.313  0.521 0.197  0.521 0.052  0.521 -0.092  0.521 -0.237  0.521 -0.381  0.434 -0.489  0.428 -0.632  0.336 -0.684  0.336 -0.828  0.243 -0.880  0.196 -1.005  0.151 -1.130  0.058 -1.182  -0.034 -1.234  -0.179 -1.234  -0.312 -1.223  -0.375 -1.142  -0.427 -1.050  -0.571 -1.050  -0.613 -0.933  -0.729 -0.865  -0.781 -0.772  -0.866 -0.713  -0.812 -0.582  -0.742 -0.456  -0.672 -0.330  -0.602 -0.203  -0.532 -0.077  -0.461 0.049  -0.391 0.175  -0.321 0.302  -0.251 0.428  -0.181 0.554  -0.111 0.680  -0.041 0.807  0.030 0.933  0.100 1.059  0.170 1.185  0.240 1.312  0.310 1.438  0.380 1.564  0.450 1.690  0.521 1.817
1c#apa#apa12#app1298/k  -0.662 2.135  -0.577 1.962  -0.548 1.766  -0.492 1.581  -0.492 1.373  -0.492 1.166  -0.492 0.958  -0.492 0.750  -0.492 0.542  -0.492 0.334  -0.492 0.126  -0.492 -0.082  -0.492 -0.290  -0.492 -0.498  -0.492 -0.706  -0.438 -0.891  -0.407 -1.087  -0.299 -1.200  -0.185 -1.152  -0.095 -0.965  -0.005 -0.777  0.085 -0.590  0.175 -0.402  0.265 -0.215  0.355 -0.027  0.445 0.160  0.535 0.348  0.625 0.535  0.715 0.723  0.781 0.807  0.631 0.711  0.467 0.607  0.312 0.477  0.225 0.305  0.053 0.218  -0.119 0.131  -0.238 -0.027  -0.377 -0.128  -0.481 -0.306  -0.478 -0.497  -0.305 -0.582  -0.097 -0.582  0.108 -0.588  0.272 -0.678  0.371 -0.837  0.544 -0.922  0.752 -0.922  0.960 -0.922  1.168 -0.922  1.376 -0.922
1c#apa#apa12#app1298/l  -0.216 1.650  -0.216 1.579  -0.216 1.508  -0.216 1.437  -0.206 1.370  -0.156 1.320  -0.106 1.270  -0.082 1.209  -0.082 1.138  -0.082 1.067  -0.082 0.996  -0.082 0.925  -0.082 0.854  -0.040 0.800  0.010 0.750  0.053 0.697  0.053 0.626  0.053 0.555  0.053 0.484  0.053 0.413  0.053 0.342  0.053 0.270  0.053 0.199  0.053 0.128  0.053 0.057  0.053 -0.014  0.053 -0.085  0.053 -0.156  0.053 -0.227  0.053 -0.298  0.053 -0.369  0.053 -0.440  0.053 -0.511  0.053 -0.582  0.053 -0.653  0.053 -0.724  0.053 -0.795  0.053 -0.866  0.053 -0.937  0.053 -1.008  0.053 -1.079  0.053 -1.150  0.053 -1.221  0.053 -1.292  0.053 -1.363  0.053 -1.434  0.053 -1.505  0.053 -1.576  0.053 -1.647  0.053 -1.718
1c#apa#apa12#app1298/m  -0.995 0.761  -0.995 0.573  -0.995 0.386  -0.928 0.265  -0.871 0.134  -0.871 -0.054  -0.871 -0.241  -0.871 -0.429  -0.871 -0.617  -0.871 -0.804  -0.871 -0.992  -0.871 -1.180  -0.768 -1.119  -0.747 -0.940  -0.747 -0.752  -0.633 -0.612  -0.623 -0.428  -0.623 -0.240  -0.623 -0.053  -0.540 0.101  -0.500 0.271  -0.500 0.459  -0.405 0.608  -0.354 0.761  -0.252 0.847  -0.110 0.867  -0.004 0.723  0.068 0.565  0.120 0.399  0.120 0.211  0.120 0.023  0.161 -0.147  0.244 -0.301  0.375 -0.347  0.492 -0.208  0.553 -0.046  0.616 0.116  0.643 0.293  0.740 0.440  0.740 0.628  0.918 0.637  1.071 0.553  1.204 0.421  1.235 0.246  1.294 0.083  1.359 -0.078  1.384 -0.255  1.517 -0.388  1.607 -0.538  1.731 -0.602
1c#apa#apa12#app1298/n  -0.955 1.434  -0.955 1.281  -0.955 1.128  -0.902 0.997  -0.827 0.875  -0.827 0.722  -0.827 0.569  -0.827 0.416  -0.723 0.307  -0.699 0.164  -0.687 0.016  -0.579 -0.093  -0.572 -0.242  -0.572 -0.395  -0.572 -0.548  -0.572 -0.701  -0.491 -0.820  -0.444 -0.954  -0.444 -1.107  -0.435 -1.251  -0.316 -1.217  -0.274 -1.082  -0.188 -0.965  -0.188 -0.812  -0.188 -0.659  -0.140 -0.517  -0.072 -0.380  -0.060 -0.230  -0.053 -0.078  -0.004 0.067  0.044 0.212  0.068 0.361  0.140 0.484  0.196 0.614  0.296 0.667  0.412 0.755  0.548 0.795  0.579 0.673  0.721 0.653  0.829 0.545  0.847 0.399  0.955 0.291  1.063 0.183  1.091 0.042  1.091 -0.111  1.116 -0.254  1.222 -0.363  1.291 -0.500  1.366 -0.632  1.474 -0.740
1c#apa#apa12#app1298/o  -0.189 1.129  -0.308 1.105  -0.357 1.010  -0.428 0.936  -0.526 0.890  -0.547 0.768  -0.567 0.632  -0.667 0.529  -0.667 0.385  -0.703 0.256  -0.786 0.147  -0.786 0.003  -0.786 -0.141  -0.786 -0.285  -0.786 -0.429  -0.786 -0.573  -0.786 -0.717  -0.731 -0.839  -0.667 -0.956  -0.590 -1.023  -0.475 -1.095  -0.351 -1.142  -0.207 -1.142  -0.064 -1.140  0.065 -1.075  0.197 -1.023  0.326 -0.986  0.435 -0.903  0.564 -0.867  0.648 -0.758  0.698 -0.664  0.768 -0.590  0.867 -0.544  0.887 -0.421  0.887 -0.277  0.887 -0.133  0.887 0.011  0.887 0.155  0.883 0.297  0.781 0.399  0.679 0.501  0.648 0.632  0.525 0.655  0.423 0.757  0.353 0.882  0.288 1.010  0.152 1.028  0.050 1.130  -0.052 1.231  -0.189 1.249
1c#apa#apa12#app1298/p  -0.360 0.957  -0.286 0.779  -0.257 0.582  -0.153 0.477  -0.153 0.269  -0.153 0.060  -0.153 -0.148  -0.153 -0.357  -0.153 -0.566  -0.186 -0.767  -0.257 -0.958  -0.257 -1.167  -0.257 -1.376  -0.257 -1.584  -0.218 -1.777  -0.169 -1.725  -0.196 -1.518  -0.224 -1.311  -0.251 -1.104  -0.279 -0.898  -0.306 -0.691  -0.334 -0.484  -0.362 -0.277  -0.389 -0.071  -0.417 0.136  -0.444 0.343  -0.472 0.550  -0.499 0.756  -0.527 0.963  -0.554 1.170  -0.490 1.189  -0.292 1.164  -0.103 1.213  0.083 1.267  0.291 1.267  0.460 1.172  0.562 1.060  0.676 0.966  0.779 0.861  0.883 0.695  0.923 0.503  0.987 0.321  0.987 0.112  0.901 -0.061  0.779 -0.219  0.638 -0.287  0.441 -0.314  0.264 -0.390  0.056 -0.390  -0.153 -0.390
