1c#app#app41#app4103/o  -0.250 0.274  -0.250 0.420  -0.250 0.566  -0.250 0.711  -0.250 0.654  -0.250 0.509  -0.250 0.363  -0.307 0.274  -0.453 0.274  -0.599 0.274  -0.732 0.262  -0.732 0.116  -0.732 -0.029  -0.732 -0.175  -0.732 -0.321  -0.732 -0.466  -0.732 -0.612  -0.732 -0.758  -0.732 -0.903  -0.732 -1.049  -0.706 -1.169  -0.561 -1.169  -0.415 -1.169  -0.270 -1.169  -0.124 -1.169  0.022 -1.169  0.167 -1.169  0.231 -1.087  0.231 -0.941  0.231 -0.796  0.258 -0.661  0.361 -0.558  0.464 -0.455  0.567 -0.352  0.670 -0.249  0.712 -0.121  0.712 0.024  0.712 0.170  0.712 0.316  0.712 0.461  0.712 0.607  0.712 0.752  0.712 0.898  0.712 1.044  0.712 1.189  0.643 1.306  0.540 1.409  0.437 1.512  0.334 1.615  0.231 1.718
1c#app#app41#app4103/f  1.022 1.297  0.913 1.406  0.804 1.515  0.655 1.526  0.501 1.526  0.347 1.526  0.193 1.526  0.060 1.476  -0.049 1.367  -0.119 1.242  -0.119 1.088  -0.119 0.934  -0.119 0.781  -0.119 0.627  -0.119 0.473  -0.119 0.319  -0.119 0.165  -0.119 0.011  -0.119 -0.142  -0.119 -0.296  -0.119 -0.450  -0.119 -0.604  -0.117 -0.757  -0.008 -0.866  0.101 -0.975  0.109 -1.125  0.109 -1.279  0.109 -1.433  0.256 -1.439  0.291 -1.383  0.192 -1.265  0.094 -1.147  -0.005 -1.029  -0.103 -0.911  -0.202 -0.793  -0.300 -0.674  -0.399 -0.556  -0.497 -0.438  -0.596 -0.320  -0.694 -0.202  -0.793 -0.083  -0.665 -0.071  -0.511 -0.071  -0.358 -0.071  -0.204 -0.071  -0.050 -0.071  0.104 -0.071  0.258 -0.071  0.412 -0.071  0.565 -0.071
1c#app#app41#app4103/s  0.105 1.354  0.105 1.239  0.105 1.125  0.039 1.077  -0.076 1.077  -0.191 1.077  -0.305 1.077  -0.420 1.077  -0.534 1.077  -0.649 1.077  -0.727 1.040  -0.727 0.926  -0.727 0.811  -0.727 0.697  -0.727 0.582  -0.672 0.522  -0.558 0.522  -0.443 0.522  -0.329 0.522  -0.214 0.522  -0.121 0.471  -0.040 0.390  0.041 0.309  0.122 0.228  0.203 0.147  0.284 0.066  0.365 -0.015  0.472 -0.032  0.587 -0.032  0.659 -0.074  0.659 -0.189  0.659 -0.303  0.659 -0.418  0.659 -0.532  0.659 -0.647  0.659 -0.762  0.651 -0.872  0.570 -0.953  0.489 -1.034  0.408 -1.115  0.304 -1.141  0.189 -1.141  0.075 -1.141  -0.040 -1.141  -0.154 -1.141  -0.172 -1.237  -0.172 -1.352  -0.221 -1.418  -0.335 -1.418  -0.450 -1.418
1c#app#app41#app4103/a  0.537 0.226  0.537 0.423  0.481 0.598  0.341 0.737  0.193 0.857  -0.005 0.857  -0.095 0.964  -0.095 1.162  -0.281 1.173  -0.411 1.105  -0.411 0.907  -0.558 0.857  -0.747 0.836  -0.887 0.697  -1.027 0.557  -1.042 0.366  -1.042 0.168  -1.042 -0.029  -1.042 -0.227  -1.042 -0.425  -1.042 -0.622  -0.944 -0.722  -0.747 -0.722  -0.726 -0.899  -0.667 -1.038  -0.470 -1.038  -0.411 -0.899  -0.390 -0.722  -0.193 -0.722  -0.095 -0.622  -0.095 -0.425  0.032 -0.279  0.171 -0.140  0.221 0.037  0.221 0.235  0.221 0.433  0.310 0.541  0.507 0.541  0.537 0.373  0.537 0.176  0.537 -0.022  0.628 -0.181  0.768 -0.321  0.853 -0.484  0.853 -0.681  1.010 -0.722  1.207 -0.722  1.405 -0.722  1.602 -0.722  1.800 -0.722
1c#app#app41#app4103/r  -0.628 0.896  -0.628 0.763  -0.628 0.630  -0.628 0.497  -0.523 0.469  -0.390 0.469  -0.257 0.469  -0.254 0.415  -0.348 0.321  -0.442 0.227  -0.536 0.133  -0.628 0.038  -0.628 -0.095  -0.628 -0.228  -0.628 -0.361  -0.628 -0.494  -0.628 -0.627  -0.628 -0.760  -0.628 -0.893  -0.628 -1.026  -0.628 -1.159  -0.577 -1.241  -0.444 -1.241  -0.311 -1.241  -0.184 -1.226  -0.090 -1.132  0.004 -1.038  0.098 -0.944  0.192 -0.850  0.286 -0.756  0.380 -0.662  0.474 -0.568  0.568 -0.473  0.655 -0.377  0.655 -0.244  0.655 -0.111  0.655 0.022  0.655 0.155  0.655 0.288  0.655 0.421  0.655 0.554  0.655 0.687  0.655 0.820  0.655 0.953  0.655 1.086  0.655 1.220  0.655 1.353  0.655 1.486  0.655 1.619  0.655 1.752
1c#app#app41#app4103/e  -0.662 0.160  -0.540 0.038  -0.418 -0.083  -0.286 -0.180  -0.114 -0.180  0.059 -0.180  0.231 -0.180  0.358 -0.135  0.358 0.038  0.408 0.160  0.580 0.160  0.698 0.215  0.698 0.387  0.757 0.500  0.930 0.500  1.039 0.564  1.039 0.736  0.991 0.889  0.869 1.011  0.747 1.132  0.595 1.181  0.422 1.181  0.250 1.181  0.077 1.181  0.018 1.068  0.018 0.895  -0.099 0.841  -0.272 0.841  -0.322 0.718  -0.322 0.546  -0.322 0.374  -0.322 0.201  -0.453 0.160  -0.626 0.160  -0.662 0.024  -0.662 -0.148  -0.662 -0.320  -0.662 -0.493  -0.662 -0.665  -0.662 -0.837  -0.662 -1.010  -0.662 -1.182  -0.508 -1.200  -0.336 -1.200  -0.322 -1.359  -0.322 -1.531  -0.159 -1.540  0.014 -1.540  0.186 -1.540  0.358 -1.540
1c#app#app41#app4103/u  -1.089 1.448  -1.089 1.286  -1.089 1.124  -1.089 0.962  -1.089 0.800  -1.089 0.637  -1.089 0.475  -1.089 0.313  -1.089 0.151  -1.059 0.001  -0.944 -0.113  -0.829 -0.228  -0.715 -0.343  -0.617 -0.464  -0.617 -0.626  -0.617 -0.788  -0.579 -0.912  -0.417 -0.912  -0.254 -0.912  -0.108 -0.875  0.007 -0.761  0.122 -0.646  0.236 -0.531  0.327 -0.407  0.327 -0.245  0.327 -0.083  0.327 0.079  0.327 0.242  0.327 0.404  0.327 0.566  0.327 0.728  0.327 0.890  0.327 0.900  0.327 0.738  0.327 0.575  0.418 0.504  0.580 0.504  0.742 0.504  0.799 0.399  0.799 0.237  0.799 0.075  0.799 -0.087  0.799 -0.250  0.799 -0.412  0.799 -0.574  0.799 -0.736  0.799 -0.898  0.947 -0.912  1.109 -0.912  1.272 -0.912
1c#app#app41#app4103/n  -0.873 0.358  -0.873 0.191  -0.873 0.023  -0.873 -0.144  -0.873 -0.312  -0.873 -0.479  -0.873 -0.647  -0.873 -0.814  -0.873 -0.982  -0.873 -1.150  -0.873 -1.317  -0.830 -1.379  -0.711 -1.260  -0.593 -1.142  -0.474 -1.023  -0.356 -0.905  -0.280 -0.769  -0.280 -0.601  -0.280 -0.434  -0.280 -0.266  -0.183 -0.139  -0.065 -0.020  0.054 0.098  0.172 0.217  0.291 0.335  0.314 0.493  0.314 0.661  0.314 0.828  0.314 0.996  0.314 1.163  0.314 1.331  0.314 1.498  0.314 1.425  0.314 1.258  0.314 1.090  0.314 0.923  0.314 0.755  0.314 0.588  0.314 0.420  0.420 0.358  0.587 0.358  0.755 0.358  0.908 0.344  0.908 0.176  0.908 0.009  0.908 -0.159  0.908 -0.326  0.908 -0.494  0.908 -0.661  0.908 -0.829
1c#app#app41#app4103/d  0.242 -0.720  0.242 -0.527  0.072 -0.504  0.027 -0.356  -0.098 -0.289  -0.291 -0.289  -0.484 -0.289  -0.660 -0.330  -0.796 -0.467  -0.834 -0.644  -0.834 -0.837  -0.834 -1.029  -0.834 -1.222  -0.784 -1.365  -0.591 -1.365  -0.399 -1.365  -0.206 -1.365  -0.064 -1.241  0.027 -1.086  0.056 -0.906  0.193 -0.769  0.242 -0.597  0.242 -0.404  0.242 -0.212  0.242 -0.019  0.242 0.174  0.242 0.367  0.242 0.560  0.242 0.753  0.242 0.945  0.242 1.138  0.242 1.331  0.178 1.497  0.042 1.634  0.027 1.820  0.027 1.714  0.027 1.521  0.027 1.328  0.027 1.135  0.027 0.943  0.027 0.750  0.042 0.572  0.235 0.572  0.325 0.406  0.411 0.234  0.458 0.052  0.458 -0.141  0.502 -0.289  0.673 -0.311  0.673 -0.504
1c#app#app41#app4103/e  -1.085 0.264  -0.959 0.137  -0.833 0.011  -0.706 -0.115  -0.550 -0.169  -0.371 -0.169  -0.192 -0.169  -0.014 -0.169  0.165 -0.169  0.212 -0.037  0.212 0.141  0.269 0.264  0.447 0.264  0.626 0.264  0.758 0.377  0.884 0.503  1.011 0.629  1.077 0.780  1.077 0.959  1.068 1.129  0.890 1.129  0.711 1.129  0.532 1.129  0.354 1.129  0.212 1.091  0.212 0.913  0.212 0.734  0.071 0.696  -0.107 0.696  -0.220 0.631  -0.220 0.452  -0.220 0.273  -0.389 0.264  -0.568 0.264  -0.653 0.170  -0.653 -0.009  -0.653 -0.188  -0.653 -0.366  -0.653 -0.545  -0.566 -0.688  -0.440 -0.814  -0.313 -0.941  -0.220 -1.081  -0.220 -1.259  -0.220 -1.438  -0.070 -1.466  0.109 -1.466  0.212 -1.542  0.212 -1.720  0.212 -1.899
1c#app#app41#app4103/f  1.100 0.985  1.002 1.082  0.920 1.187  0.920 1.325  0.802 1.344  0.664 1.344  0.526 1.344  0.388 1.344  0.250 1.344  0.112 1.344  0.023 1.294  0.017 1.158  -0.080 1.061  -0.156 0.954  -0.156 0.816  -0.156 0.678  -0.217 0.566  -0.314 0.468  -0.336 0.339  -0.336 0.201  -0.336 0.063  -0.336 -0.075  -0.336 -0.213  -0.279 -0.328  -0.181 -0.425  -0.156 -0.553  -0.156 -0.691  -0.156 -0.829  -0.156 -0.967  -0.074 -1.071  0.023 -1.169  0.023 -1.307  0.023 -1.445  0.001 -1.476  -0.053 -1.349  -0.107 -1.222  -0.162 -1.095  -0.216 -0.968  -0.270 -0.842  -0.325 -0.715  -0.379 -0.588  -0.433 -0.461  -0.488 -0.334  -0.446 -0.271  -0.308 -0.271  -0.170 -0.271  -0.032 -0.271  0.106 -0.271  0.203 -0.312  0.203 -0.450
