1b#apb#apb38#app3855/A  -0.501 0.223  -0.383 0.342  -0.432 0.346  -0.524 0.170  -0.607 -0.010  -0.660 -0.201  -0.727 -0.387  -0.811 -0.568  -0.905 -0.743  -0.987 -0.924  -1.056 -1.110  -1.011 -1.111  -0.913 -0.938  -0.819 -0.763  -0.730 -0.585  -0.639 -0.408  -0.534 -0.240  -0.429 -0.071  -0.338 0.106  -0.253 0.286  -0.168 0.465  -0.083 0.645  0.002 0.825  0.104 0.994  0.227 1.151  0.356 1.302  0.505 1.433  0.656 1.562  0.808 1.544  0.876 1.363  0.876 1.165  0.865 0.966  0.839 0.769  0.810 0.572  0.779 0.376  0.746 0.180  0.698 -0.013  0.650 -0.206  0.624 -0.403  0.601 -0.601  0.601 -0.799  0.601 -0.998  0.526 -1.049  0.366 -0.931  0.207 -0.812  0.047 -0.694  -0.113 -0.575  -0.108 -0.495  0.084 -0.546  0.275 -0.604
1b#apb#apb38#app3855/B  -0.487 0.816  -0.397 0.820  -0.386 0.604  -0.404 0.387  -0.462 0.178  -0.527 -0.029  -0.567 -0.242  -0.606 -0.455  -0.679 -0.660  -0.748 -0.866  -0.808 -1.075  -0.864 -1.285  -0.876 -1.301  -0.841 -1.087  -0.806 -0.873  -0.771 -0.658  -0.735 -0.444  -0.700 -0.229  -0.665 -0.015  -0.629 0.199  -0.594 0.414  -0.559 0.628  -0.493 0.832  -0.298 0.924  -0.121 1.050  0.022 1.212  0.223 1.248  0.441 1.248  0.650 1.238  0.705 1.028  0.728 0.812  0.706 0.596  0.583 0.427  0.446 0.259  0.298 0.102  0.138 -0.044  0.125 -0.016  0.298 0.107  0.493 0.199  0.708 0.213  0.902 0.136  1.064 -0.009  1.160 -0.192  1.153 -0.409  1.105 -0.612  0.935 -0.747  0.779 -0.897  0.633 -1.058  0.457 -1.182  0.269 -1.291
1b#apb#apb38#app3855/C  0.915 1.291  0.838 1.291  0.760 1.289  0.685 1.270  0.610 1.251  0.535 1.232  0.463 1.206  0.400 1.161  0.337 1.116  0.274 1.071  0.216 1.021  0.175 0.955  0.134 0.889  0.093 0.823  0.052 0.758  0.007 0.694  -0.039 0.632  -0.084 0.569  -0.130 0.506  -0.175 0.444  -0.221 0.381  -0.255 0.313  -0.278 0.239  -0.301 0.164  -0.324 0.090  -0.347 0.016  -0.369 -0.058  -0.391 -0.132  -0.402 -0.209  -0.413 -0.286  -0.424 -0.363  -0.410 -0.438  -0.391 -0.513  -0.372 -0.588  -0.353 -0.664  -0.335 -0.739  -0.315 -0.814  -0.283 -0.884  -0.250 -0.955  -0.218 -1.025  -0.185 -1.095  -0.153 -1.166  -0.120 -1.236  -0.073 -1.290  0.001 -1.312  0.075 -1.335  0.149 -1.358  0.223 -1.381  0.298 -1.404  0.372 -1.426
1b#apb#apb38#app3855/D  -0.799 0.891  -0.788 0.741  -0.776 0.592  -0.765 0.442  -0.763 0.292  -0.763 0.142  -0.779 -0.006  -0.804 -0.154  -0.829 -0.302  -0.813 -0.449  -0.780 -0.595  -0.763 -0.743  -0.763 -0.893  -0.750 -0.957  -0.705 -0.814  -0.659 -0.671  -0.614 -0.528  -0.569 -0.385  -0.524 -0.242  -0.479 -0.099  -0.434 0.044  -0.388 0.187  -0.343 0.330  -0.298 0.473  -0.253 0.617  -0.208 0.760  -0.163 0.903  -0.117 1.046  0.012 1.062  0.162 1.048  0.306 1.023  0.418 0.923  0.530 0.824  0.639 0.721  0.737 0.607  0.834 0.493  0.930 0.378  1.020 0.260  1.047 0.112  1.074 -0.035  1.091 -0.184  1.091 -0.334  1.091 -0.484  1.046 -0.624  0.984 -0.761  0.922 -0.897  0.833 -1.017  0.737 -1.132  0.641 -1.247  0.545 -1.363
1b#apb#apb38#app3855/E  -0.674 0.597  -0.558 0.349  -0.527 0.088  -0.600 -0.175  -0.668 -0.440  -0.718 -0.710  -0.790 -0.973  -0.792 -1.201  -0.662 -0.977  -0.600 -0.711  -0.562 -0.441  -0.575 -0.169  -0.650 0.094  -0.706 0.362  -0.729 0.633  -0.681 0.892  -0.451 1.038  -0.188 1.112  0.083 1.144  0.345 1.211  0.604 1.297  0.873 1.345  1.147 1.351  1.029 1.203  0.824 1.022  0.619 0.840  0.413 0.659  0.208 0.478  0.003 0.297  -0.202 0.115  -0.408 -0.066  -0.314 -0.055  -0.062 -0.085  0.181 -0.104  0.402 0.057  0.664 0.135  0.929 0.202  0.954 0.137  0.755 -0.051  0.556 -0.239  0.357 -0.427  0.158 -0.615  -0.041 -0.803  -0.240 -0.991  -0.440 -1.179  -0.195 -1.235  0.075 -1.269  0.346 -1.228  0.618 -1.241  0.890 -1.273
1b#apb#apb38#app3855/F  -0.183 0.628  -0.167 0.523  -0.208 0.319  -0.187 0.107  -0.249 -0.093  -0.320 -0.293  -0.368 -0.501  -0.433 -0.701  -0.536 -0.887  -0.569 -1.094  -0.585 -1.307  -0.640 -1.512  -0.693 -1.636  -0.646 -1.440  -0.609 -1.230  -0.573 -1.020  -0.552 -0.809  -0.545 -0.596  -0.538 -0.384  -0.531 -0.171  -0.530 0.041  -0.562 0.251  -0.585 0.463  -0.606 0.673  -0.494 0.820  -0.285 0.861  -0.080 0.917  0.128 0.963  0.340 0.970  0.553 0.970  0.759 1.022  0.964 1.077  1.171 1.127  1.378 1.175  1.318 1.073  1.169 0.921  1.019 0.769  0.870 0.617  0.721 0.466  0.572 0.314  0.423 0.162  0.274 0.010  0.125 -0.142  -0.025 -0.293  -0.174 -0.445  -0.286 -0.578  -0.075 -0.548  0.136 -0.519  0.348 -0.519  0.561 -0.519
1b#apb#apb38#app3855/G  0.557 1.224  0.584 1.325  0.488 1.378  0.376 1.325  0.269 1.254  0.164 1.180  0.061 1.105  -0.043 1.030  -0.141 0.947  -0.239 0.864  -0.336 0.780  -0.428 0.692  -0.496 0.584  -0.564 0.475  -0.632 0.366  -0.695 0.255  -0.753 0.140  -0.810 0.026  -0.867 -0.089  -0.889 -0.214  -0.904 -0.342  -0.919 -0.469  -0.906 -0.592  -0.854 -0.709  -0.804 -0.827  -0.756 -0.946  -0.685 -1.029  -0.556 -1.029  -0.428 -1.029  -0.300 -1.029  -0.172 -1.029  -0.073 -0.962  0.012 -0.867  0.098 -0.772  0.207 -0.704  0.308 -0.630  0.361 -0.513  0.415 -0.396  0.400 -0.276  0.378 -0.151  0.381 -0.056  0.510 -0.056  0.638 -0.056  0.766 -0.056  0.894 -0.052  1.022 -0.042  1.150 -0.032  1.277 -0.016  1.404 0.002  1.531 0.021
1b#apb#apb38#app3855/H  -0.877 1.363  -0.714 1.225  -0.714 0.999  -0.727 0.775  -0.768 0.552  -0.796 0.328  -0.826 0.105  -0.907 -0.106  -0.964 -0.322  -0.978 -0.548  -0.986 -0.773  -0.993 -0.998  -0.975 -1.214  -0.858 -1.196  -0.729 -1.011  -0.600 -0.826  -0.470 -0.641  -0.341 -0.456  -0.211 -0.271  -0.082 -0.085  0.047 0.100  0.177 0.285  0.306 0.470  0.435 0.655  0.565 0.840  0.694 1.025  0.824 1.210  0.949 1.363  1.053 1.225  1.003 1.008  0.936 0.793  0.904 0.570  0.847 0.353  0.768 0.141  0.707 -0.075  0.665 -0.297  0.638 -0.521  0.624 -0.746  0.618 -0.972  0.505 -0.972  0.324 -0.836  0.143 -0.701  -0.037 -0.565  -0.218 -0.430  -0.346 -0.278  -0.163 -0.164  0.050 -0.105  0.276 -0.105  0.501 -0.092  0.726 -0.078
1b#apb#apb38#app3855/I  -0.047 0.784  0.124 0.880  0.139 0.645  0.115 0.417  0.054 0.190  0.018 -0.043  -0.039 -0.271  -0.104 -0.498  -0.146 -0.730  -0.161 -0.964  -0.229 -0.895  -0.329 -0.682  -0.429 -0.468  -0.529 -0.255  -0.629 -0.042  -0.729 0.172  -0.829 0.385  -0.929 0.599  -0.985 0.790  -0.762 0.860  -0.534 0.898  -0.298 0.898  -0.063 0.898  0.173 0.898  0.409 0.898  0.644 0.898  0.880 0.898  1.116 0.898  1.351 0.898  1.569 0.891  1.387 0.741  1.206 0.592  1.024 0.442  0.842 0.292  0.660 0.142  0.478 -0.008  0.296 -0.158  0.114 -0.308  -0.067 -0.458  -0.249 -0.607  -0.431 -0.757  -0.613 -0.907  -0.795 -1.057  -0.977 -1.207  -0.855 -1.148  -0.632 -1.075  -0.402 -1.047  -0.167 -1.062  0.065 -1.101  0.295 -1.154
1b#apb#apb38#app3855/J  0.164 1.046  0.249 1.046  0.286 0.936  0.329 0.796  0.375 0.656  0.408 0.513  0.440 0.369  0.506 0.238  0.565 0.104  0.579 -0.042  0.593 -0.188  0.578 -0.335  0.564 -0.481  0.507 -0.616  0.447 -0.751  0.365 -0.873  0.281 -0.993  0.179 -1.091  0.041 -1.142  -0.073 -1.228  -0.167 -1.341  -0.307 -1.320  -0.450 -1.288  -0.573 -1.207  -0.693 -1.122  -0.814 -1.039  -0.902 -0.948  -0.863 -0.807  -0.824 -0.665  -0.785 -0.523  -0.746 -0.381  -0.707 -0.239  -0.668 -0.098  -0.629 0.044  -0.589 0.186  -0.550 0.328  -0.511 0.470  -0.472 0.611  -0.433 0.753  -0.325 0.824  -0.182 0.858  -0.038 0.891  0.105 0.924  0.246 0.967  0.386 1.011  0.528 1.045  0.675 1.037  0.822 1.030  0.969 1.023  1.116 1.015
1b#apb#apb38#app3855/K  -0.980 1.311  -0.829 1.286  -0.778 1.106  -0.753 0.922  -0.738 0.736  -0.729 0.549  -0.729 0.362  -0.731 0.176  -0.745 -0.011  -0.760 -0.197  -0.784 -0.382  -0.815 -0.566  -0.854 -0.748  -0.913 -0.925  -0.972 -1.103  -0.865 -1.017  -0.731 -0.888  -0.596 -0.758  -0.462 -0.629  -0.327 -0.499  -0.193 -0.369  -0.058 -0.240  0.076 -0.110  0.211 0.019  0.345 0.149  0.480 0.279  0.614 0.408  0.749 0.538  0.883 0.668  1.015 0.800  1.135 0.943  1.223 1.096  1.172 0.951  1.078 0.792  0.929 0.680  0.786 0.561  0.664 0.420  0.517 0.316  0.340 0.256  0.210 0.136  0.113 -0.023  0.040 -0.195  0.000 -0.377  0.016 -0.559  0.099 -0.725  0.190 -0.889  0.349 -0.978  0.519 -1.053  0.702 -1.092  0.885 -1.128
