3#app#app19#app1954/P  -0.446 0.527  -0.411 0.342  -0.328 0.176  -0.264 0.007  -0.214 -0.172  -0.163 -0.350  -0.137 -0.535  -0.062 -0.707  -0.046 -0.894  0.018 -1.069  0.069 -1.252  0.109 -1.435  0.148 -1.524  0.047 -1.363  -0.055 -1.202  -0.156 -1.041  -0.258 -0.880  -0.359 -0.719  -0.461 -0.557  -0.562 -0.396  -0.663 -0.235  -0.765 -0.074  -0.866 0.087  -0.968 0.248  -1.069 0.410  -1.107 0.564  -1.016 0.707  -0.851 0.800  -0.692 0.905  -0.536 0.992  -0.348 1.002  -0.174 1.069  0.017 1.069  0.207 1.069  0.390 1.038  0.570 0.992  0.754 0.953  0.918 0.866  1.071 0.754  1.222 0.639  1.257 0.463  1.257 0.273  1.157 0.128  1.005 0.024  0.893 -0.119  0.723 -0.205  0.543 -0.247  0.374 -0.320  0.209 -0.402  0.018 -0.402
3#app#app19#app1954/e  -1.080 -0.994  -1.080 -0.820  -0.940 -0.785  -0.766 -0.785  -0.592 -0.785  -0.429 -0.759  -0.306 -0.636  -0.156 -0.577  -0.039 -0.520  -0.018 -0.358  0.137 -0.281  0.293 -0.203  0.457 -0.160  0.618 -0.128  0.742 -0.005  0.795 0.147  0.841 0.302  0.964 0.425  1.003 0.583  1.003 0.757  1.003 0.931  0.992 1.101  0.869 1.224  0.726 1.298  0.552 1.298  0.377 1.298  0.203 1.298  0.170 1.158  0.063 1.090  -0.090 1.039  -0.213 0.916  -0.247 0.756  -0.339 0.673  -0.455 0.616  -0.466 0.444  -0.544 0.288  -0.622 0.132  -0.664 -0.032  -0.664 -0.206  -0.655 -0.377  -0.532 -0.500  -0.455 -0.642  -0.424 -0.785  -0.250 -0.785  -0.247 -0.956  -0.110 -0.994  -0.039 -1.096  0.030 -1.202  0.204 -1.202  0.378 -1.202
3#app#app19#app1954/r  -0.516 0.546  -0.516 0.426  -0.516 0.306  -0.516 0.186  -0.516 0.066  -0.516 -0.054  -0.516 -0.174  -0.516 -0.294  -0.516 -0.415  -0.516 -0.535  -0.453 -0.628  -0.368 -0.713  -0.294 -0.803  -0.294 -0.923  -0.294 -1.043  -0.294 -1.163  -0.258 -1.267  -0.173 -1.352  -0.088 -1.437  -0.072 -1.355  -0.072 -1.235  -0.072 -1.115  -0.072 -0.995  -0.072 -0.875  -0.072 -0.755  -0.072 -0.635  -0.072 -0.515  -0.072 -0.395  -0.072 -0.275  -0.072 -0.155  -0.072 -0.035  -0.072 0.085  -0.072 0.205  -0.071 0.325  0.014 0.410  0.099 0.495  0.184 0.580  0.269 0.664  0.353 0.749  0.372 0.862  0.372 0.982  0.451 1.069  0.536 1.154  0.621 1.239  0.706 1.323  0.790 1.408  0.900 1.434  1.020 1.434  1.038 1.536  1.038 1.656
3#app#app19#app1954/h  -0.884 1.581  -0.795 1.610  -0.795 1.614  -0.795 1.496  -0.784 1.381  -0.731 1.275  -0.706 1.163  -0.705 1.046  -0.622 0.962  -0.616 0.847  -0.616 0.729  -0.616 0.611  -0.609 0.495  -0.556 0.390  -0.527 0.279  -0.469 0.185  -0.438 0.080  -0.438 -0.038  -0.438 -0.155  -0.416 -0.270  -0.379 -0.381  -0.332 -0.488  -0.259 -0.575  -0.229 -0.681  -0.170 -0.774  -0.170 -0.892  -0.079 -0.918  0.039 -0.918  0.124 -0.865  0.177 -0.760  0.187 -0.645  0.212 -0.537  0.277 -0.446  0.315 -0.344  0.398 -0.261  0.455 -0.166  0.502 -0.068  0.544 0.032  0.631 0.064  0.715 -0.017  0.735 -0.127  0.812 -0.213  0.839 -0.320  0.901 -0.412  0.901 -0.529  0.962 -0.622  1.046 -0.705  1.080 -0.809  1.149 -0.898  1.169 -1.008
3#app#app19#app1954/a  -0.043 0.348  0.079 0.471  0.143 0.618  0.143 0.791  0.101 0.947  -0.022 1.070  -0.187 1.091  -0.360 1.091  -0.415 0.973  -0.521 0.906  -0.667 0.839  -0.791 0.720  -0.964 0.720  -0.972 0.554  -1.081 0.426  -1.158 0.285  -1.158 0.111  -1.158 -0.062  -1.158 -0.236  -1.158 -0.409  -1.157 -0.581  -0.983 -0.581  -0.972 -0.744  -0.822 -0.767  -0.649 -0.767  -0.476 -0.767  -0.302 -0.767  -0.129 -0.767  0.045 -0.767  0.218 -0.767  0.373 -0.722  0.496 -0.600  0.661 -0.581  0.700 -0.446  0.787 -0.309  0.886 -0.176  0.886 -0.003  0.886 0.170  0.886 0.344  0.717 0.348  0.543 0.348  0.616 0.246  0.700 0.107  0.730 -0.054  0.853 -0.176  0.975 -0.299  1.072 -0.433  1.097 -0.581  1.270 -0.581  1.443 -0.581
3#app#app19#app1954/p  -0.422 0.779  -0.324 0.693  -0.324 0.509  -0.227 0.424  -0.227 0.240  -0.227 0.056  -0.208 -0.120  -0.129 -0.270  -0.129 -0.454  -0.129 -0.638  -0.129 -0.821  -0.043 -0.969  -0.031 -1.148  -0.031 -1.332  -0.031 -1.516  0.062 -1.661  0.067 -1.842  0.164 -1.793  0.164 -1.610  0.164 -1.426  0.164 -1.242  0.127 -1.065  0.069 -0.891  0.067 -0.707  0.040 -0.526  0.010 -0.345  -0.021 -0.164  -0.060 0.016  -0.105 0.194  -0.129 0.375  -0.129 0.558  -0.167 0.737  -0.212 0.915  -0.227 1.097  -0.227 1.281  -0.227 1.464  -0.165 1.623  -0.031 1.625  0.054 1.476  0.115 1.318  0.245 1.188  0.262 1.011  0.297 0.842  0.360 0.685  0.441 0.520  0.458 0.340  0.422 0.192  0.336 0.095  0.153 0.095  0.067 0.192
3#app#app19#app1954/s  -0.193 0.341  -0.051 0.341  -0.028 0.460  0.067 0.507  0.138 0.579  0.172 0.707  0.272 0.807  0.303 0.936  0.303 1.078  0.303 1.220  0.275 1.334  0.133 1.334  -0.009 1.334  -0.115 1.247  -0.216 1.146  -0.316 1.046  -0.441 1.003  -0.524 0.945  -0.559 0.838  -0.690 0.826  -0.690 0.684  -0.690 0.542  -0.690 0.400  -0.690 0.258  -0.647 0.133  -0.547 0.033  -0.446 -0.067  -0.340 -0.155  -0.198 -0.155  -0.193 -0.292  -0.080 -0.320  0.062 -0.320  0.138 -0.387  0.181 -0.486  0.303 -0.506  0.303 -0.648  0.442 -0.651  0.468 -0.767  0.560 -0.817  0.634 -0.885  0.634 -1.027  0.612 -1.148  0.470 -1.148  0.468 -1.288  0.351 -1.313  0.303 -1.407  0.233 -1.478  0.138 -1.525  0.114 -1.644  -0.028 -1.644
3#app#app19#app1954/t  -0.364 1.293  -0.364 1.460  -0.271 1.588  -0.271 1.755  -0.344 1.848  -0.364 1.701  -0.364 1.535  -0.364 1.368  -0.364 1.202  -0.364 1.035  -0.364 0.868  -0.364 0.702  -0.314 0.547  -0.271 0.391  -0.271 0.224  -0.256 0.061  -0.182 -0.088  -0.179 -0.254  -0.116 -0.406  -0.086 -0.565  -0.028 -0.707  0.059 -0.848  0.154 -0.982  0.286 -1.082  0.425 -1.175  0.549 -1.284  0.711 -1.296  0.877 -1.296  1.009 -1.282  0.891 -1.164  0.773 -1.046  0.656 -0.928  0.538 -0.811  0.420 -0.693  0.302 -0.575  0.184 -0.457  0.067 -0.340  -0.051 -0.222  -0.169 -0.104  -0.287 0.014  -0.404 0.132  -0.456 0.091  -0.531 -0.001  -0.493 -0.094  -0.326 -0.094  -0.192 -0.015  -0.031 -0.001  0.135 -0.001  0.302 -0.001  0.468 -0.001
3#app#app19#app1954/h  -0.535 1.714  -0.447 1.736  -0.447 1.757  -0.447 1.646  -0.447 1.536  -0.447 1.426  -0.447 1.316  -0.447 1.206  -0.447 1.095  -0.447 0.985  -0.447 0.875  -0.447 0.765  -0.380 0.682  -0.359 0.581  -0.359 0.471  -0.359 0.360  -0.359 0.250  -0.359 0.140  -0.359 0.030  -0.359 -0.080  -0.359 -0.191  -0.359 -0.301  -0.359 -0.411  -0.359 -0.521  -0.359 -0.631  -0.359 -0.741  -0.282 -0.820  -0.264 -0.918  -0.154 -0.918  -0.059 -0.881  0.019 -0.803  0.079 -0.718  0.127 -0.655  0.216 -0.605  0.294 -0.528  0.372 -0.450  0.458 -0.392  0.518 -0.341  0.583 -0.271  0.682 -0.222  0.781 -0.226  0.781 -0.336  0.781 -0.446  0.781 -0.556  0.781 -0.666  0.781 -0.777  0.781 -0.887  0.781 -0.997  0.791 -1.103  0.869 -1.181
3#app#app19#app1954/e  -1.252 0.289  -1.252 0.101  -1.252 -0.086  -1.073 -0.096  -0.936 -0.219  -0.777 -0.288  -0.589 -0.288  -0.401 -0.288  -0.213 -0.288  -0.025 -0.288  0.163 -0.288  0.350 -0.288  0.521 -0.247  0.654 -0.114  0.787 0.019  0.920 0.152  1.053 0.285  1.239 0.289  1.250 0.467  1.250 0.655  1.081 0.674  0.941 0.790  0.794 0.902  0.626 0.986  0.455 1.059  0.267 1.059  0.081 1.052  -0.087 0.968  -0.256 0.884  -0.396 0.761  -0.548 0.674  -0.675 0.614  -0.731 0.482  -0.867 0.430  -0.867 0.242  -0.848 0.059  -0.764 -0.109  -0.680 -0.277  -0.675 -0.464  -0.503 -0.480  -0.364 -0.599  -0.207 -0.673  -0.042 -0.728  0.091 -0.861  0.224 -0.994  0.385 -1.058  0.546 -1.124  0.681 -1.250  0.869 -1.250  1.057 -1.250
3#app#app19#app1954/g  -0.260 0.674  -0.225 0.735  -0.191 0.795  -0.138 0.837  -0.138 0.932  -0.138 1.027  -0.199 1.062  -0.256 1.099  -0.291 1.160  -0.386 1.160  -0.481 1.160  -0.563 1.147  -0.610 1.099  -0.624 1.018  -0.624 0.923  -0.604 0.836  -0.537 0.769  -0.503 0.688  -0.446 0.617  -0.378 0.550  -0.311 0.482  -0.244 0.415  -0.177 0.348  -0.110 0.281  -0.042 0.214  0.025 0.146  0.092 0.079  0.159 0.012  0.226 -0.055  0.269 -0.140  0.325 -0.215  0.376 -0.294  0.425 -0.375  0.470 -0.451  0.473 -0.545  0.530 -0.616  0.530 -0.711  0.530 -0.806  0.530 -0.901  0.530 -0.996  0.485 -1.073  0.470 -1.161  0.437 -1.243  0.369 -1.310  0.346 -1.396  0.304 -1.481  0.246 -1.555  0.163 -1.580  0.120 -1.665  0.044 -1.696
